,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2006-06,53.34M,13.22M,18.70M,0.131M,18.84M,18.84M,,,,3.987M,,,-2.31M,-2.31M,87.07M,-13.77M,1.844M,-11.93M,0.834M,,,-11.09M,,,-52.12M,5.767M,-20.22M,-14.45M,,-2.685M,,1.896M,-67.36M,37.30M,8.616M,,45.92M,5.767M,,,-20.22M,,
2006-03,57.27M,1.781M,17.78M,0.131M,17.91M,17.91M,,,,,,,-21.06M,-21.06M,55.90M,-20.16M,,-20.16M,-15.68M,,,-35.84M,,,-24.03M,3.996M,,3.996M,,-2.679M,,1.289M,-21.43M,38.67M,-1.365M,,37.30M,3.996M,,,,,
2005-12,55.82M,-5.666M,14.09M,0.12M,14.21M,14.21M,,,,42.22M,,,3.167M,-33.58M,74.80M,-15.79M,,-15.79M,-407.53M,,,-423.31M,,,340.41M,12.00M,0.00,12.00M,,-2.686M,,-0.601M,349.12M,38.06M,0.608M,,38.67M,12.00M,,,0.00,,
2005-09,52.09M,5.666M,13.06M,0.127M,13.19M,13.19M,,,,4.678M,,,-8.501M,-8.501M,67.12M,-13.42M,,-13.42M,-4.601M,,,-18.02M,,,-35.28M,7.412M,-3.981M,3.431M,,-2.705M,,-1.942M,-36.50M,25.46M,12.60M,,38.06M,7.412M,,,-3.981M,,
2005-06,52.06M,,12.70M,0.365M,13.06M,13.06M,,,,-41.10M,,,25.08M,25.08M,49.10M,-15.44M,,-15.44M,-47.14M,,,-62.58M,,,2.329M,13.00M,0.00,13.00M,,-2.643M,,,12.68M,26.26M,-0.795M,,25.46M,13.00M,,,0.00,,
2005-03,46.38M,,10.81M,0.364M,11.18M,11.18M,,,,-0.131M,,,-18.83M,-18.83M,38.60M,-12.48M,,-12.48M,-53.04M,,,-65.51M,,,23.68M,4.048M,-4.723M,-0.675M,,,,,23.00M,30.17M,-3.915M,,26.26M,4.048M,,,-4.723M,,
2004-12,45.64M,,9.927M,0.362M,10.29M,10.29M,,,,-10.22M,,,13.60M,16.94M,63.99M,-15.10M,,-15.10M,-10.96M,,,-26.06M,,,-25.44M,7.919M,-12.76M,-4.846M,,,,,-30.28M,22.52M,7.649M,,30.17M,7.919M,,,-12.76M,,
2004-09,41.65M,,9.736M,0.355M,10.09M,10.09M,,,,32.52M,,,-19.92M,-19.92M,64.34M,-10.73M,,-10.73M,-30.70M,,1.943M,-39.49M,,,-9.80M,5.549M,-16.70M,-11.16M,,,,,-20.96M,18.63M,3.896M,,22.52M,5.549M,,,-16.70M,,
2004-06,40.37M,,9.733M,0.355M,10.09M,10.09M,,,,-27.67M,,,28.99M,28.99M,51.78M,-11.82M,,-11.82M,0.457M,,-1.943M,-13.30M,,,-49.89M,1.643M,0.00,1.643M,,,,,-48.25M,28.40M,-9.777M,,18.63M,1.643M,,,0.00,,
2004-03,35.66M,,9.433M,0.356M,9.789M,9.789M,,,,5.377M,,,-22.68M,-22.68M,28.15M,-6.694M,,-6.694M,-0.457M,,,-7.151M,,,-15.17M,15.22M,-16.17M,-0.95M,,,,,-16.12M,23.53M,4.871M,,28.40M,15.22M,,,-16.17M,,
2003-12,32.99M,0.00,9.50M,0.377M,9.877M,9.877M,,,,,,,4.625M,-0.173M,54.06M,-8.456M,,-8.456M,34.46M,,-51.10M,-25.10M,,,-43.98M,8.134M,0.077M,8.211M,,,,13.37M,-22.40M,16.98M,6.552M,,23.53M,8.134M,,,0.077M,,
2003-09,28.21M,0.00,9.133M,0.378M,9.511M,9.511M,,,,,,,-2.457M,-2.457M,35.27M,-8.878M,,-8.878M,-34.46M,,29.77M,-13.57M,,,-56.73M,26.58M,-0.077M,26.50M,,,,3.183M,-27.04M,22.33M,-5.347M,,16.98M,26.58M,,,-0.077M,,
2003-06,19.48M,10.37M,9.566M,0.367M,9.933M,9.933M,,,,,,,-5.478M,-5.478M,34.30M,-6.267M,,-6.267M,15.68M,,-29.77M,-20.35M,,,-21.47M,1.164M,,1.164M,,,,-3.453M,-23.76M,32.14M,-9.814M,,22.33M,1.164M,,,,,
2003-03,23.31M,,8.808M,0.351M,9.159M,9.159M,,,,,,,3.31M,3.31M,35.78M,-6.595M,,-6.595M,-15.68M,,,-22.28M,,,0.432M,0.044M,,0.044M,,,,-2.50M,-2.024M,20.66M,11.48M,,32.14M,0.044M,,,,,
2002-12,22.48M,,8.813M,0.355M,9.168M,9.168M,,,,,,,-28.04M,-12.43M,18.59M,-4.968M,,-4.968M,-19.80M,,,-24.77M,,,2.376M,0.755M,,0.755M,,,,-1.50M,1.631M,25.20M,-4.545M,,20.66M,0.755M,,,,,
2002-09,20.67M,,9.072M,0.354M,9.426M,9.426M,,,,-18.98M,,,28.04M,28.04M,39.15M,-5.90M,,-5.90M,-14.00M,,11.94M,-7.957M,,,-28.09M,2.063M,,2.063M,,,,0.80M,-25.22M,19.24M,5.966M,,25.20M,2.063M,,,,,
2002-06,20.00M,,8.542M,0.353M,8.895M,8.895M,,,,18.98M,,,-17.69M,-17.69M,30.19M,-3.86M,,-3.86M,11.95M,,-11.94M,-3.849M,,,-31.46M,2.959M,,2.959M,,,,-5.40M,-33.90M,26.80M,-7.559M,,19.24M,2.959M,,,,,
2002-03,17.19M,,8.398M,0.351M,8.749M,8.749M,,,,,,,17.69M,17.69M,43.64M,-4.088M,,-4.088M,-11.95M,,,-16.04M,,,-23.88M,,,,,,,-4.90M,-28.78M,27.98M,-1.178M,,26.80M,,,,,,
2001-12,16.04M,,7.849M,4.212M,12.06M,12.06M,,,,,,,22.31M,8.563M,36.66M,-10.16M,,-10.16M,-2.696M,,,-12.85M,,,-28.38M,,,,,,,9.80M,-18.58M,22.75M,5.226M,,27.98M,,,,,,
2001-09,16.63M,,1.262M,11.25M,12.51M,12.51M,,,,30.34M,,,-22.31M,-22.31M,37.17M,-5.896M,,-5.896M,-28.05M,,,-33.94M,,,-0.708M,,,,,,,3.10M,2.392M,17.14M,5.614M,,22.75M,,,,,,
2001-06,22.54M,,11.54M,0.559M,12.10M,12.10M,,,,-26.87M,,,,,7.769M,-8.594M,,-8.594M,-26.25M,,,-34.84M,,,45.94M,,,,,,,-23.70M,22.24M,21.97M,-4.838M,,17.14M,,,,,,
2001-03,28.50M,,11.66M,0.556M,12.22M,12.22M,,,,-3.472M,,,,,37.25M,-13.91M,,-13.91M,-3.523M,,,-17.43M,,,-22.44M,,,,,,,,-22.44M,24.58M,-2.612M,,21.97M,,,,,,
2000-12,32.60M,,,,11.84M,11.84M,,,,,,,2.902M,4.072M,48.51M,-17.65M,,-17.65M,-7.188M,,,-24.84M,,,-16.51M,0.021M,,0.021M,,,,0.00,-16.49M,17.40M,7.184M,,24.58M,0.021M,,,,,
2000-09,28.83M,,,,11.12M,11.12M,,,,2.261M,,,-2.902M,-2.902M,39.31M,-12.48M,,-12.48M,-23.00M,,,-35.48M,,,-5.279M,-0.01M,,-0.01M,,,,4.50M,-0.789M,14.36M,3.043M,,17.40M,-0.01M,,,,,
2000-06,26.21M,,,,11.24M,11.24M,,,,-13.54M,,,,,23.91M,-12.71M,,-12.71M,-3.958M,,,-16.67M,,,-27.85M,1.904M,,1.904M,,,,20.50M,-5.446M,12.56M,1.798M,,14.36M,1.904M,,,,,
2000-03,20.26M,,,,10.87M,10.87M,,,,11.28M,,,,,42.42M,-10.27M,,-10.27M,-33.56M,,,-43.83M,,,1.078M,,,,,,,,1.078M,12.90M,-0.338M,,12.56M,,,,,,
1999-12,5.321M,,,,10.38M,10.38M,,,,8.674M,,,22.50M,-0.477M,23.90M,-3.764M,,-3.764M,,,,-16.04M,,,-185.71M,,,,,,,,-3.954M,9.00M,3.903M,,12.90M,,,,,,
1999-09,11.60M,,,,10.90M,10.90M,,,,16.40M,,,-22.50M,-22.50M,16.40M,-6.70M,,-6.70M,,,,-6.70M,,,-8.60M,,,,,,,,-8.60M,7.90M,1.10M,,9.00M,,,,,,
1999-06,10.50M,,,,10.80M,10.80M,,,,-10.00M,,,,,11.30M,-6.00M,,-6.00M,,,,-6.00M,,,-1.20M,,,,,,,,-1.20M,3.80M,4.10M,,7.90M,,,,,,
1999-03,8.20M,,,,10.70M,10.70M,,,,-6.40M,,,,,12.50M,-7.00M,,-7.00M,,,,-7.00M,,,-4.80M,,,,,,,,-4.80M,3.10M,0.70M,,3.80M,,,,,,
1998-12,8.30M,,,,10.10M,10.10M,,,,18.70M,,,,,17.50M,-7.90M,,-7.90M,,,,-7.90M,,,-8.80M,,,,,,,,-8.80M,0.00,0.80M,,0.00,,,,,,
1998-09,8.20M,,,,9.60M,9.60M,,,,-2.10M,,,,,15.70M,-24.60M,,-24.60M,,,,-24.60M,,,8.30M,,,,,,,,8.30M,0.00,-0.60M,,0.00,,,,,,
1998-06,10.30M,,,,9.40M,9.40M,,,,-14.50M,,,,,5.20M,-18.90M,,-18.90M,,,,-18.90M,,,10.60M,,,,,,,,10.60M,0.00,-3.10M,,0.00,,,,,,
