,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,,2.121B,,2.121B,1.977B,,1.977B,529.00M,115.00M,186.00M,,815.00M,252.00M,,,,5.165B,0.0,905.00M,,3.428B,,291.00M,,4.624B,-1.80B,2.824B,1.855B,371.00M,2.226B,305.00M,,,372.00M,5.727B,10.89B,2.127B,,23.00M,,2.15B,,2.15B,,,,,,49.00M,,49.00M,,,,2.199B,,2.787B,,2.787B,,,,,290.00M,,161.00M,698.00M,3.775B,5.974B,3.00M,5.979B,1.128B,1.623B,,,-730.00M,4.757B
2020-06,,2.003B,,2.003B,1.535B,,1.535B,554.00M,121.00M,175.00M,,836.00M,267.00M,,,,4.641B,0.0,863.00M,,3.289B,1.00M,335.00M,,4.488B,-1.707B,2.781B,1.83B,375.00M,2.205B,315.00M,,,395.00M,5.696B,10.34B,1.654B,,19.00M,,1.673B,,1.673B,,,,45.00M,252.00M,297.00M,,297.00M,,,,1.97B,,2.762B,,2.762B,,,,,299.00M,,152.00M,543.00M,3.604B,5.574B,3.00M,5.903B,1.115B,1.623B,,,-787.00M,4.611B
2020-03,901.00M,901.00M,,901.00M,1.735B,,1.735B,536.00M,114.00M,211.00M,,847.00M,258.00M,,,,3.741B,0.0,869.00M,,3.293B,,334.00M,,4.496B,-1.657B,2.839B,1.818B,383.00M,2.201B,315.00M,,,406.00M,5.761B,9.502B,1.793B,,45.00M,,1.838B,,1.838B,,,,34.00M,252.00M,286.00M,,286.00M,,,,2.124B,,1.664B,,1.664B,,,,,302.00M,,140.00M,548.00M,2.514B,4.638B,3.00M,6.036B,1.109B,1.623B,,,-801.00M,4.724B
2019-12,,832.00M,,832.00M,1.713B,108.00M,1.921B,502.00M,113.00M,207.00M,,807.00M,178.00M,,,98.00M,3.836B,0.0,105.00M,755.00M,3.217B,86.00M,360.00M,,4.523B,-1.513B,3.01B,1.842B,402.00M,2.244B,316.00M,2.00M,79.00M,215.00M,5.866B,9.702B,1.325B,14.00M,127.00M,,1.466B,248.00M,1.714B,63.00M,,,34.00M,252.00M,286.00M,18.00M,304.00M,,,,2.329B,53.00M,1.674B,67.00M,1.741B,125.00M,49.00M,174.00M,,306.00M,,138.00M,255.00M,2.529B,4.858B,3.00M,5.942B,1.145B,1.657B,,,-727.00M,4.706B
2019-09,916.00M,916.00M,,916.00M,1.983B,,1.983B,515.00M,114.00M,195.00M,,810.00M,278.00M,,,,3.987B,0.0,843.00M,,3.121B,2.00M,326.00M,,4.292B,-1.48B,2.812B,1.818B,404.00M,2.222B,694.00M,,,484.00M,6.212B,10.20B,2.048B,,58.00M,,2.106B,,2.106B,,,,,,419.00M,,419.00M,,,,2.525B,,1.656B,,1.656B,,,,,273.00M,,121.00M,1.167B,3.096B,5.621B,3.00M,5.757B,1.129B,1.653B,,,-779.00M,4.457B
2019-06,710.00M,710.00M,,710.00M,2.063B,,2.063B,520.00M,117.00M,198.00M,,817.00M,259.00M,,,,3.849B,0.0,870.00M,,3.188B,2.00M,350.00M,,4.41B,-1.519B,2.891B,1.845B,421.00M,2.266B,690.00M,,,535.00M,6.382B,10.23B,2.089B,,53.00M,,2.142B,,2.142B,,,,,,171.00M,,171.00M,,,,2.313B,,1.929B,,1.929B,,,,,283.00M,,108.00M,1.204B,3.416B,5.729B,3.00M,5.598B,1.116B,1.653B,,,-670.00M,4.394B
2019-03,494.00M,494.00M,,494.00M,2.065B,,2.065B,496.00M,116.00M,213.00M,,807.00M,280.00M,23.00M,,,3.719B,0.0,879.00M,,3.119B,2.00M,395.00M,,4.395B,-1.50B,2.895B,1.848B,433.00M,2.281B,617.00M,,,592.00M,6.385B,10.10B,2.056B,,57.00M,,2.113B,,2.113B,,,,,,164.00M,,164.00M,,,22.00M,2.299B,,1.923B,,1.923B,,,,,292.00M,,111.00M,1.205B,3.42B,5.719B,3.00M,5.461B,1.111B,1.626B,,,-675.00M,4.274B
2018-12,,739.00M,,739.00M,1.728B,153.00M,1.988B,485.00M,114.00M,199.00M,,781.00M,167.00M,,,83.00M,3.805B,0.0,108.00M,763.00M,3.078B,3.00M,426.00M,,4.378B,-1.474B,2.904B,1.853B,439.00M,2.292B,252.00M,340.00M,281.00M,221.00M,6.29B,10.10B,1.485B,17.00M,132.00M,,1.634B,264.00M,1.898B,56.00M,,,33.00M,140.00M,173.00M,0.00,173.00M,,,23.00M,2.399B,47.00M,1.941B,0.00,1.941B,51.00M,51.00M,102.00M,,298.00M,,119.00M,963.00M,3.351B,5.75B,3.00M,5.336B,1.146B,1.585B,,,-674.00M,4.226B
2018-09,361.80M,361.80M,,361.80M,2.061B,,2.061B,512.10M,122.60M,190.70M,,810.30M,192.90M,,,,3.491B,0.0,880.50M,,3.009B,,371.70M,,4.261B,-1.434B,2.828B,1.856B,450.10M,2.307B,610.30M,,,481.10M,6.226B,9.716B,2.009B,,9.80M,,2.019B,,2.019B,,,35.90M,,14.80M,50.70M,,50.70M,,,29.90M,2.100B,,2.086B,,2.086B,,,,,269.40M,,103.80M,1.092B,3.447B,5.546B,2.50M,5.127B,1.127B,1.581B,,,-609.20M,4.066B
2018-06,361.90M,361.90M,,361.90M,2.131B,,2.131B,502.80M,123.60M,187.50M,,800.20M,185.10M,,,,3.544B,0.0,892.10M,,2.977B,1.30M,362.30M,,4.233B,-1.407B,2.826B,1.858B,461.90M,2.32B,610.50M,,,477.30M,6.234B,9.777B,2.122B,,12.40M,,2.134B,,2.134B,,,67.70M,,2.80M,70.50M,,70.50M,,,31.30M,2.236B,,2.102B,,2.102B,,,,,284.40M,,93.70M,1.10B,3.487B,5.723B,2.50M,4.959B,1.111B,1.544B,,,-567.60M,3.960B
