,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,129.00M,,7.00M,0.00,7.00M,,,115.00M,115.00M,80.00M,,0.00,13.00M,4.00M,-387.00M,43.00M,4.00M,437.00M,,,36.00M,133.00M,481.00M,-109.00M,,,0.00,5.00M,2.00M,-102.00M,-247.00M,,-247.00M,,0.00,0.00,-35.00M,-35.00M,0.00,-6.00M,-288.00M,2.003B,91.00M,27.00M,2.121B,,26.00M,-273.00M,0.00,27.00M,24.00M
2020-06,-84.00M,,-4.00M,0.00,-4.00M,,,112.00M,112.00M,-19.00M,,17.00M,6.00M,34.00M,210.00M,18.00M,0.00,-188.00M,,,-38.00M,2.00M,64.00M,-54.00M,,,2.00M,4.00M,21.00M,-27.00M,1.109B,,1.109B,,0.00,0.00,-35.00M,-35.00M,-1.00M,-12.00M,1.061B,901.00M,1.098B,4.00M,2.003B,,1.13B,-21.00M,0.00,40.00M,0.00
2020-03,137.00M,,-4.00M,,-4.00M,,,112.00M,112.00M,-5.00M,,9.00M,10.00M,2.00M,152.00M,-58.00M,-8.00M,-96.00M,,,12.00M,2.00M,263.00M,-117.00M,,,-4.00M,1.00M,,-120.00M,-1.00M,,-1.00M,,0.00,0.00,-35.00M,-35.00M,-12.00M,-14.00M,-62.00M,832.00M,81.00M,-12.00M,901.00M,,13.00M,-14.00M,0.00,43.00M,29.00M
2019-12,237.00M,,-9.00M,1.00M,-185.00M,,,115.00M,115.00M,158.00M,,7.00M,12.00M,-156.00M,95.00M,20.00M,6.00M,-105.00M,,,-20.00M,-4.00M,184.00M,-135.00M,,,9.00M,21.00M,-4.00M,-109.00M,-132.00M,,-132.00M,,0.00,0.00,-35.00M,-35.00M,0.00,-5.00M,-172.00M,916.00M,-97.00M,13.00M,832.00M,,18.00M,-150.00M,0.00,95.00M,14.00M
2019-09,207.00M,,13.00M,0.00,13.00M,,,110.00M,110.00M,-7.00M,,0.00,13.00M,2.00M,14.00M,-16.00M,-2.00M,30.00M,,,-7.00M,19.00M,357.00M,-102.00M,,,0.00,-4.00M,3.00M,-103.00M,0.00,,0.00,,0.00,0.00,-35.00M,-35.00M,0.00,5.00M,-30.00M,710.00M,224.00M,-18.00M,916.00M,,15.00M,-15.00M,0.00,59.00M,25.00M
2019-06,182.00M,,-10.00M,26.00M,16.00M,,,107.00M,107.00M,31.00M,,0.00,9.00M,5.00M,5.00M,-9.00M,1.00M,72.00M,,,8.00M,77.00M,427.00M,-127.00M,,,0.00,-47.00M,1.00M,-173.00M,6.00M,,6.00M,,-33.00M,-33.00M,-35.00M,-35.00M,-1.00M,-2.00M,-65.00M,517.00M,189.00M,4.00M,710.00M,,19.00M,-13.00M,-33.00M,21.00M,7.00M
2019-03,171.00M,,6.00M,,6.00M,,,107.00M,107.00M,20.00M,,0.00,8.00M,7.00M,-95.00M,-31.00M,-23.00M,-120.00M,,,-10.00M,-279.00M,40.00M,-117.00M,,,14.00M,-1.00M,,-104.00M,-15.00M,,-15.00M,,-67.00M,-67.00M,-35.00M,-35.00M,-14.00M,-22.00M,-153.00M,739.00M,-217.00M,-5.00M,517.00M,,11.00M,-26.00M,-67.00M,68.00M,26.00M
2018-12,248.00M,,10.00M,0.00,10.00M,,,105.00M,105.00M,-33.00M,,,15.00M,-2.00M,68.00M,27.00M,24.00M,125.00M,,,-43.00M,201.00M,570.00M,-152.00M,,,31.00M,0.00,,-121.00M,-16.00M,,-16.00M,,0.00,0.00,-36.00M,-36.00M,0.00,-8.00M,-60.00M,362.00M,389.00M,-12.00M,739.00M,,39.00M,-55.00M,0.00,49.00M,17.00M
2018-09,216.00M,,5.00M,0.00,5.00M,,,108.00M,108.00M,-3.00M,,,16.00M,4.00M,48.00M,-18.00M,-9.00M,-95.00M,,,-21.00M,-95.00M,251.00M,-125.00M,,,0.00,-1.00M,,-126.00M,-31.00M,,-31.00M,,-40.00M,-40.00M,-35.00M,-35.00M,0.00,-2.00M,-108.00M,362.00M,17.00M,-17.00M,362.00M,,0.00,-31.00M,-40.00M,81.00M,28.00M
2018-06,284.00M,,-16.00M,0.00,-16.00M,,,109.00M,109.00M,-42.00M,,,7.00M,24.00M,28.00M,-35.00M,-20.00M,3.00M,,,-72.00M,-96.00M,270.00M,-109.00M,,,5.00M,-2.00M,,-106.00M,-114.00M,,-114.00M,,-55.00M,-55.00M,-35.00M,-35.00M,-1.00M,-7.00M,-212.00M,410.00M,-48.00M,0.00,362.00M,,-110.00M,-4.00M,-55.00M,106.00M,8.00M
2018-03,237.00M,,-11.00M,,-11.00M,,,109.00M,109.00M,8.00M,,,15.00M,7.00M,-187.00M,-27.00M,-14.00M,-109.00M,,,7.00M,-330.00M,35.00M,-160.00M,,,0.00,-1.00M,,-161.00M,120.00M,,120.00M,,-55.00M,-55.00M,-36.00M,-36.00M,-14.00M,-18.00M,-3.00M,545.00M,-129.00M,-6.00M,410.00M,,130.00M,-10.00M,-55.00M,80.00M,31.00M
2017-12,-132.30M,,-8.30M,,-8.30M,,,106.00M,106.00M,276.50M,,,16.50M,23.50M,64.00M,-14.20M,10.10M,201.30M,,,-58.00M,203.20M,556.10M,-170.30M,,,-2.00M,-9.00M,,-181.30M,-215.40M,,-215.40M,,0.00,0.00,-35.50M,-35.50M,0.10M,-6.00M,-256.80M,414.30M,118.00M,12.40M,545.00M,,-121.90M,-93.50M,0.00,60.10M,19.90M
