,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,3.737B,,3.737B,8.728B,8.728B,14.44B,3.205B,,30.11B,,,,,,2.386B,8.399B,2.703B,11.10B,,1.118B,14.61B,44.72B,,23.24B,23.24B,2.502B,25.74B,,,13.00M,13.00M,,,,25.75B,6.72B,6.72B,10.27B,10.27B,4.00M,,,16.99B,42.74B,,2.778B,1.255B,,2.009B,,,-53.00M,1.971B,,AOR,
2020-09,2.746B,,2.746B,8.637B,8.637B,13.44B,2.208B,,27.03B,,,,,,2.369B,8.375B,2.811B,11.19B,,1.142B,14.70B,41.73B,,21.69B,21.69B,2.316B,24.00B,,,12.00M,12.00M,,,,24.02B,6.728B,6.728B,9.558B,9.558B,3.00M,,,16.29B,40.30B,,2.76B,771.00M,,2.022B,,,-87.00M,1.422B,,AOR,
2020-06,2.771B,,2.771B,8.264B,8.264B,13.20B,1.707B,,25.94B,0.00,2.185B,3.146B,5.331B,-2.965B,2.366B,8.357B,2.918B,11.28B,,1.185B,14.83B,40.77B,,21.37B,21.37B,2.231B,23.60B,,,10.00M,10.00M,,,,23.62B,6.765B,6.765B,8.594B,8.594B,3.00M,,,15.36B,38.97B,,2.789B,1.17B,,2.066B,,,-104.00M,1.789B,,AOR,
2020-03,2.329B,,2.329B,9.019B,9.019B,12.81B,1.692B,,25.85B,,,,,,2.299B,8.339B,3.039B,11.38B,,1.623B,15.30B,41.15B,,21.98B,21.98B,2.179B,24.16B,,,508.00M,508.00M,,,,24.67B,6.754B,6.754B,8.517B,8.517B,3.00M,,,15.27B,39.94B,,2.774B,656.00M,,2.086B,,,-141.00M,1.203B,,AOR,
2019-12,1.659B,,1.659B,8.28B,8.28B,13.80B,1.998B,,25.74B,,,,,,2.301B,8.356B,3.167B,11.52B,,1.482B,15.31B,41.04B,,21.46B,21.46B,2.239B,23.70B,,,1.192B,1.192B,,,,24.89B,6.742B,6.742B,8.408B,8.408B,3.00M,,,15.15B,40.04B,,2.752B,449.00M,,2.099B,,,-103.00M,999.00M,,AOR,Restated
2019-09,1.212B,,1.212B,8.19B,8.19B,12.46B,1.855B,,23.72B,,,,,,2.324B,8.36B,3.298B,11.66B,,1.482B,15.46B,39.18B,,19.72B,19.72B,2.194B,21.92B,,,631.00M,631.00M,,,,22.55B,7.36B,7.36B,8.367B,8.367B,3.00M,,,15.73B,38.28B,,2.669B,371.00M,,2.039B,,,-101.00M,900.00M,,AOR,Restated
2019-06,2.531B,,2.531B,8.448B,8.448B,12.82B,1.946B,,25.75B,0.00,1.992B,3.176B,5.168B,-2.812B,2.356B,8.378B,3.43B,11.81B,,1.052B,15.22B,40.96B,,21.54B,21.54B,2.122B,23.66B,,,452.00M,452.00M,,,,24.11B,7.579B,7.579B,2.945B,2.945B,2.00M,,,10.52B,34.63B,,2.763B,5.434B,,1.79B,,,-79.00M,6.328B,,AOR,Restated
2019-03,3.438B,,3.438B,7.879B,7.879B,12.62B,1.643B,,25.58B,,,,,,2.322B,8.33B,3.53B,11.86B,,1.045B,15.23B,40.81B,,20.52B,20.52B,1.951B,22.47B,,,1.451B,1.451B,,,,23.92B,7.629B,7.629B,3.029B,3.029B,2.00M,0.00,,10.66B,34.58B,,2.748B,5.386B,,1.793B,,,-111.00M,6.23B,,AOR,Restated
2018-12,2.182B,,2.182B,7.932B,7.932B,13.04B,1.94B,,25.09B,,,,,,2.376B,8.317B,3.656B,11.97B,,1.022B,15.37B,40.46B,,20.61B,20.61B,1.764B,22.37B,,,1.45B,1.45B,,,,23.82B,7.599B,7.599B,2.996B,2.996B,,0.00,,10.60B,34.42B,,2.728B,5.233B,,1.795B,,,-123.00M,6.043B,,AOR,Restated
2018-09,2.045B,,2.045B,8.082B,8.082B,12.48B,1.837B,,24.44B,,,,,,2.436B,8.319B,3.774B,12.09B,394.00M,643.00M,15.57B,40.01B,,20.24B,20.24B,1.819B,22.06B,,,1.002B,1.002B,,,,23.06B,7.999B,7.999B,3.042B,3.042B,,0.00,,11.04B,34.10B,,2.59B,5.097B,,1.678B,,,-96.00M,5.913B,,AOR,Restated
