,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,41.54B,41.54B,39.76B,1.776B,1.147B,116.00M,0.00,-52.00M,46.00M,-46.00M,,1.263B,513.00M,46.00M,-46.00M,-40.00M,-46.00M,427.00M,-203.00M,630.00M,,,-1.00M,,629.00M,666.96M,672.00M,199.00M,473.00M,,2.14,,,2.269,2.14,,2.13,,,2.259,2.13,,294.00M,295.00M,0.4859,,AOR,
2020-09,39.06B,39.06B,37.35B,1.715B,1.137B,118.00M,9.00M,-1.085B,45.00M,-45.00M,,1.255B,460.00M,45.00M,-45.00M,-1.078B,-45.00M,-663.00M,-410.00M,-253.00M,,,0.00,,-253.00M,539.05M,-413.00M,205.00M,-618.00M,,-0.86,,,1.843,-0.86,,-0.86,,,1.843,-0.86,,293.00M,293.00M,0.4859,,AOR,
2020-06,36.69B,36.69B,35.10B,1.59B,1.137B,129.00M,,-61.00M,49.00M,-49.00M,,1.266B,324.00M,49.00M,-49.00M,540.00M,-49.00M,815.00M,158.00M,657.00M,,,-1.00M,,656.00M,705.17M,1.089B,225.00M,864.00M,,2.25,,,2.418,2.25,,2.23,,,2.398,2.23,,293.00M,293.00M,0.4859,,AOR,
2020-03,39.16B,39.16B,37.27B,1.885B,1.165B,130.00M,-1.00M,-33.00M,60.00M,-60.00M,,1.295B,590.00M,60.00M,-60.00M,-52.00M,-60.00M,478.00M,127.00M,351.00M,,,-1.00M,,350.00M,374.16M,762.00M,224.00M,538.00M,,1.20,,,1.283,1.20,,1.19,,,1.272,1.19,,292.00M,294.00M,0.4811,,AOR,
2019-12,39.74B,39.74B,38.02B,1.714B,1.163B,133.00M,7.00M,-88.00M,63.00M,-63.00M,,1.296B,418.00M,63.00M,-63.00M,-76.00M,-63.00M,279.00M,59.00M,220.00M,,,0.00,,220.00M,289.52M,572.00M,230.00M,342.00M,,0.75,,,0.9881,0.75,,0.75,,,0.9865,0.75,,292.00M,294.00M,0.4811,,AOR,Restated
2019-09,37.34B,37.34B,35.66B,1.679B,1.107B,132.00M,1.00M,-5.704B,66.00M,-66.00M,,1.239B,440.00M,66.00M,-66.00M,-5.718B,-66.00M,-5.344B,-423.00M,-4.921B,,,-1.00M,,-4.922B,331.38M,-5.044B,234.00M,-5.278B,,-16.65,,,1.098,-16.65,,-16.65,,,1.098,-16.65,,296.00M,296.00M,0.4811,,AOR,Restated
2019-06,37.35B,37.35B,35.68B,1.674B,1.165B,153.00M,,-48.00M,67.00M,-67.00M,,1.318B,356.00M,67.00M,-67.00M,-50.00M,-67.00M,239.00M,44.00M,195.00M,,,-1.00M,,194.00M,233.16M,547.00M,241.00M,306.00M,,0.65,,,0.7819,0.65,,0.65,,,0.7814,0.65,,297.00M,298.00M,0.4811,,AOR,Restated
2019-03,35.23B,35.23B,33.46B,1.764B,1.097B,154.00M,11.00M,-81.00M,75.00M,-75.00M,,1.251B,513.00M,75.00M,-75.00M,-68.00M,-75.00M,370.00M,74.00M,296.00M,,,0.00,,296.00M,360.80M,706.00M,261.00M,445.00M,,0.99,,,1.207,0.99,,0.99,,,1.207,0.99,,298.00M,299.00M,0.4763,,AOR,Restated
2018-12,37.74B,37.74B,36.01B,1.73B,1.064B,157.00M,,-5.00M,76.00M,-76.00M,,1.221B,509.00M,76.00M,-76.00M,-26.00M,-76.00M,407.00M,126.00M,281.00M,,,-1.00M,,280.00M,283.45M,736.00M,253.00M,483.00M,,0.94,,,0.9515,0.94,,0.93,,,0.9415,0.93,,299.00M,300.00M,0.4763,,AOR,Restated
2018-09,35.21B,35.21B,33.55B,1.667B,1.155B,156.00M,,460.00M,77.00M,-77.00M,,1.311B,356.00M,77.00M,-77.00M,457.00M,-77.00M,736.00M,142.00M,594.00M,,,-1.00M,,593.00M,222.24M,1.058B,245.00M,813.00M,,1.95,,,0.7344,1.95,,1.94,,,0.7284,1.94,,305.00M,306.00M,0.4763,,AOR,Restated
2018-06,35.35B,35.35B,33.61B,1.735B,1.271B,164.00M,,-1.38B,78.00M,-78.00M,,1.435B,300.00M,78.00M,-78.00M,-1.409B,-78.00M,-1.187B,-21.00M,-1.166B,,,0.00,,-1.166B,189.59M,-856.00M,253.00M,-1.109B,,-3.76,,,0.6129,-3.76,,-3.76,,,0.5848,-3.76,,310.00M,312.00M,0.4763,,AOR,Restated
2018-03,33.63B,33.63B,31.72B,1.913B,1.132B,175.00M,,-60.00M,84.00M,-84.00M,,1.307B,606.00M,84.00M,-84.00M,-58.00M,-84.00M,464.00M,209.00M,255.00M,,,0.00,,255.00M,298.80M,807.00M,259.00M,548.00M,,0.81,,,0.9499,0.81,,0.81,,,0.9490,0.81,,313.00M,315.00M,0.4624,,AOR,Restated
2017-12,35.19B,35.19B,33.32B,1.861B,1.131B,184.00M,,-147.00M,87.00M,-87.00M,,1.315B,546.00M,87.00M,-87.00M,-142.00M,-87.00M,317.00M,-736.00M,1.053B,,,0.00,,1.053B,1.141B,695.00M,291.00M,404.00M,,3.35,,,3.63,3.35,,3.33,,,3.609,3.33,,315.00M,316.00M,0.4624,,AOR,Restated
2017-09,32.64B,32.64B,30.97B,1.672B,1.062B,183.00M,,-166.00M,81.00M,-81.00M,,1.245B,427.00M,81.00M,-81.00M,-168.00M,-81.00M,178.00M,61.00M,117.00M,,,-2.00M,,115.00M,224.23M,488.00M,229.00M,259.00M,,0.36,,,0.7057,0.36,,0.36,,,0.7035,0.36,,316.00M,318.00M,0.4624,,AOR,Restated
2017-06,32.97B,32.97B,31.34B,1.623B,983.00M,162.00M,,-39.00M,67.00M,-67.00M,,1.145B,478.00M,67.00M,-67.00M,-36.00M,-67.00M,375.00M,97.00M,278.00M,,,-4.00M,,274.00M,302.91M,634.00M,192.00M,442.00M,,0.87,,,0.9621,0.87,,0.86,,,0.9504,0.86,,314.00M,320.00M,0.4624,,AOR,Restated
2017-03,31.82B,31.82B,30.09B,1.728B,960.00M,128.00M,,-35.00M,46.00M,-46.00M,,1.088B,640.00M,46.00M,-46.00M,-30.00M,-46.00M,564.00M,182.00M,382.00M,,,-1.00M,,381.00M,404.70M,796.00M,186.00M,610.00M,,1.21,,,1.285,1.21,,1.20,,,1.275,1.20,,316.00M,318.00M,0.4489,,AOR,Restated
2016-12,33.15B,33.15B,31.55B,1.602B,910.00M,115.00M,,-35.00M,44.00M,-44.00M,,1.025B,577.00M,44.00M,-44.00M,-42.00M,-44.00M,491.00M,167.00M,324.00M,,,0.00,,324.00M,347.10M,701.00M,166.00M,535.00M,,1.02,,,1.093,1.02,,1.02,,,1.092,1.02,,318.00M,319.00M,0.4489,,AOR,Restated
