,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.434B,4.416B,2.65B,1.766B,,,0.00,128.00M,2.00M,-126.00M,1.195B,1.195B,571.00M,2.00M,128.00M,-126.00M,95.00M,-126.00M,540.00M,161.00M,379.00M,,,-5.00M,374.00M,356.45M,862.00M,194.00M,668.00M,,0.74,,,0.7054,0.74,,0.73,,,0.6958,0.73,,507.00M,513.00M,0.465,,AOR,
2020-09,3.968B,3.968B,2.495B,1.473B,,,0.00,128.00M,1.00M,-127.00M,933.00M,933.00M,540.00M,1.00M,128.00M,-127.00M,46.00M,-127.00M,459.00M,139.00M,320.00M,,,-4.00M,316.00M,325.76M,772.00M,185.00M,587.00M,,0.62,,,0.6392,0.62,,0.62,,,0.6391,0.62,,507.00M,512.00M,0.465,,AOR,
2020-06,4.189B,4.189B,2.429B,1.76B,,,0.00,132.00M,2.00M,-130.00M,875.00M,875.00M,885.00M,2.00M,132.00M,-130.00M,32.00M,-130.00M,787.00M,207.00M,580.00M,,,-8.00M,572.00M,594.88M,1.098B,179.00M,919.00M,,1.13,,,1.175,1.13,,1.12,,,1.165,1.12,,506.00M,511.00M,0.455,,AOR,
2020-03,4.651B,4.651B,2.555B,2.096B,,,,127.00M,2.00M,-125.00M,1.026B,1.026B,1.07B,2.00M,127.00M,-125.00M,62.00M,-125.00M,1.007B,240.00M,767.00M,,,-13.00M,754.00M,755.52M,1.317B,183.00M,1.134B,,1.49,,,1.493,1.49,,1.48,,,1.483,1.48,,505.00M,510.00M,0.455,,AOR,
2019-12,4.354B,4.264B,2.478B,1.786B,,,0.00,130.00M,5.00M,-125.00M,1.194B,1.194B,592.00M,5.00M,130.00M,-125.00M,64.00M,-125.00M,531.00M,135.00M,396.00M,,,-5.00M,391.00M,389.51M,828.00M,167.00M,661.00M,,0.7758,0.00,,0.7728,0.77,,0.7667,0.00,,0.7637,0.76,,506.00M,511.00M,0.455,,AOR,
2019-09,3.968B,3.968B,2.437B,1.531B,,,0.00,133.00M,4.00M,-129.00M,1.064B,1.064B,467.00M,4.00M,133.00M,-129.00M,76.00M,-129.00M,414.00M,108.00M,306.00M,,,-3.00M,303.00M,297.82M,717.00M,170.00M,547.00M,,0.60,,,0.5898,0.60,,0.59,,,0.5799,0.59,,506.00M,511.00M,0.455,,AOR,Restated
2019-06,4.349B,4.349B,2.537B,1.812B,,,-69.00M,141.00M,2.00M,-139.00M,1.132B,1.132B,680.00M,2.00M,141.00M,-139.00M,9.00M,-139.00M,550.00M,206.00M,344.00M,,,-12.00M,332.00M,370.19M,876.00M,185.00M,691.00M,,0.66,,,0.7353,0.66,,0.65,,,0.7246,0.65,,507.00M,512.00M,0.415,,AOR,Restated
2019-03,4.071B,4.071B,2.282B,1.789B,,,29.00M,120.00M,28.00M,-92.00M,851.00M,851.00M,938.00M,28.00M,120.00M,-92.00M,98.00M,-92.00M,944.00M,217.00M,727.00M,,,-11.00M,716.00M,689.82M,1.189B,125.00M,1.064B,,1.42,,,1.368,1.42,,1.40,,,1.349,1.40,,505.00M,511.00M,0.415,,AOR,Restated
2018-12,3.769B,3.712B,2.163B,1.549B,,,-341.00M,92.00M,3.00M,-89.00M,928.00M,928.00M,621.00M,3.00M,92.00M,-89.00M,-308.00M,-89.00M,224.00M,65.00M,159.00M,,,-6.00M,153.00M,386.53M,439.00M,123.00M,316.00M,,0.30,0.00,,0.7615,0.30,,0.30,0.00,,0.7597,0.30,,506.00M,508.00M,0.415,,AOR,Restated
2018-09,3.504B,3.504B,2.083B,1.421B,,,-100.00M,69.00M,2.00M,-67.00M,880.00M,880.00M,541.00M,2.00M,69.00M,-67.00M,-89.00M,-67.00M,385.00M,106.00M,279.00M,,,-3.00M,276.00M,386.20M,578.00M,124.00M,454.00M,,0.55,,,0.7687,0.55,,0.54,,,0.7561,0.54,,504.00M,510.00M,0.415,,AOR,Restated
