,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,2.089B,2.089B,5.287B,,5.287B,,,,740.00M,8.116B,,,,,2.75B,,2.75B,,2.75B,,,18.22B,722.00M,1.458B,24.91B,33.03B,,3.05B,,208.00M,3.258B,,3.258B,,,517.00M,517.00M,342.00M,859.00M,,6.517B,10.80B,1.924B,12.72B,,,2.662B,,1.871B,17.25B,23.77B,,,,,,,,,9.26B,,AOR,
2020-09,2.388B,2.388B,4.658B,725.00M,5.236B,,,,688.00M,8.312B,,,,,4.861B,,4.861B,-2.113B,2.748B,15.03B,2.711B,17.74B,623.00M,1.428B,24.37B,32.68B,,2.662B,237.00M,318.00M,3.217B,,3.217B,,,1.216B,1.216B,335.00M,1.551B,,6.53B,11.53B,1.902B,13.43B,,,2.163B,161.00M,1.802B,17.40B,23.93B,,561.00M,15.90B,882.00M,3.606B,,,-5.148B,8.591B,,AOR,
2020-06,1.711B,1.711B,5.045B,746.00M,5.647B,,,,739.00M,8.097B,,,,,4.80B,,4.80B,-2.052B,2.748B,14.80B,2.761B,17.56B,618.00M,1.476B,24.07B,32.17B,,2.668B,,367.00M,3.035B,,3.035B,,,1.216B,1.216B,332.00M,1.548B,,5.928B,11.98B,1.902B,13.89B,,,2.197B,166.00M,1.765B,17.85B,23.78B,,561.00M,16.06B,814.00M,3.627B,,,-5.582B,8.226B,,AOR,
2020-03,1.48B,1.48B,5.028B,674.00M,5.558B,,,,711.00M,7.749B,,,,,4.747B,,4.747B,-2.012B,2.735B,14.41B,2.663B,17.08B,694.00M,1.519B,23.64B,31.39B,,2.611B,231.00M,256.00M,3.098B,,3.098B,193.00M,1.00B,1.216B,2.409B,334.00M,2.743B,,6.859B,11.23B,1.898B,13.13B,,,2.248B,156.00M,1.704B,17.08B,23.94B,,561.00M,15.49B,746.00M,3.655B,,,-5.847B,7.295B,,AOR,
2019-12,1.155B,1.155B,4.608B,768.00M,5.236B,,,,677.00M,7.068B,0.00,377.00M,,1.268B,1.921B,1.214B,4.78B,-2.001B,2.779B,14.67B,2.774B,17.44B,676.00M,1.757B,24.29B,31.36B,,2.746B,,179.00M,2.925B,,2.925B,,,1.215B,1.215B,342.00M,1.557B,,6.679B,10.74B,1.926B,12.67B,,,2.336B,150.00M,1.732B,16.74B,23.41B,,561.00M,15.20B,862.00M,3.774B,,,-5.055B,7.793B,,AOR,
2019-09,1.213B,1.213B,4.636B,701.00M,5.198B,,,,645.00M,7.056B,,,,,4.717B,,4.717B,-1.944B,2.773B,14.29B,2.869B,17.16B,603.00M,1.653B,24.04B,31.10B,,2.479B,232.00M,251.00M,2.962B,,2.962B,325.00M,,814.00M,1.139B,341.00M,1.48B,,6.204B,11.43B,1.957B,13.39B,,,1.998B,177.00M,1.712B,17.10B,23.30B,,561.00M,14.81B,796.00M,3.617B,,,-4.931B,7.62B,,AOR,Restated
2019-06,1.294B,1.294B,5.057B,638.00M,5.553B,,,,679.00M,7.526B,,,,,4.833B,,4.833B,-2.018B,2.815B,14.48B,3.083B,17.56B,628.00M,1.764B,24.59B,32.12B,,2.60B,232.00M,165.00M,2.997B,,2.997B,549.00M,,1.114B,1.663B,347.00M,2.01B,,6.382B,11.46B,1.981B,13.44B,,,2.044B,272.00M,1.913B,17.40B,23.78B,,561.00M,14.74B,736.00M,3.446B,,,-4.527B,8.065B,,AOR,Restated
2019-03,1.117B,1.117B,4.315B,431.00M,4.63B,,6.359B,,569.00M,12.68B,,,,,4.23B,,4.23B,-1.889B,2.341B,9.739B,1.464B,11.20B,680.00M,1.423B,17.46B,30.14B,,2.244B,211.00M,256.00M,2.711B,,2.711B,748.00M,,814.00M,1.562B,291.00M,1.853B,283.00M,5.739B,11.47B,1.59B,13.06B,,,1.874B,77.00M,1.476B,16.41B,22.15B,,561.00M,14.64B,681.00M,3.385B,,,-4.59B,7.909B,,AOR,Restated
2018-12,1.066B,1.066B,3.984B,445.00M,4.317B,,,,551.00M,5.934B,0.00,377.00M,,1.159B,,1.007B,2.543B,-1.842B,701.00M,9.599B,1.437B,11.04B,680.00M,1.539B,15.64B,21.58B,,2.234B,,157.00M,2.391B,,2.391B,,,314.00M,314.00M,0.00,314.00M,441.00M,4.924B,5.51B,0.00,5.51B,,,1.911B,73.00M,1.649B,9.07B,13.99B,,561.00M,14.35B,817.00M,3.567B,,,-4.647B,7.511B,,AOR,Restated
2018-09,951.00M,951.00M,4.077B,523.00M,4.476B,,,,539.00M,5.966B,,,,,,,2.57B,-1.863B,707.00M,9.435B,1.329B,10.76B,497.00M,1.381B,15.16B,21.13B,,2.293B,211.00M,179.00M,2.683B,,2.683B,75.00M,,563.00M,638.00M,,638.00M,,4.727B,5.512B,,5.512B,,,1.727B,85.00M,1.625B,8.864B,13.59B,,561.00M,14.20B,771.00M,3.587B,,,-4.488B,7.453B,,AOR,Restated
