,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,536.00M,,41.00M,-28.00M,13.00M,79.00M,43.00M,122.00M,122.00M,23.00M,,49.00M,-75.00M,-31.00M,,-148.00M,2.00M,0.00,286.00M,109.00M,,777.00M,,-77.00M,0.00,0.00,-119.00M,-12.00M,-1.00M,-209.00M,,-3.00M,-74.00M,-77.00M,16.00M,-250.00M,-234.00M,-194.00M,-194.00M,-21.00M,-526.00M,,1.168B,42.00M,-174.00M,1.036B,,16.00M,-74.00M,-3.00M,-250.00M,,AOR,Restated
2018-03,696.00M,,-65.00M,,-66.00M,80.00M,45.00M,125.00M,125.00M,11.00M,,50.00M,-101.00M,-357.00M,,196.00M,2.00M,0.00,-920.00M,-1.079B,,-364.00M,,-58.00M,1.00M,1.00M,-21.00M,9.00M,-1.00M,-70.00M,,589.00M,249.00M,838.00M,32.00M,-250.00M,-218.00M,-189.00M,-189.00M,-137.00M,294.00M,,1.205B,-140.00M,103.00M,1.168B,,32.00M,841.00M,-3.00M,-250.00M,,AOR,Restated
2017-12,30.00M,,20.00M,-12.00M,9.00M,78.00M,47.00M,125.00M,125.00M,344.00M,,38.00M,-114.00M,-206.00M,,36.00M,11.00M,,483.00M,324.00M,,756.00M,,-85.00M,4.00M,4.00M,-26.00M,8.00M,2.00M,-97.00M,,-2.00M,0.00,-2.00M,32.00M,-300.00M,-268.00M,-195.00M,-195.00M,-17.00M,-482.00M,,1.078B,177.00M,-50.00M,1.205B,,32.00M,0.00,-2.00M,-300.00M,,AOR,Restated
2017-09,397.00M,,-87.00M,2.00M,-85.00M,78.00M,42.00M,120.00M,120.00M,10.00M,,36.00M,-140.00M,70.00M,,-9.00M,4.00M,,391.00M,456.00M,,794.00M,,-73.00M,0.00,0.00,-217.00M,-33.00M,2.00M,-321.00M,,-57.00M,-100.00M,-157.00M,40.00M,-200.00M,-160.00M,-194.00M,-194.00M,-32.00M,-543.00M,,966.00M,-70.00M,182.00M,1.078B,,40.00M,-100.00M,-57.00M,-200.00M,,AOR,Restated
2017-06,507.00M,,-17.00M,-5.00M,-19.00M,76.00M,40.00M,116.00M,116.00M,17.00M,,33.00M,-101.00M,-172.00M,,-19.00M,25.00M,,355.00M,189.00M,,742.00M,,-82.00M,3.00M,3.00M,-1.00M,1.00M,2.00M,-77.00M,,-251.00M,0.00,-251.00M,21.00M,-200.00M,-179.00M,-176.00M,-176.00M,-75.00M,-681.00M,,930.00M,-16.00M,52.00M,966.00M,,21.00M,0.00,-251.00M,-200.00M,,AOR,Restated
2017-03,578.00M,,-12.00M,,-6.00M,80.00M,40.00M,120.00M,120.00M,25.00M,,42.00M,-126.00M,-146.00M,,116.00M,-43.00M,,-959.00M,-1.032B,,-399.00M,,-62.00M,1.00M,1.00M,-411.00M,11.00M,,-461.00M,,982.00M,100.00M,1.082B,73.00M,-200.00M,-127.00M,-175.00M,-175.00M,-83.00M,697.00M,,1.026B,-163.00M,67.00M,930.00M,,73.00M,1.087B,-5.00M,-200.00M,,AOR,Restated
2016-12,441.00M,1.00M,45.00M,-2.00M,47.00M,77.00M,31.00M,108.00M,108.00M,25.00M,,25.00M,-61.00M,8.00M,,-2.00M,11.00M,,293.00M,310.00M,,895.00M,,-79.00M,-1.00M,-1.00M,-725.00M,6.00M,1.00M,-798.00M,,-3.00M,50.00M,47.00M,34.00M,-175.00M,-141.00M,-178.00M,-178.00M,-12.00M,-284.00M,,1.388B,-187.00M,-175.00M,1.026B,,34.00M,50.00M,-3.00M,-175.00M,,AOR,Restated
2016-09,384.00M,0.00,11.00M,0.00,11.00M,77.00M,32.00M,109.00M,109.00M,-5.00M,,26.00M,-104.00M,118.00M,,25.00M,17.00M,,302.00M,462.00M,,883.00M,,-60.00M,4.00M,4.00M,-11.00M,0.00,-1.00M,-68.00M,,-3.00M,,-3.00M,23.00M,-215.00M,-192.00M,-178.00M,-178.00M,-34.00M,-407.00M,,974.00M,408.00M,6.00M,1.388B,,23.00M,0.00,-3.00M,-215.00M,,AOR,Restated
2016-06,480.00M,-12.00M,23.00M,-1.00M,11.00M,76.00M,34.00M,110.00M,110.00M,26.00M,,27.00M,-81.00M,-105.00M,,1.00M,-3.00M,,344.00M,237.00M,,810.00M,,-63.00M,0.00,0.00,-2.00M,-2.00M,3.00M,-64.00M,,-3.00M,-252.00M,-255.00M,39.00M,-210.00M,-171.00M,-165.00M,-165.00M,-30.00M,-621.00M,,918.00M,125.00M,-69.00M,974.00M,,39.00M,-252.00M,-3.00M,-210.00M,,AOR,Restated
2016-03,490.00M,,25.00M,3.00M,30.00M,78.00M,33.00M,111.00M,111.00M,22.00M,,31.00M,-66.00M,-175.00M,,10.00M,-34.00M,,-1.00B,-1.199B,,-581.00M,,-51.00M,1.00M,1.00M,-75.00M,-2.00M,1.00M,-126.00M,,344.00M,252.00M,596.00M,92.00M,-200.00M,-108.00M,-161.00M,-161.00M,-82.00M,245.00M,,1.374B,-462.00M,6.00M,918.00M,,92.00M,599.00M,-3.00M,-200.00M,,AOR,Restated
2015-12,381.00M,0.00,17.00M,1.00M,2.00M,81.00M,30.00M,111.00M,111.00M,-36.00M,,21.00M,-57.00M,66.00M,,17.00M,13.00M,,381.00M,477.00M,,899.00M,,-76.00M,0.00,0.00,-450.00M,-2.00M,6.00M,-522.00M,,-52.00M,0.00,-52.00M,45.00M,-75.00M,-30.00M,-164.00M,-164.00M,-21.00M,-267.00M,,1.33B,110.00M,-66.00M,1.374B,,45.00M,1.00M,-53.00M,-75.00M,,AOR,Restated
