,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-09,,-41.00M,-41.00M,,348.00M,348.00M,,,0.00,25.00M,265.00M,,,,,,-653.00M,621.00M,,-510.00M,,-510.00M,39.00M,28.00M,12.00M,-431.00M,,-60.00M,-280.00M,-340.00M,21.00M,0.00,21.00M,,-70.00M,4.00M,-385.00M,,736.00M,-195.00M,,541.00M,,21.00M,0.00,-60.00M,0.00,,,,AOR,Restated
2006-06,,-5.00M,-5.00M,,352.00M,352.00M,,,0.00,24.00M,-27.00M,,,,,,-636.00M,385.00M,,-478.00M,,-478.00M,186.00M,-105.00M,-7.00M,-404.00M,,-132.00M,460.00M,328.00M,38.00M,-653.00M,-615.00M,,-69.00M,658.00M,302.00M,,453.00M,283.00M,,736.00M,,38.00M,400.00M,-532.00M,-653.00M,,,,AOR,Restated
2006-03,,0.00,0.00,,345.00M,345.00M,,,,20.00M,347.00M,,,,,,-961.00M,347.00M,,-342.00M,,-342.00M,0.00,-45.00M,-4.00M,-391.00M,,370.00M,485.00M,855.00M,38.00M,,38.00M,,-62.00M,-670.00M,161.00M,,336.00M,117.00M,,453.00M,,38.00M,1.00B,-630.00M,,,,,AOR,Restated
2005-12,,-49.00M,-49.00M,,336.00M,336.00M,,,,,157.00M,,,,,,-757.00M,342.00M,,-544.00M,,-544.00M,237.00M,-105.00M,5.00M,-407.00M,,679.00M,475.00M,1.154B,62.00M,-1.856B,-1.794B,,-67.00M,158.00M,-549.00M,,950.00M,-614.00M,,336.00M,,62.00M,858.00M,-179.00M,-1.856B,,,,AOR,Restated
2005-09,,0.00,0.00,,337.00M,337.00M,,,,,268.00M,,,,,,-285.00M,938.00M,,-423.00M,,-423.00M,5.00M,-96.00M,-2.00M,-516.00M,,-80.00M,0.00,-80.00M,25.00M,0.00,25.00M,,-68.00M,-46.00M,-169.00M,,697.00M,253.00M,,950.00M,,25.00M,0.00,-80.00M,0.00,-191.00M,-308.00M,,AOR,Restated
2005-06,,-29.00M,-29.00M,,364.00M,364.00M,,,,,356.00M,,,,,,-393.00M,839.00M,,-337.00M,,-337.00M,-19.00M,-24.00M,8.00M,-372.00M,,-474.00M,-30.00M,-504.00M,545.00M,0.00,545.00M,,-67.00M,-46.00M,-72.00M,,302.00M,395.00M,,697.00M,,545.00M,0.00,-474.00M,0.00,106.00M,178.00M,,AOR,Restated
2005-03,,,,,337.00M,337.00M,,,,,784.00M,,,,,,-843.00M,852.00M,,-288.00M,,-288.00M,-29.00M,-86.00M,17.00M,-386.00M,,-6.00M,-670.00M,-676.00M,377.00M,,377.00M,,-56.00M,-67.00M,-422.00M,,258.00M,44.00M,,302.00M,,377.00M,0.00,-6.00M,,85.00M,130.00M,,AOR,Restated
2004-12,,,,,318.00M,318.00M,,,0.00,,315.00M,,,,,,-815.00M,444.00M,,-388.00M,,-388.00M,22.00M,-23.00M,-2.00M,-391.00M,,1.512B,700.00M,2.212B,72.00M,-2.509B,-2.437B,,-65.00M,-29.00M,-319.00M,,300.00M,-266.00M,,258.00M,,72.00M,1.981B,-469.00M,-2.509B,189.00M,158.00M,,AOR,Restated
2004-09,,,,,314.00M,314.00M,,,12.00M,,364.00M,,,,,,-322.00M,1.056B,,-338.00M,,-338.00M,-16.00M,-84.00M,0.00,-438.00M,,-42.00M,-350.00M,-392.00M,25.00M,-8.00M,17.00M,,-62.00M,-1.00M,-438.00M,,120.00M,180.00M,,300.00M,,25.00M,18.00M,-60.00M,-8.00M,32.00M,117.00M,,AOR,Restated
2004-06,,,,,315.00M,315.00M,,,,,267.00M,,,,,,-561.00M,682.00M,,-397.00M,,-397.00M,-12.00M,-13.00M,4.00M,-418.00M,,-48.00M,-30.00M,-78.00M,69.00M,-592.00M,-523.00M,,-62.00M,371.00M,-292.00M,,148.00M,-28.00M,,120.00M,,69.00M,0.00,-48.00M,-592.00M,33.00M,155.00M,,AOR,Restated
2004-03,,,,,303.00M,303.00M,,,,,747.00M,,,,,,-972.00M,772.00M,,-390.00M,,-390.00M,10.00M,-58.00M,-3.00M,-441.00M,,166.00M,-130.00M,36.00M,58.00M,,58.00M,,-10.00M,-382.00M,-298.00M,,115.00M,33.00M,,148.00M,,58.00M,501.00M,-335.00M,,140.00M,103.00M,,AOR,Restated
2003-12,317.00M,,,,290.00M,290.00M,,,,,858.00M,,,-24.00M,,1.698B,-659.00M,806.00M,,-520.00M,,-520.00M,-2.00M,-62.00M,20.00M,-564.00M,,561.00M,-655.00M,-94.00M,79.00M,-363.00M,-284.00M,,-9.00M,78.00M,-309.00M,,182.00M,-67.00M,,115.00M,,79.00M,604.00M,-43.00M,-363.00M,,,,AOR,
2003-09,306.00M,,,,283.00M,283.00M,,,,,121.00M,,,238.00M,,-663.00M,-425.00M,285.00M,,-398.00M,,-398.00M,20.00M,-126.00M,3.00M,-501.00M,,145.00M,260.00M,405.00M,35.00M,-209.00M,-174.00M,,-10.00M,-7.00M,214.00M,,184.00M,-2.00M,,182.00M,,35.00M,511.00M,-366.00M,-209.00M,,,,AOR,Restated
2003-06,240.00M,,,,278.00M,278.00M,,,,,169.00M,,,-309.00M,,-58.00M,-367.00M,320.00M,,-456.00M,,-456.00M,-869.00M,-36.00M,8.00M,-1.353B,,-31.00M,530.00M,499.00M,33.00M,-394.00M,-361.00M,,-10.00M,-1.00M,127.00M,,1.09B,-906.00M,,184.00M,,33.00M,0.00,-31.00M,-394.00M,,,,AOR,Restated
2003-03,469.00M,,,,261.00M,261.00M,,,,,710.00M,,,292.00M,,-977.00M,-685.00M,755.00M,,-464.00M,,-464.00M,106.00M,-74.00M,-12.00M,-444.00M,,488.00M,275.00M,763.00M,18.00M,-148.00M,-130.00M,,-10.00M,-5.00M,618.00M,,161.00M,929.00M,,1.09B,,18.00M,509.00M,-21.00M,-148.00M,,,,AOR,Restated
2002-12,-102.00M,,,,258.00M,258.00M,,,,,1.066B,,,276.00M,,1.241B,-436.00M,786.00M,,-478.00M,,-478.00M,129.00M,38.00M,-62.00M,-373.00M,,-26.00M,,-681.00M,46.00M,400.00M,446.00M,,-10.00M,-145.00M,-390.00M,,138.00M,23.00M,,161.00M,,46.00M,0.00,-26.00M,400.00M,,,,AOR,
2002-09,200.00M,,,,253.00M,253.00M,,,,,545.00M,,,-71.00M,,-187.00M,-258.00M,740.00M,,-411.00M,,-411.00M,-35.00M,-61.00M,22.00M,-485.00M,,-220.00M,,-220.00M,13.00M,-282.00M,-269.00M,,-10.00M,331.00M,-168.00M,,51.00M,87.00M,,138.00M,,13.00M,500.00M,-720.00M,-282.00M,,,,AOR,
2002-06,350.00M,,,,255.00M,255.00M,,,,,290.00M,,,-139.00M,,-141.00M,-280.00M,615.00M,,-451.00M,-28.00M,-479.00M,-77.00M,-15.00M,33.00M,-538.00M,,435.00M,,435.00M,140.00M,-400.00M,-260.00M,,-10.00M,-253.00M,-88.00M,,62.00M,-11.00M,,51.00M,,140.00M,505.00M,-70.00M,-400.00M,,,,AOR,
2002-03,385.00M,,,,244.00M,244.00M,,,,,637.00M,,,256.00M,,-913.00M,-657.00M,609.00M,,-378.00M,28.00M,-350.00M,-6.00M,11.00M,1.00M,-344.00M,,0.00,,0.00,68.00M,0.00,68.00M,,-10.00M,-346.00M,-288.00M,,85.00M,-23.00M,,62.00M,,68.00M,0.00,0.00,0.00,,,,AOR,
2001-12,41.00M,,,,274.00M,274.00M,,,,,709.00M,,,-291.00M,,1.501B,-432.00M,592.00M,,-408.00M,,-408.00M,374.00M,-19.00M,-469.00M,-522.00M,,-317.00M,,238.00M,26.00M,-250.00M,-224.00M,,-10.00M,-63.00M,-59.00M,,74.00M,11.00M,,85.00M,,26.00M,0.00,-317.00M,-250.00M,,,,AOR,
2001-09,256.00M,,,,255.00M,255.00M,,,,,-320.00M,,,163.00M,,-517.00M,-354.00M,-163.00M,,-371.00M,,-371.00M,0.00,74.00M,353.00M,56.00M,,-160.00M,,-160.00M,53.00M,-511.00M,-458.00M,,-10.00M,685.00M,57.00M,,124.00M,-50.00M,,74.00M,,53.00M,0.00,-160.00M,-511.00M,,,,AOR,Restated
2001-06,263.00M,,,,262.00M,262.00M,,,,,138.00M,,,-183.00M,,66.00M,-117.00M,546.00M,,-318.00M,-67.00M,-385.00M,-94.00M,-181.00M,68.00M,-592.00M,,696.00M,,696.00M,134.00M,-527.00M,-393.00M,,-11.00M,-310.00M,-18.00M,,188.00M,-64.00M,,124.00M,,134.00M,1.25B,-554.00M,-527.00M,,,,AOR,Restated
2001-03,326.00M,,,,257.00M,257.00M,,,,,549.00M,,,356.00M,,-1.05B,-694.00M,438.00M,,-273.00M,67.00M,-206.00M,0.00,-41.00M,5.00M,-242.00M,,-166.00M,,-166.00M,,-218.00M,-218.00M,,-11.00M,73.00M,-322.00M,,314.00M,-126.00M,,188.00M,,,500.00M,-666.00M,-218.00M,,,,AOR,
2000-12,-198.00M,,,,255.00M,255.00M,,,,,-931.00M,,,281.00M,,1.026B,1.307B,433.00M,,860.00M,-295.00M,565.00M,338.00M,78.00M,-1.085B,-104.00M,,-1.026B,,-1.026B,,400.00M,400.00M,,34.00M,397.00M,-195.00M,,180.00M,10.00M,,,,,-2.736B,1.71B,400.00M,,,,AOR,Restated
2000-09,174.00M,,,,257.00M,257.00M,,,,,376.00M,,,1.00M,,-387.00M,-386.00M,421.00M,,-274.00M,32.00M,-242.00M,-48.00M,18.00M,74.00M,-198.00M,,578.00M,,578.00M,,-145.00M,-145.00M,,-12.00M,-756.00M,-335.00M,,292.00M,-112.00M,,180.00M,,,1.428B,-850.00M,-145.00M,,,,AOR,
2000-06,-272.00M,,,,265.00M,265.00M,,,,,591.00M,,,-445.00M,,125.00M,-320.00M,264.00M,,-314.00M,225.00M,-89.00M,-272.00M,-74.00M,-50.00M,-485.00M,,-145.00M,,-145.00M,,-13.00M,-13.00M,,-11.00M,549.00M,380.00M,,133.00M,159.00M,,292.00M,,,108.00M,-253.00M,-13.00M,,,,AOR,
2000-03,296.00M,,,,256.00M,256.00M,,,,,478.00M,,,163.00M,,-764.00M,-601.00M,429.00M,,-272.00M,38.00M,-234.00M,-18.00M,-22.00M,-26.00M,-300.00M,,593.00M,,593.00M,,-242.00M,-242.00M,,-11.00M,-526.00M,-186.00M,,190.00M,-57.00M,,133.00M,,,1.20B,-607.00M,-242.00M,,,,AOR,
1999-12,-566.00M,,-771.00M,836.00M,1.93B,1.93B,,,,,-1.563B,,,,,1.387B,1.387B,417.00M,,936.00M,-1.546B,-610.00M,,-557.00M,908.00M,-259.00M,,,,,,,,,35.00M,-127.00M,-92.00M,,124.00M,173.00M,,,,,,,,,,,AOR,Restated
1999-09,138.00M,,201.00M,-262.00M,-262.00M,-262.00M,41.00M,,,,1.674B,,,,,-1.387B,-1.387B,405.00M,,-246.00M,922.00M,676.00M,,9.00M,-883.00M,-198.00M,,,,,,,,,-11.00M,-155.00M,-166.00M,,83.00M,41.00M,,124.00M,,,,,,,,,,
1999-06,106.00M,,375.00M,-278.00M,-278.00M,-278.00M,-372.00M,,,,258.00M,,,,,,,89.00M,,-389.00M,118.00M,-271.00M,,7.00M,836.00M,572.00M,,,,,,,,,-11.00M,-1.153B,-1.164B,,586.00M,-503.00M,,83.00M,,,,,,,,,,
1999-03,322.00M,,195.00M,-296.00M,-296.00M,-296.00M,331.00M,,,,-240.00M,,,,,,,312.00M,,-301.00M,506.00M,205.00M,,541.00M,64.00M,810.00M,,,,,,,,,-13.00M,-820.00M,-833.00M,,297.00M,289.00M,,586.00M,,,,,,,,,,
1998-12,-421.00M,,-1.615B,932.00M,932.00M,932.00M,,,,,-1.879B,,,,,1.416B,1.416B,349.00M,,1.085B,-1.57B,-485.00M,,269.00M,158.00M,-58.00M,,,,,,,,,39.00M,-208.00M,-169.00M,,175.00M,-65.00M,,,,,,,,,,,AOR,Restated
1998-09,146.00M,,1.126B,-312.00M,-312.00M,-312.00M,,,,,1.016B,,,,,-1.416B,-1.416B,560.00M,,-303.00M,885.00M,582.00M,,-162.00M,697.00M,1.117B,,,,,,,,,-13.00M,-1.514B,-1.527B,,,65.00M,,175.00M,,,,,,,,,,
1998-06,78.00M,,124.00M,-311.00M,-311.00M,-311.00M,-501.00M,,,,929.00M,,,,,,,319.00M,,-400.00M,642.00M,242.00M,,-68.00M,14.00M,188.00M,,,,,,,,,-13.00M,-597.00M,-610.00M,,128.00M,-18.00M,,,,,,,,,,,,
1998-03,197.00M,,365.00M,-309.00M,-309.00M,-309.00M,501.00M,,,,-66.00M,,,,,,,688.00M,,-382.00M,43.00M,-339.00M,,-39.00M,101.00M,-277.00M,,,,,,,,,-13.00M,-380.00M,-393.00M,,110.00M,18.00M,,128.00M,,,,,,,,,,
1997-12,-862.00M,,,923.00M,2.161B,2.161B,,,,,410.00M,,,,,,,-94.00M,,-315.00M,18.00M,-297.00M,,-74.00M,715.00M,-67.00M,,,,,,,,,40.00M,-1.099B,243.00M,,,,,110.00M,,,,,,,,,AOR,
1997-09,97.00M,,,-310.00M,-310.00M,-310.00M,,,,,944.00M,,,,,,,731.00M,,-408.00M,10.00M,-398.00M,,,-1.527B,-1.925B,,,,,,,,,-13.00M,1.126B,1.113B,,,,,,,,,,,,,,,
1997-06,412.00M,,-273.00M,-317.00M,-317.00M,-317.00M,,,,,455.00M,,,,,,,277.00M,,-338.00M,9.00M,-329.00M,,94.00M,-246.00M,-481.00M,,,,,,,,,-13.00M,309.00M,296.00M,,,,,,,,,,,,,,,
1997-03,479.00M,,273.00M,-296.00M,-296.00M,-296.00M,,,,,113.00M,,,,,,,569.00M,,-361.00M,175.00M,-186.00M,,-94.00M,7.00M,-273.00M,,,,,,,,,-14.00M,-378.00M,-392.00M,,113.00M,,,,,,,,,,,,,
1996-12,414.00M,,1.089B,-294.00M,-294.00M,-294.00M,17.00M,,,,698.00M,,,,,,,681.00M,,-1.073B,,-907.00M,,,604.00M,-487.00M,,,,,,,,,-14.00M,-77.00M,-91.00M,,,,,,,,,,,,,,,
1996-09,311.00M,,32.00M,-302.00M,-302.00M,-302.00M,-48.00M,,,,863.00M,,,,,,,856.00M,,-367.00M,,-367.00M,,,-106.00M,-473.00M,,,,,,,,,-13.00M,-372.00M,-385.00M,,,,,,,,,,,,,,,
1996-06,364.00M,,21.00M,-279.00M,-279.00M,-279.00M,82.00M,,,,282.00M,,,,,,,470.00M,,-314.00M,,-314.00M,,,-161.00M,-475.00M,,,,,,,,,-14.00M,-74.00M,-88.00M,,,,,,,,,,,,,,,
1996-03,416.00M,,10.00M,-268.00M,-268.00M,-268.00M,-19.00M,,,,443.00M,,,,,,,582.00M,,-385.00M,,-385.00M,,,-399.00M,-784.00M,,,,,,,,,-13.00M,88.00M,75.00M,,232.00M,,,,,,,,,,,,,
1995-12,354.00M,,783.00M,-246.00M,-246.00M,-246.00M,34.00M,,,,851.00M,-1.068B,-157.00M,,120.00M,,-1.028B,748.00M,,-1.927B,93.00M,-1.834B,,,745.00M,-1.475B,,,,,,,,,-16.00M,900.00M,884.00M,,,,,,,,,,,,,,AOR,
1995-09,274.00M,,163.00M,-251.00M,-251.00M,-251.00M,238.00M,,,,-25.00M,16.00M,57.00M,,179.00M,,252.00M,651.00M,,-432.00M,81.00M,-351.00M,,,-447.00M,-798.00M,,,,,,,,,-10.00M,105.00M,95.00M,,,,,,,,,,,,,,,
1995-06,144.00M,,291.00M,-302.00M,-302.00M,-302.00M,-244.00M,,,,744.00M,131.00M,-27.00M,,-291.00M,,-187.00M,446.00M,,-46.00M,151.00M,105.00M,,,-654.00M,-549.00M,,,,,,,,,-14.00M,76.00M,62.00M,,,,,,,,,,,,,,,
1995-03,292.00M,,,-177.00M,-177.00M,-177.00M,-13.00M,,,,382.00M,-147.00M,-30.00M,,112.00M,,-65.00M,419.00M,,-586.00M,9.00M,-577.00M,,,-211.00M,-788.00M,,,,,,,,,-10.00M,479.00M,469.00M,,13.00M,,,,,,,,,,,,,
1994-12,299.00M,,,440.00M,1.049B,1.049B,49.00M,,,,-943.00M,-123.00M,54.00M,,119.00M,,-138.00M,316.00M,,-282.00M,-78.00M,-360.00M,,,105.00M,-481.00M,,,,,,,,,-11.00M,294.00M,153.00M,,,,,13.00M,,,,,,,,,AOR,
1994-09,176.00M,,,-152.00M,-152.00M,-152.00M,-4.00M,,,,465.00M,-34.00M,-2.00M,,-156.00M,,-192.00M,293.00M,,-253.00M,12.00M,-241.00M,,,38.00M,-203.00M,,,,,,,,,-10.00M,-148.00M,-158.00M,,,,,,,,,,,,,,,
1994-06,205.00M,,,-144.00M,-144.00M,-144.00M,-20.00M,,,,303.00M,101.00M,1.00M,,-121.00M,,-19.00M,325.00M,,-226.00M,4.00M,-222.00M,,,-90.00M,-312.00M,,,,,,,,,-10.00M,-19.00M,-29.00M,,,,,,,,,,,,,,,
1994-03,137.00M,,,-144.00M,-144.00M,-144.00M,-64.00M,,,,368.00M,-35.00M,-53.00M,,158.00M,,70.00M,367.00M,,-214.00M,62.00M,-152.00M,,,-190.00M,-342.00M,,,,,,,,,-5.00M,-135.00M,-140.00M,,224.00M,,,,,,,,,,,,,
1993-12,460.00M,,,-377.00M,-377.00M,-377.00M,16.00M,,,,625.00M,-2.00M,-21.00M,,161.00M,,138.00M,862.00M,,-556.00M,-127.00M,-683.00M,,,179.00M,-504.00M,,,,,,,,,-4.00M,-315.00M,-319.00M,,,,,,,,,,,,,,,
1993-09,110.90M,,,-191.20M,-191.20M,-191.20M,-44.00M,,,,561.40M,37.70M,17.70M,5.10M,-94.00M,,-33.50M,403.60M,,-236.00M,70.40M,-165.60M,,55.60M,0.10M,-109.90M,,,,,,,,,-32.00M,-261.80M,-293.80M,,,,,,,,,,,,,,,
1993-06,9.70M,,,-15.60M,-15.60M,-15.60M,,,,,34.80M,0.80M,-2.70M,3.30M,,,1.40M,30.30M,,-15.90M,36.00M,20.10M,,-39.40M,-3.50M,-22.80M,,,,,,,,,-1.00M,5.80M,4.80M,,,,,,,,,,,,,,,
1993-03,10.40M,,,-15.20M,-15.20M,-15.20M,,,,,33.80M,-17.50M,-1.00M,-8.40M,,,-26.90M,2.10M,,-28.10M,20.60M,-7.50M,,-16.20M,-76.60M,-100.30M,,,,,,,,,-3.00M,57.00M,54.00M,,61.90M,,,,,,,,,,,,,
1992-12,9.90M,,,-11.80M,-11.80M,-11.80M,,,,,24.60M,-14.90M,-18.20M,38.30M,,,5.20M,27.90M,,-32.80M,37.10M,4.30M,,-22.60M,14.40M,-3.90M,,,,,,,,,-1.10M,-1.20M,-2.30M,,,,,,,,,,,,,,,
1992-09,5.30M,,,-9.60M,-9.60M,-9.60M,,,,,21.60M,-9.10M,9.80M,-4.50M,,,-3.80M,13.50M,,-34.90M,68.90M,34.00M,,-75.20M,-3.40M,-44.60M,,,,,,,,,-0.80M,54.40M,53.60M,,,,,,,,,,,,,,,
1992-06,5.70M,,,-8.60M,-8.60M,-8.60M,,,,,20.10M,-0.90M,-1.30M,6.00M,,,3.80M,21.00M,,-16.00M,68.00M,52.00M,,-42.20M,-58.70M,-48.90M,,,,,,,,,-1.20M,20.20M,19.00M,,,,,,,,,,,,,,,
1992-03,5.00M,,,-8.30M,-8.30M,-8.30M,,,,,19.80M,-4.40M,0.10M,-7.80M,,,-12.10M,4.40M,,-19.70M,22.10M,2.40M,,-37.00M,0.20M,-34.40M,,,,,,,,,-0.90M,46.70M,45.80M,,10.80M,,,,,,,,,,,,,
1991-12,4.10M,,,-6.30M,-6.30M,-6.30M,1.60M,,,,15.00M,-10.20M,-0.60M,6.30M,,,-4.50M,9.90M,,-13.80M,85.90M,72.10M,,-61.60M,-10.10M,0.40M,,,,,,,,,-0.30M,-10.10M,-10.40M,,,,,,,,,,,,,,,
1991-09,4.10M,,,-6.30M,-6.30M,-6.30M,-0.40M,,,,14.70M,-8.20M,-1.30M,3.50M,,,-6.00M,6.10M,,-17.20M,42.40M,25.20M,,-32.90M,-22.70M,-30.40M,,,,,,,,,-0.80M,30.20M,29.40M,,,,,,,,,,,,,,,
1991-06,3.50M,,,-5.00M,-5.00M,-5.00M,0.60M,,,,12.60M,-5.30M,-2.50M,0.50M,,,-7.30M,4.40M,,-8.40M,74.30M,65.90M,,-119.20M,-27.10M,-80.40M,,,,,,,,,-1.90M,57.90M,56.00M,,,,,,,,,,,,,,,
1991-03,3.50M,,,-4.90M,-4.90M,-4.90M,-0.20M,,,,12.30M,-7.40M,1.60M,0.50M,,,-5.30M,5.40M,,-6.40M,1.60M,-4.80M,,-1.40M,0.20M,-6.00M,,,,,,,,,-0.50M,24.90M,24.40M,,2.00M,,,,,,,,,,,,,
