,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,966.00M,-9.00M,-9.00M,,562.00M,562.00M,-128.00M,,,74.00M,34.00M,-229.00M,18.00M,294.00M,,,83.00M,1.582B,,-880.00M,,-880.00M,-127.00M,12.00M,15.00M,-980.00M,,-111.00M,,-111.00M,,-470.00M,-470.00M,-122.00M,-122.00M,-94.00M,-797.00M,,1.086B,-195.00M,-23.00M,868.00M,,,-60.00M,-51.00M,-470.00M,400.00M,324.00M,,AOR,Restated
2018-03,1.282B,-405.00M,-405.00M,,553.00M,553.00M,246.00M,,,60.00M,32.00M,-4.00M,-218.00M,-263.00M,,,-485.00M,1.283B,,-694.00M,,-694.00M,388.00M,11.00M,-40.00M,-335.00M,,220.00M,,220.00M,,-423.00M,-423.00M,-123.00M,-123.00M,-285.00M,-611.00M,,732.00M,337.00M,17.00M,1.086B,,,270.00M,-50.00M,-423.00M,11.00M,549.00M,,AOR,Restated
2017-12,641.00M,2.00M,2.00M,,550.00M,550.00M,442.00M,,,75.00M,31.00M,-531.00M,-19.00M,543.00M,,,-7.00M,1.734B,,-982.00M,,-982.00M,-69.00M,-58.00M,2.00M,-1.107B,,57.00M,,57.00M,,-576.00M,-576.00M,0.00,0.00,-94.00M,-613.00M,,718.00M,14.00M,0.00,732.00M,,,110.00M,-53.00M,-576.00M,294.00M,317.00M,,AOR,Restated
2017-09,530.00M,-7.00M,32.00M,,539.00M,539.00M,-276.00M,,,55.00M,22.00M,-151.00M,128.00M,129.00M,,,106.00M,1.008B,,-729.00M,,-729.00M,-837.00M,-4.00M,-11.00M,-1.581B,,1.205B,,1.205B,,-509.00M,-509.00M,0.00,0.00,-110.00M,586.00M,,705.00M,13.00M,0.00,718.00M,,,1.81B,-605.00M,-509.00M,524.00M,549.00M,,AOR,Restated
2017-06,795.00M,-2.00M,-2.00M,,521.00M,521.00M,-25.00M,,,67.00M,23.00M,-87.00M,-181.00M,293.00M,,,25.00M,1.404B,,-733.00M,,-733.00M,-195.00M,8.00M,-2.00M,-922.00M,,130.00M,,130.00M,,-542.00M,-542.00M,0.00,0.00,-118.00M,-530.00M,,753.00M,-48.00M,0.00,705.00M,,,182.00M,-52.00M,-542.00M,390.00M,294.00M,,AOR,Restated
2017-03,777.00M,-1.00M,-1.00M,,521.00M,521.00M,292.00M,,,73.00M,38.00M,168.00M,3.00M,-591.00M,,,-420.00M,1.28B,,-571.00M,,-571.00M,-86.00M,-19.00M,7.00M,-669.00M,,117.00M,,117.00M,,-424.00M,-424.00M,0.00,0.00,-197.00M,-504.00M,,646.00M,107.00M,,753.00M,,,160.00M,-43.00M,-424.00M,-3.00M,540.00M,,AOR,Restated
2016-12,1.085B,-15.00M,-15.00M,,503.00M,503.00M,115.00M,,,55.00M,-240.00M,2.054B,49.00M,485.00M,,-2.392B,196.00M,1.699B,,-876.00M,,-876.00M,-105.00M,-14.00M,-11.00M,-1.006B,,-91.00M,,-91.00M,,-538.00M,-538.00M,,,-95.00M,-724.00M,,677.00M,-31.00M,,646.00M,,,-110.00M,19.00M,-538.00M,365.00M,327.00M,,AOR,Restated
2016-09,745.00M,-3.00M,1.00M,,495.00M,495.00M,-59.00M,,,67.00M,21.00M,-680.00M,15.00M,-239.00M,,840.00M,-64.00M,1.206B,,-712.00M,,-712.00M,-29.00M,60.00M,2.00M,-679.00M,,-29.00M,,-29.00M,,-355.00M,-355.00M,,,-157.00M,-541.00M,,691.00M,-14.00M,,677.00M,,,2.40B,-2.429B,-355.00M,332.00M,572.00M,,AOR,Restated
2016-06,791.00M,-6.00M,-6.00M,,489.00M,489.00M,-293.00M,,,64.00M,38.00M,-575.00M,-190.00M,269.00M,,762.00M,266.00M,1.349B,,-663.00M,,-663.00M,-411.00M,7.00M,8.00M,-1.059B,,876.00M,,876.00M,,-1.237B,-1.237B,,,-90.00M,-451.00M,,852.00M,-161.00M,,691.00M,,,930.00M,-54.00M,-1.237B,482.00M,1.257B,,AOR,Restated
2016-03,811.00M,1.00M,1.00M,,479.00M,479.00M,360.00M,,,65.00M,39.00M,-789.00M,14.00M,-371.00M,,790.00M,-356.00M,1.399B,,-509.00M,,-509.00M,-5.00M,11.00M,7.00M,-496.00M,,59.00M,,59.00M,,-621.00M,-621.00M,,,-230.00M,-792.00M,,741.00M,111.00M,,852.00M,,,2.07B,-2.011B,-621.00M,76.00M,-490.00M,,AOR,Restated
