,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.748B,1.748B,1.090B,658.73M,381.83M,-0.557M,27.72M,0.96M,-26.76M,381.83M,276.90M,0.96M,27.72M,-26.76M,0.863M,-26.76M,251.00M,50.70M,200.30M,,,200.30M,200.74M,348.21M,69.49M,278.72M,1.39,,,1.393,1.39,1.38,,,1.383,1.38,144.03M,145.29M,0.495
2020-06,1.499B,1.499B,947.58M,551.60M,366.74M,-0.781M,28.71M,0.728M,-27.98M,366.74M,184.86M,0.728M,28.71M,-27.98M,-0.046M,-27.98M,156.83M,32.06M,124.77M,,,124.77M,125.39M,253.14M,67.60M,185.54M,0.87,,,0.8743,0.87,0.86,,,0.8643,0.86,143.96M,145.00M,0.49
2020-03,1.656B,1.656B,1.044B,612.24M,386.94M,6.551M,27.27M,1.183M,-26.08M,386.94M,225.30M,1.183M,27.27M,-26.08M,14.28M,-26.08M,213.50M,37.22M,176.28M,,,176.28M,170.87M,309.52M,68.75M,240.77M,1.22,,,1.182,1.22,1.21,,,1.173,1.21,144.26M,145.78M,0.49
2019-12,1.776B,1.776B,1.124B,651.32M,403.22M,-23.54M,30.85M,1.428M,-29.42M,403.22M,248.09M,1.428M,30.85M,-29.42M,-21.65M,-29.42M,197.02M,28.90M,168.12M,,,168.12M,188.21M,297.86M,69.99M,227.87M,1.16,0.0,,1.2990000000000002,1.16,1.15,0.0,,1.287,1.15,144.96M,146.81M,0.49
2019-09,1.825B,1.825B,1.152B,673.49M,390.78M,0.00,31.41M,1.263M,-30.15M,390.78M,282.71M,1.263M,31.41M,-30.15M,5.364M,-30.15M,257.93M,51.92M,206.01M,,,206.01M,206.01M,356.13M,66.79M,289.34M,1.42,,,1.42,1.42,1.4,,,1.4,1.4,145.37M,147.05M,0.49
2019-06,1.811B,1.811B,1.138B,672.59M,396.63M,0.00,31.75M,0.945M,-30.81M,396.63M,275.96M,0.945M,31.75M,-30.81M,4.589M,-30.81M,249.74M,51.65M,198.08M,,,198.08M,198.08M,349.26M,67.77M,281.49M,1.36,,,1.36,1.36,1.35,,,1.35,1.35,145.37M,147.18M,0.48
2019-03,1.725B,1.725B,1.101B,623.54M,408.47M,-46.95M,31.81M,0.89M,-30.92M,408.47M,215.08M,0.89M,31.81M,-30.92M,-45.84M,-30.92M,138.32M,32.61M,105.70M,,,105.70M,141.57M,237.86M,67.74M,170.13M,0.73,,,0.9772,0.73,0.72,,,0.9641,0.72,145.09M,146.91M,0.48
2018-12,1.809B,1.809B,1.164B,644.97M,426.20M,0.00,32.02M,2.201M,-29.81M,426.20M,218.77M,2.201M,32.02M,-29.81M,-2.284M,-29.81M,186.68M,28.70M,157.98M,-16.41M,,141.57M,157.98M,295.25M,76.56M,218.69M,1.08,-0.11,,1.08,0.97,1.07,-0.11,,1.07,0.96,145.96M,148.24M,0.48
2018-09,1.747B,1.747B,1.101B,646.52M,426.44M,0.00,31.19M,2.06M,-29.13M,426.44M,220.08M,2.06M,31.19M,-29.13M,2.073M,-29.13M,193.02M,35.71M,157.30M,0.00,,157.30M,157.30M,292.30M,68.09M,224.21M,1.07,0.0,,1.07,1.07,1.05,0.0,,1.05,1.05,147.34M,149.46M,0.48
2018-06,1.798B,1.798B,1.133B,665.24M,428.78M,0.00,32.12M,2.563M,-29.56M,428.78M,236.46M,2.563M,32.12M,-29.56M,4.538M,-29.56M,211.44M,44.98M,166.46M,-26.50M,,139.96M,166.46M,312.86M,69.30M,243.56M,1.1,-0.17,,1.1,0.92,1.08,-0.17,,1.08,0.91,151.74M,153.94M,0.47
