,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,1.587B,8.912B,10.50B,10.01B,,,,14.01B,760.00M,5.014B,3.521B,,9.295B,,11.41B,,2.52B,47.74B,,,,,,,31.04B,-16.64B,14.40B,59.90B,30.93B,90.83B,19.01B,,2.649B,4.355B,131.24B,178.98B,,4.141B,2.112B,1.43B,7.683B,,7.683B,10.99B,2.374B,13.36B,13.36B,,,10.68B,34.15B,48.16B,48.16B,4.542B,4.542B,6.437B,1.621B,236.00M,6.85B,79.33B,113.49B,,470.00M,100.28B,88.16B,110.98B,,,,-12.68B,65.26B,,AOR,
2020-06,1.801B,9.581B,11.38B,9.128B,,,,12.55B,752.00M,4.81B,3.002B,,8.564B,,11.41B,,2.512B,46.42B,,,,,,,31.00B,-16.89B,14.11B,58.45B,33.54B,91.99B,18.72B,,2.36B,4.327B,131.51B,177.93B,,3.872B,2.111B,1.445B,7.428B,,7.428B,10.66B,2.423B,13.08B,13.08B,,,10.17B,32.72B,50.53B,50.53B,5.409B,5.409B,6.43B,,228.00M,6.811B,80.65B,113.37B,,470.00M,100.20B,87.89B,110.98B,,,,-13.25B,64.34B,,AOR,
2020-03,2.151B,8.199B,10.35B,9.881B,,,,13.23B,757.00M,4.962B,2.703B,1.00M,8.423B,,,,2.738B,34.74B,,,,,,,30.97B,-16.93B,14.04B,58.50B,34.46B,92.97B,18.22B,,2.207B,4.166B,131.60B,166.34B,,3.972B,0.00,1.15B,5.122B,,5.122B,14.91B,1.096B,16.00B,16.00B,,,10.52B,33.89B,36.28B,36.28B,5.268B,5.268B,6.535B,,312.00M,6.812B,67.11B,101.00B,,487.00M,101.00B,87.68B,111.01B,17.00M,,,-13.13B,65.03B,,AOR,
2019-12,1.305B,8.525B,9.83B,8.724B,,,,12.07B,790.00M,4.743B,2.75B,,8.283B,,,,2.601B,32.80B,0.00,516.00M,10.07B,17.21B,1.00M,2.96B,30.76B,-16.79B,13.97B,58.65B,35.37B,94.02B,20.15B,,2.099B,4.45B,134.68B,167.49B,,4.22B,2.104B,980.00M,7.304B,,7.304B,13.92B,2.275B,16.19B,16.19B,,,11.09B,37.30B,35.96B,35.96B,5.578B,5.578B,6.762B,,303.00M,6.317B,66.74B,104.04B,,485.00M,97.67B,87.43B,110.80B,17.00M,,,-11.64B,63.14B,,AOR,
2019-09,2.785B,6.302B,9.087B,9.439B,,,,13.17B,762.00M,4.866B,2.594B,,8.222B,,,,2.952B,33.46B,,,,,,,30.43B,-16.73B,13.70B,58.66B,39.00B,97.66B,18.72B,,1.984B,4.92B,136.99B,170.45B,,3.942B,1.992B,1.892B,7.826B,,7.826B,12.91B,3.696B,16.61B,16.61B,,,10.17B,36.97B,36.04B,36.04B,6.724B,6.724B,6.424B,,293.00M,6.38B,68.08B,105.05B,,486.00M,100.11B,87.10B,110.80B,18.00M,,,-11.80B,65.10B,,AOR,Restated
2019-06,1.784B,11.13B,12.91B,9.793B,,,,13.52B,490.00M,5.249B,2.494B,,8.233B,,,,2.535B,47.07B,,,,,,,29.91B,-16.39B,13.52B,53.35B,33.02B,86.38B,2.905B,,1.935B,4.388B,109.13B,156.20B,,4.002B,1.991B,1.536B,7.529B,,7.529B,6.705B,3.801B,10.51B,10.51B,,,12.12B,32.03B,36.17B,36.17B,3.18B,3.18B,6.292B,,357.00M,6.184B,64.24B,96.28B,,486.00M,94.44B,86.96B,110.79B,18.00M,,,-11.54B,59.57B,,AOR,Restated
2019-03,1.937B,9.682B,11.62B,9.599B,,,,13.20B,560.00M,5.182B,2.287B,,8.029B,,,,2.568B,45.29B,,,,,,,29.62B,-16.16B,13.47B,53.49B,34.04B,87.53B,2.859B,,1.946B,4.333B,110.13B,155.42B,,4.156B,0.00,1.849B,6.005B,,6.005B,3.947B,5.464B,9.411B,9.411B,,,12.21B,29.42B,35.73B,35.73B,3.591B,3.591B,6.457B,,352.00M,6.347B,66.84B,96.26B,,487.00M,93.39B,86.64B,110.78B,19.00M,,,-10.92B,58.81B,,AOR,Restated
2018-12,1.139B,17.69B,18.83B,8.025B,,,,11.40B,546.00M,4.701B,2.262B,-1.00M,7.508B,,,,2.461B,49.93B,0.00,500.00M,9.92B,16.56B,1.00M,2.992B,29.98B,-16.59B,13.38B,53.41B,35.21B,88.62B,2.767B,,1.924B,2.799B,109.50B,159.42B,,4.674B,2.047B,1.265B,7.986B,,7.986B,3.10B,5.736B,8.836B,8.836B,,,12.64B,31.86B,32.91B,32.91B,3.70B,3.70B,6.61B,,351.00M,5.85B,63.81B,95.66B,,486.00M,89.55B,86.25B,101.61B,19.00M,,,-11.28B,63.41B,,AOR,Restated
2018-09,3.559B,13.68B,17.24B,10.02B,,,,13.71B,839.00M,4.764B,2.581B,,8.184B,,,,2.45B,41.58B,,,,,,,31.11B,-17.08B,14.04B,55.61B,45.31B,100.92B,6.444B,,1.875B,2.98B,126.26B,167.84B,,4.297B,1.963B,2.781B,9.041B,,9.041B,5.20B,9.58B,14.78B,14.78B,,,3.096B,29.01B,33.65B,33.65B,5.512B,5.512B,6.341B,,346.00M,6.367B,67.16B,96.17B,,486.00M,92.00B,85.83B,96.57B,20.00M,,,-10.42B,71.32B,,AOR,Restated
2018-06,2.704B,10.73B,13.43B,9.873B,,,,13.46B,776.00M,4.542B,2.756B,,8.074B,,,,2.343B,37.30B,,,,,,,30.76B,-16.84B,13.92B,55.84B,46.58B,102.42B,6.595B,,1.848B,2.896B,127.68B,164.98B,,4.196B,1.98B,2.481B,8.657B,,8.657B,6.80B,4.787B,11.59B,11.59B,,,10.12B,32.16B,28.94B,28.94B,5.743B,5.743B,6.479B,,346.00M,5.946B,62.70B,94.86B,,485.00M,89.86B,84.90B,95.46B,20.00M,,,-10.00B,69.78B,,AOR,Restated
2018-03,2.302B,9.119B,11.42B,9.452B,,,,13.08B,825.00M,4.485B,2.838B,,8.148B,,,,2.126B,34.84B,,,,,,,30.64B,-16.66B,13.97B,56.39B,47.69B,104.08B,6.945B,,1.883B,2.896B,129.78B,164.61B,,3.879B,,1.614B,5.493B,,5.493B,4.00B,5.001B,9.001B,9.001B,,,10.96B,27.36B,31.83B,31.83B,5.967B,5.967B,6.659B,,358.00M,5.644B,66.71B,94.07B,,486.00M,89.96B,84.60B,95.46B,21.00M,,,-9.402B,70.18B,,AOR,Restated
2017-12,1.342B,18.65B,19.99B,8.221B,,,,11.27B,788.00M,3.908B,2.883B,-1.00M,7.578B,,,,2.288B,41.14B,0.00,540.00M,10.25B,16.56B,,2.68B,30.04B,-16.17B,13.86B,55.95B,48.74B,104.69B,7.015B,,1.855B,3.227B,130.65B,171.80B,,4.656B,2.029B,477.00M,7.162B,,7.162B,6.10B,3.84B,9.94B,9.94B,,,11.13B,30.43B,32.67B,32.67B,3.90B,3.90B,7.43B,872.00M,348.00M,6.149B,69.71B,100.14B,,485.00M,85.29B,84.28B,89.42B,21.00M,,,-9.321B,71.31B,,AOR,Restated
