,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,68.74M,0.00,-425.77M,80.91M,-344.86M,111.98M,111.98M,,22.14M,225.41M,6.17M,3.691M,1.771M,-218.72M,22.55M,-28.63M,-223.03M,-76.36M,,,,-2.999M,0.00,,247.47M,,-501.52M,-501.52M,,,,0.00,0.00,-101.31M,-12.53M,-113.84M,0.30M,70.95M,-544.12M,,1.863B,-373.00M,1.490B,,,1.621M,-503.15M,0.00,4.976M,57.68M,,AOR,
2020-06,-217.35M,0.00,155.50M,291.87M,447.37M,97.01M,97.01M,,-31.63M,-183.52M,7.703M,0.705M,-7.926M,94.96M,-18.95M,-9.075M,59.00M,216.27M,,,,-1.027M,0.00,,-24.72M,,-7.962M,-7.962M,,,,0.00,0.00,-126.14M,-25.06M,-151.20M,0.368M,163.28M,4.484M,,1.667B,196.03M,1.863B,,,1.235M,-9.197M,0.00,3.187M,53.07M,,AOR,
2020-03,-104.50M,,-68.59M,-19.10M,-87.69M,96.91M,96.91M,,,188.46M,25.76M,10.12M,-20.94M,-91.88M,-7.659M,-12.96M,-133.44M,51.45M,,,,-2.13M,28.38M,,-99.34M,,550.91M,550.91M,,,,0.00,0.00,-498.49M,-12.53M,-511.02M,4.762M,63.41M,108.07M,,1.607B,60.18M,1.667B,,,553.06M,-2.15M,0.00,6.089M,54.00M,,AOR,
2019-12,160.68M,0.00,-97.73M,-22.73M,-98.39M,96.98M,96.98M,,-15.92M,-13.72M,5.863M,-14.74M,2.122M,82.06M,4.444M,4.623M,93.25M,264.57M,,,,-1.777M,0.00,0.00,234.73M,,-83.66M,-83.66M,,,,0.00,0.00,-126.04M,-12.53M,-138.57M,4.50M,80.00M,-137.72M,,1.246B,361.58M,1.607B,,,0.304M,-83.96M,0.00,12.49M,56.30M,,AOR,
2019-09,363.85M,0.00,-325.82M,-25.95M,-351.76M,101.08M,101.08M,,1.106M,21.03M,5.871M,0.52M,-15.35M,-68.80M,12.98M,0.164M,-71.01M,105.12M,,,,-7.905M,0.462M,1.395M,115.04M,,-42.97M,-42.97M,,,,0.00,0.00,-125.95M,-12.53M,-138.48M,0.357M,129.59M,-51.51M,,1.077B,168.65M,1.246B,,,648.90M,-691.87M,0.00,18.65M,62.29M,,AOR,Restated
2019-06,2.597B,-2.571B,-95.55M,-22.87M,-2.690B,117.73M,117.73M,,116.74M,-1.212M,10.52M,21.58M,-11.92M,77.16M,-21.91M,-4.624M,38.70M,228.73M,,,,1.741B,0.097M,-0.204M,1.710B,,-1.254B,-1.254B,,,,0.00,0.00,-125.93M,-12.53M,-138.46M,0.535M,-379.36M,-1.772B,,909.63M,167.28M,1.077B,,,2.214M,-1.257B,0.00,19.96M,79.23M,,AOR,Restated
2019-03,213.04M,,-220.29M,-7.32M,-227.61M,123.14M,123.14M,,,-0.561M,31.65M,-3.746M,-0.835M,-82.86M,10.43M,-12.84M,-86.11M,64.12M,,,,-0.918M,167.76M,0.204M,403.29M,,-229.81M,-229.81M,,,,-0.893M,-0.893M,-125.88M,-12.53M,-138.41M,-7.181M,101.62M,-274.68M,,716.90M,192.73M,909.63M,,,456.74M,-686.56M,-0.893M,8.741M,85.80M,,AOR,Restated
2018-12,97.82M,0.00,-30.21M,-47.15M,-77.36M,119.02M,119.02M,,12.00M,1.652M,5.532M,0.837M,-2.87M,77.21M,9.679M,54.02M,138.04M,314.60M,,,,-2.328M,4.101M,,-225.42M,,-206.78M,-206.78M,,,,0.00,0.00,-119.89M,-12.53M,-132.42M,-10.14M,57.25M,-292.09M,,919.81M,-202.90M,716.90M,,,214.00M,-420.78M,0.00,1.178M,66.21M,,AOR,Restated
2018-09,219.16M,0.00,-137.99M,-7.206M,-145.19M,120.01M,120.01M,,0.00,7.699M,5.545M,-11.96M,-4.151M,93.41M,7.226M,-60.76M,35.73M,246.78M,,,,-6.065M,0.00,,-397.40M,,7.647M,7.647M,,,,0.00,0.00,-119.86M,-12.54M,-132.40M,0.791M,-17.57M,-141.53M,,1.212B,-292.15M,919.81M,,,123.72M,-116.07M,0.00,56.68M,89.75M,,AOR,Restated
2018-06,105.34M,0.00,5.956M,-8.757M,-2.801M,118.41M,118.41M,,0.00,-15.88M,6.976M,-5.285M,-1.809M,-96.14M,-30.87M,-127.53M,-256.35M,-24.16M,,,,-19.14M,0.00,,-64.29M,,-0.245M,-0.245M,,,,0.00,0.00,-119.83M,-13.42M,-133.25M,0.702M,15.13M,-117.66M,,1.418B,-206.11M,1.212B,,,3.341M,-3.586M,0.00,2.719M,71.31M,,AOR,Restated
2018-03,0.282M,,0.911M,9.904M,10.82M,115.34M,115.34M,,,32.99M,13.67M,-1.978M,-5.702M,77.05M,19.84M,-17.44M,73.75M,265.42M,,,,-7.519M,0.00,,-190.62M,,40.88M,40.88M,,,,-470.00M,-470.00M,-119.76M,-16.63M,-136.39M,2.985M,-9.014M,-571.54M,,1.915B,-496.74M,1.418B,,,185.70M,-144.82M,-470.00M,1.646M,84.57M,,AOR,Restated
2017-12,53.55M,,15.58M,-9.622M,5.953M,122.29M,122.29M,,,-18.54M,,-28.34M,-4.302M,58.66M,-23.85M,-16.73M,13.78M,198.52M,,,,-6.959M,,0.009M,-152.02M,,372.26M,372.26M,,,,0.00,309.61M,-113.94M,-16.13M,-130.07M,4.701M,-73.97M,482.53M,,1.386B,529.03M,1.915B,,,826.83M,-454.57M,0.00,1.435M,81.81M,,AOR,Restated
2017-09,-10.75M,,-1.53M,41.71M,40.18M,117.64M,117.64M,,,12.34M,,73.92M,1.511M,75.82M,33.64M,-19.20M,91.77M,345.41M,,,,-5.858M,,116.25M,197.23M,,-161.02M,-161.02M,,,,0.00,0.00,-113.74M,-16.13M,-129.86M,15.25M,-438.92M,-714.56M,,1.558B,-171.92M,1.386B,,,2.113M,-163.14M,0.00,2.141M,81.46M,,AOR,Restated
2017-06,147.48M,,-6.946M,-46.28M,-53.22M,144.01M,144.01M,,,6.201M,,-13.46M,1.947M,-218.82M,-5.359M,-20.41M,-242.64M,14.93M,,,,-21.04M,,0.015M,-94.88M,,217.42M,217.42M,,,,,,-134.48M,-16.13M,-150.61M,1.121M,-13.30M,54.63M,,1.583B,-25.32M,1.558B,,,224.40M,-6.984M,,1.639M,87.64M,,AOR,Restated
2017-03,73.85M,,4.178M,-1.445M,2.733M,145.89M,145.89M,,,0.00,,-9.446M,2.027M,72.05M,-0.67M,-3.369M,70.04M,301.28M,,,,-6.679M,,0.014M,-156.65M,,-4.458M,-4.458M,,,,0.00,0.00,-134.33M,-16.13M,-150.46M,8.22M,-14.25M,-160.95M,,1.599B,-16.32M,1.583B,,,2.529M,-6.987M,0.00,1.512M,88.08M,,AOR,Restated
2016-12,704.54M,,-15.51M,-164.86M,-668.25M,149.23M,149.23M,,0.00,57.17M,,-34.08M,-4.884M,51.10M,8.485M,1.398M,56.10M,422.67M,,,,-14.81M,3.937M,0.012M,-207.06M,,99.86M,99.86M,,,,0.00,0.00,-119.10M,-16.13M,-135.23M,1.249M,-46.80M,-80.92M,,1.465B,134.68M,1.599B,,,403.29M,-303.44M,0.00,2.114M,92.78M,,AOR,Restated
2016-09,100.60M,,-2.864M,-4.127M,-6.991M,146.50M,146.50M,,0.465M,4.764M,,-35.86M,-1.745M,72.93M,-1.841M,-40.06M,29.28M,253.61M,,,,-22.14M,0.00,0.011M,-245.10M,,115.92M,115.92M,,,,-246.25M,-246.25M,-119.03M,-23.28M,-142.31M,3.21M,-13.13M,-282.56M,,1.739B,-274.06M,1.465B,,,675.36M,-559.44M,-246.25M,2.599M,94.55M,,AOR,Restated
2016-06,268.38M,,-161.72M,-0.642M,-162.36M,148.89M,148.89M,,0.00,-14.67M,,10.45M,1.558M,-196.78M,-6.14M,-19.33M,-220.69M,47.27M,,,,-27.47M,-4.379M,-11.69M,-205.80M,,315.25M,315.25M,,,,,,-118.96M,-20.36M,-139.33M,1.286M,-62.69M,114.51M,,1.783B,-44.02M,1.739B,,,437.75M,-122.50M,,2.81M,89.71M,,AOR,Restated
2016-03,-91.61M,,-0.714M,4.24M,3.526M,150.65M,150.65M,,160.70M,-6.611M,,-29.21M,0.80M,64.85M,12.77M,-19.09M,59.34M,271.53M,,,,-63.19M,,0.011M,-235.14M,,-22.12M,-22.12M,,,,,,-118.87M,-20.36M,-139.23M,2.338M,-38.18M,-197.19M,,1.944B,-160.79M,1.783B,,,887.50M,-909.62M,,2.193M,91.72M,,AOR,Restated
2015-12,283.54M,,-204.68M,3.921M,-200.76M,145.71M,145.71M,0.00,0.00,38.78M,,-75.32M,6.474M,61.06M,-19.43M,-26.67M,21.44M,228.57M,,,,-90.55M,0.00,-177.04M,-252.04M,,1.196B,1.196B,,,,0.00,0.00,-118.81M,-20.36M,-139.17M,-1.067M,-62.93M,992.34M,,788.14M,968.87M,1.944B,,,1.592B,-396.90M,0.00,0.647M,120.37M,,AOR,Restated
