,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-09,363.96M,363.96M,195.64M,168.32M,32.41M,32.41M,,0.00,213.99M,0.00,52.46M,0.827M,-56.54M,139.42M,28.90M,0.827M,52.46M,-56.54M,120.16M,-56.54M,92.52M,23.78M,68.74M,0.00,,-3.036M,12.53M,65.70M,-83.02M,256.97M,111.98M,144.98M,,0.2781,0.00,,-0.4998,0.28,,0.2781,0.00,,-0.4998,0.28,,191.16M,191.16M,0.53,,AOR,
2020-06,343.03M,343.03M,174.42M,168.60M,35.01M,35.01M,,,55.70M,6.108M,54.10M,2.308M,-56.10M,133.93M,34.67M,2.308M,54.10M,-56.10M,-194.09M,-56.10M,-215.52M,1.837M,-217.35M,0.00,,32.13M,12.53M,-185.22M,-205.41M,-64.41M,97.01M,-161.42M,,-1.035,0.00,,-1.140,-1.03,,-1.035,0.00,,-1.140,-1.03,,191.10M,191.10M,0.66,,AOR,
2020-03,444.53M,444.53M,230.01M,214.52M,52.83M,52.83M,,,68.59M,7.261M,54.58M,5.392M,-53.45M,152.89M,61.64M,5.392M,54.58M,-53.45M,-99.88M,-53.45M,-91.69M,12.81M,-104.50M,0.00,,122.00M,12.53M,17.49M,104.96M,59.80M,96.91M,-37.11M,,0.0260,0.00,,0.4838,0.03,,0.0260,0.00,,0.4836,0.03,,191.04M,191.11M,0.66,,AOR,
2019-12,460.97M,460.97M,223.98M,236.99M,39.79M,39.79M,,,200.61M,,55.40M,6.108M,-53.58M,132.72M,104.28M,6.108M,55.40M,-53.58M,132.82M,-53.58M,183.52M,22.90M,160.62M,0.055M,,45.07M,12.53M,205.75M,110.13M,335.90M,96.98M,238.92M,,1.010,0.0003,,0.5092,1.01,,1.010,0.0003,,0.5097,1.01,,190.92M,191.13M,0.66,,AOR,
2019-09,465.96M,465.96M,226.36M,239.60M,33.24M,33.24M,,0.00,308.08M,0.00,56.30M,5.664M,-55.78M,129.67M,109.93M,5.664M,56.30M,-55.78M,333.60M,-55.78M,387.74M,23.88M,363.86M,-0.008M,,-28.41M,12.53M,335.44M,47.62M,545.12M,101.08M,444.04M,,1.692,-0.0000,,0.1839,1.69,,1.690,-0.0000,,0.1837,1.69,,190.81M,191.02M,0.66,,AOR,Restated
2019-06,463.10M,463.10M,220.75M,242.35M,38.87M,38.87M,,,111.71M,0.00,56.79M,4.261M,-58.77M,151.91M,90.44M,4.261M,56.79M,-58.77M,2.592B,-58.77M,2.624B,26.91M,2.597B,0.06M,,-183.97M,12.53M,2.413B,2.315B,2.798B,117.73M,2.680B,,12.58,0.0003,,12.07,12.58,,12.56,0.0003,,12.05,12.56,,190.78M,191.06M,0.66,,AOR,Restated
2019-03,534.67M,534.67M,246.90M,287.77M,58.02M,58.02M,,,220.29M,0.00,94.32M,3.673M,-98.79M,174.73M,113.04M,3.673M,94.32M,-98.79M,228.67M,-98.79M,242.92M,29.74M,213.18M,-0.137M,,-19.02M,12.53M,194.02M,0.5792M,460.38M,123.14M,337.25M,,0.9525,-0.0007,,-0.0627,0.95,,0.9509,-0.0007,,-0.0626,0.95,,190.69M,191.00M,0.66,,AOR,Restated
2018-12,543.42M,543.42M,254.32M,289.10M,32.93M,32.93M,,,110.63M,,75.68M,4.803M,-78.37M,145.80M,143.29M,4.803M,75.68M,-78.37M,65.31M,-78.37M,130.23M,32.67M,97.56M,0.257M,,15.21M,12.53M,113.03M,67.08M,324.94M,119.02M,205.92M,,0.5286,0.0014,,0.2886,0.53,,0.5286,0.0014,,0.2898,0.53,,190.35M,191.28M,0.63,,AOR,Restated
2018-09,542.05M,542.05M,235.58M,306.47M,31.98M,31.98M,,,138.76M,,80.60M,6.31M,-82.64M,145.15M,161.33M,6.31M,80.60M,-82.64M,142.36M,-82.64M,221.04M,1.943M,219.10M,0.061M,,-15.98M,12.53M,203.18M,70.07M,421.66M,120.01M,301.65M,,1.00,0.00,,0.3007,1.00,,1.00,0.00,,0.3046,1.00,,190.24M,191.33M,0.63,,AOR,Restated
2018-06,536.48M,541.82M,235.98M,305.84M,34.43M,34.43M,,,23.56M,,79.62M,10.69M,-76.96M,146.27M,159.56M,10.69M,79.62M,-76.96M,22.52M,-76.96M,105.12M,0.467M,104.66M,0.683M,,18.73M,12.53M,124.07M,109.63M,303.16M,118.41M,184.74M,,0.59,0.00,,0.5177,0.59,,0.58,0.00,,0.5080,0.58,,190.20M,191.17M,0.63,,AOR,Restated
2018-03,531.54M,536.44M,237.60M,298.84M,42.53M,42.53M,,,0.00,,80.06M,4.30M,-83.87M,151.22M,147.62M,4.30M,80.06M,-83.87M,-60.55M,-83.87M,3.199M,2.554M,0.645M,-0.363M,,9.398M,13.04M,9.68M,38.10M,198.60M,115.34M,83.26M,,-0.0920,-0.0019,,0.0557,-0.09,,-0.0920,-0.0019,,0.0556,-0.09,,190.08M,190.08M,0.63,,AOR,Restated
2017-12,719.28M,536.23M,225.01M,311.22M,34.92M,34.92M,,,-1.776M,,83.53M,4.66M,-88.41M,149.08M,162.13M,4.66M,83.53M,-88.41M,17.44M,-88.41M,91.16M,38.88M,52.28M,1.273M,,-9.219M,17.01M,44.33M,39.18M,296.98M,122.29M,174.69M,,0.14,0.00,,0.1196,0.14,,0.13,0.00,,0.1097,0.14,,189.90M,191.26M,0.60,,AOR,Restated
