,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2020-09,3.520B,3.520B,2.855B,664.94M,642.46M,,,49.71M,-12.49M,,642.46M,22.47M,49.71M,,-12.49M,50.18M,-12.49M,60.16M,-19.72M,79.88M,12.47M,-10.36M,81.99M,69.52M,37.47M,,2020-09,0.54,0.10,0.54,2020-09,0.54,0.10,0.54,0.63,130.18M,131.44M,0.38,AOR,
2020-06,3.260B,3.260B,2.631B,629.03M,434.65M,,,-16.94M,-16.94M,,434.65M,194.38M,-16.94M,,-16.94M,126.25M,-16.94M,303.68M,67.67M,236.01M,18.04M,-9.121M,244.93M,226.89M,239.79M,,2020-06,1.74,0.14,1.74,2020-06,1.73,0.14,1.73,1.87,130.22M,131.26M,0.19,AOR,
2020-03,3.427B,3.427B,2.779B,648.14M,480.36M,,15.15M,0.985M,-14.17M,,480.36M,167.78M,0.985M,15.15M,-14.17M,-330.41M,-14.17M,-176.80M,-61.12M,-115.68M,29.88M,-6.284M,-92.09M,-121.97M,-116.99M,,2020-03,-0.92,0.23,-0.92,2020-03,-0.92,0.23,-0.92,-0.69,132.53M,132.53M,0.19,AOR,
2019-12,3.360B,3.360B,2.715B,644.57M,493.23M,,14.82M,0.946M,-13.87M,,493.23M,151.34M,0.946M,14.82M,-13.87M,116.70M,-13.87M,254.17M,68.49M,185.68M,77.59M,-6.257M,257.01M,179.42M,312.98M,,2019-12,1.35,0.58,1.35,2019-12,1.33,0.58,1.33,1.91,133.13M,133.13M,0.17,AOR,
2019-09,3.393B,3.393B,2.727B,665.53M,566.45M,,,76.04M,-7.805M,,566.45M,99.09M,76.04M,,-7.805M,-37.74M,-7.805M,53.54M,24.12M,29.42M,120.38M,-7.467M,142.32M,21.95M,172.30M,,2019-09,0.16,0.89,0.16,2019-09,0.16,0.88,0.16,1.04,134.53M,136.11M,0.17,AOR,Restated
2019-06,3.170B,3.170B,2.543B,626.13M,536.18M,,,-15.58M,-15.58M,,536.18M,89.95M,-15.58M,,-15.58M,19.02M,-15.58M,93.40M,-1.981M,95.38M,435.08M,-6.015M,524.44M,89.36M,134.19M,,2019-06,0.65,3.18,0.65,2019-06,0.65,3.15,0.65,3.80,136.61M,137.82M,0.17,AOR,Restated
2019-03,3.092B,3.092B,2.475B,616.84M,514.16M,,29.42M,1.67M,-27.75M,,514.16M,102.68M,1.67M,29.42M,-27.75M,36.90M,-27.75M,111.83M,-7.947M,119.78M,-57.84M,-5.024M,56.92M,114.76M,183.42M,,2019-03,0.83,-0.42,0.83,2019-03,0.82,-0.42,0.82,0.41,138.34M,139.32M,0.17,AOR,Restated
2018-12,3.084B,3.084B,2.515B,568.52M,455.39M,,25.32M,2.104M,-23.22M,,455.39M,113.13M,2.104M,25.32M,-23.22M,2.282M,-23.22M,92.19M,22.76M,69.43M,59.40M,-4.539M,124.30M,64.89M,157.12M,,2018-12,0.45,0.42,0.45,2018-12,0.45,0.41,0.45,0.86,142.15M,142.15M,0.15,AOR,Restated
2018-09,2.992B,2.992B,2.386B,606.23M,445.38M,,26.65M,2.088M,-24.56M,,445.38M,160.85M,2.088M,26.65M,-24.56M,6.119M,-24.56M,142.40M,215.40M,-73.00M,39.46M,-3.995M,-37.54M,-77.00M,220.43M,,2018-09,-0.16,0.27,-0.16,2018-09,-0.16,0.27,-0.16,-0.16,141.81M,141.81M,0.15,AOR,Restated
2018-06,2.934B,2.934B,2.325B,608.60M,446.08M,,23.79M,1.277M,-22.51M,,446.08M,162.51M,1.277M,23.79M,-22.51M,6.632M,-22.51M,146.63M,31.17M,115.46M,36.89M,-2.123M,150.22M,113.34M,222.44M,,2018-06,0.79,0.26,0.79,2018-06,0.79,0.26,0.79,1.05,142.16M,143.17M,0.15,AOR,Restated
2018-03,2.870B,2.870B,2.269B,601.63M,532.87M,,19.23M,1.785M,-17.44M,,532.87M,68.76M,1.785M,19.23M,-17.44M,-2.661M,-17.44M,48.65M,51.86M,-3.205M,54.88M,-3.085M,48.59M,-6.29M,123.54M,,2018-03,-0.04,0.39,-0.04,2018-03,-0.04,0.39,-0.04,0.34,141.78M,141.78M,0.15,AOR,Restated
2017-12,1.784B,1.784B,1.442B,342.09M,346.76M,,7.092M,3.834M,-3.258M,,346.76M,-4.67M,3.834M,7.092M,-3.258M,1.225M,-3.258M,-6.703M,27.20M,-33.90M,36.40M,-0.331M,2.163M,-34.23M,39.92M,,2017-12,-0.2759,0.2932,-0.2759,2017-12,-0.2759,0.2908,-0.2759,0.02,124.12M,125.14M,0.15,AOR,Restated
