,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.42B,,1.42B,1.952B,1.952B,1.921B,,2.223B,,4.144B,,367.00M,7.883B,0.0,616.00M,5.952B,9.013B,,,15.58B,-7.985B,7.596B,10.90B,6.774B,17.67B,1.589B,26.86B,34.74B,1.876B,,1.876B,823.00M,2.699B,,,548.00M,548.00M,987.00M,4.234B,10.79B,10.79B,2.391B,2.391B,132.00M,1.728B,14.91B,19.14B,45.00M,15.31B,4.433B,4.145B,,,-179.00M,15.46B
2020-06,1.365B,,1.365B,2.064B,2.064B,1.846B,,2.069B,,3.915B,,355.00M,7.699B,0.0,606.00M,5.815B,8.959B,,,15.38B,-7.865B,7.515B,10.89B,6.842B,17.73B,1.612B,26.86B,34.56B,1.743B,,1.743B,677.00M,2.42B,,,750.00M,750.00M,1.103B,4.273B,11.28B,11.28B,2.37B,2.37B,146.00M,1.632B,15.28B,19.55B,45.00M,14.77B,4.40B,4.139B,,,-217.00M,14.86B
2020-03,437.00M,,437.00M,2.248B,2.248B,1.719B,,2.306B,,4.025B,,389.00M,7.099B,0.0,592.00M,5.721B,8.82B,,,15.13B,-7.669B,7.464B,10.85B,6.898B,17.74B,1.582B,26.79B,33.89B,1.742B,,1.742B,551.00M,2.293B,,,1.142B,1.142B,971.00M,4.406B,10.98B,10.98B,2.384B,2.384B,145.00M,1.528B,14.89B,19.30B,45.00M,14.39B,4.378B,4.136B,,,-230.00M,14.45B
2019-12,497.00M,,497.00M,2.063B,2.063B,1.84B,,2.464B,,4.304B,,329.00M,7.193B,0.0,591.00M,5.625B,8.692B,,,14.91B,-7.524B,7.384B,10.86B,6.975B,17.84B,1.397B,26.62B,33.81B,1.916B,,1.916B,551.00M,2.467B,,,1.947B,1.947B,1.122B,5.536B,9.772B,9.772B,2.369B,2.369B,147.00M,1.568B,13.71B,19.24B,45.00M,14.18B,4.354B,4.079B,,,-79.00M,14.42B
2019-09,484.00M,,484.00M,2.173B,2.173B,1.746B,,2.362B,,4.108B,,404.00M,7.169B,0.0,583.00M,5.46B,8.607B,,,14.65B,-7.368B,7.282B,10.84B,7.037B,17.88B,765.00M,25.93B,33.10B,1.926B,,1.926B,620.00M,2.546B,,,2.102B,2.102B,865.00M,5.513B,9.83B,9.83B,2.356B,2.356B,144.00M,1.172B,13.36B,18.87B,45.00M,13.79B,4.378B,4.011B,,,-117.00M,14.08B
2019-06,406.00M,,406.00M,2.452B,2.452B,1.711B,,2.438B,,4.149B,,426.00M,7.433B,0.0,558.00M,5.474B,8.584B,,,14.62B,-7.345B,7.271B,10.94B,7.206B,18.15B,811.00M,26.23B,33.66B,1.958B,,1.958B,587.00M,2.545B,,,2.125B,2.125B,927.00M,5.597B,10.46B,10.46B,2.338B,2.338B,213.00M,1.128B,13.93B,19.52B,45.00M,13.55B,4.361B,4.025B,,,-6.00M,13.93B
2019-03,360.00M,,360.00M,1.837B,1.837B,1.767B,,2.132B,,3.899B,,280.00M,6.376B,0.0,540.00M,5.489B,8.23B,,,14.26B,-7.174B,7.085B,10.95B,7.295B,18.24B,796.00M,26.12B,32.50B,1.71B,16.00M,1.726B,577.00M,2.303B,,,1.564B,1.564B,747.00M,4.614B,10.81B,10.81B,2.278B,2.278B,135.00M,1.238B,14.33B,18.94B,45.00M,13.01B,4.35B,3.988B,,,4.00M,13.42B
2018-12,400.00M,,400.00M,1.892B,1.892B,1.713B,,2.064B,,3.777B,,232.00M,6.301B,0.0,531.00M,5.372B,8.122B,,,14.02B,-7.007B,7.018B,10.81B,7.441B,18.26B,761.00M,26.03B,32.34B,1.962B,237.00M,2.199B,476.00M,2.675B,,,3.917B,3.917B,838.00M,7.43B,8.075B,8.075B,2.33B,2.33B,132.00M,1.241B,11.65B,19.08B,45.00M,12.72B,4.332B,3.951B,,,-18.00M,13.13B
2018-09,270.00M,,270.00M,1.723B,1.723B,1.532B,,1.981B,,3.513B,,182.00M,5.688B,0.0,511.00M,4.804B,7.72B,,,13.04B,-6.866B,6.169B,9.739B,6.759B,16.50B,754.00M,23.42B,29.11B,1.694B,,1.694B,549.00M,2.243B,,,1.911B,1.911B,877.00M,5.031B,7.962B,7.962B,2.107B,2.107B,8.00M,1.198B,11.27B,16.30B,45.00M,12.33B,4.387B,3.943B,,,-15.00M,12.80B
2018-06,170.00M,,170.00M,1.684B,1.684B,1.428B,,1.95B,,3.378B,,196.00M,6.077B,0.0,490.00M,4.753B,7.429B,,,12.67B,-6.747B,5.925B,9.498B,6.405B,15.90B,733.00M,22.56B,28.64B,1.546B,,1.546B,494.00M,2.04B,,,1.308B,1.308B,764.00M,4.112B,8.852B,8.852B,2.05B,2.05B,11.00M,1.187B,12.09B,16.20B,45.00M,11.91B,4.376B,3.89B,,,-18.00M,12.43B
