,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,695.00M,,,,316.00M,316.00M,18.00M,-117.00M,,,,,,,117.00M,1.166B,-292.00M,,-292.00M,0.00,0.00,12.00M,-280.00M,-707.00M,,-707.00M,,-7.00M,-7.00M,-150.00M,-150.00M,1.00M,-11.00M,-874.00M,1.365B,12.00M,7.00M,1.42B,,-26.00M,-681.00M,-7.00M
2020-06,527.00M,,,,295.00M,295.00M,-19.00M,28.00M,,,,,,,617.00M,1.448B,-283.00M,,-283.00M,1.00M,-1.00M,17.00M,-266.00M,-102.00M,,-102.00M,,-4.00M,-4.00M,-150.00M,-150.00M,1.00M,0.00,-255.00M,519.00M,927.00M,1.00M,1.365B,,2.953B,-3.055B,-4.00M
2020-03,367.00M,,,,293.00M,293.00M,43.00M,-62.00M,,,,,,,-275.00M,366.00M,-312.00M,,-312.00M,-184.00M,-1.00M,1.00M,-496.00M,380.00M,,380.00M,,-64.00M,-64.00M,-151.00M,-151.00M,8.00M,-5.00M,168.00M,497.00M,38.00M,-16.00M,519.00M,,9.271B,-8.891B,-64.00M
2019-12,561.00M,,,,288.00M,288.00M,3.00M,27.00M,,,,,,,15.00M,894.00M,-312.00M,,-312.00M,29.00M,-16.00M,-82.00M,-381.00M,-243.00M,,-243.00M,,-132.00M,-132.00M,-150.00M,-150.00M,20.00M,-2.00M,-507.00M,484.00M,6.00M,7.00M,497.00M,,4.893B,-5.136B,-132.00M
2019-09,372.00M,,,,289.00M,289.00M,49.00M,-61.00M,,,,,,,175.00M,978.00M,-288.00M,,-288.00M,169.00M,0.00,-10.00M,-129.00M,-639.00M,,-639.00M,,-27.00M,-27.00M,-134.00M,-134.00M,39.00M,0.00,-761.00M,406.00M,88.00M,-10.00M,484.00M,,5.477B,-6.116B,-27.00M
2019-06,681.00M,,,,286.00M,286.00M,39.00M,-28.00M,,,,,,,-382.00M,596.00M,-315.00M,,-315.00M,-320.00M,0.00,66.00M,-569.00M,201.00M,,201.00M,,-79.00M,-79.00M,-134.00M,-134.00M,36.00M,-4.00M,20.00M,360.00M,47.00M,-1.00M,406.00M,,2.934B,-2.733B,-79.00M
2019-03,430.00M,,,,273.00M,273.00M,-14.00M,5.00M,,,,,,,-623.00M,71.00M,-338.00M,,-338.00M,0.00,-1.00M,22.00M,-317.00M,402.00M,,402.00M,,-63.00M,-63.00M,-135.00M,-135.00M,21.00M,-24.00M,201.00M,400.00M,-45.00M,5.00M,360.00M,,7.735B,-7.333B,-63.00M
2018-12,552.00M,,,,250.00M,250.00M,18.00M,64.00M,,,,,,,-16.00M,868.00M,-318.00M,,-318.00M,-2.141B,0.00,10.00M,-2.449B,1.927B,,1.927B,,-83.00M,-83.00M,-134.00M,-134.00M,3.00M,-2.00M,1.711B,270.00M,130.00M,0.00,400.00M,,7.345B,-5.418B,-83.00M
2018-09,537.00M,,,,246.00M,246.00M,55.00M,-218.00M,,,,,,,217.00M,1.039B,-313.00M,,-313.00M,-194.00M,-4.00M,28.00M,-483.00M,-280.00M,,-280.00M,,-60.00M,-60.00M,-107.00M,-107.00M,5.00M,-13.00M,-455.00M,170.00M,101.00M,-1.00M,270.00M,,5.373B,-5.653B,-60.00M
2018-06,542.00M,,,,238.00M,238.00M,18.00M,28.00M,,,,,,,-41.00M,785.00M,-328.00M,,-328.00M,-382.00M,0.00,-27.00M,-737.00M,158.00M,,158.00M,,-130.00M,-130.00M,-108.00M,-108.00M,10.00M,-1.00M,-71.00M,198.00M,-23.00M,-5.00M,170.00M,,6.297B,-6.139B,-130.00M
2018-03,316.00M,,,,230.00M,230.00M,29.00M,103.00M,,,,,,,-665.00M,13.00M,-263.00M,,-263.00M,0.00,2.00M,-3.00M,-264.00M,310.00M,,310.00M,,-73.00M,-73.00M,-108.00M,-108.00M,24.00M,,153.00M,293.00M,-98.00M,3.00M,198.00M,,5.874B,-5.564B,-73.00M
2017-12,1.632B,,,,229.00M,229.00M,-967.00M,29.00M,,,,,,,203.00M,1.126B,-296.00M,,-296.00M,-101.00M,-3.00M,-22.00M,-422.00M,-520.00M,,-520.00M,,-164.00M,-164.00M,-108.00M,-108.00M,63.00M,,-729.00M,318.00M,-25.00M,0.00,293.00M,,6.383B,-6.903B,-164.00M
2017-09,395.00M,,,,218.00M,218.00M,-14.00M,-163.00M,,,,,,,408.00M,1.15B,-287.00M,,-287.00M,0.00,-16.00M,6.00M,-297.00M,-615.00M,,-615.00M,,-92.00M,-92.00M,-81.00M,-81.00M,26.00M,-7.00M,-769.00M,231.00M,84.00M,3.00M,318.00M,,5.054B,-5.669B,-92.00M
2017-06,448.00M,,,,187.00M,187.00M,3.00M,18.00M,,,,,,,-189.00M,467.00M,-315.00M,,-315.00M,-3.081B,-1.00M,8.00M,-3.389B,3.22B,,3.22B,,-35.00M,-35.00M,-80.00M,-80.00M,45.00M,-242.00M,2.908B,243.00M,-14.00M,2.00M,231.00M,,7.933B,-4.713B,-35.00M
2017-03,341.00M,,,,179.00M,179.00M,-24.00M,81.00M,,,,,,,-729.00M,-152.00M,-267.00M,,-267.00M,0.00,1.00M,2.00M,-264.00M,478.00M,,478.00M,,-157.00M,-157.00M,-79.00M,-79.00M,77.00M,29.00M,348.00M,307.00M,-68.00M,4.00M,243.00M,,1.97B,-1.492B,-157.00M
2016-12,594.00M,,,,177.00M,177.00M,-4.00M,7.00M,,,,,,,360.00M,1.134B,-200.00M,,-200.00M,,-2.00M,-12.00M,-214.00M,-320.00M,,-320.00M,,-576.00M,-576.00M,-79.00M,-79.00M,6.00M,12.00M,-957.00M,349.00M,-37.00M,-5.00M,307.00M,,435.00M,-755.00M,-576.00M
2016-09,392.00M,,,,179.00M,179.00M,23.00M,-79.00M,,,,,,,202.00M,843.00M,-180.00M,,-180.00M,0.00,-7.00M,5.00M,-182.00M,130.00M,,130.00M,,-651.00M,-651.00M,-54.00M,-54.00M,39.00M,26.00M,-510.00M,197.00M,151.00M,1.00M,349.00M,,390.00M,-260.00M,-651.00M
2016-06,485.00M,,,,178.00M,178.00M,-24.00M,27.00M,,,,,,,102.00M,768.00M,-160.00M,,-160.00M,0.00,-3.00M,13.00M,-150.00M,-170.00M,,-170.00M,,-467.00M,-467.00M,-54.00M,-54.00M,11.00M,2.00M,-678.00M,254.00M,-60.00M,3.00M,197.00M,,376.00M,-546.00M,-467.00M
2016-03,434.00M,,,,176.00M,176.00M,16.00M,19.00M,,,,,,,-635.00M,10.00M,-167.00M,,-167.00M,,3.00M,3.00M,-161.00M,-353.00M,,-353.00M,,-439.00M,-439.00M,-54.00M,-54.00M,44.00M,17.00M,-785.00M,1.187B,-936.00M,3.00M,254.00M,,300.00M,-653.00M,-439.00M
2015-12,461.00M,,,,172.00M,172.00M,69.00M,-1.00M,,,,,,,394.00M,1.095B,-188.00M,,-188.00M,,-2.00M,-1.00M,-191.00M,-20.00M,,-20.00M,,-387.00M,-387.00M,-54.00M,-54.00M,34.00M,23.00M,-404.00M,688.00M,500.00M,-1.00M,1.187B,,0.00,-20.00M,-387.00M
2015-09,259.00M,,,,187.00M,187.00M,22.00M,14.00M,,,,,,,239.00M,898.00M,-218.00M,,-218.00M,374.00M,-5.00M,5.00M,156.00M,-510.00M,,-510.00M,,-298.00M,-298.00M,-37.00M,-37.00M,13.00M,0.00,-832.00M,471.00M,222.00M,-5.00M,688.00M,,0.00,-510.00M,-298.00M
2015-06,344.00M,,,,177.00M,177.00M,4.00M,21.00M,,,,,,,318.00M,864.00M,-201.00M,,-201.00M,23.00M,21.00M,22.00M,-135.00M,-444.00M,,-444.00M,,-47.00M,-47.00M,-35.00M,-35.00M,37.00M,7.00M,-482.00M,223.00M,247.00M,1.00M,471.00M,,766.00M,-1.21B,-47.00M
2015-03,311.00M,,,,172.00M,172.00M,1.00M,30.00M,,,,,,,-518.00M,-4.00M,-204.00M,,-204.00M,0.00,1.00M,1.00M,-202.00M,128.00M,,128.00M,,-59.00M,-59.00M,-38.00M,-38.00M,18.00M,5.00M,54.00M,381.00M,-152.00M,-6.00M,223.00M,,1.08B,-952.00M,-59.00M
2014-12,310.00M,,,,175.00M,175.00M,11.00M,6.00M,,,,,,,310.00M,812.00M,-231.00M,,-231.00M,142.00M,-3.00M,3.00M,-89.00M,-668.00M,,-668.00M,,-91.00M,-91.00M,-37.00M,-37.00M,16.00M,5.00M,-775.00M,438.00M,-52.00M,-5.00M,381.00M,,,-668.00M,-91.00M
2014-09,136.00M,,,,148.00M,148.00M,-41.00M,-96.00M,,,,,,,330.00M,635.00M,-195.00M,,-195.00M,-8.137B,16.00M,-34.00M,-8.35B,5.521B,,5.521B,,-9.00M,2.119B,-28.00M,-28.00M,6.00M,-49.00M,7.569B,587.00M,-146.00M,-3.00M,438.00M,,5.753B,-232.00M,-9.00M
2014-06,258.00M,,,,128.00M,128.00M,-40.00M,44.00M,,,,,,,-112.00M,278.00M,-144.00M,,-144.00M,0.00,2.00M,36.00M,-106.00M,-3.00M,,-3.00M,,-11.00M,-11.00M,-26.00M,-26.00M,12.00M,7.00M,-21.00M,438.00M,151.00M,-2.00M,587.00M,,14.00M,-17.00M,-11.00M
2014-03,210.00M,,,,127.00M,127.00M,-9.00M,10.00M,,,,,,,-434.00M,-96.00M,-153.00M,,-153.00M,-56.00M,-2.00M,11.00M,-200.00M,-3.00M,,-3.00M,,-116.00M,-116.00M,-25.00M,-25.00M,37.00M,14.00M,-93.00M,825.00M,-389.00M,2.00M,438.00M,,8.00M,-11.00M,-116.00M
2013-12,252.00M,,,,127.00M,127.00M,-15.00M,-70.00M,,,,,,,67.00M,361.00M,-140.00M,,-140.00M,0.00,-1.00M,-3.00M,-144.00M,-373.00M,,-373.00M,,-159.00M,-159.00M,-25.00M,-25.00M,12.00M,5.00M,-540.00M,1.145B,-323.00M,3.00M,825.00M,,6.00M,-379.00M,-159.00M
2013-09,259.00M,,,,132.00M,132.00M,9.00M,-90.00M,,,,,,,122.00M,542.00M,-133.00M,,-133.00M,0.00,83.00M,3.00M,-47.00M,-2.00M,,-2.00M,,-316.00M,-316.00M,-17.00M,-17.00M,30.00M,5.00M,-300.00M,943.00M,195.00M,7.00M,1.145B,,20.00M,-22.00M,-316.00M
2013-06,245.00M,,,,128.00M,128.00M,3.00M,23.00M,,,,,,,143.00M,542.00M,-135.00M,,-135.00M,-96.00M,-38.00M,6.00M,-263.00M,-3.00M,,-3.00M,,-110.00M,-110.00M,-17.00M,-17.00M,24.00M,11.00M,-95.00M,762.00M,184.00M,-3.00M,943.00M,,11.00M,-14.00M,-110.00M
2013-03,106.00M,,,,129.00M,129.00M,-15.00M,34.00M,,,,,,,-214.00M,40.00M,-133.00M,,-133.00M,-10.00M,-64.00M,26.00M,-181.00M,-7.00M,,-7.00M,,-73.00M,-73.00M,-17.00M,-17.00M,50.00M,0.00,-47.00M,951.00M,-188.00M,-1.00M,762.00M,,13.00M,-20.00M,-73.00M
2012-12,168.00M,,,,130.00M,130.00M,-9.00M,23.00M,,,,,,,-122.00M,190.00M,-157.00M,,-157.00M,,1.00M,4.00M,-152.00M,-11.00M,,-11.00M,,-115.00M,-115.00M,-53.00M,-53.00M,19.00M,2.00M,-158.00M,1.071B,-120.00M,0.00,951.00M,,24.00M,-35.00M,-115.00M
2012-09,181.00M,0.00,,,130.00M,130.00M,65.00M,19.00M,,,,,,,39.00M,468.00M,-160.00M,,-160.00M,0.00,-2.00M,22.00M,-140.00M,-40.00M,,-40.00M,,-55.00M,-55.00M,-13.00M,-13.00M,2.00M,19.00M,-87.00M,828.00M,241.00M,2.00M,1.071B,,34.00M,-74.00M,-55.00M
2012-06,73.00M,167.00M,,,124.00M,124.00M,22.00M,-42.00M,,,,,,,-79.00M,265.00M,-186.00M,,-186.00M,0.00,3.00M,2.00M,-181.00M,148.00M,,148.00M,,-81.00M,-81.00M,-15.00M,-15.00M,32.00M,-55.00M,29.00M,723.00M,113.00M,-8.00M,828.00M,,1.026B,-878.00M,-81.00M
2012-03,166.00M,,,,123.00M,123.00M,29.00M,14.00M,,,,,,,-216.00M,116.00M,-162.00M,,-162.00M,,-15.00M,14.00M,-163.00M,-5.00M,,-5.00M,,-78.00M,-78.00M,-14.00M,-14.00M,,7.00M,-90.00M,857.00M,-137.00M,3.00M,723.00M,,11.00M,-16.00M,-78.00M
2011-12,156.00M,,,,122.00M,122.00M,24.00M,27.00M,,,,,,,9.00M,338.00M,-182.00M,,-182.00M,,3.00M,3.00M,-176.00M,20.00M,,20.00M,,-50.00M,-50.00M,-15.00M,-15.00M,,22.00M,-23.00M,716.00M,139.00M,2.00M,857.00M,,45.00M,-25.00M,-50.00M
2011-09,95.00M,,,,122.00M,122.00M,35.00M,15.00M,,,,,,,75.00M,360.00M,-174.00M,,-174.00M,,-1.00M,2.00M,-173.00M,-271.00M,,-271.00M,,-97.00M,-97.00M,-14.00M,-14.00M,,-110.00M,-441.00M,981.00M,-254.00M,-11.00M,716.00M,,32.00M,-303.00M,-97.00M
2011-06,188.00M,,,,128.00M,128.00M,-9.00M,-6.00M,,,,,,,182.00M,483.00M,-150.00M,,-150.00M,,1.00M,1.00M,-148.00M,-49.00M,,-49.00M,,-89.00M,-89.00M,-45.00M,-15.00M,,7.00M,-146.00M,794.00M,189.00M,-2.00M,981.00M,,83.00M,-132.00M,-89.00M
2011-03,156.00M,,,,128.00M,128.00M,21.00M,20.00M,,,,,,,-493.00M,-168.00M,-161.00M,,-161.00M,,-1.00M,53.00M,-109.00M,-64.00M,,-64.00M,,-14.00M,-14.00M,15.00M,-15.00M,,35.00M,-58.00M,1.122B,-335.00M,7.00M,794.00M,,-44.00M,-20.00M,-14.00M
2010-12,294.00M,,,,128.00M,128.00M,39.00M,20.00M,,,,,,,-110.00M,371.00M,-158.00M,,-158.00M,,-79.00M,23.00M,-214.00M,-1.00M,,-1.00M,,-7.00M,-7.00M,-15.00M,-15.00M,,10.00M,-13.00M,978.00M,144.00M,0.00,1.122B,,44.00M,-45.00M,-7.00M
2010-09,208.00M,,,,125.00M,125.00M,22.00M,-40.00M,,,,,,,-31.00M,349.00M,-146.00M,,-146.00M,,1.00M,9.00M,-136.00M,-58.00M,,-58.00M,,-6.00M,-6.00M,-15.00M,-15.00M,,10.00M,-69.00M,834.00M,144.00M,0.00,978.00M,,-17.00M,-41.00M,-6.00M
2010-06,242.00M,,,,125.00M,125.00M,-5.00M,69.00M,,,,,,,166.00M,597.00M,-140.00M,,-140.00M,,-1.00M,4.00M,-137.00M,-421.00M,-15.00M,-436.00M,,-11.00M,-11.00M,-44.00M,-14.00M,,17.00M,-444.00M,812.00M,16.00M,6.00M,834.00M,,2.00M,-438.00M,-11.00M
2010-03,156.00M,,,,124.00M,124.00M,-2.00M,42.00M,,,,,,,-381.00M,-61.00M,-151.00M,,-151.00M,,-3.00M,23.00M,-131.00M,-488.00M,15.00M,-473.00M,,-14.00M,-14.00M,15.00M,-15.00M,,152.00M,-350.00M,1.364B,-542.00M,-10.00M,812.00M,,6.00M,-479.00M,-14.00M
2009-12,159.00M,,,,123.00M,123.00M,3.00M,5.00M,,,,,,,257.00M,547.00M,-113.00M,,-113.00M,,-1.00M,18.00M,-96.00M,-67.00M,,-67.00M,,-17.00M,-17.00M,-15.00M,-15.00M,,3.00M,-96.00M,1.004B,355.00M,5.00M,1.364B,,9.00M,-76.00M,-17.00M
2009-09,-458.00M,,,,130.00M,130.00M,-7.00M,-25.00M,,,,,,,44.00M,276.00M,-120.00M,,-120.00M,-22.00M,-39.00M,52.00M,-129.00M,-87.00M,,-72.00M,,-8.00M,-8.00M,-16.00M,-16.00M,0.00,117.00M,21.00M,845.00M,168.00M,-9.00M,1.004B,,1.00M,-88.00M,-8.00M
2009-06,130.00M,,,,130.00M,130.00M,52.00M,9.00M,,,,,,,-44.00M,277.00M,-88.00M,,-88.00M,5.00M,3.00M,19.00M,-61.00M,-241.00M,,-241.00M,,-7.00M,-7.00M,-44.00M,-14.00M,-4.00M,74.00M,-192.00M,817.00M,24.00M,4.00M,845.00M,,0.00,-241.00M,-7.00M
2009-03,-119.00M,,,,131.00M,131.00M,-19.00M,48.00M,,,,,,,223.00M,264.00M,-76.00M,,-76.00M,-24.00M,-3.00M,67.00M,-36.00M,742.00M,,742.00M,,-3.00M,-3.00M,,-15.00M,4.00M,-311.00M,417.00M,166.00M,645.00M,6.00M,817.00M,,752.00M,-10.00M,-3.00M
2008-12,-104.00M,,,,122.00M,122.00M,-59.00M,40.00M,,,,,,,144.00M,143.00M,-84.00M,,-84.00M,-52.00M,15.00M,-80.00M,-201.00M,58.00M,,58.00M,,-1.00M,-1.00M,,-15.00M,,-73.00M,-31.00M,250.00M,-89.00M,5.00M,166.00M,,99.00M,-41.00M,-1.00M
2008-09,48.00M,,,,119.00M,119.00M,33.00M,,,,,,,307.00M,-30.00M,253.00M,-95.00M,3.00M,-92.00M,,11.00M,-3.00M,-84.00M,,,-201.00M,275.00M,-5.00M,270.00M,,-14.00M,,-20.00M,35.00M,55.00M,204.00M,-9.00M,250.00M,275.00M,,,-5.00M
2008-06,9.00M,,,,123.00M,123.00M,-31.00M,,,,,,,-210.00M,-210.00M,-109.00M,-120.00M,4.00M,-116.00M,,7.00M,-16.00M,-125.00M,,,123.00M,4.00M,-9.00M,-5.00M,,-14.00M,,128.00M,232.00M,53.00M,-2.00M,4.00M,55.00M,4.00M,,,-9.00M
2008-03,-5.00M,,,,124.00M,124.00M,67.00M,,,,,,,-228.00M,-228.00M,-42.00M,-110.00M,9.00M,-101.00M,,-21.00M,4.00M,-118.00M,,,241.00M,2.00M,-12.00M,-10.00M,,-14.00M,,-60.00M,157.00M,55.00M,-3.00M,1.00M,53.00M,2.00M,,,-12.00M
2007-12,34.00M,,,,127.00M,127.00M,-34.00M,,,,,,,59.00M,59.00M,186.00M,-100.00M,10.00M,-90.00M,,22.00M,-4.00M,-72.00M,,,-74.00M,2.00M,-4.00M,-2.00M,,-14.00M,,-13.00M,-103.00M,42.00M,11.00M,2.00M,55.00M,2.00M,,,-4.00M
2007-09,32.00M,7.00M,,,128.00M,128.00M,-28.00M,,,,,,,410.00M,234.00M,373.00M,-121.00M,11.00M,-110.00M,,14.00M,-6.00M,-102.00M,,,-204.00M,14.00M,-7.00M,7.00M,,-14.00M,,-71.00M,-282.00M,48.00M,-11.00M,5.00M,42.00M,14.00M,,,-7.00M
2007-06,111.00M,-1.00M,,,130.00M,130.00M,-26.00M,,,,,,,-252.00M,-252.00M,-38.00M,-70.00M,57.00M,-13.00M,,2.00M,2.00M,-9.00M,,,37.00M,27.00M,-16.00M,11.00M,,-14.00M,,26.00M,60.00M,34.00M,13.00M,1.00M,48.00M,27.00M,,,-16.00M
2007-03,68.00M,-4.00M,,,128.00M,128.00M,-19.00M,,,,,,,-155.00M,-155.00M,18.00M,-51.00M,6.00M,-45.00M,,-4.00M,-1.00M,-50.00M,,,-25.00M,25.00M,-14.00M,11.00M,,-14.00M,,46.00M,18.00M,45.00M,-14.00M,3.00M,34.00M,25.00M,,,-14.00M
