,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.43B,1.43B,144.00M,,326.00M,1.001B,501.00M,621.00M,,2.123B,,252.00M,4.131B,,,,,,4.818B,-2.94B,1.878B,5.307B,12.40B,17.71B,19.03B,422.00M,39.05B,43.18B,,209.00M,1.325B,,1.534B,3.99B,5.524B,864.00M,864.00M,,6.388B,13.04B,13.04B,5.376B,5.376B,2.312B,2.00M,37.00M,230.00M,20.99B,27.38B,,935.00M,43.37B,5.948B,32.80B,,,-1.652B,15.80B,,AOR,Restated
2018-03,2.191B,2.191B,133.00M,,133.00M,1.104B,547.00M,606.00M,,2.257B,,243.00M,4.824B,,,,,,4.879B,-2.988B,1.891B,5.307B,12.40B,17.71B,19.05B,424.00M,39.08B,43.90B,,203.00M,1.33B,,1.533B,5.078B,6.611B,864.00M,864.00M,,7.475B,13.03B,13.03B,5.292B,5.292B,2.369B,3.00M,37.00M,296.00M,21.03B,28.50B,,935.00M,42.82B,5.938B,32.37B,,,-1.927B,15.39B,,AOR,Restated
2017-12,1.253B,1.253B,142.00M,,603.00M,1.111B,560.00M,554.00M,,2.225B,,263.00M,4.344B,0.00,302.00M,1.437B,2.975B,165.00M,4.879B,-2.965B,1.914B,5.307B,12.40B,17.71B,17.95B,1.285B,38.86B,43.20B,,374.00M,1.258B,,1.632B,4.296B,5.928B,864.00M,864.00M,,6.792B,13.03B,13.03B,5.247B,5.247B,2.432B,3.00M,38.00M,283.00M,21.03B,27.82B,,935.00M,42.25B,5.952B,31.86B,,,-1.897B,15.38B,,AOR,Restated
2017-09,2.582B,2.582B,148.00M,,148.00M,964.00M,432.00M,591.00M,,1.987B,,439.00M,5.156B,,,,,,4.846B,-2.939B,1.907B,5.307B,12.20B,17.50B,19.11B,480.00M,39.00B,44.16B,,270.00M,1.264B,,1.534B,5.128B,6.662B,,,,6.662B,13.89B,13.89B,8.234B,8.234B,2.796B,3.00M,37.00M,372.00M,25.33B,31.99B,,935.00M,38.54B,5.94B,31.30B,,,-1.946B,12.17B,,AOR,Restated
2017-06,2.255B,2.255B,119.00M,,119.00M,947.00M,434.00M,618.00M,,1.999B,,238.00M,4.611B,,,,,,4.852B,-2.952B,1.90B,5.307B,12.20B,17.50B,19.21B,505.00M,39.12B,43.73B,,194.00M,1.176B,108.00M,1.478B,4.104B,5.582B,,,,5.582B,13.89B,13.89B,8.527B,8.527B,2.879B,3.00M,36.00M,394.00M,25.72B,31.30B,,935.00M,37.94B,5.928B,30.55B,,,-1.838B,12.42B,,AOR,Restated
2017-03,5.228B,5.228B,135.00M,,135.00M,1.058B,492.00M,572.00M,,2.122B,,141.00M,7.626B,,,,,,4.856B,-2.933B,1.923B,5.307B,12.20B,17.51B,18.60B,520.00M,38.55B,46.18B,,235.00M,1.184B,416.00M,1.835B,6.465B,8.30B,,,,8.30B,13.88B,13.88B,8.309B,8.309B,2.95B,3.00M,38.00M,431.00M,25.61B,33.91B,,935.00M,37.12B,5.909B,29.50B,,,-2.212B,12.26B,,AOR,Restated
2016-12,4.569B,4.569B,151.00M,,420.00M,1.056B,512.00M,483.00M,,2.051B,,220.00M,7.26B,0.00,316.00M,1.481B,2.917B,121.00M,4.835B,-2.877B,1.958B,5.285B,12.04B,17.32B,18.88B,513.00M,38.67B,45.93B,,425.00M,1.188B,,1.613B,5.762B,7.375B,,,,7.375B,13.88B,13.88B,8.416B,8.416B,3.022B,3.00M,38.00M,427.00M,25.78B,33.16B,,935.00M,36.91B,5.893B,28.91B,,,-2.052B,12.77B,,AOR,Restated
2016-09,2.298B,2.298B,146.00M,,146.00M,1.018B,410.00M,552.00M,,1.98B,1.188B,791.00M,6.403B,,,,,,4.82B,-2.851B,1.969B,5.285B,12.04B,17.33B,6.872B,363.00M,26.53B,32.93B,,296.00M,1.193B,,1.489B,5.406B,6.895B,,,,6.895B,13.88B,13.88B,5.607B,5.607B,3.159B,3.00M,36.00M,412.00M,23.09B,29.99B,,935.00M,27.82B,5.864B,28.39B,,,-3.278B,2.944B,,AOR,Restated
2016-06,819.00M,819.00M,122.00M,,122.00M,1.016B,391.00M,563.00M,,1.97B,1.188B,501.00M,4.60B,,,,,,4.866B,-2.904B,1.962B,5.285B,12.05B,17.33B,7.032B,398.00M,26.72B,31.32B,,193.00M,1.107B,,1.30B,4.212B,5.512B,,,,5.512B,12.84B,12.84B,5.659B,5.659B,3.722B,3.00M,36.00M,415.00M,22.67B,28.18B,,935.00M,27.92B,5.851B,28.22B,,,-3.34B,3.14B,,AOR,Restated
2016-03,3.815B,3.815B,104.00M,,104.00M,1.172B,436.00M,500.00M,,2.108B,1.175B,296.00M,7.498B,,,,,,4.849B,-2.894B,1.955B,5.285B,12.02B,17.31B,6.908B,394.00M,26.56B,34.06B,,208.00M,1.109B,590.00M,1.907B,6.705B,8.612B,4.00M,4.00M,,8.616B,12.85B,12.85B,5.606B,5.606B,3.793B,3.00M,37.00M,417.00M,22.70B,31.32B,,935.00M,27.37B,5.818B,28.05B,,,-3.327B,2.745B,,AOR,Restated
