,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1993-12,182.00M,182.00M,3.982B,,3.982B,,,,,7.358B,,1.286B,12.81B,,,,,,16.93B,-6.467B,10.46B,,19.75B,19.75B,,8.188B,38.40B,51.20B,,3.137B,,,3.137B,,3.137B,2.935B,2.935B,8.396B,14.47B,15.22B,15.22B,3.067B,3.067B,,,,6.822B,25.11B,39.58B,,,15.72B,,,,,,11.63B,,,
1993-09,355.00M,355.00M,,,4.676B,,,,,7.909B,,969.00M,13.91B,,,,,,17.85B,-6.716B,11.14B,,19.72B,19.72B,,7.452B,38.31B,52.22B,,2.549B,,,2.549B,,2.549B,2.684B,2.684B,7.968B,13.20B,16.88B,16.88B,3.297B,3.297B,,,,6.232B,26.41B,39.61B,,,16.36B,,,,,,12.60B,,,
1993-06,286.00M,286.00M,,,4.67B,,,,,7.958B,,915.00M,13.83B,,,,,,17.78B,-6.625B,11.16B,,19.80B,19.80B,,7.523B,38.49B,52.32B,,2.491B,,,2.491B,,2.491B,2.154B,2.154B,7.942B,12.59B,17.48B,17.48B,3.104B,3.104B,,,,6.939B,27.52B,40.11B,,,15.96B,,,,,,12.21B,,,
1993-03,1.64B,1.64B,,,4.577B,,,,,8.019B,,923.00M,15.16B,,,,,,16.98B,-6.243B,10.74B,,18.70B,18.70B,,6.78B,36.22B,51.38B,,2.245B,,,2.245B,,2.245B,4.884B,4.884B,8.246B,15.38B,15.11B,15.11B,2.934B,2.934B,,,,6.049B,24.09B,39.46B,,,15.49B,,,,,,11.92B,,,
1992-12,1.021B,1.021B,4.147B,,4.147B,,,,,7.785B,,953.00M,13.91B,,,,,,16.51B,-5.982B,10.53B,,18.52B,18.52B,,7.055B,36.11B,50.01B,,2.401B,,,2.401B,,2.401B,2.862B,2.862B,8.00B,13.26B,14.58B,14.58B,2.888B,2.888B,,,,6.717B,24.19B,37.45B,,,14.87B,,,,,,12.56B,,,
1992-09,414.00M,414.00M,,,4.977B,,,,,8.091B,,901.00M,14.38B,,,,,,16.44B,-5.98B,10.46B,,18.78B,18.78B,,7.237B,36.48B,50.87B,,2.263B,,,2.263B,,2.263B,3.499B,3.499B,8.542B,14.30B,14.77B,14.77B,2.77B,2.77B,,,,5.851B,23.39B,37.69B,,,14.24B,,,,,,13.18B,,,
1992-06,675.00M,675.00M,,,4.829B,,,,,7.50B,,892.00M,13.90B,,,,,,15.87B,-5.718B,10.15B,,18.41B,18.41B,,6.643B,35.21B,49.11B,,2.034B,,,2.034B,,2.034B,2.952B,2.952B,8.428B,13.41B,14.71B,14.71B,2.659B,2.659B,,,,5.638B,23.01B,36.42B,,,13.52B,,,,,,12.68B,,,
1992-03,108.00M,108.00M,,,4.613B,,,,,7.744B,,931.00M,13.40B,,,,,,15.54B,-5.569B,9.972B,,18.30B,18.30B,,6.209B,34.48B,47.87B,,2.101B,,,2.101B,,2.101B,2.523B,2.523B,7.584B,12.21B,15.04B,15.04B,2.558B,2.558B,,,,5.576B,23.17B,35.38B,,,12.65B,,,,,,12.50B,,,
1991-12,126.00M,126.00M,,,4.121B,,,,,7.445B,,902.00M,12.59B,,,,,,15.28B,-5.335B,9.946B,,18.62B,18.62B,,6.22B,34.79B,47.38B,,2.82B,,,2.82B,,2.82B,2.687B,2.687B,7.135B,12.64B,14.21B,14.21B,2.474B,2.474B,,,,5.543B,22.23B,34.87B,,,12.04B,,,,,,12.51B,,,
1991-09,128.00M,128.00M,,,4.403B,,,,,7.249B,,842.00M,12.62B,,,,,,14.80B,-5.135B,9.665B,,18.25B,18.25B,,6.027B,33.94B,46.56B,,1.847B,,,1.847B,,1.847B,2.454B,2.454B,7.543B,11.84B,15.04B,15.04B,2.952B,2.952B,,,,3.605B,21.59B,33.44B,,,12.76B,,,,,,13.13B,,,
1991-06,116.00M,116.00M,,,4.327B,,,,,6.851B,,867.00M,12.16B,,,,,,14.25B,-4.874B,9.38B,,18.15B,18.15B,,5.646B,33.18B,45.34B,,2.173B,,,2.173B,,2.173B,2.30B,2.30B,6.822B,11.30B,15.07B,15.07B,2.883B,2.883B,,,,3.645B,21.60B,32.89B,,,12.16B,,,,,,12.45B,,,
1991-03,115.00M,115.00M,,,4.437B,,,,,7.46B,,886.00M,12.90B,,,,,,14.19B,-4.787B,9.405B,,18.59B,18.59B,,5.641B,33.64B,46.53B,,2.044B,,,2.044B,,2.044B,2.98B,2.98B,7.222B,12.25B,15.78B,15.78B,2.784B,2.784B,,,,3.633B,22.20B,34.44B,,,11.44B,,,,,,12.09B,,,
1990-12,146.00M,146.00M,,,4.101B,,,,,7.153B,,967.00M,12.37B,,,,,,14.28B,-4.677B,9.604B,,19.04B,19.04B,,5.561B,34.20B,46.57B,,2.462B,,,2.462B,,2.462B,2.621B,2.621B,7.001B,12.08B,16.12B,16.12B,2.698B,2.698B,,,,3.719B,22.54B,34.62B,,,10.96B,,,,,,11.95B,,,
1990-09,2.009B,2.009B,,,4.232B,,,,,6.864B,,1.059B,14.16B,,,,,,13.85B,-4.459B,9.389B,,18.94B,18.94B,,5.482B,33.81B,47.97B,,2.221B,,,2.221B,,2.221B,3.954B,3.954B,7.264B,13.44B,17.64B,17.64B,2.331B,2.331B,,,,3.222B,23.19B,36.63B,,,10.56B,,,,,,11.34B,,,
1990-06,93.00M,93.00M,,,3.484B,,,,,5.988B,,452.00M,10.02B,,,,,,12.76B,-4.231B,8.534B,,15.58B,15.58B,,5.074B,29.18B,39.20B,,1.78B,,,1.78B,,1.78B,1.179B,1.179B,6.07B,9.029B,14.77B,14.77B,2.146B,2.146B,,,,2.752B,19.67B,28.70B,,,10.06B,,,,,,10.50B,,,
1990-03,114.00M,114.00M,,,3.563B,,,,,6.236B,,490.00M,10.40B,,,,,,12.56B,-4.075B,8.49B,,15.67B,15.67B,,4.946B,29.10B,39.51B,,1.743B,,,1.743B,,1.743B,2.334B,2.334B,5.771B,9.848B,14.93B,14.93B,2.11B,2.11B,,,,2.722B,19.77B,29.61B,,,9.478B,,,,,,9.893B,,,
1989-12,118.00M,118.00M,,,2.956B,,,,,5.751B,,555.00M,9.38B,,,,,,12.36B,-3.90B,8.457B,,15.68B,15.68B,,5.009B,29.15B,38.53B,,1.917B,,,1.917B,,1.917B,1.564B,1.564B,5.785B,9.266B,14.86B,14.86B,2.008B,2.008B,,,,2.822B,19.69B,28.96B,,,9.079B,,,,,,9.571B,,,
1989-09,139.00M,139.00M,,,3.328B,,,,,5.387B,,432.00M,9.286B,,,,,,12.63B,-3.735B,8.892B,,14.92B,14.92B,,5.032B,28.85B,38.13B,,1.543B,,,1.543B,,1.543B,1.746B,1.746B,5.713B,9.002B,15.82B,15.82B,2.09B,2.09B,,,,2.305B,20.22B,29.22B,,,8.59B,,,,,,8.911B,,,
1989-06,178.00M,178.00M,,,3.166B,,,,,5.267B,,453.00M,9.064B,,,,,,12.35B,-3.566B,8.787B,,14.96B,14.96B,,4.936B,28.68B,37.75B,,1.481B,,,1.481B,,1.481B,1.041B,1.041B,5.468B,7.99B,17.15B,17.15B,1.981B,1.981B,,,,2.212B,21.34B,29.33B,,,8.647B,,,,,,8.415B,,,
1988-12,168.00M,168.00M,,,2.222B,,,,,5.384B,,377.00M,8.151B,,,,,,11.93B,-3.284B,8.648B,,15.07B,15.07B,,5.09B,28.81B,36.96B,,,,,,,,560.00M,560.00M,7.409B,7.969B,15.88B,15.88B,825.00M,825.00M,,,,4.605B,21.31B,29.28B,,,7.833B,,,,,,7.679B,,,
1987-12,189.00M,189.00M,,,2.083B,,,,,4.154B,,146.00M,6.572B,,,,,,9.398B,-2.816B,6.582B,,4.052B,4.052B,,1.939B,12.57B,19.14B,,,,,,,,1.156B,1.156B,4.02B,5.176B,5.222B,5.222B,1.288B,1.288B,,,,636.00M,7.146B,12.32B,,,6.437B,,,,,,6.823B,,,
1986-12,73.00M,73.00M,,,1.878B,,,,,3.836B,,127.00M,5.914B,,,,,,8.486B,-2.249B,6.237B,,3.988B,3.988B,,1.503B,11.73B,17.64B,,,,,,,,967.00M,967.00M,3.515B,4.482B,5.945B,5.945B,994.00M,994.00M,,,,566.00M,7.505B,11.99B,,,5.344B,,,,,,5.655B,,,
1985-12,156.00M,156.00M,,,1.797B,,,,,3.827B,,113.00M,5.893B,,,,,,7.518B,-1.834B,5.684B,,4.457B,4.457B,,1.395B,11.54B,17.43B,,,,,,,,678.00M,678.00M,3.289B,3.967B,7.331B,7.331B,872.00M,872.00M,,,,522.00M,8.725B,12.69B,,,4.456B,,,,,,4.737B,,,
1984-12,93.70M,93.70M,,,854.30M,,,,,2.654B,,38.60M,3.640B,,,,,,5.580B,-1.567B,4.014B,,547.10M,547.10M,,1.138B,5.699B,9.339B,,,,,,,,529.10M,529.10M,1.822B,2.352B,2.060B,2.060B,783.70M,783.70M,,,,51.60M,2.895B,5.246B,,,4.210B,,,,,,4.093B,,,
