,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2020-09,2.575B,2.575B,1.869B,706.20M,443.46M,0.00,0.00,14.85M,-14.85M,443.46M,262.74M,14.85M,-14.85M,0.726M,-14.85M,248.62M,43.16M,205.45M,,-0.336M,,205.12M,207.71M,414.81M,151.34M,263.47M,2.88,,,2.9160000000000004,2.88,2.87,,,2.906,2.87,71.20M,71.38M
2020-06,2.050B,2.050B,1.680B,369.97M,430.92M,3.599M,-3.599M,12.96M,-12.96M,430.92M,-60.96M,12.96M,-12.96M,-1.037M,-12.96M,-74.95M,-26.36M,-48.59M,,0.331M,,-48.26M,-47.46M,92.10M,154.09M,-62.00M,-0.68,,,-0.6688,-0.68,-0.68,,,-0.6688,-0.68,71.19M,71.19M
2020-03,2.286B,2.286B,1.669B,616.44M,464.96M,,,8.671M,-8.671M,464.96M,151.48M,8.671M,-8.671M,-5.679M,-8.671M,137.13M,26.67M,110.46M,,0.049M,,110.51M,116.65M,291.32M,145.52M,145.80M,1.54,,,1.626,1.54,1.54,,,1.625,1.54,71.55M,71.78M
2019-12,2.425B,2.425B,1.802B,622.81M,467.99M,-5.266M,4.911M,10.96M,-10.96M,467.99M,154.81M,10.96M,-10.96M,9.522M,-10.96M,153.37M,-111.30M,264.67M,,-0.006M,,264.67M,255.98M,318.10M,153.76M,164.34M,3.69,,,3.568,3.69,3.68,,,3.5580000000000003,3.68,71.04M,71.32M
2019-09,2.519B,2.519B,1.827B,691.69M,451.47M,65.17M,-64.51M,9.316M,-9.316M,451.47M,240.22M,9.316M,-9.316M,-52.71M,-9.316M,178.19M,22.52M,155.67M,,-0.151M,,155.52M,210.87M,332.43M,144.92M,187.51M,2.16,,,2.928,2.16,2.15,,,2.915,2.15,72.11M,72.39M
2019-06,2.584B,2.584B,1.848B,736.62M,469.76M,,,10.52M,-10.52M,469.76M,266.86M,10.52M,-10.52M,3.048M,-10.52M,259.39M,56.73M,202.65M,,-0.213M,,202.44M,204.07M,410.39M,140.48M,269.91M,2.8,,,2.823,2.8,2.79,,,2.812,2.79,72.40M,72.68M
2019-03,2.442B,2.442B,1.818B,624.93M,459.60M,,,10.47M,-10.47M,459.60M,165.33M,10.47M,-10.47M,3.736M,-10.47M,158.59M,37.02M,121.58M,,0.01M,,121.58M,120.73M,306.36M,137.29M,169.07M,1.68,,,1.6680000000000001,1.68,1.67,,,1.6580000000000001,1.67,72.34M,72.65M
2018-12,2.449B,2.449B,1.802B,646.39M,433.01M,0.00,-2.857M,14.41M,-14.41M,433.01M,213.38M,14.41M,-14.41M,-0.504M,-14.41M,198.46M,-31.58M,230.04M,,-4.596M,,225.45M,229.31M,351.96M,139.09M,212.87M,3.07,,,3.122,3.07,3.05,,,3.102,3.05,73.86M,74.16M
2018-09,2.546B,2.546B,1.825B,720.43M,433.19M,0.00,0.00,9.025M,-9.025M,433.19M,287.24M,9.025M,-9.025M,-0.706M,-9.025M,277.51M,49.49M,228.03M,,-1.013M,,227.01M,229.03M,419.51M,132.97M,286.54M,3.03,,,3.057,3.03,3.02,,,3.0469999999999997,3.02,74.60M,74.94M
2018-06,2.577B,2.577B,1.810B,766.56M,440.25M,,0.00,7.863M,-7.863M,440.25M,326.31M,7.863M,-7.863M,-2.09M,-7.863M,316.35M,118.81M,197.54M,,-0.959M,,196.59M,198.66M,451.26M,127.05M,324.22M,2.64,,,2.668,2.64,2.62,,,2.648,2.62,74.60M,74.94M
2018-03,2.412B,2.412B,1.708B,704.69M,436.29M,,-1.749M,7.528M,-7.528M,436.29M,268.40M,7.528M,-7.528M,-3.998M,-7.528M,256.87M,47.63M,209.24M,,-0.78M,,208.46M,211.03M,387.06M,122.65M,264.40M,2.8,,,2.835,2.8,2.78,,,2.8139999999999996,2.78,74.45M,74.93M
2017-12,2.369B,2.369B,1.615B,753.62M,410.16M,,-4.459M,7.257M,-7.257M,410.16M,343.47M,7.257M,-7.257M,-3.75M,-7.257M,332.46M,91.59M,240.87M,,-0.488M,,240.38M,245.16M,458.09M,118.37M,339.72M,3.23,,,3.2939999999999996,3.23,3.21,,,3.2739999999999996,3.21,74.44M,74.87M
2017-09,2.449B,2.449B,1.665B,783.30M,403.20M,,0.00,7.259M,-7.259M,403.20M,380.10M,7.259M,-7.259M,-1.285M,-7.259M,371.55M,100.53M,271.02M,,-1.043M,,269.98M,272.58M,492.33M,113.52M,378.81M,3.63,,,3.665,3.63,3.61,,,3.645,3.61,74.34M,74.84M
2017-06,2.453B,2.453B,1.674B,779.14M,423.31M,,,8.393M,-8.393M,423.31M,355.82M,8.393M,-8.393M,-3.002M,-8.393M,344.43M,82.68M,261.75M,,-1.067M,,260.68M,264.49M,462.58M,109.76M,352.82M,3.51,,,3.5610000000000004,3.51,3.48,,,3.531,3.48,74.33M,74.80M
2017-03,2.221B,2.221B,1.540B,680.35M,405.57M,,0.00,8.202M,-8.202M,405.57M,274.78M,8.202M,-8.202M,2.832M,-8.202M,269.41M,68.36M,201.06M,,-0.502M,,200.55M,198.82M,382.64M,105.02M,277.62M,2.7,,,2.677,2.7,2.68,,,2.657,2.68,74.21M,74.75M
2016-12,2.183B,2.183B,1.492B,691.00M,385.73M,,-3.003M,8.485M,-8.485M,385.73M,305.27M,8.485M,-8.485M,3.19M,-8.485M,299.98M,65.47M,234.51M,,-0.707M,,233.80M,233.75M,412.84M,104.38M,308.46M,3.15,,,3.1489999999999996,3.15,3.13,,,3.1289999999999996,3.13,74.16M,74.62M
2016-09,2.294B,2.294B,1.568B,726.56M,348.25M,,-2.368M,9.41M,-9.41M,348.25M,378.31M,9.41M,-9.41M,-3.839M,-9.41M,365.06M,94.23M,270.83M,,-1.002M,,269.82M,272.17M,478.15M,103.68M,374.47M,3.64,,,3.6719999999999997,3.64,3.62,,,3.6510000000000002,3.62,74.15M,74.61M
2016-06,2.310B,2.310B,1.555B,755.59M,404.90M,,,10.35M,-10.35M,404.90M,350.69M,10.35M,-10.35M,5.807M,-10.35M,346.15M,90.03M,256.11M,,-0.926M,,255.19M,253.96M,457.71M,101.21M,356.50M,3.44,,,3.423,3.44,3.42,,,3.403,3.42,74.12M,74.57M
2016-03,2.172B,2.172B,1.532B,639.68M,394.01M,,,12.30M,-12.30M,394.01M,245.67M,12.30M,-12.30M,-3.429M,-12.30M,229.94M,57.82M,172.12M,,-0.569M,,171.55M,175.32M,342.44M,100.19M,242.24M,2.32,,,2.371,2.32,2.3,,,2.351,2.3,73.98M,74.49M
2015-12,1.998B,1.998B,1.376B,622.21M,372.97M,,,18.48M,-18.48M,372.97M,249.24M,18.48M,-18.48M,-11.52M,-18.48M,219.24M,27.23M,192.00M,,-0.449M,,191.56M,192.08M,331.74M,94.02M,237.72M,2.59,,,2.597,2.59,2.57,,,2.577,2.57,73.91M,74.45M
