,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,781.24M,407.78M,1.189B,1.697B,87.11M,1.711B,408.69M,122.61M,1.311B,1.842B,374.88M,,,35.16M,5.152B,,,,,8.804B,,,8.804B,-4.095B,4.708B,2.575B,918.78M,3.493B,430.52M,,8.632B,13.78B,989.88M,,,989.88M,586.23M,1.576B,53.52M,,4.229M,356.13M,360.36M,97.78M,458.14M,,,,2.387B,2.283B,214.65M,2.497B,411.29M,411.29M,6.412M,,321.31M,3.230B,5.617B,0.785M,7.431B,1.880B,215.65M,,,,-935.42M,8.161B
2020-06,737.71M,,737.71M,1.563B,92.66M,1.586B,427.29M,117.59M,1.377B,1.922B,399.97M,,,99.87M,4.746B,,,,,8.723B,,,8.723B,-3.971B,4.753B,2.542B,910.84M,3.453B,418.07M,,8.623B,13.37B,845.26M,,,845.26M,488.99M,1.334B,53.77M,,3.093M,135.35M,138.44M,118.30M,256.74M,,,,1.872B,2.573B,226.56M,2.800B,434.26M,434.26M,6.052M,,338.34M,3.572B,5.445B,0.785M,7.226B,1.875B,215.65M,,,,-966.78M,7.919B
2020-03,263.09M,,263.09M,1.612B,88.87M,1.645B,498.08M,136.58M,1.561B,2.195B,419.10M,,,90.66M,4.613B,,,,,8.599B,,,8.599B,-3.795B,4.804B,2.520B,904.02M,3.424B,415.67M,,8.644B,13.26B,899.18M,,,899.18M,416.30M,1.315B,51.98M,,6.981M,1.211B,1.218B,106.67M,1.324B,,,,2.871B,1.514B,238.83M,1.753B,480.04M,480.04M,6.275M,,305.15M,2.538B,5.409B,0.785M,7.274B,1.870B,215.65M,,,,-1.088B,7.841B
2019-12,134.78M,,134.78M,1.492B,88.52M,1.527B,526.95M,144.64M,1.611B,2.282B,415.55M,,,70.18M,4.429B,0.0,469.84M,1.791B,5.765B,323.00M,366.14M,103.76M,8.819B,-3.797B,5.022B,2.570B,928.88M,3.499B,436.40M,,8.957B,13.39B,824.96M,,,824.96M,482.08M,1.307B,49.18M,,9.924M,1.051B,1.061B,101.94M,1.163B,,,,2.713B,1.518B,228.16M,1.747B,473.89M,473.89M,6.607M,,327.22M,2.548B,5.260B,0.79M,7.232B,1.868B,215.71M,,,,-765.82M,8.120B
2019-09,111.30M,,111.30M,1.763B,78.40M,1.787B,550.34M,150.09M,1.638B,2.338B,425.60M,,,65.77M,4.728B,,,,,8.691B,,,8.691B,-3.757B,4.935B,2.519B,916.95M,3.436B,294.10M,,8.665B,13.39B,964.10M,,,964.10M,502.39M,1.466B,46.98M,,4.064M,1.273B,1.277B,102.68M,1.380B,,,,3.115B,1.484B,238.56M,1.722B,434.91M,434.91M,6.511M,,355.73M,2.513B,5.627B,0.792M,6.991B,1.865B,215.71M,,,,-882.29M,7.759B
2019-06,128.10M,,128.10M,1.794B,81.29M,1.819B,555.75M,154.96M,1.657B,2.368B,419.78M,,,73.34M,4.808B,,,,,8.741B,,,8.741B,-3.683B,5.058B,2.566B,950.62M,3.516B,423.44M,,8.998B,13.81B,976.23M,,,976.23M,470.68M,1.447B,47.87M,,7.559M,1.892B,1.899B,100.34M,1.999B,,,,3.706B,1.169B,249.84M,1.419B,422.54M,422.54M,6.518M,,436.84M,2.279B,5.985B,0.797M,6.903B,1.859B,215.71M,,,,-732.52M,7.815B
2019-03,105.67M,,105.67M,1.717B,88.23M,1.744B,545.69M,166.75M,1.626B,2.338B,427.23M,,,74.36M,4.689B,,,,,8.603B,,,8.603B,-3.608B,4.995B,2.549B,950.56M,3.500B,421.31M,,8.916B,13.61B,914.20M,,,914.20M,414.58M,1.329B,46.13M,,3.626M,1.763B,1.767B,99.64M,1.867B,,,,3.434B,1.498B,227.60M,1.726B,422.77M,422.77M,6.244M,,445.44M,2.594B,6.028B,0.798M,6.710B,1.853B,215.72M,,,,-777.55M,7.571B
2018-12,119.05M,,119.05M,1.562B,101.38M,1.606B,539.89M,165.62M,1.582B,2.288B,421.55M,,,74.92M,4.509B,0.0,407.78M,1.584B,5.565B,,575.67M,94.68M,8.227B,-3.527B,4.700B,2.521B,961.81M,3.483B,407.15M,,8.590B,13.10B,811.88M,,,811.88M,452.34M,1.264B,47.51M,,14.62M,1.742B,1.757B,0.00,1.757B,,,,3.266B,1.516B,0.00,1.516B,413.74M,413.74M,6.245M,,463.48M,2.393B,5.659B,0.797M,6.588B,1.852B,215.74M,,,,-791.61M,7.434B
2018-09,91.35M,,91.35M,1.727B,101.71M,1.756B,509.45M,166.73M,1.538B,2.214B,416.80M,,,70.31M,4.548B,,,,,8.054B,,,8.054B,-3.468B,4.586B,2.522B,944.66M,3.467B,399.42M,,8.452B,13.00B,925.24M,,,925.24M,440.52M,1.366B,44.62M,,6.629M,1.334B,1.340B,,1.340B,,,,2.957B,1.529B,,1.529B,400.69M,400.69M,8.021M,31.23M,511.41M,2.472B,5.429B,0.82M,6.636B,1.847B,215.74M,,,,-704.38M,7.564B
2018-06,518.23M,,518.23M,1.717B,91.37M,1.738B,457.89M,156.43M,1.447B,2.061B,385.23M,,,71.09M,4.774B,,,,,7.790B,,,7.790B,-3.369B,4.421B,2.447B,858.53M,3.306B,393.71M,,8.120B,12.89B,951.20M,,,951.20M,400.87M,1.352B,38.97M,,7.325M,1.147B,1.154B,,1.154B,,,,2.736B,1.884B,,1.884B,365.38M,365.38M,7.88M,30.04M,505.09M,2.785B,5.521B,0.82M,6.410B,1.842B,215.74M,,,,-671.13M,7.366B
