,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,205.45M,-2.085M,-2.085M,151.34M,151.34M,-17.13M,0.00,4.883M,,11.11M,-113.92M,82.92M,,286.04M,39.95M,-29.89M,-20.18M,244.93M,598.50M,-69.14M,,-69.14M,0.00,-351.08M,,-420.23M,-1.208M,-131.77M,-132.98M,,-0.122M,-0.122M,,1.091M,-132.01M,737.71M,46.26M,-2.738M,781.24M,,82.03M,-215.01M,-0.122M
2020-06,-48.59M,2.56M,2.56M,154.09M,154.09M,-48.90M,,4.635M,,62.04M,71.94M,281.86M,,46.45M,35.25M,7.179M,,442.68M,568.52M,-80.64M,,-80.64M,0.00,3.60M,,-77.04M,170.64M,-179.07M,-8.429M,,-0.021M,-0.021M,,-15.78M,-24.23M,263.09M,467.25M,7.376M,737.71M,,2.421B,-2.429B,-0.021M
2020-03,110.46M,0.901M,0.901M,145.52M,145.52M,3.481M,,5.041M,,11.71M,-168.74M,24.28M,,66.18M,-26.57M,22.72M,,-82.14M,194.97M,-115.63M,,-115.63M,0.00,-17.80M,,-133.43M,546.98M,-384.80M,162.18M,,-72.04M,-72.04M,,-2.944M,87.20M,134.78M,148.74M,-20.44M,263.09M,,3.873B,-3.711B,-72.04M
2019-12,264.67M,0.037M,0.037M,153.76M,153.76M,-117.14M,-5.266M,6.392M,,44.81M,285.40M,67.69M,,-302.70M,42.57M,-10.62M,11.08M,93.42M,440.68M,-139.85M,,-139.85M,-4.235M,2.50M,,-141.58M,-6.188M,-249.50M,-255.68M,,-27.48M,-27.48M,,3.589M,-279.57M,111.30M,19.52M,3.96M,134.78M,,3.021B,-3.277B,-27.48M
2019-09,155.67M,-3.41M,-3.41M,144.92M,144.92M,2.267M,65.17M,5.651M,,7.775M,-0.79M,-1.227M,,45.00M,-11.54M,13.35M,-11.08M,33.72M,411.76M,-124.56M,,-124.56M,0.00,4.00M,,-120.56M,-8.796M,-224.12M,-232.92M,,-67.71M,-67.71M,,-4.245M,-304.87M,128.10M,-13.67M,-3.126M,111.30M,,3.695B,-3.928B,-67.71M
2019-06,202.65M,3.817M,3.817M,140.48M,140.48M,-2.867M,,5.788M,,4.821M,-60.14M,-19.84M,,134.43M,-24.93M,11.97M,,41.50M,396.19M,-144.11M,,-144.11M,0.00,2.00M,,-142.11M,7.914M,-235.07M,-227.16M,,-9.005M,-9.005M,,3.929M,-232.24M,105.67M,21.84M,0.585M,128.10M,,4.614B,-4.841B,-9.005M
2019-03,121.58M,1.164M,1.164M,137.29M,137.29M,9.903M,,5.789M,,32.94M,-142.52M,-39.41M,,71.20M,-2.474M,-25.32M,,-138.52M,170.14M,-136.95M,,-136.95M,-76.85M,2.00M,,-211.80M,-37.62M,80.05M,42.43M,,-4.669M,-4.669M,,-10.96M,26.80M,119.05M,-14.86M,1.476M,105.67M,,3.990B,-3.948B,-4.669M
2018-12,230.04M,1.048M,1.048M,139.09M,139.09M,12.76M,,4.685M,,16.20M,194.69M,-45.58M,,-259.94M,-11.36M,5.216M,,-116.97M,286.86M,-151.16M,,-151.16M,-143.66M,-9.037M,,-303.85M,-26.95M,375.29M,348.34M,,-274.88M,-274.88M,,-26.98M,46.48M,91.35M,29.49M,-1.79M,119.05M,,5.267B,-4.919B,-274.88M
2018-09,228.03M,-0.447M,-0.447M,132.97M,132.97M,22.66M,,5.104M,,11.48M,17.30M,-77.31M,,-38.70M,-28.48M,0.89M,,-126.30M,273.50M,-144.60M,,-144.60M,-400.89M,3.00M,,-542.49M,-60.48M,-95.24M,-155.72M,,0.00,0.00,,-0.761M,-156.48M,518.23M,-425.47M,-1.401M,91.35M,,4.222B,-4.378B,0.00
2018-06,197.54M,0.471M,0.471M,127.05M,127.05M,33.63M,,13.64M,,13.13M,-93.84M,-58.01M,,243.04M,-39.46M,0.561M,,52.29M,437.76M,-247.42M,,-247.42M,0.00,3.00M,,-244.42M,378.25M,-161.34M,216.91M,,-0.044M,-0.044M,,4.561M,221.43M,114.84M,414.77M,-11.39M,518.23M,,4.217B,-4.000B,-0.044M
2018-03,209.24M,-1.277M,-1.277M,122.65M,122.65M,19.40M,,7.948M,,18.18M,-104.29M,-74.50M,,-14.25M,-0.182M,0.297M,,-192.92M,183.23M,-250.94M,,-250.94M,-24.41M,33.90M,,-241.44M,-10.64M,113.28M,102.65M,,-9.144M,-9.144M,,-6.904M,86.60M,84.88M,28.38M,1.574M,114.84M,,4.445B,-4.343B,-9.144M
2017-12,240.87M,2.082M,2.082M,118.37M,118.37M,-92.14M,,5.715M,,9.986M,106.21M,-31.28M,,-0.978M,-50.45M,10.98M,,34.49M,319.37M,-251.37M,,-251.37M,-0.033M,-83.90M,,-335.30M,39.83M,-24.00M,15.82M,,-1.647M,-1.647M,,2.165M,16.34M,84.50M,0.41M,-0.028M,84.88M,,4.355B,-4.340B,-1.647M
2017-09,271.02M,1.306M,1.306M,113.52M,113.52M,11.87M,,7.177M,,10.75M,-0.132M,-28.72M,,8.745M,62.78M,2.038M,,44.71M,460.34M,-229.21M,,-229.21M,-0.298M,0.00,,-229.50M,166.80M,-442.14M,-275.35M,,0.00,0.00,,-5.297M,-280.64M,130.24M,-49.81M,4.07M,84.50M,,4.021B,-4.297B,0.00
2017-06,261.75M,0.368M,0.368M,109.76M,109.76M,-15.52M,,13.96M,,13.33M,-56.88M,-41.78M,,29.79M,-61.44M,-5.337M,,-135.66M,248.00M,-224.15M,,-224.15M,-249.64M,,,-473.79M,153.14M,11.53M,164.68M,,0.00,0.00,,1.764M,166.44M,188.44M,-59.36M,1.16M,130.24M,,4.245B,-4.080B,0.00
2017-03,201.06M,0.547M,0.547M,105.02M,105.02M,20.19M,,9.467M,,3.025M,-109.76M,-51.47M,,-12.19M,-3.005M,2.989M,,-173.43M,165.88M,-201.27M,,-201.27M,-0.827M,0.00,,-202.10M,-527.76M,632.56M,104.79M,,-12.26M,-12.26M,,-1.667M,90.87M,121.66M,54.65M,12.12M,188.44M,,3.946B,-3.841B,-12.26M
2016-12,234.51M,14.78M,14.78M,104.38M,104.38M,-6.122M,0.00,6.218M,,10.16M,96.42M,-28.34M,,-84.70M,-13.11M,10.75M,,-18.98M,344.95M,-211.36M,,-211.36M,0.00,,,-211.36M,5.745M,-129.48M,-123.73M,,-1.16M,-1.16M,,0.136M,-124.75M,112.11M,8.828M,0.729M,121.66M,,2.712B,-2.835B,-1.16M
