,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,147.76M,,147.76M,212.93M,,221.60M,,98.54M,,,518.48M,,,,,,,,672.93M,-415.04M,257.88M,685.97M,468.49M,1.154B,122.02M,233.86M,1.768B,2.287B,,11.57M,,11.57M,145.88M,157.45M,,,,0.117M,,0.117M,193.41M,193.41M,,,350.97M,0.149M,,0.149M,252.65M,69.47M,322.12M,68.28M,390.56M,741.53M,,1.037M,2.333B,503.20M,1.292B,1.545B,,AOR,
2020-09,195.32M,,195.32M,223.01M,,223.01M,,103.10M,,,574.54M,,,,,,,,680.83M,-417.12M,263.71M,686.33M,468.34M,1.155B,116.99M,225.15M,1.761B,2.335B,,6.835M,0.878M,7.713M,144.77M,152.49M,,,,0.126M,,0.126M,254.76M,254.76M,,,407.38M,0.169M,,0.169M,246.39M,67.74M,314.14M,69.64M,383.95M,791.33M,,1.037M,2.293B,497.03M,1.248B,1.544B,,AOR,
2020-06,213.34M,,213.34M,300.94M,,322.00M,,95.52M,,,669.10M,0.00,46.65M,146.19M,428.24M,0.355M,0.279M,56.11M,677.82M,-404.39M,273.43M,686.33M,465.49M,1.152B,113.52M,220.59M,1.759B,2.428B,,9.88M,,9.88M,166.69M,176.57M,,,,,0.115M,0.115M,318.16M,318.16M,,,494.84M,,0.208M,0.208M,244.00M,71.46M,315.46M,68.27M,383.94M,878.79M,,1.036M,2.235B,495.00M,1.182B,1.550B,,AOR,
2020-03,109.51M,,109.51M,212.06M,,219.12M,,109.45M,,,479.65M,,,,,,,,,,277.09M,686.33M,466.84M,1.153B,106.39M,213.11M,1.750B,2.229B,,11.67M,,11.67M,126.34M,138.01M,,,,0.081M,,0.081M,160.32M,160.32M,,,298.41M,55.17M,,55.17M,228.68M,66.11M,294.80M,67.19M,417.15M,715.56M,,1.036M,2.207B,487.59M,1.182B,1.514B,,AOR,
2019-12,72.51M,,72.51M,204.70M,,204.70M,,99.30M,,,427.73M,,,,,,,,675.94M,-397.24M,278.70M,686.33M,474.81M,1.161B,101.30M,218.56M,1.760B,2.187B,,10.67M,0.676M,11.35M,116.38M,127.73M,,,,,,,215.42M,215.42M,,,343.15M,,,,223.74M,61.58M,285.32M,72.22M,357.54M,700.69M,,1.036M,2.166B,481.00M,1.161B,1.487B,,AOR,Restated
2019-09,96.68M,,96.68M,234.36M,,234.36M,,102.19M,,,484.12M,,,,,,,,659.43M,-384.90M,274.53M,686.03M,472.23M,1.158B,96.81M,212.25M,1.742B,2.226B,,13.62M,5.874M,19.50M,106.75M,126.25M,,,,,,,266.83M,266.83M,,,393.08M,,,,221.96M,58.72M,280.68M,75.56M,356.24M,749.32M,,1.035M,2.125B,475.22M,1.124B,1.477B,,AOR,Restated
2019-06,93.63M,,93.63M,310.08M,,327.90M,,106.47M,,,569.45M,0.00,48.45M,147.22M,404.39M,,12.41M,48.48M,660.96M,-388.48M,272.47M,666.94M,451.14M,1.118B,90.08M,134.74M,1.615B,2.185B,,9.85M,,9.85M,120.36M,130.21M,,,,,0.00,0.00,339.75M,339.75M,,,469.96M,,0.00,0.00,217.01M,54.55M,271.56M,14.29M,285.85M,755.82M,,1.035M,2.066B,472.03M,1.110B,1.429B,,AOR,Restated
2019-03,35.40M,,35.40M,190.77M,,207.98M,,106.03M,,,388.56M,,,,,,,,656.27M,-376.32M,279.95M,666.86M,448.67M,1.116B,85.20M,133.64M,1.614B,2.003B,,10.91M,,10.91M,95.96M,106.87M,,,,35.00M,,35.00M,189.00M,189.00M,,,330.86M,,,,212.61M,18.91M,231.52M,14.49M,246.01M,576.88M,,1.035M,2.036B,465.65M,1.077B,1.426B,,AOR,Restated
2018-12,26.16M,,26.16M,184.74M,,194.22M,,99.05M,,,362.64M,,,,,,,,670.72M,-387.26M,283.45M,666.77M,447.02M,1.114B,82.33M,129.56M,1.609B,1.972B,,6.597M,,6.597M,92.61M,99.21M,,,,,,,240.86M,240.86M,,,340.07M,,,,210.49M,14.77M,225.26M,14.49M,239.75M,579.82M,,1.034M,2.007B,459.99M,1.077B,1.392B,,AOR,Restated
2018-09,114.87M,,114.87M,198.56M,,202.71M,,102.42M,,,457.84M,,,,,,,,,,286.50M,649.93M,441.80M,1.092B,77.54M,119.50M,1.575B,2.033B,,10.48M,,10.48M,113.07M,123.55M,,,,,,,296.68M,296.68M,,,420.23M,,,,209.03M,21.09M,230.12M,14.19M,244.31M,664.54M,,1.034M,1.968B,454.87M,1.055B,1.369B,,AOR,Restated
