,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,71.98M,,-1.86M,13.26M,30.81M,44.07M,44.07M,6.258M,5.127M,,5.127M,10.08M,4.413M,7.529M,,,-68.09M,-46.07M,,79.51M,,-39.30M,,,-34.23M,0.00,-12.10M,0.042M,-51.36M,,-0.029M,-0.029M,2.231M,-44.03M,-41.80M,-32.70M,-32.70M,,-1.184M,-75.71M,,195.32M,-47.56M,147.76M,,2.231M,,-0.029M,-44.03M,,,,AOR,
2020-09,91.22M,,-0.159M,13.39M,30.35M,43.74M,43.74M,2.393M,4.625M,,4.625M,77.44M,-30.52M,-30.14M,,,-44.12M,-27.34M,,114.48M,,-37.30M,,,-32.82M,0.00,0.00,6.115M,-31.19M,,-0.028M,-0.028M,2.907M,-65.87M,-62.97M,-32.82M,-32.82M,,-5.505M,-101.31M,,213.34M,-18.02M,195.32M,,2.907M,,-0.028M,-65.87M,,,,AOR,
2020-06,61.34M,,1.64M,13.39M,30.44M,43.83M,43.83M,15.50M,5.195M,,5.195M,-88.88M,2.637M,43.25M,,,149.57M,106.57M,,234.08M,,-44.53M,,,-30.56M,0.00,0.00,0.024M,-44.51M,,-55.03M,-55.03M,2.632M,0.00,2.632M,-32.94M,-32.94M,0.00,-0.412M,-85.74M,,109.51M,103.83M,213.34M,,2.632M,0.00,-55.03M,0.00,,,,AOR,
2020-03,73.86M,,3.198M,13.45M,30.29M,43.74M,43.74M,4.948M,4.69M,,4.69M,-7.357M,-6.485M,5.389M,,,-60.53M,-68.99M,,61.44M,,-38.78M,,,-29.98M,0.00,0.00,10.78M,-28.00M,,54.99M,54.99M,2.598M,-20.34M,-17.74M,-32.98M,-32.98M,0.00,-0.703M,3.566M,,72.51M,37.00M,109.51M,,2.598M,55.00M,-0.006M,-20.34M,,,,AOR,
2019-12,72.10M,,-0.111M,12.66M,29.49M,42.15M,42.15M,1.775M,4.145M,,4.145M,29.66M,-8.425M,4.441M,,,-53.77M,-28.10M,,91.96M,,-50.20M,,,-32.54M,-0.091M,0.00,0.316M,-49.97M,,0.00,0.00,2.191M,-37.06M,-34.87M,-30.73M,-30.73M,,-0.552M,-66.16M,,96.68M,-24.17M,72.51M,,2.191M,,0.00,-37.06M,,,,AOR,Restated
2019-09,89.37M,,0.008M,12.71M,29.38M,42.09M,42.09M,2.359M,2.853M,,2.853M,77.12M,-13.49M,-33.40M,,,-43.86M,-13.63M,,123.05M,,-44.00M,,,-30.90M,-30.28M,-1.15M,0.01M,-75.42M,,0.00,0.00,2.412M,-14.14M,-11.73M,-30.77M,-30.77M,,-2.072M,-44.58M,,93.63M,3.051M,96.68M,,2.412M,,0.00,-14.14M,,,,AOR,Restated
2019-06,60.99M,,-0.022M,12.66M,28.65M,41.31M,41.31M,4.317M,3.938M,,3.938M,-119.31M,-2.376M,23.35M,,,185.56M,87.23M,,197.76M,,-42.64M,,,-31.46M,0.00,0.00,0.032M,-42.61M,,-35.00M,-35.00M,2.381M,-33.59M,-31.21M,-30.78M,-30.78M,0.236M,-0.175M,-96.92M,,35.40M,58.23M,93.63M,,2.381M,0.00,-35.00M,-33.59M,,,,AOR,Restated
2019-03,59.25M,,0.205M,12.25M,28.46M,40.71M,40.71M,2.031M,3.505M,,3.505M,-6.028M,-9.871M,6.888M,,,-55.37M,-64.38M,,41.32M,,-38.39M,,,-28.94M,0.00,0.00,0.019M,-38.37M,,35.00M,35.00M,2.47M,0.00,2.47M,-30.87M,-30.87M,0.00,-0.313M,6.291M,,26.16M,9.242M,35.40M,,2.47M,35.00M,0.00,0.00,,,,AOR,Restated
2018-12,68.09M,,-0.052M,11.57M,28.32M,39.89M,39.89M,0.526M,3.375M,,3.375M,14.86M,-16.84M,4.183M,,,-68.71M,-66.51M,,45.31M,,-37.45M,,,-28.48M,-19.98M,0.00,0.043M,-57.39M,,,,1.972M,-21.28M,-19.30M,-57.10M,-57.10M,0.00,-0.228M,-76.64M,,114.87M,-88.72M,26.16M,,1.972M,,,-21.28M,,,,AOR,Restated
2018-09,83.55M,,0.03M,10.90M,27.83M,38.73M,38.73M,0.73M,1.771M,,1.771M,98.71M,-33.08M,-10.06M,,,-33.65M,21.92M,,146.73M,,-52.30M,,,-28.30M,0.00,0.00,0.033M,-52.26M,,,,2.217M,0.00,2.217M,0.00,0.00,0.001M,-13.26M,-11.04M,,31.44M,83.43M,114.87M,,2.217M,,,0.00,,,,AOR,Restated
