,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2020-09,-481.00M,90.00M,,,147.00M,264.00M,264.00M,-396.00M,849.00M,225.00M,-10.00M,31.00M,0.00,112.00M,,,526.00M,659.00M,,1.267B,,-413.00M,,,-121.00M,15.00M,24.00M,-495.00M,,2020-09,-126.00M,,,,113.00M,113.00M,-96.00M,-96.00M,-392.00M,-501.00M,,2020-09,270.00M,4.00M,2.381B,,,113.00M,3.119B,-3.245B,,82.00M,160.00M,2020-09,AOR,
2020-06,3.00M,27.00M,,,69.00M,271.00M,271.00M,52.00M,158.00M,17.00M,10.00M,-69.00M,56.00M,-85.00M,,,-35.00M,-123.00M,,447.00M,,-386.00M,,,-93.00M,-99.00M,-48.00M,-626.00M,,2020-06,336.00M,,,,,,-95.00M,-95.00M,-113.00M,128.00M,,2020-06,-98.00M,-5.00M,2.107B,,,,3.228B,-2.892B,,124.00M,295.00M,2020-06,AOR,
2020-03,229.00M,,,,-41.00M,268.00M,268.00M,2.00M,50.00M,8.00M,-40.00M,23.00M,-23.00M,-63.00M,,,-40.00M,-143.00M,,373.00M,,-576.00M,,,-125.00M,-23.00M,-11.00M,-735.00M,,2020-03,1.175B,,,,,,-95.00M,-95.00M,-50.00M,1.03B,,2020-03,670.00M,-32.00M,2.21B,,,,1.60B,-425.00M,,52.00M,163.00M,2020-03,AOR,
2019-12,-120.00M,-19.00M,,,251.00M,271.00M,271.00M,-12.00M,161.00M,46.00M,46.00M,31.00M,59.00M,47.00M,,,-89.00M,94.00M,,691.00M,,-777.00M,,,-250.00M,-56.00M,73.00M,-1.01B,,2019-12,257.00M,,,,,,-90.00M,-90.00M,-120.00M,47.00M,,2019-12,-279.00M,10.00M,1.572B,,,,2.805B,-2.548B,,67.00M,265.00M,2019-12,AOR,
2019-09,298.00M,-16.00M,,,54.00M,262.00M,262.00M,-11.00M,0.00,135.00M,17.00M,-28.00M,-43.00M,68.00M,,,9.00M,23.00M,,761.00M,,-558.00M,,,-144.00M,46.00M,58.00M,-598.00M,,2019-09,-15.00M,,,,0.00,0.00,-91.00M,-91.00M,-135.00M,-241.00M,,2019-09,-86.00M,-26.00M,1.841B,,,0.00,1.571B,-1.586B,,60.00M,203.00M,2019-09,AOR,Restated
2019-06,67.00M,3.00M,,,63.00M,266.00M,266.00M,-47.00M,116.00M,44.00M,1.00M,43.00M,-21.00M,-194.00M,,,-14.00M,-185.00M,,324.00M,,-566.00M,,,146.00M,-24.00M,-6.00M,-450.00M,,2019-06,-71.00M,,,,,,-91.00M,-91.00M,-132.00M,-294.00M,,2019-06,-424.00M,2.00M,1.953B,,,,2.108B,-2.179B,,171.00M,309.00M,2019-06,AOR,Restated
2019-03,233.00M,4.00M,,,21.00M,246.00M,246.00M,62.00M,0.00,99.00M,9.00M,-18.00M,47.00M,-10.00M,,,1.00M,29.00M,,690.00M,,-504.00M,,,-90.00M,-70.00M,1.00M,-663.00M,,2019-03,667.00M,,,,,,-90.00M,-90.00M,-175.00M,402.00M,,2019-03,376.00M,-4.00M,2.375B,,,,1.37B,-703.00M,,65.00M,169.00M,2019-03,AOR,Restated
2018-12,155.00M,-128.00M,,,-75.00M,233.00M,233.00M,92.00M,183.00M,76.00M,-81.00M,-23.00M,-37.00M,145.00M,,,-6.00M,-2.00M,,662.00M,,-529.00M,,,180.00M,96.00M,-62.00M,-315.00M,,2018-12,-217.00M,,,,,,-86.00M,-86.00M,-177.00M,-480.00M,,2018-12,-115.00M,-4.00M,2.003B,,18.00M,,850.00M,-1.067B,,57.00M,320.00M,2018-12,AOR,Restated
2018-09,186.00M,21.00M,,,53.00M,258.00M,258.00M,38.00M,79.00M,81.00M,-131.00M,20.00M,90.00M,62.00M,,,31.00M,72.00M,,767.00M,,-598.00M,,,-47.00M,315.00M,20.00M,-310.00M,,2018-09,-233.00M,,,,,,-86.00M,-86.00M,-115.00M,-434.00M,,2018-09,10.00M,-30.00M,2.122B,,-13.00M,,618.00M,-851.00M,,104.00M,161.00M,2018-09,AOR,Restated
2018-06,178.00M,-89.00M,,,-83.00M,258.00M,258.00M,3.00M,93.00M,54.00M,45.00M,-17.00M,-42.00M,-86.00M,,,-4.00M,-104.00M,,399.00M,,-499.00M,,,540.00M,-324.00M,-13.00M,-296.00M,,2018-06,90.00M,,,,,,-86.00M,-86.00M,-103.00M,-99.00M,,2018-06,-1.00M,-25.00M,2.142B,,-5.00M,,687.00M,-597.00M,,138.00M,315.00M,2018-06,AOR,Restated
