,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,Restated
2020-09,1.505B,384.00M,1.889B,1.404B,,1.404B,474.00M,100.00M,374.00M,,747.00M,5.885B,416.00M,4.134B,30.42B,-8.135B,22.29B,1.059B,614.00M,1.673B,787.00M,1.26B,336.00M,2.039B,28.38B,34.27B,,2020-09,1.103B,242.00M,2.806B,,1.841B,1.841B,611.00M,611.00M,519.00M,5.777B,19.50B,19.50B,926.00M,926.00M,,2.069B,867.00M,3.119B,24.42B,30.19B,,2020-09,8.00M,-998.00M,,,-2.628B,2.004B,,
2020-06,1.417B,422.00M,1.839B,1.414B,,1.414B,504.00M,92.00M,364.00M,,880.00M,5.966B,411.00M,4.123B,31.46B,-8.623B,22.84B,1.059B,566.00M,1.625B,802.00M,1.28B,204.00M,1.853B,28.60B,34.57B,,2020-06,1.207B,244.00M,2.881B,,2.041B,2.041B,,,526.00M,5.448B,19.33B,19.33B,1.166B,1.166B,,2.18B,875.00M,3.103B,24.48B,29.92B,,2020-06,8.00M,-665.00M,,,-2.693B,2.462B,,
2020-03,1.544B,328.00M,1.872B,1.446B,,1.446B,461.00M,106.00M,426.00M,,843.00M,5.751B,418.00M,3.777B,31.17B,-8.597B,22.57B,1.059B,459.00M,1.518B,938.00M,1.30B,197.00M,1.868B,28.39B,34.14B,,2020-03,1.069B,287.00M,2.771B,2.223B,2.223B,2.223B,,,438.00M,5.432B,18.87B,18.87B,1.105B,1.105B,,2.178B,873.00M,3.148B,23.99B,29.42B,,2020-03,8.00M,-583.00M,,,-2.692B,2.539B,,
2019-12,1.029B,400.00M,1.429B,1.479B,,1.479B,487.00M,80.00M,336.00M,,802.00M,5.231B,447.00M,5.249B,31.08B,-8.505B,22.57B,1.059B,469.00M,1.528B,966.00M,1.351B,156.00M,1.842B,28.42B,33.65B,,2019-12,1.311B,253.00M,2.786B,,1.868B,1.868B,,,442.00M,5.096B,18.30B,18.30B,1.213B,1.213B,,2.233B,888.00M,2.917B,23.32B,28.42B,,2019-12,8.00M,-692.00M,,,-2.229B,2.996B,,
2019-09,1.145B,334.00M,1.479B,1.503B,,1.503B,495.00M,72.00M,455.00M,,856.00M,5.47B,442.00M,4.862B,30.45B,-8.599B,21.85B,1.059B,462.00M,1.521B,1.209B,1.37B,135.00M,1.865B,27.95B,33.42B,,2019-09,1.237B,230.00M,2.654B,,1.882B,1.882B,,,455.00M,4.991B,17.88B,17.88B,1.198B,1.198B,,2.246B,886.00M,3.083B,23.05B,28.04B,,2019-09,8.00M,-614.00M,,,-2.335B,3.14B,,Restated
2019-06,1.169B,410.00M,1.579B,1.538B,,1.538B,496.00M,98.00M,438.00M,,811.00M,5.517B,453.00M,4.728B,30.00B,-8.44B,21.56B,1.059B,460.00M,1.519B,1.086B,1.388B,122.00M,2.041B,27.72B,33.24B,,2019-06,1.234B,212.00M,2.537B,,1.087B,1.087B,,,418.00M,4.042B,18.67B,18.67B,1.233B,1.233B,,2.26B,896.00M,2.931B,23.73B,27.77B,,2019-06,8.00M,-824.00M,,,-2.147B,3.208B,,Restated
2019-03,1.426B,378.00M,1.804B,1.564B,,1.564B,579.00M,111.00M,519.00M,,703.00M,5.855B,450.00M,4.207B,29.50B,-8.273B,21.23B,1.059B,467.00M,1.526B,1.147B,1.406B,108.00M,2.201B,27.62B,33.47B,,2019-03,1.224B,271.00M,2.674B,,1.265B,1.265B,,,418.00M,4.357B,18.44B,18.44B,1.302B,1.302B,,2.415B,890.00M,2.828B,23.46B,27.82B,,2019-03,8.00M,-839.00M,,,-2.107B,3.234B,,Restated
2018-12,1.166B,313.00M,1.479B,1.595B,,1.595B,577.00M,130.00M,370.00M,,807.00M,5.015B,449.00M,3.932B,29.62B,-8.227B,21.40B,1.059B,436.00M,1.495B,1.114B,1.423B,97.00M,1.981B,27.51B,32.52B,,2018-12,1.329B,250.00M,2.732B,,1.659B,1.659B,,,8.00M,4.399B,17.64B,17.64B,1.28B,1.28B,,2.396B,879.00M,2.723B,22.52B,26.92B,,2018-12,8.00M,-1.005B,,,-2.071B,3.208B,,Restated
2018-09,1.187B,401.00M,1.588B,1.51B,,1.51B,562.00M,97.00M,441.00M,,706.00M,5.015B,470.00M,3.616B,29.14B,-8.033B,21.11B,1.059B,400.00M,1.459B,1.277B,1.441B,88.00M,2.101B,27.47B,32.49B,,2018-09,1.299B,,2.722B,,1.308B,1.308B,,,17.00M,4.047B,18.09B,18.09B,1.214B,1.214B,,2.404B,879.00M,2.552B,22.73B,26.78B,,2018-09,8.00M,-1.133B,,,-2.02B,3.305B,,Restated
2018-06,1.14B,856.00M,1.996B,1.423B,,1.423B,583.00M,116.00M,379.00M,,682.00M,5.287B,480.00M,3.875B,28.62B,-7.905B,20.72B,1.059B,341.00M,1.40B,1.327B,1.458B,83.00M,2.323B,27.31B,32.60B,,2018-06,1.506B,,2.742B,,1.235B,1.235B,,,17.00M,3.994B,18.36B,18.36B,1.165B,1.165B,,2.348B,863.00M,2.562B,22.95B,26.94B,,2018-06,8.00M,-1.234B,,,-1.988B,3.309B,,Restated
2018-03,1.212B,617.00M,1.829B,1.498B,,1.498B,569.00M,66.00M,415.00M,,703.00M,5.438B,502.00M,4.043B,28.86B,-8.168B,20.69B,1.059B,362.00M,1.421B,1.282B,1.474B,94.00M,2.176B,27.14B,32.57B,,2018-03,1.317B,,2.788B,,2.025B,2.025B,,,63.00M,4.876B,17.66B,17.66B,1.207B,1.207B,189.00M,2.332B,851.00M,2.264B,22.17B,27.05B,,2018-03,8.00M,-1.525B,,,-1.808B,3.193B,,Restated
2017-12,949.00M,424.00M,1.373B,1.463B,,1.463B,562.00M,62.00M,274.00M,,630.00M,6.398B,502.00M,3.617B,28.24B,-7.942B,20.30B,1.059B,366.00M,1.425B,1.197B,0.00,130.00M,3.666B,26.71B,33.11B,,2017-12,1.371B,252.00M,2.831B,,2.164B,2.164B,,,1.033B,6.028B,17.80B,17.80B,1.006B,1.006B,,2.38B,837.00M,2.595B,22.24B,28.27B,,2017-12,8.00M,-2.276B,,,-1.876B,2.465B,,Restated
2017-09,1.398B,563.00M,1.961B,2.357B,,2.357B,660.00M,89.00M,437.00M,,1.08B,6.66B,798.00M,3.841B,34.56B,-10.20B,24.36B,1.157B,474.00M,1.631B,1.164B,,760.00M,4.263B,32.17B,38.83B,,2017-09,2.091B,,4.464B,,2.257B,2.257B,,,15.00M,6.736B,19.78B,19.78B,742.00M,742.00M,1.387B,2.993B,967.00M,3.047B,25.92B,32.66B,,2017-09,8.00M,-934.00M,,,-2.666B,3.186B,,Restated
2017-06,1.213B,740.00M,1.953B,2.173B,,2.173B,633.00M,83.00M,313.00M,,1.061B,6.318B,776.00M,3.56B,33.03B,-9.841B,23.19B,1.157B,397.00M,1.554B,683.00M,,757.00M,3.965B,30.15B,36.47B,,2017-06,1.684B,,3.802B,,2.572B,2.572B,,,37.00M,6.411B,18.20B,18.20B,746.00M,746.00M,1.347B,3.053B,791.00M,2.905B,23.98B,30.40B,,2017-06,8.00M,-1.086B,,,-2.741B,3.021B,,Restated
2017-03,1.588B,634.00M,2.222B,2.134B,,2.134B,645.00M,118.00M,218.00M,,1.04B,6.401B,795.00M,3.44B,32.92B,-9.777B,23.15B,1.157B,353.00M,1.51B,674.00M,,778.00M,3.997B,30.11B,36.51B,,2017-03,1.657B,,4.065B,,1.137B,1.137B,,,41.00M,5.243B,19.20B,19.20B,758.00M,758.00M,1.411B,3.138B,774.00M,2.996B,25.14B,30.38B,,2017-03,8.00M,-1.139B,,,-2.717B,2.991B,,Restated
2016-12,1.244B,530.00M,1.774B,1.421B,,1.421B,622.00M,72.00M,277.00M,,657.00M,6.416B,518.00M,2.905B,28.33B,-7.919B,20.42B,1.157B,287.00M,1.444B,621.00M,,227.00M,7.001B,29.71B,36.12B,,2016-12,1.238B,,2.571B,,1.052B,1.052B,,,1.654B,5.277B,18.40B,18.40B,804.00M,804.00M,237.00M,2.906B,782.00M,2.327B,25.15B,30.42B,,2016-12,8.00M,-1.146B,,,-2.756B,2.794B,,Restated
