,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,627.00M,-1.00M,,-1.00M,79.00M,143.00M,222.00M,222.00M,-63.00M,99.00M,,252.00M,-1.31B,-1.634B,2.909B,-96.00M,16.00M,-115.00M,,1.021B,-148.00M,,-102.00M,-2.00M,,2.00M,-148.00M,-3.00M,0.00,-3.00M,18.00M,-248.00M,-230.00M,-66.00M,-66.00M,-163.00M,-462.00M,2.864B,411.00M,-35.00M,3.091B,18.00M,0.00,-3.00M,-248.00M
2020-06,494.00M,2.00M,0.00,2.00M,75.00M,142.00M,217.00M,217.00M,28.00M,5.00M,,40.00M,2.291B,238.00M,-4.214B,-89.00M,-74.00M,-1.848B,,-1.062B,-117.00M,,-72.00M,3.00M,,-16.00M,-130.00M,-2.00M,0.00,-2.00M,21.00M,-24.00M,-3.00M,-74.00M,-74.00M,140.00M,61.00M,4.023B,-1.131B,-28.00M,2.864B,21.00M,5.303B,-5.305B,-24.00M
2020-03,1.078B,33.00M,-394.00M,-361.00M,321.00M,601.00M,231.00M,231.00M,45.00M,26.00M,,17.00M,-1.45B,313.00M,4.881B,-90.00M,-36.00M,3.618B,,4.654B,-168.00M,,-120.00M,1.00M,,-3.00M,-170.00M,-298.00M,-2.109B,-2.407B,24.00M,-3.00M,21.00M,-72.00M,-72.00M,-22.00M,-2.48B,2.065B,2.004B,-46.00M,4.023B,24.00M,5.585B,-7.992B,-3.00M
2019-12,242.00M,1.00M,28.00M,29.00M,-160.00M,-303.00M,228.00M,228.00M,-7.00M,101.00M,,350.00M,-178.00M,-1.02B,274.00M,-98.00M,-42.00M,-1.064B,,-121.00M,-154.00M,,-116.00M,-5.00M,,35.00M,-124.00M,5.00M,1.561B,1.566B,11.00M,-499.00M,-488.00M,-74.00M,-74.00M,-55.00M,949.00M,1.356B,704.00M,5.00M,2.065B,11.00M,7.182B,-5.616B,-499.00M
2019-09,-677.00M,-1.00M,1.454B,1.453B,78.00M,156.00M,234.00M,234.00M,-396.00M,7.00M,,248.00M,195.00M,186.00M,-1.33B,-90.00M,62.00M,-977.00M,,-108.00M,-73.00M,,-39.00M,-47.00M,,-36.00M,-156.00M,-3.00M,548.00M,545.00M,56.00M,-751.00M,-695.00M,-73.00M,-73.00M,-108.00M,-331.00M,1.947B,-595.00M,4.00M,1.356B,56.00M,6.06B,-5.515B,-751.00M
2019-06,477.00M,0.00,-4.00M,-4.00M,82.00M,147.00M,229.00M,229.00M,16.00M,5.00M,,106.00M,-1.061B,145.00M,127.00M,-99.00M,8.00M,-880.00M,,-51.00M,-111.00M,,-87.00M,-45.00M,,27.00M,-129.00M,-2.00M,0.00,-2.00M,22.00M,-701.00M,-679.00M,-75.00M,-75.00M,-116.00M,-872.00M,2.981B,-1.052B,18.00M,1.947B,22.00M,2.61B,-2.612B,-701.00M
2019-03,-744.00M,,32.00M,-54.00M,,,235.00M,235.00M,19.00M,1.408B,,69.00M,576.00M,388.00M,1.801B,0.00,197.00M,2.962B,,3.895B,-152.00M,,-117.00M,62.00M,,-140.00M,-230.00M,-1.112B,-1.049B,-2.161B,29.00M,-251.00M,-222.00M,-76.00M,-76.00M,-85.00M,-2.544B,1.849B,1.121B,11.00M,2.981B,29.00M,6.873B,-9.034B,-251.00M
2018-12,526.00M,,50.00M,50.00M,,,239.00M,239.00M,110.00M,60.00M,,22.00M,162.00M,-358.00M,-1.022B,0.00,34.00M,-1.184B,,-177.00M,-157.00M,,-131.00M,-26.00M,,15.00M,-168.00M,1.099B,-347.00M,752.00M,8.00M,-500.00M,-492.00M,-77.00M,-77.00M,-64.00M,119.00M,2.118B,-226.00M,-43.00M,1.849B,8.00M,11.76B,-11.00B,-500.00M
2018-09,553.00M,,56.00M,56.00M,,,240.00M,240.00M,15.00M,1.00M,,-81.00M,-291.00M,-284.00M,1.165B,0.00,5.00M,595.00M,,1.379B,-103.00M,,-77.00M,-14.00M,,9.00M,-108.00M,,-638.00M,-638.00M,16.00M,-581.00M,-565.00M,-68.00M,-68.00M,-72.00M,-1.343B,2.199B,-72.00M,-9.00M,2.118B,16.00M,10.70B,-11.34B,-581.00M
2018-06,-80.00M,,56.00M,56.00M,,,235.00M,235.00M,45.00M,610.00M,,-100.00M,-1.414B,-114.00M,32.00M,,-331.00M,-1.827B,,-1.061B,-145.00M,,-101.00M,-826.00M,,96.00M,-875.00M,,2.031B,2.031B,22.00M,-307.00M,-285.00M,-71.00M,-71.00M,-134.00M,1.541B,2.672B,-395.00M,-78.00M,2.199B,22.00M,9.036B,-7.005B,-307.00M
