,NetIncome,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-10,574.26M,,,145.85M,145.85M,-3.286M,16.89M,,3.089M,,-636.22M,13.71M,443.00M,,,-81.09M,-260.60M,476.20M,-273.43M,0.536M,-272.90M,,,,-272.90M,-1.527M,0.00,-1.527M,,-901.93M,-901.93M,-88.36M,-88.36M,,28.35M,-963.47M,2.960B,-760.16M,2.199B,,0.00,-1.527M,-901.93M,,
2020-07,787.60M,,,140.96M,140.96M,-10.29M,15.51M,,4.608M,,-283.94M,-15.24M,642.89M,,,-111.08M,232.62M,1.171B,-228.73M,0.585M,-228.15M,,,,-228.15M,-0.482M,0.00,-0.482M,,-601.54M,-601.54M,-89.65M,-89.65M,,34.50M,-657.17M,2.674B,285.69M,2.960B,,0.00,424.72M,-601.54M,,
2020-04,650.45M,,,137.66M,137.66M,24.78M,18.97M,,1.569M,,567.90M,-12.00M,191.24M,,,155.76M,902.90M,1.736B,-195.43M,0.466M,-194.97M,,,,-194.97M,1.494B,-425.20M,1.069B,,-63.08M,-63.08M,-90.62M,-90.62M,,-22.63M,892.23M,240.32M,2.434B,2.674B,,1.794B,-725.76M,-63.08M,,
2020-01,535.44M,,,132.43M,132.43M,41.10M,12.98M,,-2.238M,,-177.78M,9.892M,-5.371M,,,30.44M,-142.82M,576.89M,-266.79M,0.448M,-266.34M,,,,-266.34M,-0.94M,149.10M,148.16M,,-415.08M,-415.08M,-80.79M,-80.79M,,1.407M,-346.30M,276.08M,-35.76M,240.32M,,0.00,-0.94M,-415.08M,,
2019-10,365.55M,,,126.47M,126.47M,6.19M,11.10M,,6.53M,,-79.92M,-15.83M,152.49M,,,-41.99M,14.75M,530.59M,-224.99M,0.443M,-224.55M,,,,-224.55M,0.00,189.90M,189.90M,,-400.33M,-400.33M,-81.64M,-81.64M,,2.534M,-289.53M,259.57M,16.51M,276.08M,,0.00,0.00,-400.33M,,
2019-07,426.56M,,,123.42M,123.42M,-2.185M,10.87M,,0.474M,,-306.83M,-1.124M,389.80M,,,-84.66M,-2.815M,556.33M,-148.30M,1.014M,-147.29M,,,,-147.29M,0.00,-159.40M,-159.40M,,-184.99M,-184.99M,-82.38M,-82.38M,,6.188M,-420.58M,271.11M,-11.54M,259.57M,,0.00,121.30M,-184.99M,,
2019-04,385.01M,,,122.48M,122.48M,10.30M,13.63M,,3.527M,,-14.25M,-7.392M,-7.972M,,,68.85M,39.24M,574.20M,-144.76M,0.453M,-144.30M,,,,-144.30M,-0.525M,-121.30M,-121.82M,,-199.99M,-199.99M,-82.76M,-82.76M,,10.30M,-394.27M,235.49M,35.62M,271.11M,,0.00,-121.82M,-199.99M,,
2019-01,483.24M,0.00,,117.77M,117.77M,26.54M,9.688M,,15.23M,,-133.23M,1.462M,46.51M,,,62.23M,-23.03M,629.43M,-183.46M,0.942M,-182.52M,,,,-182.52M,-0.344M,-40.10M,-40.44M,,-359.99M,-359.99M,-75.30M,-75.30M,,3.619M,-472.11M,260.69M,-25.20M,235.49M,,0.00,-0.344M,-359.99M,,
2018-10,334.14M,0.00,,114.85M,114.85M,13.29M,9.412M,,14.50M,,-95.18M,12.17M,62.60M,,,-48.96M,-69.37M,416.83M,-179.95M,0.486M,-179.46M,,,,-179.46M,-1.313M,126.20M,124.89M,,-297.96M,-297.96M,-76.52M,-76.52M,,7.631M,-241.97M,265.29M,-4.60M,260.69M,,0.00,-1.313M,-297.96M,,
2018-07,407.24M,1.019M,,112.18M,112.18M,4.454M,9.373M,,8.78M,,-305.29M,-29.02M,382.04M,,,-42.13M,5.602M,548.64M,-206.34M,0.718M,-205.62M,,,,-205.62M,61.87M,-149.40M,-87.53M,,-199.54M,-199.54M,-77.05M,-77.05M,,2.419M,-361.70M,283.97M,-18.68M,265.29M,,0.00,61.87M,-199.54M,,
