,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-10,8.200B,8.200B,5.631B,2.568B,1.795B,,,40.30M,,-40.30M,1.795B,773.13M,,40.30M,-40.30M,,-40.30M,732.83M,158.57M,574.26M,,574.26M,574.26M,918.98M,145.85M,773.13M,2.32,,2.32,2.32,2.31,,2.31,2.31,247.13M,249.06M,0.36
2020-07,8.684B,8.684B,5.866B,2.818B,1.776B,,,39.33M,,-39.33M,1.776B,1.043B,,39.33M,-39.33M,,-39.33M,1.003B,215.70M,787.60M,,787.60M,787.60M,1.184B,140.96M,1.043B,3.15,,3.15,3.15,3.12,,3.12,3.12,250.28M,252.19M,0.36
2020-04,8.448B,8.448B,5.853B,2.596B,1.729B,,,30.49M,,-30.49M,1.729B,866.78M,,30.49M,-30.49M,,-30.49M,836.29M,185.84M,650.45M,,650.45M,650.45M,1.004B,137.66M,866.78M,2.58,,2.58,2.58,2.56,,2.56,2.56,251.78M,253.63M,0.36
2020-01,7.158B,7.158B,4.885B,2.273B,1.552B,,,25.57M,,-25.57M,1.552B,720.88M,,25.57M,-25.57M,,-25.57M,695.31M,159.87M,535.44M,,535.44M,535.44M,853.30M,132.43M,720.88M,2.11,,2.11,2.11,2.1,,2.1,2.1,253.36M,255.15M,0.32
2019-10,6.991B,6.991B,4.926B,2.065B,1.574B,,,24.26M,,-24.26M,1.574B,491.42M,,24.26M,-24.26M,,-24.26M,467.15M,101.60M,365.55M,,365.55M,365.55M,617.89M,126.47M,491.42M,1.43,,1.43,1.43,1.42,,1.42,1.42,256.04M,257.70M,0.32
2019-07,6.982B,6.982B,4.833B,2.149B,1.571B,,,24.81M,,-24.81M,1.571B,577.78M,,24.81M,-24.81M,,-24.81M,552.96M,126.41M,426.56M,,426.56M,426.56M,701.20M,123.42M,577.78M,1.65,,1.65,1.65,1.65,,1.65,1.65,257.79M,259.10M,0.32
2019-04,6.623B,6.623B,4.621B,2.002B,1.490B,,,25.93M,,-25.93M,1.490B,512.24M,,25.93M,-25.93M,,-25.93M,486.30M,101.29M,385.01M,,385.01M,385.01M,634.72M,122.48M,512.24M,1.49,,1.49,1.49,1.48,,1.48,1.48,259.02M,260.26M,0.32
2019-01,6.650B,6.650B,4.578B,2.072B,1.433B,,,25.06M,,-25.06M,1.433B,638.50M,,25.06M,-25.06M,0.00,-25.06M,613.44M,130.20M,483.24M,,483.24M,483.24M,756.27M,117.77M,638.50M,1.85,,1.85,1.85,1.84,,1.84,1.84,261.41M,262.54M,0.29
2018-10,6.417B,6.417B,4.522B,1.895B,1.453B,,,24.59M,,-24.59M,1.453B,442.14M,,24.59M,-24.59M,,-24.59M,417.56M,83.42M,334.14M,,334.14M,334.14M,557.00M,114.85M,442.14M,1.26,,1.26,1.26,1.26,,1.26,1.26,264.49M,265.52M,0.29
2018-07,6.443B,6.443B,4.468B,1.975B,1.429B,,,25.45M,,-25.45M,1.429B,545.48M,,25.45M,-25.45M,-1.019M,-25.45M,519.01M,111.77M,407.24M,,407.24M,407.24M,656.63M,112.18M,544.46M,1.53,,1.53,1.53,1.52,,1.52,1.52,266.46M,267.23M,0.29
2018-04,6.114B,6.114B,4.252B,1.862B,1.372B,,,24.77M,,-24.77M,1.372B,490.18M,,24.77M,-24.77M,,-24.77M,465.41M,100.56M,364.85M,,364.85M,364.85M,599.52M,109.34M,490.18M,1.36,,1.36,1.36,1.36,,1.36,1.36,268.27M,269.14M,0.29
2018-01,6.129B,6.129B,4.164B,1.965B,1.342B,,,24.29M,,-24.29M,1.342B,623.45M,,24.29M,-24.29M,0.00,-24.29M,599.16M,-113.00M,712.16M,,712.16M,712.16M,729.11M,105.66M,623.45M,2.63,,2.63,2.63,2.63,,2.63,2.63,270.30M,271.22M,0.26
2017-10,5.904B,5.904B,4.137B,1.766B,1.349B,,,24.00M,,-24.00M,1.349B,417.43M,,24.00M,-24.00M,,-24.00M,393.44M,140.90M,252.53M,,252.53M,252.53M,518.39M,100.96M,417.43M,0.93,,0.93,0.93,0.93,,0.93,0.93,272.32M,272.88M,0.26
2017-07,5.828B,5.828B,4.038B,1.791B,1.297B,,,23.75M,,-23.75M,1.297B,493.15M,,23.75M,-23.75M,,-23.75M,469.40M,174.62M,294.78M,,294.78M,294.78M,592.18M,99.03M,493.15M,1.08,,1.08,1.08,1.08,,1.08,1.08,273.69M,274.13M,0.26
2017-04,5.610B,5.610B,3.911B,1.699B,1.225B,,,25.00M,,-25.00M,1.225B,473.80M,,25.00M,-25.00M,-3.502M,-25.00M,445.29M,165.80M,279.49M,,279.49M,279.49M,568.88M,98.59M,470.29M,1.02,,1.02,1.02,1.02,,1.02,1.02,274.69M,275.22M,0.26
