,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,6.252B,165.33B,,165.33B,510.00M,,510.00M,,196.74B,3.602B,17.50B,3.012B,20.51B,56.47B,358.00M,56.11B,172.20B,272.89B,469.63B,,,5.696B,25.08B,30.78B,,30.78B,0.00,350.00M,350.00M,350.00M,42.44B,25.98B,25.98B,341.54B,143.00M,176.00M,373.74B,423.69B,,4.555B,34.24B,27.82B,19.83B,4.541B,,,-985.00M,45.80B,,AOR,
2020-09,4.104B,129.32B,109.24B,238.56B,4.038B,332.00M,4.37B,2.121B,274.75B,3.617B,17.36B,4.858B,22.22B,55.49B,325.00M,55.17B,172.24B,257.13B,428.40B,,,5.347B,23.51B,28.86B,,28.86B,671.00M,420.00M,1.091B,1.091B,45.86B,26.12B,26.12B,296.31B,251.00M,179.00M,328.70B,383.23B,,4.546B,33.82B,27.74B,19.83B,4.532B,,,-1.359B,44.92B,,AOR,
2020-06,4.776B,135.55B,110.07B,245.62B,3.944B,194.00M,4.138B,2.089B,288.62B,3.598B,17.25B,4.823B,22.08B,55.40B,302.00M,55.10B,172.48B,258.04B,442.32B,,,5.029B,25.01B,30.04B,,30.04B,665.00M,1.628B,2.293B,2.293B,46.85B,27.57B,27.57B,305.47B,112.00M,157.00M,338.79B,398.51B,,4.546B,33.22B,27.70B,19.83B,4.532B,,,-1.943B,43.70B,,AOR,Restated
2020-03,5.091B,174.30B,101.97B,276.27B,5.225B,47.00M,5.272B,2.017B,311.10B,3.514B,17.24B,4.748B,21.99B,62.37B,140.00M,62.23B,155.62B,253.31B,468.16B,,,4.705B,24.02B,28.72B,,28.72B,1.121B,1.544B,2.665B,2.665B,44.51B,27.49B,27.49B,336.72B,94.00M,140.00M,370.98B,426.92B,,3.556B,32.60B,27.64B,19.83B,3.542B,,,-2.827B,41.14B,,AOR,Restated
2019-12,4.83B,114.68B,88.55B,203.23B,4.426B,388.00M,4.814B,1.955B,240.20B,3.625B,17.39B,4.697B,22.08B,54.95B,122.00M,54.83B,140.12B,224.17B,381.51B,,,5.642B,18.76B,24.40B,,24.40B,3.959B,599.00M,4.558B,4.558B,40.36B,27.50B,27.50B,259.47B,102.00M,143.00M,291.95B,339.92B,,3.556B,31.89B,27.52B,18.84B,3.542B,,,-2.638B,41.48B,,AOR,
2019-09,6.718B,95.95B,88.56B,184.51B,3.915B,512.00M,4.427B,1.94B,234.88B,3.149B,17.25B,4.83B,22.08B,54.88B,127.00M,54.75B,136.30B,221.20B,373.17B,,,5.081B,18.36B,23.44B,,23.44B,3.538B,820.00M,4.358B,4.358B,39.60B,27.87B,27.87B,249.66B,203.00M,147.00M,282.44B,331.84B,,3.556B,30.79B,27.47B,17.80B,3.542B,,,-2.893B,41.12B,,AOR,Restated
2019-06,5.556B,90.75B,85.59B,176.34B,4.98B,743.00M,5.723B,1.983B,245.40B,2.97B,17.34B,4.87B,22.21B,52.40B,146.00M,52.25B,132.53B,215.92B,381.17B,,,5.045B,18.95B,23.99B,,23.99B,8.894B,1.921B,10.82B,10.82B,46.56B,28.20B,28.20B,252.88B,166.00M,136.00M,284.98B,339.47B,,3.556B,30.08B,27.41B,16.82B,3.542B,,,-2.688B,41.53B,,AOR,Restated
2019-03,,80.36B,83.52B,163.88B,5.611B,933.00M,6.544B,1.869B,212.62B,3.01B,17.37B,4.865B,22.23B,53.49B,146.00M,53.34B,128.16B,211.29B,346.13B,,,4.686B,19.31B,24.00B,,24.00B,2.773B,3.932B,6.705B,6.705B,42.46B,27.87B,27.87B,222.38B,122.00M,122.00M,254.27B,304.78B,,3.556B,29.38B,27.35B,16.07B,3.542B,,,-2.99B,41.22B,,AOR,Restated
2018-12,5.864B,88.00B,85.81B,173.81B,4.363B,1.125B,5.488B,1.742B,228.12B,1.832B,17.35B,4.872B,22.22B,56.56B,146.00M,56.42B,130.62B,215.14B,362.87B,,,5.669B,19.73B,25.40B,,25.40B,1.939B,3.227B,5.166B,5.166B,44.81B,29.16B,29.16B,238.78B,101.00M,129.00M,271.55B,322.13B,,3.556B,28.65B,27.12B,15.52B,3.542B,,,-3.171B,40.64B,,AOR,Restated
2018-09,,94.29B,84.16B,178.45B,4.278B,1.087B,5.365B,2.035B,214.92B,1.832B,17.39B,4.837B,22.23B,53.99B,140.00M,53.85B,130.41B,213.63B,349.77B,,,5.601B,18.68B,24.28B,,24.28B,735.00M,2.934B,3.669B,3.669B,38.11B,28.11B,28.11B,231.59B,90.00M,211.00M,263.45B,308.12B,,3.556B,28.10B,27.03B,14.14B,3.542B,,,-2.983B,41.56B,,AOR,Restated
2018-06,,96.61B,83.94B,180.55B,4.338B,1.225B,5.563B,2.013B,214.93B,1.752B,17.42B,4.858B,22.28B,57.78B,145.00M,57.63B,130.03B,216.58B,352.93B,,,5.452B,19.12B,24.58B,,24.58B,2.508B,3.053B,5.561B,5.561B,43.34B,28.26B,28.26B,230.56B,52.00M,189.00M,262.59B,311.37B,,3.556B,27.31B,26.98B,13.54B,3.542B,,,-2.795B,41.50B,,AOR,Restated
2018-03,,111.25B,81.83B,193.08B,4.064B,1.397B,5.461B,1.943B,229.33B,1.702B,17.60B,4.885B,22.48B,60.81B,156.00M,60.65B,131.40B,220.76B,373.60B,,,5.349B,20.17B,25.52B,,25.52B,3.936B,1.55B,5.486B,5.486B,52.61B,27.94B,27.94B,241.84B,212.00M,184.00M,273.33B,331.66B,,3.556B,26.50B,26.91B,12.89B,3.542B,,,-2.343B,41.73B,,AOR,Restated
2017-12,,108.87B,79.54B,188.41B,5.20B,1.533B,6.733B,1.811B,225.42B,1.634B,17.56B,4.91B,22.47B,61.54B,159.00M,61.38B,130.59B,220.55B,371.76B,,,6.225B,20.18B,26.41B,,26.41B,3.075B,3.028B,6.103B,6.103B,47.68B,27.98B,27.98B,244.32B,316.00M,179.00M,276.46B,330.19B,,3.556B,25.64B,26.66B,12.25B,3.542B,,,-2.357B,41.25B,,AOR,Restated
2017-09,,96.62B,80.05B,176.68B,4.446B,1.02B,5.466B,1.463B,211.83B,1.631B,17.54B,4.974B,22.52B,59.07B,161.00M,58.91B,129.00B,217.00B,354.40B,,,6.07B,21.18B,27.25B,,27.25B,2.501B,3.353B,5.854B,5.854B,43.41B,28.41B,28.41B,231.00B,384.00M,197.00M,262.85B,313.49B,,3.556B,24.76B,26.59B,11.60B,3.542B,,,-2.781B,40.52B,,AOR,Restated
2017-06,,92.46B,78.27B,170.73B,567.00M,,567.00M,,198.74B,1.64B,17.46B,3.506B,20.96B,61.67B,165.00M,61.51B,125.24B,234.35B,354.82B,,,5.67B,21.62B,27.29B,,27.29B,876.00M,1.338B,2.214B,2.214B,40.44B,27.70B,27.70B,235.68B,343.00M,181.00M,267.66B,314.50B,,3.555B,24.03B,26.43B,10.95B,3.542B,,,-3.093B,39.97B,,AOR,Restated
2017-03,,85.01B,75.58B,160.59B,5.235B,1.214B,6.449B,1.396B,194.69B,1.307B,17.36B,5.007B,22.36B,60.87B,164.00M,60.70B,125.05B,213.02B,337.54B,,,5.29B,21.31B,26.60B,,26.60B,2.543B,1.022B,3.565B,3.565B,41.31B,26.35B,26.35B,221.29B,534.00M,159.00M,250.61B,297.86B,,3.555B,23.30B,26.25B,10.44B,3.542B,,,-3.524B,39.14B,,AOR,Restated
2016-12,,77.95B,73.82B,151.77B,4.628B,1.172B,5.80B,1.274B,185.43B,1.303B,17.32B,5.049B,22.36B,64.46B,169.00M,64.29B,124.95B,216.27B,333.47B,,,5.867B,20.99B,26.85B,,26.85B,,754.00M,754.00M,754.00M,37.60B,24.46B,24.46B,221.49B,618.00M,151.00M,250.49B,294.04B,,3.555B,22.62B,25.96B,9.562B,3.542B,,,-3.765B,38.81B,,AOR,Restated
2016-09,,99.73B,78.27B,178.00B,4.854B,875.00M,5.729B,1.248B,220.97B,1.338B,17.45B,5.082B,22.53B,66.00B,148.00M,65.85B,128.86B,226.40B,374.11B,,,5.687B,21.16B,26.85B,,26.85B,,993.00M,993.00M,993.00M,35.89B,24.37B,24.37B,261.38B,500.00M,178.00M,290.30B,333.92B,,3.555B,22.00B,25.64B,8.714B,3.542B,,,-2.785B,39.70B,,AOR,Restated
2016-06,,107.19B,76.55B,183.74B,5.567B,1.076B,6.643B,1.264B,221.15B,1.399B,17.50B,5.123B,22.62B,64.51B,158.00M,64.36B,129.38B,222.80B,372.35B,,,5.385B,21.17B,26.56B,,26.56B,,1.098B,1.098B,1.098B,35.27B,23.57B,23.57B,259.68B,566.00M,172.00M,289.83B,333.23B,,2.565B,21.23B,25.56B,8.25B,2.552B,,,-2.552B,38.56B,,AOR,Restated
2016-03,,115.02B,76.29B,191.31B,5.093B,1.415B,6.508B,1.285B,226.96B,1.377B,17.60B,5.144B,22.75B,61.66B,162.00M,61.50B,129.16B,217.25B,372.87B,,,5.288B,22.01B,27.30B,,27.30B,,828.00M,828.00M,828.00M,42.93B,21.69B,21.69B,257.34B,657.00M,169.00M,284.69B,333.75B,,2.565B,20.59B,25.43B,7.741B,2.552B,,,-2.39B,38.46B,,AOR,Restated
2015-12,,134.89B,75.87B,210.75B,4.097B,1.554B,5.651B,1.191B,242.68B,1.379B,17.62B,5.197B,22.82B,63.70B,157.00M,63.55B,130.58B,221.55B,393.78B,,,5.986B,21.90B,27.89B,,27.89B,,523.00M,523.00M,523.00M,43.41B,21.55B,21.55B,279.61B,738.00M,200.00M,306.09B,355.00B,,2.565B,19.97B,25.26B,7.164B,2.552B,,,-2.60B,38.04B,,AOR,Restated
2015-09,,110.66B,76.68B,187.34B,5.338B,1.304B,6.642B,1.123B,224.80B,1.361B,17.68B,5.266B,22.94B,63.31B,181.00M,63.13B,132.08B,224.29B,377.37B,,,6.457B,22.24B,28.69B,,28.69B,0.00,648.00M,648.00M,648.00M,38.16B,21.43B,21.43B,266.77B,782.00M,247.00M,294.27B,338.42B,,2.565B,19.52B,25.17B,6.733B,2.552B,,,-2.355B,38.17B,,AOR,Restated
2015-06,,130.67B,79.61B,210.28B,574.00M,,574.00M,,234.78B,1.412B,17.81B,4.001B,21.81B,63.14B,183.00M,62.96B,132.83B,240.08B,395.25B,,,6.522B,22.05B,28.57B,,28.57B,0.00,706.00M,706.00M,706.00M,39.30B,20.38B,20.38B,284.43B,910.00M,244.00M,311.24B,356.07B,,2.565B,18.90B,25.08B,6.043B,2.552B,,,-2.225B,38.27B,,AOR,Restated
2015-03,,115.81B,87.72B,203.52B,5.091B,1.552B,6.643B,1.05B,240.52B,1.41B,17.66B,5.379B,23.04B,62.33B,190.00M,62.14B,150.05B,241.36B,399.09B,,,6.258B,21.96B,28.22B,,28.22B,0.00,869.00M,869.00M,869.00M,37.00B,20.40B,20.40B,281.26B,1.337B,215.00M,315.80B,360.42B,,1.575B,18.26B,24.89B,5.209B,1.562B,,,-2.182B,37.33B,,AOR,Restated
2014-12,,123.15B,98.33B,221.48B,4.773B,2.142B,6.915B,1.159B,250.70B,1.394B,17.87B,5.459B,23.33B,59.13B,191.00M,58.94B,141.71B,228.08B,385.30B,,,6.903B,21.18B,28.08B,,28.08B,,786.00M,786.00M,786.00M,40.34B,20.26B,20.26B,265.87B,1.033B,229.00M,301.46B,346.83B,,1.575B,17.68B,24.63B,4.809B,1.562B,,,-1.634B,37.44B,,AOR,Restated
2014-09,,129.07B,95.56B,224.63B,4.597B,1.516B,6.113B,1.70B,250.59B,1.351B,17.99B,5.541B,23.53B,57.53B,191.00M,57.34B,139.66B,226.65B,386.30B,,,6.482B,20.16B,26.64B,,26.64B,0.00,852.00M,852.00M,852.00M,37.18B,21.58B,21.58B,264.90B,901.00M,246.00M,302.59B,346.94B,,1.575B,17.67B,24.50B,4.377B,1.562B,,,-916.00M,38.45B,,AOR,Restated
2014-06,,153.29B,85.69B,238.98B,4.68B,2.092B,6.772B,1.724B,263.30B,1.59B,18.20B,5.631B,23.83B,59.25B,187.00M,59.06B,129.42B,218.45B,400.74B,,,6.433B,17.24B,23.68B,,23.68B,27.00M,1.458B,1.485B,1.485B,35.46B,20.33B,20.33B,282.44B,909.00M,239.00M,318.97B,361.50B,,1.575B,16.80B,24.30B,3.946B,1.562B,,,-402.00M,38.33B,,AOR,Restated
2014-03,,131.49B,80.22B,211.70B,6.657B,2.311B,8.968B,1.765B,235.66B,1.613B,18.10B,5.652B,23.75B,54.04B,198.00M,53.84B,124.96B,208.04B,368.24B,,,6.271B,16.82B,23.09B,,23.09B,27.00M,1.305B,1.332B,1.332B,34.36B,20.62B,20.62B,252.23B,771.00M,212.00M,289.60B,329.48B,,1.575B,16.44B,24.18B,3.515B,1.562B,,,-689.00M,37.99B,,AOR,Restated
2013-12,,146.12B,79.31B,225.43B,4.10B,2.499B,6.599B,1.66B,244.13B,1.655B,18.07B,5.703B,23.78B,51.66B,210.00M,51.45B,125.78B,204.83B,374.52B,,,6.996B,15.71B,22.70B,,22.70B,96.00M,663.00M,759.00M,759.00M,33.11B,19.86B,19.86B,261.13B,783.00M,230.00M,298.25B,336.24B,,1.575B,15.95B,24.00B,3.14B,1.562B,,,-892.00M,37.50B,,AOR,Restated
2013-09,,144.21B,77.10B,221.31B,6.074B,2.399B,8.473B,908.00M,241.07B,1.569B,18.02B,5.737B,23.76B,50.14B,206.00M,49.93B,124.27B,203.34B,371.95B,,,6.467B,15.29B,21.76B,,21.76B,1.851B,844.00M,2.695B,2.695B,34.19B,18.89B,18.89B,255.56B,821.00M,203.00M,294.05B,334.17B,,1.575B,15.64B,23.90B,2.819B,1.562B,,,-1.339B,36.96B,,AOR,Restated
2013-06,,126.24B,91.57B,217.80B,5.092B,2.986B,8.078B,954.00M,238.05B,1.595B,17.92B,5.756B,23.68B,50.31B,212.00M,50.10B,130.69B,209.31B,360.50B,,,7.34B,15.27B,22.61B,,22.61B,111.00M,1.06B,1.171B,1.171B,36.38B,18.48B,18.48B,244.88B,860.00M,189.00M,281.68B,323.76B,,1.575B,14.86B,23.80B,2.697B,1.562B,,,-1.651B,35.88B,,AOR,Restated
2013-03,,123.45B,94.88B,218.33B,5.051B,3.049B,8.10B,1.011B,235.58B,1.624B,17.92B,5.826B,23.75B,49.22B,237.00M,48.99B,132.80B,210.44B,355.94B,,,7.576B,14.99B,22.56B,,22.56B,78.00M,789.00M,867.00M,867.00M,32.03B,19.85B,19.85B,239.67B,806.00M,178.00M,278.38B,319.45B,,1.081B,14.20B,23.69B,2.366B,1.068B,,,-915.00M,35.69B,,AOR,Restated
2012-12,,138.75B,92.62B,231.37B,4.848B,3.099B,7.947B,927.00M,247.82B,1.659B,18.08B,5.926B,24.00B,46.63B,266.00M,46.36B,124.35B,199.05B,358.99B,,,7.316B,16.10B,23.41B,,23.41B,338.00M,1.38B,1.718B,1.718B,32.56B,18.53B,18.53B,246.10B,833.00M,178.00M,283.13B,321.73B,,1.081B,14.62B,23.48B,2.114B,1.068B,,,-643.00M,36.43B,,AOR,Restated
2012-09,,118.69B,,118.69B,545.00M,,545.00M,,124.98B,1.69B,17.98B,4.882B,22.87B,45.89B,339.00M,45.55B,123.86B,214.96B,339.94B,,13.68B,,,13.68B,6.59B,20.26B,1.278B,,1.278B,1.278B,33.99B,20.66B,20.66B,222.95B,921.00M,,261.38B,302.80B,,1.049B,14.15B,23.43B,1.942B,1.036B,,,-471.00M,36.22B,,AOR,Restated
