,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,3.606B,3.606B,,1.58B,1.58B,26.00M,,1.606B,69.00M,680.00M,903.00M,148.00M,755.00M,,,-5.00M,48.00M,750.00M,790.96M,26.00M,999.00M,,0.79,,,0.8360,0.79,,0.79,,,0.8359,0.79,,889.93M,891.85M,0.31,,AOR,
2020-09,3.59B,3.59B,,1.483B,1.483B,26.00M,,1.509B,45.00M,703.00M,1.157B,213.00M,944.00M,,,-7.00M,61.00M,937.00M,933.74M,431.00M,1.274B,,0.98,,,0.9763,0.98,,0.98,,,0.9763,0.98,,889.50M,891.07M,0.31,,AOR,
2020-06,3.751B,3.751B,,1.484B,1.484B,26.00M,,1.51B,86.00M,780.00M,1.181B,216.00M,965.00M,,,-15.00M,49.00M,950.00M,947.55M,390.00M,1.344B,,1.01,,,1.007,1.01,,1.01,,,1.007,1.01,,889.02M,890.56M,0.31,,AOR,Restated
2020-03,3.856B,3.856B,,1.524B,1.524B,26.00M,,1.55B,-60.00M,814.00M,1.227B,265.00M,962.00M,,,18.00M,36.00M,980.00M,976.86M,354.00M,1.983B,,1.05,,,1.046,1.05,,1.05,,,1.047,1.05,,894.12M,896.69M,0.31,,AOR,Restated
2019-12,4.515B,4.515B,,1.704B,1.704B,28.00M,,1.732B,-4.00M,815.00M,1.822B,373.00M,1.449B,,,-9.00M,49.00M,1.44B,792.08M,344.00M,2.728B,,1.52,,,0.8090,1.52,,1.52,,,0.8117,1.52,,911.32M,914.74M,0.31,,AOR,
2019-09,3.601B,3.601B,,1.526B,1.526B,30.00M,,1.556B,2.00M,730.00M,1.287B,246.00M,1.041B,,,-3.00M,36.00M,1.038B,1.036B,336.00M,2.499B,,1.07,,,1.068,1.07,,1.07,,,1.068,1.07,,933.26M,935.68M,0.31,,AOR,Restated
2019-06,3.665B,3.665B,,1.477B,1.477B,30.00M,,1.507B,25.00M,802.00M,1.285B,264.00M,1.021B,,,-4.00M,48.00M,1.017B,1.016B,333.00M,2.448B,,1.01,,,1.009,1.01,,1.01,,,1.009,1.01,,951.28M,953.93M,0.28,,AOR,Restated
2019-03,3.653B,3.653B,,1.569B,1.569B,29.00M,,1.598B,29.00M,841.00M,1.193B,237.00M,956.00M,,,-10.00M,36.00M,946.00M,945.20M,302.00M,2.272B,,0.94,,,0.9392,0.94,,0.94,,,0.9392,0.94,,962.40M,965.96M,0.28,,AOR,Restated
2018-12,3.775B,3.775B,,1.666B,1.666B,35.00M,,1.701B,23.00M,885.00M,1.02B,150.00M,870.00M,,,11.00M,49.00M,881.00M,881.00M,328.00M,1.999B,,0.84,,,0.84,0.84,,0.84,,,0.84,0.84,,984.34M,988.65M,0.28,,AOR,Restated
2018-09,3.798B,3.798B,,1.529B,1.529B,48.00M,,1.577B,18.00M,891.00M,1.334B,220.00M,1.114B,,,-3.00M,36.00M,1.111B,1.105B,334.00M,2.077B,,1.07,,,1.064,1.07,,1.06,,,1.054,1.06,,999.81M,1.004B,0.28,,AOR,Restated
