,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,937.00M,-9.00M,-6.00M,-15.00M,431.00M,431.00M,12.00M,,,-2.161B,,1.565B,-596.00M,,778.00M,,-333.00M,,,,-445.00M,-142.00M,14.45B,,-2.437B,-177.00M,-2.614B,3.00M,0.00,3.00M,0.00,,0.00,-278.00M,-61.00M,-339.00M,3.00M,-1.612B,-15.26B,,6.986B,-31.00M,40.00M,6.995B,,3.00M,-1.037B,-4.871B,0.00,356.00M,153.00M,,AOR,
2020-06,950.00M,-9.00M,-6.00M,-15.00M,390.00M,390.00M,-63.00M,,,7.653B,,-2.248B,5.405B,,6.81B,,-359.00M,,,,-14.23B,74.00M,19.86B,,1.034B,-1.417B,-383.00M,3.00M,-3.00M,0.00,990.00M,,990.00M,-278.00M,-49.00M,-327.00M,3.00M,949.00M,-29.49B,,9.805B,-2.825B,6.00M,6.986B,,993.00M,2.284B,-1.25B,-3.00M,571.00M,162.00M,,AOR,Restated
2020-03,980.00M,-9.00M,-6.00M,-15.00M,354.00M,354.00M,-300.00M,,,-5.292B,,2.419B,-2.873B,,-1.685B,,-264.00M,,,,-14.67B,-349.00M,-78.60B,,-752.00M,-1.877B,-2.629B,3.00M,-985.00M,-982.00M,,,,-282.00M,-36.00M,-318.00M,30.00M,5.326B,82.88B,,7.267B,2.594B,-56.00M,9.805B,,3.00M,998.00M,-1.75B,-985.00M,185.00M,851.00M,,AOR,Restated
2019-12,1.44B,25.00M,-15.00M,10.00M,344.00M,344.00M,116.00M,,,-1.086B,,-3.287B,-4.373B,,-2.471B,,-98.00M,,,,199.00M,88.00M,-5.318B,,-253.00M,192.00M,-61.00M,2.00M,-1.041B,-1.039B,,,,-286.00M,-49.00M,-335.00M,14.00M,345.00M,6.005B,,8.992B,-1.784B,59.00M,7.267B,,2.00M,-852.00M,1.422B,-1.041B,292.00M,872.00M,,AOR,
2019-09,1.038B,1.00M,-8.00M,-7.00M,336.00M,336.00M,-75.00M,,,4.379B,,-574.00M,3.805B,,5.081B,,-395.00M,,,,-2.684B,-352.00M,6.156B,,826.00M,-7.778B,-6.952B,3.00M,-981.00M,-978.00M,0.00,,0.00,-294.00M,-36.00M,-330.00M,16.00M,-538.00M,-9.791B,,7.592B,1.446B,-46.00M,8.992B,,3.00M,2.597B,-2.594B,-981.00M,236.00M,1.29B,,AOR,Restated
2019-06,1.017B,-7.00M,-5.00M,-12.00M,333.00M,333.00M,-82.00M,,,-1.564B,,-1.249B,-2.813B,,-1.565B,,-453.00M,,,,-1.479B,511.00M,-32.20B,,-1.33B,5.426B,4.096B,3.00M,-750.00M,-747.00M,0.00,,0.00,-270.00M,-48.00M,-318.00M,4.00M,-350.00M,33.08B,,8.293B,-679.00M,-22.00M,7.592B,,3.00M,1.248B,-2.578B,-750.00M,361.00M,1.116B,,AOR,Restated
2019-03,946.00M,-1.00M,-17.00M,-18.00M,302.00M,302.00M,-28.00M,,,-2.101B,,-57.00M,-2.158B,,-949.00M,,-264.00M,,,,3.435B,429.00M,20.81B,,-1.50B,1.529B,29.00M,13.00M,-555.00M,-542.00M,,,,-270.00M,-36.00M,-306.00M,31.00M,-421.00M,-19.84B,,8.258B,24.00M,11.00M,8.293B,,13.00M,0.00,-1.50B,-555.00M,100.00M,1.122B,,AOR,Restated
2018-12,881.00M,0.00,-8.00M,-8.00M,328.00M,328.00M,-124.00M,,,1.399B,,708.00M,2.107B,,3.184B,,-289.00M,0.00,0.00,0.00,-1.508B,10.00M,-14.72B,,749.00M,1.501B,2.25B,10.00M,-1.372B,-1.362B,,,,-278.00M,-49.00M,-327.00M,6.00M,1.00B,13.46B,,6.349B,1.924B,-15.00M,8.258B,,10.00M,999.00M,-250.00M,-1.372B,284.00M,916.00M,,AOR,Restated
2018-09,1.111B,0.00,-28.00M,-28.00M,334.00M,334.00M,-171.00M,,,821.00M,,-820.00M,1.00M,,1.244B,,-314.00M,23.00M,23.00M,0.00,137.00M,196.00M,2.803B,,-47.00M,-1.901B,-1.948B,10.00M,-602.00M,-592.00M,,,,-283.00M,-36.00M,-319.00M,4.00M,-414.00M,-4.721B,,7.02B,-674.00M,3.00M,6.349B,,10.00M,1.153B,-1.20B,-602.00M,263.00M,749.00M,,AOR,Restated
2018-06,1.103B,-1.00M,-16.00M,-17.00M,342.00M,342.00M,-246.00M,,,-511.00M,,1.752B,1.241B,,2.42B,,-332.00M,,,0.00,-1.607B,142.00M,16.64B,,446.00M,91.00M,537.00M,8.00M,-651.00M,-643.00M,,,,-245.00M,-48.00M,-293.00M,14.00M,-1.034B,-17.81B,,5.872B,1.258B,-110.00M,7.02B,,8.00M,1.246B,-800.00M,-651.00M,322.00M,563.00M,,AOR,Restated
2018-03,1.171B,49.00M,-3.00M,46.00M,335.00M,335.00M,16.00M,,,-201.00M,,-2.214B,-2.415B,,-852.00M,,-173.00M,,,84.00M,1.267B,-501.00M,-1.43B,,345.00M,-663.00M,-318.00M,12.00M,-644.00M,-632.00M,,,,-246.00M,-36.00M,-282.00M,56.00M,-7.00M,971.00M,,7.133B,-1.311B,50.00M,5.872B,,12.00M,1.745B,-1.40B,-644.00M,114.00M,483.00M,,AOR,Restated
2017-12,1.175B,26.00M,-102.00M,-76.00M,430.00M,430.00M,-139.00M,,,535.00M,,-628.00M,-93.00M,,1.291B,,-264.00M,0.00,0.00,0.00,-1.953B,-289.00M,-19.20B,,-251.00M,239.00M,-12.00M,10.00M,-651.00M,-641.00M,,,,-248.00M,-49.00M,-297.00M,48.00M,-1.008B,15.55B,,9.465B,-2.364B,32.00M,7.133B,,10.00M,-1.00M,-250.00M,-651.00M,182.00M,312.00M,,AOR,Restated
2017-09,1.018B,-19.00M,-4.00M,-23.00M,351.00M,351.00M,148.00M,,,3.957B,,-233.00M,3.724B,,5.212B,,-211.00M,0.00,0.00,0.00,-261.00M,-215.00M,167.00M,,749.00M,3.616B,4.365B,10.00M,-650.00M,-640.00M,,,,-253.00M,-35.00M,-288.00M,127.00M,-435.00M,-3.844B,,7.886B,1.535B,44.00M,9.465B,,10.00M,749.00M,0.00,-650.00M,96.00M,336.00M,,AOR,Restated
2017-06,975.00M,0.00,-3.00M,-3.00M,346.00M,346.00M,-6.00M,,,-2.835B,,918.00M,-1.917B,,-612.00M,,-436.00M,,,,-2.112B,-217.00M,-10.89B,,1.247B,-1.704B,-457.00M,7.00M,-506.00M,-499.00M,,,,-199.00M,-49.00M,-248.00M,111.00M,336.00M,11.04B,,8.271B,-462.00M,77.00M,7.886B,,7.00M,1.747B,-500.00M,-506.00M,120.00M,174.00M,,AOR,Restated
