,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,4.463B,4.463B,3.152B,1.311B,817.00M,,-10.00M,66.00M,4.00M,-62.00M,,817.00M,494.00M,4.00M,66.00M,-62.00M,86.00M,-62.00M,518.00M,87.00M,431.00M,-1.00M,,-4.00M,426.00M,435.32M,837.00M,253.00M,584.00M,2.0,0.0,,,2.039,2.0,1.99,-0.01,,,2.029,1.98,213.40M,215.10M,0.85
2020-06,4.445B,4.445B,3.175B,1.27B,904.00M,,-70.00M,68.00M,3.00M,-65.00M,,904.00M,366.00M,3.00M,68.00M,-65.00M,35.00M,-65.00M,336.00M,58.00M,278.00M,0.00,,5.00M,283.00M,340.89M,689.00M,285.00M,404.00M,1.31,0.0,,,1.578,1.31,1.3,0.0,,,1.5659999999999998,1.3,215.90M,217.80M,0.85
2020-03,4.626B,4.626B,3.298B,1.328B,815.00M,,-324.00M,68.00M,5.00M,-63.00M,,815.00M,513.00M,5.00M,68.00M,-63.00M,-229.00M,-63.00M,221.00M,26.00M,195.00M,-1.00M,,23.00M,217.00M,503.77M,519.00M,230.00M,289.00M,1.0,0.0,,,2.315,1.0,0.99,0.0,,,2.293,0.99,217.30M,219.30M,0.85
2019-09,4.431B,4.431B,3.242B,1.189B,999.00M,,229.00M,67.00M,9.00M,-58.00M,,999.00M,190.00M,9.00M,67.00M,-58.00M,308.00M,-58.00M,440.00M,5.00M,435.00M,0.00,,-6.00M,429.00M,202.60M,708.00M,201.00M,507.00M,1.93,0.0,,,0.9129,1.93,1.9,0.0,,,0.8956,1.9,222.60M,225.40M,0.75
2019-06,1.865B,1.865B,1.223B,642.00M,349.00M,,,39.00M,0.00,-39.00M,,349.00M,293.00M,0.00,39.00M,-39.00M,48.00M,-39.00M,302.00M,33.00M,269.00M,-1.00M,,,268.00M,269.00M,406.00M,65.00M,341.00M,2.26,0.0,,,2.26,2.26,2.21,-0.01,,,2.21,2.2,118.30M,121.10M,0.685
2019-03,1.728B,1.728B,1.139B,589.00M,310.00M,,,43.00M,1.00M,-42.00M,,310.00M,279.00M,1.00M,43.00M,-42.00M,46.00M,-42.00M,283.00M,40.00M,243.00M,0.00,,,243.00M,243.00M,390.00M,64.00M,326.00M,2.06,0.0,,,2.06,2.06,2.02,0.0,,,2.02,2.02,117.90M,120.30M,0.685
2018-12,1.666B,1.666B,1.095B,571.00M,304.00M,,,43.00M,0.00,-43.00M,,304.00M,267.00M,0.00,43.00M,-43.00M,47.00M,-43.00M,271.00M,46.00M,225.00M,0.00,,,225.00M,225.00M,378.00M,64.00M,314.00M,1.91,0.0,,,1.91,1.91,1.88,-0.01,,,1.88,1.87,117.70M,120.00M,0.685
2018-09,1.542B,1.542B,1.01B,532.00M,279.00M,,,44.00M,1.00M,-43.00M,,279.00M,253.00M,1.00M,44.00M,-43.00M,47.00M,-43.00M,257.00M,41.00M,216.00M,-3.00M,,,213.00M,216.00M,366.00M,65.00M,301.00M,1.82,-0.01,,,1.82,1.81,1.78,-0.01,,,1.78,1.77,117.90M,120.60M,0.685
2018-06,1.661B,1.661B,1.097B,564.00M,292.00M,,,46.00M,1.00M,-45.00M,,292.00M,272.00M,1.00M,46.00M,-45.00M,20.00M,-45.00M,247.00M,39.00M,208.00M,5.00M,,,213.00M,208.00M,360.00M,67.00M,293.00M,1.78,0.05,,,1.78,1.83,1.74,0.05,,,1.74,1.79,118.30M,121.10M,0.57
2018-03,1.562B,1.562B,1.028B,534.00M,331.00M,,,41.00M,0.00,-41.00M,,331.00M,203.00M,0.00,41.00M,-41.00M,46.00M,-41.00M,208.00M,10.00M,198.00M,-2.00M,,,196.00M,198.00M,311.00M,62.00M,249.00M,1.66,-0.01,,,1.66,1.65,1.63,-0.01,,,1.63,1.62,118.40M,121.00M,0.57
2017-12,1.535B,1.535B,1.022B,513.00M,291.00M,,,42.00M,1.00M,-41.00M,,291.00M,222.00M,1.00M,42.00M,-41.00M,44.00M,-41.00M,225.00M,94.00M,131.00M,0.00,,,131.00M,131.00M,332.00M,65.00M,267.00M,1.1,0.0,,,1.1,1.1,1.08,0.0,,,1.08,1.08,118.50M,120.90M,0.57
2017-09,1.41B,1.41B,919.00M,491.00M,268.00M,,,41.00M,0.00,-41.00M,,268.00M,223.00M,0.00,41.00M,-41.00M,46.00M,-41.00M,228.00M,63.00M,165.00M,-6.00M,,,159.00M,165.00M,334.00M,65.00M,269.00M,1.39,-0.06,,,1.39,1.33,1.36,-0.06,,,1.36,1.31,119.10M,121.20M,0.57
2017-06,1.539B,1.539B,1.079B,460.00M,365.00M,,,42.00M,1.00M,-41.00M,,365.00M,95.00M,1.00M,42.00M,-41.00M,164.00M,-41.00M,218.00M,62.00M,156.00M,-35.00M,,,121.00M,156.00M,332.00M,72.00M,260.00M,1.37,-0.28,,,1.37,1.09,1.35,-0.28,,,1.35,1.07,120.50M,122.20M,0.53
2017-03,1.489B,1.489B,958.00M,531.00M,256.00M,,,42.00M,0.00,-42.00M,,256.00M,275.00M,0.00,42.00M,-42.00M,,-42.00M,233.00M,69.00M,164.00M,-79.00M,,,85.00M,164.00M,347.00M,72.00M,275.00M,1.33,-0.63,,,1.33,0.7,1.31,-0.63,,,1.31,0.69,122.60M,124.50M,0.53
2016-12,1.449B,1.449B,920.00M,529.00M,252.00M,,,44.00M,1.00M,-43.00M,,252.00M,277.00M,1.00M,44.00M,-43.00M,1.00M,-43.00M,235.00M,72.00M,163.00M,14.00M,,,177.00M,163.00M,360.00M,81.00M,279.00M,1.32,0.1,,,1.32,1.42,1.3,0.1,,,1.3,1.4,123.70M,125.40M,0.53
2016-09,1.42B,1.42B,897.00M,523.00M,277.00M,,,44.00M,,-44.00M,,277.00M,246.00M,,44.00M,-44.00M,1.00M,-44.00M,203.00M,58.00M,145.00M,15.00M,,,160.00M,145.00M,333.00M,86.00M,247.00M,1.17,0.12,,,1.17,1.29,1.16,0.11,,,1.16,1.27,123.90M,125.50M,0.53
2016-06,1.533B,1.533B,937.00M,596.00M,346.00M,,,44.00M,1.00M,-43.00M,,346.00M,250.00M,1.00M,44.00M,-43.00M,,-43.00M,217.00M,75.00M,142.00M,18.00M,,,160.00M,142.00M,360.00M,99.00M,261.00M,1.3,-0.01,,,1.3,1.29,1.29,-0.01,,,1.29,1.28,124.10M,125.60M,0.5
2016-03,1.55B,1.55B,1.009B,541.00M,273.00M,,,46.00M,0.00,-46.00M,,273.00M,268.00M,0.00,46.00M,-46.00M,-1.00M,-46.00M,221.00M,62.00M,159.00M,9.00M,,,168.00M,159.00M,349.00M,82.00M,267.00M,1.27,0.08,,,1.27,1.35,1.26,0.08,,,1.26,1.34,124.00M,125.10M,0.5
2015-12,1.748B,1.748B,1.203B,545.00M,217.00M,,,46.00M,0.00,-46.00M,,217.00M,328.00M,0.00,46.00M,-46.00M,,-46.00M,282.00M,85.00M,197.00M,-349.00M,,,-152.00M,197.00M,414.00M,86.00M,328.00M,1.59,-2.82,,,1.59,-1.23,1.577,-2.82,,,1.577,-1.23,123.80M,124.90M,0.5
2015-09,1.811B,1.811B,1.22B,591.00M,329.00M,,,48.00M,1.00M,-47.00M,,329.00M,262.00M,1.00M,48.00M,-47.00M,1.00M,-47.00M,216.00M,68.00M,148.00M,,,,148.00M,148.00M,358.00M,94.00M,264.00M,1.2,,,,1.2,1.2,1.18,,,,1.18,1.18,123.50M,124.70M,0.5
2015-06,337.00M,337.00M,46.00M,291.00M,280.00M,,-109.00M,51.00M,0.00,-51.00M,,280.00M,11.00M,0.00,51.00M,-51.00M,,-51.00M,-148.00M,-45.00M,-103.00M,47.00M,,,-56.00M,-27.14M,-17.00M,80.00M,-97.00M,-0.51,0.0,,,0.1765,-0.51,-0.51,0.0,,,0.1697,-0.51,110.50M,111.60M,0.47
2015-03,1.187B,1.187B,754.00M,433.00M,220.00M,,0.00,34.00M,0.00,-34.00M,,220.00M,213.00M,0.00,34.00M,-34.00M,,-34.00M,179.00M,53.00M,126.00M,0.00,,,126.00M,126.00M,273.00M,60.00M,213.00M,1.21,0.0,,,1.21,1.21,1.2,0.0,,,1.2,1.2,103.70M,104.80M,0.47
2014-12,1.206B,1.206B,808.00M,398.00M,188.00M,,0.00,22.00M,1.00M,-21.00M,,188.00M,210.00M,1.00M,22.00M,-21.00M,,-21.00M,189.00M,50.00M,139.00M,0.00,,,139.00M,139.00M,264.00M,53.00M,211.00M,1.34,0.0,,,1.34,1.34,1.325,0.0,,,1.325,1.34,103.90M,104.90M,0.47
2014-09,1.155B,1.155B,762.00M,393.00M,195.00M,,,23.00M,1.00M,-22.00M,,195.00M,198.00M,1.00M,23.00M,-22.00M,,-22.00M,176.00M,51.00M,125.00M,,,,125.00M,125.00M,250.00M,51.00M,199.00M,1.19,,,,1.19,1.19,1.18,,,,1.18,1.18,104.60M,105.80M,0.47
2014-06,1.329B,1.329B,899.10M,430.30M,204.30M,,,23.40M,1.00M,-22.40M,,204.30M,226.00M,1.00M,23.40M,-22.40M,-0.70M,-22.40M,202.90M,65.50M,137.40M,-6.40M,,0.60M,131.60M,138.00M,281.70M,55.40M,226.30M,1.3,-0.07,,,1.3,1.23,1.28,-0.07,,,1.28,1.22,105.50M,107.00M,0.42
2014-03,1.268B,1.268B,841.00M,426.50M,203.20M,,,23.20M,0.70M,-22.50M,,203.20M,223.30M,0.70M,23.20M,-22.50M,0.20M,-22.50M,201.00M,63.90M,137.10M,4.10M,,0.20M,141.40M,137.30M,272.40M,48.20M,224.20M,1.28,0.04,,,1.28,1.32,1.27,0.04,,,1.27,1.31,106.20M,107.40M,0.42
2013-12,1.223B,1.223B,795.40M,427.80M,204.70M,,,23.70M,0.70M,-23.00M,,204.70M,223.10M,0.70M,23.70M,-23.00M,3.20M,-23.00M,203.30M,66.20M,137.10M,-1.00M,,0.10M,136.20M,137.20M,277.40M,50.40M,227.00M,1.28,-0.01,,,1.28,1.27,1.27,-0.01,,,1.27,1.26,106.30M,107.30M,0.42
2013-09,1.192B,1.192B,774.50M,417.40M,207.80M,,,23.70M,0.60M,-23.10M,,207.80M,209.60M,0.60M,23.70M,-23.10M,1.30M,-23.10M,187.80M,60.40M,127.40M,-1.70M,,0.10M,125.80M,127.50M,261.50M,50.00M,211.50M,1.19,-0.02,,,1.19,1.17,1.18,-0.02,,,1.18,1.16,106.40M,107.30M,0.42
2013-06,1.360B,1.360B,887.80M,472.10M,300.20M,,,25.90M,0.20M,-25.70M,,300.20M,171.90M,0.20M,25.90M,-25.70M,-39.40M,-25.70M,106.80M,36.20M,70.60M,-14.70M,,-0.40M,55.50M,70.20M,189.40M,56.70M,132.70M,0.65,-0.14,,,0.65,0.51,0.65,-0.14,,,0.65,0.51,107.50M,108.50M,0.37
2013-03,1.204B,1.204B,803.50M,400.20M,202.50M,,,27.60M,0.80M,-26.80M,,202.50M,197.70M,0.80M,27.60M,-26.80M,-0.50M,-26.80M,170.40M,45.80M,124.60M,-30.30M,,0.50M,94.80M,125.10M,252.10M,54.10M,198.00M,1.12,-0.27,,,1.12,0.85,1.12,-0.27,,,1.12,0.85,110.60M,111.20M,0.37
