,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,430.00M,10.00M,,-81.00M,-71.00M,768.00M,,253.00M,253.00M,-33.00M,0.00,31.00M,57.00M,-117.00M,-36.00M,184.00M,,,59.00M,90.00M,757.00M,-86.00M,,-86.00M,,39.00M,,0.00,-47.00M,-2.00M,,-2.00M,,-1.15B,-1.15B,-179.00M,-179.00M,2.00M,-2.00M,-1.331B,1.947B,-621.00M,15.00M,1.341B,,1.00M,-3.00M,-1.15B
2020-06,278.00M,52.00M,,-80.00M,-28.00M,-230.00M,,285.00M,285.00M,-74.00M,70.00M,-47.00M,149.00M,258.00M,135.00M,-268.00M,,,44.00M,169.00M,802.00M,-60.00M,,-60.00M,,963.00M,,0.00,903.00M,-250.00M,,-250.00M,,0.00,0.00,-184.00M,-184.00M,4.00M,0.00,-430.00M,663.00M,1.275B,9.00M,1.947B,,3.00M,-253.00M,0.00
2020-03,194.00M,,,-80.00M,-80.00M,230.00M,,230.00M,230.00M,-35.00M,324.00M,87.00M,16.00M,-274.00M,40.00M,184.00M,,,-153.00M,-203.00M,533.00M,-48.00M,,-48.00M,,,,-10.00M,-58.00M,244.00M,,244.00M,,-700.00M,-700.00M,-183.00M,-183.00M,33.00M,-6.00M,-612.00M,824.00M,-137.00M,-24.00M,663.00M,,245.00M,-1.00M,-700.00M
2019-06,268.00M,,,-48.00M,-48.00M,152.00M,-87.00M,65.00M,65.00M,,,34.00M,29.00M,52.00M,21.00M,-63.00M,,,-91.00M,-81.00M,311.00M,-57.00M,,-57.00M,,0.00,,,-55.00M,-3.00M,,-3.00M,,0.00,0.00,-81.00M,-81.00M,26.00M,-1.00M,-59.00M,334.00M,197.00M,-1.00M,530.00M,,2.00M,-5.00M,0.00
2019-03,243.00M,,,-34.00M,-34.00M,35.00M,29.00M,64.00M,64.00M,,,37.00M,84.00M,-11.00M,-8.00M,2.00M,,,28.00M,11.00M,405.00M,-37.00M,,-37.00M,,0.00,,,-37.00M,-301.00M,,-301.00M,,0.00,0.00,-81.00M,-81.00M,6.00M,-4.00M,-380.00M,343.00M,-12.00M,3.00M,334.00M,,-1.00M,-300.00M,0.00
2018-12,225.00M,,,-30.00M,-30.00M,35.00M,29.00M,64.00M,64.00M,,,32.00M,-55.00M,-21.00M,-11.00M,40.00M,,,108.00M,116.00M,352.00M,-36.00M,,-36.00M,,0.00,,,-36.00M,-193.00M,,-193.00M,,0.00,0.00,-81.00M,-81.00M,3.00M,-2.00M,-273.00M,305.00M,43.00M,-5.00M,343.00M,,-190.00M,-3.00M,0.00
2018-09,213.00M,,,-38.00M,-38.00M,36.00M,29.00M,65.00M,65.00M,,,38.00M,-38.00M,-54.00M,-3.00M,-141.00M,,,75.00M,-123.00M,117.00M,-31.00M,,-31.00M,,,,,-31.00M,216.00M,,216.00M,,-200.00M,-200.00M,-82.00M,-82.00M,15.00M,-18.00M,-69.00M,288.00M,17.00M,0.00,305.00M,,216.00M,0.00,-200.00M
2018-06,213.00M,,,-43.00M,-19.00M,154.00M,-87.00M,67.00M,67.00M,,,32.00M,14.00M,27.00M,17.00M,90.00M,,,-240.00M,-106.00M,521.00M,-57.00M,,-57.00M,,0.00,,,-60.00M,-456.00M,,-456.00M,,-75.00M,-75.00M,-67.00M,-67.00M,3.00M,-14.00M,-609.00M,443.00M,-148.00M,-7.00M,288.00M,,835.00M,-1.291B,-75.00M
2018-03,196.00M,,,-33.00M,-33.00M,33.00M,29.00M,62.00M,62.00M,,,26.00M,-250.00M,-106.00M,-13.00M,32.00M,,,-57.00M,-144.00M,-143.00M,-36.00M,,-36.00M,,0.00,,,-36.00M,300.00M,,300.00M,,-47.00M,-47.00M,-68.00M,-68.00M,13.00M,0.00,198.00M,422.00M,19.00M,2.00M,443.00M,,304.00M,-4.00M,-47.00M
2017-12,131.00M,,,-34.00M,-34.00M,35.00M,30.00M,65.00M,65.00M,,,13.00M,-43.00M,15.00M,1.00M,10.00M,,,120.00M,146.00M,278.00M,-20.00M,,-20.00M,,-2.00M,,,-22.00M,-80.00M,,-80.00M,,-75.00M,-75.00M,-68.00M,-68.00M,4.00M,-1.00M,-220.00M,388.00M,36.00M,-2.00M,422.00M,,248.00M,-328.00M,-75.00M
