,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.341B,,1.341B,1.128B,,,2.416B,3.741B,473.00M,254.00M,167.00M,,894.00M,,383.00M,6.393B,0.00,90.00M,1.065B,2.581B,878.00M,4.614B,-1.689B,2.925B,18.99B,8.172B,27.16B,116.00M,547.00M,30.75B,37.14B,1.207B,37.00M,1.244B,1.239B,2.483B,,,668.00M,668.00M,1.089B,1.089B,,15.00M,4.666B,6.261B,737.00M,6.998B,1.402B,,1.402B,1.583B,126.00M,1.057B,11.04B,15.71B,210.00M,2.383B,,,,-590.00M,21.31B
2020-06,1.947B,,1.947B,1.148B,,,2.281B,3.632B,483.00M,199.00M,177.00M,,859.00M,,400.00M,6.926B,0.00,90.00M,1.041B,2.523B,890.00M,4.544B,-1.639B,2.905B,19.02B,8.336B,27.35B,120.00M,550.00M,30.93B,37.85B,1.094B,57.00M,1.151B,1.218B,2.369B,,,668.00M,668.00M,1.106B,1.106B,,21.00M,4.587B,6.273B,773.00M,7.046B,1.466B,,1.466B,1.664B,124.00M,863.00M,11.04B,15.63B,216.00M,2.25B,,,,-624.00M,22.10B
2020-03,663.00M,,663.00M,1.278B,,,2.467B,3.95B,486.00M,307.00M,197.00M,,990.00M,,400.00M,7.211B,0.00,90.00M,1.044B,2.453B,784.00M,4.371B,-1.555B,2.816B,19.26B,8.171B,27.44B,112.00M,530.00M,30.89B,38.10B,1.422B,37.00M,1.459B,1.095B,2.554B,,,898.00M,898.00M,1.138B,1.138B,,204.00M,5.123B,6.294B,729.00M,7.023B,1.402B,,1.402B,1.744B,129.00M,786.00M,10.96B,16.08B,216.00M,2.151B,,,,-651.00M,21.90B
2019-09,1.001B,,1.001B,1.275B,,,2.625B,4.191B,636.00M,430.00M,273.00M,,1.339B,,496.00M,7.027B,0.00,71.00M,1.019B,2.446B,934.00M,4.47B,-1.463B,3.007B,20.75B,7.516B,28.26B,124.00M,524.00M,31.92B,38.95B,1.423B,24.00M,1.447B,881.00M,2.328B,,,659.00M,659.00M,1.21B,1.21B,,,4.718B,6.307B,831.00M,7.138B,1.192B,,1.192B,2.145B,152.00M,829.00M,11.30B,16.02B,222.00M,2.019B,,,,-756.00M,22.77B
2019-06,530.00M,,530.00M,457.00M,,,807.00M,1.455B,193.00M,90.00M,77.00M,,360.00M,,100.00M,2.578B,0.00,40.00M,631.00M,1.616B,,2.287B,-1.393B,894.00M,5.34B,870.00M,6.21B,173.00M,262.00M,7.539B,10.12B,525.00M,8.00M,533.00M,283.00M,816.00M,100.00M,659.00M,759.00M,759.00M,496.00M,496.00M,,36.00M,2.268B,2.763B,0.00,2.763B,12.00M,,12.00M,1.174B,0.00,537.00M,4.486B,6.754B,119.00M,2.173B,,,,-707.00M,3.363B
2019-03,334.00M,,334.00M,455.00M,,,881.00M,1.411B,231.00M,113.00M,89.00M,,433.00M,,107.00M,2.285B,0.00,43.00M,630.00M,1.607B,,2.28B,-1.376B,904.00M,5.371B,902.00M,6.273B,91.00M,239.00M,7.507B,9.792B,523.00M,16.00M,539.00M,316.00M,855.00M,,,109.00M,109.00M,466.00M,466.00M,,,1.606B,3.412B,,3.412B,59.00M,,59.00M,601.00M,,507.00M,4.579B,6.185B,118.00M,1.986B,,,,-217.00M,3.607B
2018-12,343.00M,,343.00M,497.00M,,,829.00M,1.425B,228.00M,128.00M,69.00M,,425.00M,,118.00M,2.311B,0.00,43.00M,625.00M,1.565B,,2.233B,-1.332B,901.00M,5.37B,930.00M,6.30B,99.00M,241.00M,7.541B,9.852B,521.00M,11.00M,532.00M,275.00M,807.00M,,,408.00M,408.00M,479.00M,479.00M,,,1.822B,3.411B,,3.411B,60.00M,,60.00M,635.00M,,512.00M,4.618B,6.44B,118.00M,1.824B,,,,-211.00M,3.412B
2018-09,305.00M,,305.00M,435.00M,,,870.00M,1.453B,213.00M,119.00M,81.00M,,413.00M,,117.00M,2.288B,0.00,43.00M,624.00M,1.546B,,2.213B,-1.315B,898.00M,5.373B,960.00M,6.333B,117.00M,253.00M,7.601B,9.889B,480.00M,21.00M,501.00M,321.00M,822.00M,,,599.00M,599.00M,410.00M,410.00M,,,1.956B,3.41B,,3.41B,84.00M,,84.00M,674.00M,,521.00M,4.689B,6.645B,118.00M,1.68B,,,,-202.00M,3.244B
2018-06,288.00M,,288.00M,466.00M,,,782.00M,1.422B,199.00M,121.00M,91.00M,,411.00M,,103.00M,2.224B,0.00,43.00M,620.00M,1.52B,,2.183B,-1.283B,900.00M,5.372B,989.00M,6.361B,119.00M,247.00M,7.627B,9.851B,622.00M,15.00M,637.00M,317.00M,954.00M,75.00M,307.00M,382.00M,382.00M,372.00M,372.00M,,,1.85B,3.408B,0.00,3.408B,79.00M,,79.00M,714.00M,0.00,522.00M,4.723B,6.573B,118.00M,1.648B,,,,-202.00M,3.278B
2018-03,443.00M,,443.00M,463.00M,,,284.00M,892.00M,205.00M,113.00M,101.00M,544.00M,963.00M,,116.00M,2.414B,0.00,43.00M,617.00M,1.479B,,2.139B,-1.26B,879.00M,5.377B,1.019B,6.396B,149.00M,232.00M,7.656B,10.07B,494.00M,22.00M,516.00M,354.00M,870.00M,,,828.00M,828.00M,296.00M,296.00M,,,2.146B,3.391B,,3.391B,49.00M,,49.00M,868.00M,,479.00M,4.787B,6.933B,119.00M,1.543B,,,,-249.00M,3.137B
2017-12,422.00M,,422.00M,382.00M,,,264.00M,666.00M,209.00M,111.00M,90.00M,532.00M,942.00M,,102.00M,2.132B,0.00,43.00M,612.00M,1.453B,,2.108B,-1.23B,878.00M,5.374B,1.048B,6.422B,209.00M,215.00M,7.724B,9.856B,462.00M,38.00M,500.00M,303.00M,803.00M,,,528.00M,528.00M,290.00M,290.00M,,,1.741B,3.391B,,3.391B,34.00M,,34.00M,1.202B,,494.00M,5.121B,6.862B,119.00M,1.424B,,,,-254.00M,2.994B
2017-09,388.00M,,388.00M,422.00M,,,287.00M,730.00M,207.00M,106.00M,100.00M,483.00M,896.00M,,113.00M,2.127B,0.00,43.00M,619.00M,1.435B,,2.097B,-1.207B,890.00M,5.376B,1.077B,6.453B,409.00M,220.00M,7.972B,10.10B,452.00M,128.00M,580.00M,342.00M,922.00M,,,602.00M,602.00M,264.00M,264.00M,,,1.918B,3.395B,,3.395B,35.00M,,35.00M,1.237B,,527.00M,5.194B,7.112B,119.00M,1.387B,,,,-250.00M,2.987B
2017-06,484.00M,,484.00M,368.00M,,,258.00M,647.00M,195.00M,96.00M,96.00M,454.00M,841.00M,,101.00M,2.073B,0.00,43.00M,617.00M,1.411B,,2.071B,-1.167B,904.00M,5.366B,1.104B,6.47B,409.00M,234.00M,8.017B,10.09B,540.00M,31.00M,571.00M,329.00M,900.00M,,,634.00M,634.00M,252.00M,252.00M,,,1.926B,3.396B,,3.396B,34.00M,,34.00M,1.278B,,528.00M,5.236B,7.162B,120.00M,1.343B,,,,-276.00M,2.928B
2017-03,302.00M,,302.00M,467.00M,,,251.00M,782.00M,201.00M,118.00M,96.00M,479.00M,894.00M,,106.00M,2.876B,0.00,43.00M,592.00M,1.364B,,1.999B,-1.104B,895.00M,5.367B,1.136B,6.503B,612.00M,221.00M,8.231B,11.11B,428.00M,8.00M,436.00M,346.00M,782.00M,,,354.00M,354.00M,231.00M,231.00M,,186.00M,1.732B,3.859B,,3.859B,5.00M,,5.00M,2.069B,0.00,522.00M,6.461B,8.193B,122.00M,1.554B,,,,-461.00M,2.914B
2016-12,361.00M,,361.00M,469.00M,,,297.00M,773.00M,198.00M,129.00M,108.00M,566.00M,1.001B,,133.00M,2.612B,0.00,43.00M,618.00M,1.387B,,2.048B,-1.14B,908.00M,5.848B,1.437B,7.285B,550.00M,263.00M,9.006B,11.62B,540.00M,15.00M,555.00M,340.00M,895.00M,,,313.00M,313.00M,260.00M,260.00M,,67.00M,1.665B,4.087B,,4.087B,4.00M,,4.00M,2.144B,1.00M,560.00M,6.795B,8.46B,124.00M,1.495B,,,,-523.00M,3.157B
2016-09,284.00M,,284.00M,639.00M,,,348.00M,997.00M,207.00M,122.00M,115.00M,518.00M,962.00M,,182.00M,2.425B,0.00,44.00M,626.00M,1.53B,,2.20B,-1.212B,988.00M,5.994B,1.501B,7.495B,610.00M,260.00M,9.353B,11.78B,508.00M,49.00M,557.00M,439.00M,996.00M,,,399.00M,399.00M,289.00M,289.00M,,6.00M,1.856B,4.087B,,4.087B,5.00M,,5.00M,2.199B,1.00M,577.00M,6.868B,8.724B,124.00M,1.384B,,,,-497.00M,3.053B
2016-06,487.00M,,487.00M,398.00M,,,280.00M,749.00M,192.00M,110.00M,129.00M,436.00M,867.00M,,124.00M,2.624B,0.00,43.00M,592.00M,1.298B,,1.933B,-1.009B,924.00M,5.352B,1.231B,6.583B,549.00M,1.329B,9.385B,12.01B,494.00M,4.00M,498.00M,379.00M,877.00M,,,397.00M,397.00M,294.00M,294.00M,,248.00M,1.981B,4.12B,,4.12B,4.00M,,4.00M,2.296B,1.00M,506.00M,6.971B,8.952B,125.00M,1.33B,,,,-495.00M,3.056B
2016-03,302.00M,,302.00M,732.00M,,,331.00M,1.198B,195.00M,154.00M,119.00M,524.00M,992.00M,,139.00M,2.866B,0.00,45.00M,608.00M,1.474B,,2.127B,-1.12B,1.007B,5.94B,1.576B,7.516B,362.00M,149.00M,9.034B,11.90B,529.00M,14.00M,543.00M,387.00M,930.00M,,,474.00M,474.00M,328.00M,335.00M,,86.00M,2.012B,4.319B,,4.319B,8.00M,,8.00M,1.716B,1.00M,478.00M,6.521B,8.533B,124.00M,1.232B,,,,-70.00M,3.366B
2015-12,511.00M,,511.00M,666.00M,,,277.00M,1.091B,199.00M,228.00M,100.00M,543.00M,1.07B,,122.00M,2.835B,0.00,45.00M,640.00M,1.614B,,2.299B,-1.197B,1.102B,5.989B,1.643B,7.632B,376.00M,152.00M,9.262B,12.10B,558.00M,8.00M,566.00M,422.00M,988.00M,,,583.00M,583.00M,353.00M,366.00M,,43.00M,2.139B,4.443B,,4.443B,11.00M,64.00M,75.00M,1.739B,1.00M,449.00M,6.706B,8.845B,124.00M,1.127B,,,,-66.00M,3.251B
2015-09,320.00M,,320.00M,770.00M,,,320.00M,1.108B,206.00M,235.00M,110.00M,556.00M,1.107B,346.00M,132.00M,3.053B,0.00,45.00M,632.00M,1.645B,,2.322B,-1.172B,1.15B,6.321B,1.729B,8.05B,165.00M,146.00M,9.511B,12.56B,455.00M,70.00M,525.00M,474.00M,999.00M,,,180.00M,180.00M,421.00M,434.00M,1.00M,,1.871B,4.901B,,4.901B,14.00M,67.00M,81.00M,1.876B,1.00M,372.00M,7.23B,9.101B,124.00M,1.342B,,,,-48.00M,3.462B
