,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-11,1.558B,1.558B,897.20M,660.70M,370.50M,-14.30M,32.40M,-24.60M,,370.50M,290.20M,32.40M,-24.60M,-18.00M,-24.60M,247.60M,57.50M,200.70M,,,200.70M,211.68M,321.10M,41.10M,280.00M,,0.75,,,0.7911,0.75,,0.74,,,0.7808,0.74,,267.40M,269.40M,0.31,,AOR,
2020-08,1.430B,1.430B,840.00M,590.30M,317.20M,0.00,33.50M,-33.50M,,317.20M,273.10M,33.50M,-33.50M,3.80M,-33.50M,243.40M,46.90M,206.10M,,,206.10M,206.10M,319.30M,42.40M,276.90M,,0.775,,,0.775,0.775,,0.765,,,0.765,0.765,,266.60M,269.60M,0.31,,AOR,
2020-05,1.401B,1.401B,821.60M,579.50M,319.20M,-1.90M,34.40M,-34.40M,,319.20M,260.30M,34.40M,-34.40M,0.20M,-34.40M,226.10M,40.40M,195.90M,,,195.90M,197.46M,300.10M,39.60M,260.50M,,0.735,,,0.7409,0.735,,0.73,,,0.7358,0.73,,266.20M,268.60M,0.31,,AOR,
2020-02,1.212B,1.212B,742.10M,469.90M,274.70M,-0.30M,35.30M,-35.30M,,274.70M,195.20M,35.30M,-35.30M,4.50M,-35.30M,164.40M,30.10M,144.70M,,,144.70M,144.95M,241.60M,41.90M,199.70M,,0.545,,,0.5459,0.545,,0.54,,,0.5409,0.54,,266.00M,268.60M,0.31,,AOR,
2019-11,1.485B,1.485B,854.80M,630.00M,326.90M,-1.10M,38.50M,-28.40M,,326.90M,303.10M,38.50M,-28.40M,-6.60M,-28.40M,268.10M,66.40M,213.40M,,,213.40M,214.23M,347.40M,40.80M,306.60M,,0.80,,,0.8031,0.80,,0.795,,,0.7981,0.795,,265.40M,268.40M,0.285,,AOR,Restated
2019-08,1.329B,1.329B,789.30M,539.90M,278.70M,-1.10M,41.30M,-41.30M,,278.70M,261.20M,41.30M,-41.30M,-0.80M,-41.30M,219.10M,36.80M,191.90M,,,191.90M,192.82M,299.40M,39.00M,260.40M,,0.725,,,0.7284,0.725,,0.715,,,0.7184,0.715,,265.60M,268.40M,0.285,,AOR,Restated
2019-05,1.302B,1.302B,793.40M,508.50M,293.30M,-3.40M,42.40M,-42.40M,,293.30M,215.20M,42.40M,-42.40M,-0.80M,-42.40M,172.00M,32.10M,149.40M,,,149.40M,152.16M,253.10M,38.70M,214.40M,,0.565,,,0.5754,0.565,,0.56,,,0.5703,0.56,,264.60M,267.80M,0.285,,AOR,Restated
2019-02,1.232B,1.232B,764.60M,466.90M,267.90M,-0.60M,43.00M,-43.00M,,267.90M,199.00M,43.00M,-43.00M,4.00M,-43.00M,160.00M,22.10M,148.00M,,,148.00M,148.52M,243.30M,40.30M,203.00M,,0.56,,,0.5620,0.56,,0.555,,,0.5569,0.555,,264.40M,267.60M,0.285,,AOR,Restated
2018-11,1.468B,1.468B,862.90M,605.00M,310.70M,-0.70M,43.90M,-36.80M,,310.70M,294.30M,43.90M,-36.80M,1.40M,-36.80M,258.90M,55.80M,214.00M,,,214.00M,214.55M,341.90M,39.10M,302.80M,,0.81,,,0.8121,0.81,,0.80,,,0.8020,0.80,,264.00M,268.00M,0.26,,AOR,Restated
2018-08,1.318B,1.318B,795.70M,522.50M,283.70M,-6.20M,44.70M,-44.70M,,283.70M,238.80M,44.70M,-44.70M,-4.10M,-44.70M,190.00M,24.90M,173.50M,,,173.50M,178.89M,272.20M,37.50M,234.70M,,0.66,,,0.6805,0.66,,0.65,,,0.6702,0.65,,263.20M,266.40M,0.26,,AOR,Restated
