,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-11,200.70M,,-10.60M,-7.60M,41.10M,41.10M,,,8.20M,8.20M,,,,,,,177.50M,,414.60M,,-79.70M,,,,,0.40M,-882.30M,,18.90M,718.50M,737.40M,,-1.30M,-1.30M,-82.70M,-82.70M,2.50M,-2.30M,653.60M,,221.00M,185.90M,16.70M,423.60M,,,20.60M,-1.70M,-1.30M,,AOR,
2020-08,206.10M,,-9.60M,-9.60M,42.40M,42.40M,,,10.70M,10.70M,,,,,,,14.30M,,271.20M,,-58.50M,,,,,0.40M,-58.10M,,-202.90M,82.50M,-120.40M,,-25.20M,-25.20M,-82.50M,-82.50M,27.40M,-1.50M,-202.20M,,185.00M,10.90M,25.10M,221.00M,,,11.40M,-214.30M,-25.20M,,AOR,
2020-05,195.90M,,-10.20M,-10.20M,39.60M,39.60M,,,20.70M,20.70M,,,,,,,59.70M,,310.70M,,-48.60M,,,,,1.70M,-46.90M,,473.80M,-639.70M,-165.90M,,-0.90M,-0.90M,-82.50M,-82.50M,19.00M,-7.30M,-237.60M,,170.80M,26.20M,-12.00M,185.00M,,,495.00M,-21.20M,-0.90M,,AOR,
2020-02,144.70M,,-10.40M,-10.40M,41.90M,41.90M,,,6.40M,6.40M,,,,,,,-148.90M,,44.80M,,-38.50M,,,,,0.20M,-38.30M,,-20.50M,125.20M,104.70M,,-19.90M,-19.90M,-82.40M,-82.40M,7.70M,-3.00M,7.10M,,155.40M,13.60M,1.80M,170.80M,,,,-20.50M,-19.90M,,AOR,
2019-11,213.40M,,-11.70M,-13.30M,40.80M,40.80M,,,6.60M,6.60M,,,,,,,177.80M,,452.20M,,-66.60M,,,,,0.10M,-66.50M,,-233.10M,-83.40M,-316.50M,,-18.20M,-18.20M,-75.80M,-75.80M,6.30M,-2.40M,-406.60M,,162.90M,-20.90M,13.40M,155.40M,,,0.00,-233.10M,-18.20M,,AOR,Restated
2019-08,191.90M,,-9.60M,-9.60M,39.00M,39.00M,,,7.80M,7.80M,,,,,,,-56.20M,,180.40M,,-53.00M,,,,,2.50M,-50.50M,,-121.00M,78.80M,-42.20M,,-17.10M,-17.10M,-75.60M,-75.60M,36.60M,-0.20M,-98.50M,,139.40M,31.40M,-7.90M,162.90M,,,0.00,-121.00M,-17.10M,,AOR,Restated
2019-05,149.40M,,-9.50M,-9.50M,38.70M,38.70M,,,16.10M,16.10M,,,,,,,9.10M,,210.60M,,-28.70M,,,,,0.00,-28.70M,,-72.10M,1.30M,-70.80M,,-29.30M,-29.30M,-75.50M,-75.50M,41.30M,-7.00M,-141.30M,,102.30M,40.60M,-3.50M,139.40M,,,0.00,-72.10M,-29.30M,,AOR,Restated
2019-02,148.00M,,-10.10M,-10.10M,40.30M,40.30M,,,6.70M,6.70M,,,,,,,-92.70M,,103.60M,,-25.40M,,,,,0.10M,-25.30M,,-21.50M,44.30M,22.80M,,-30.50M,-30.50M,-75.30M,-75.30M,6.70M,-3.10M,-79.40M,,96.60M,-1.10M,6.80M,102.30M,,,,-21.50M,-30.50M,,AOR,Restated
2018-11,214.00M,,-10.90M,-16.30M,39.10M,39.10M,38.90M,-3.00M,4.00M,-21.60M,,,,,,,145.30M,,432.20M,,-56.50M,,,0.00,,11.40M,-45.10M,,-209.30M,-80.60M,-289.90M,,-22.30M,-22.30M,-68.50M,-68.50M,36.10M,-13.80M,-358.40M,,73.00M,28.70M,-5.10M,96.60M,,,0.00,-209.30M,-22.30M,,AOR,Restated
2018-08,173.50M,,-8.40M,-8.40M,37.50M,37.50M,-10.30M,0.00,5.50M,5.50M,,,,,,,-51.10M,,154.10M,,-52.70M,,,0.00,,2.50M,-50.20M,,-187.00M,18.30M,-168.70M,,-7.90M,-7.90M,-68.40M,-68.40M,20.50M,-6.60M,-231.10M,,202.60M,-127.20M,-2.40M,73.00M,,,12.40M,-199.40M,-7.90M,,AOR,Restated
2018-05,123.30M,,-7.40M,-7.40M,37.50M,37.50M,0.00,3.00M,11.80M,14.80M,,,,,,,81.60M,,255.40M,,-28.60M,,,0.00,,0.60M,-28.00M,,-62.30M,-55.80M,-118.10M,,-15.30M,-15.30M,-68.30M,-68.30M,4.70M,-3.80M,-200.80M,,179.60M,26.60M,-3.60M,202.60M,,,7.10M,-69.40M,-15.30M,,AOR,Restated
2018-02,422.60M,,-8.10M,-8.10M,36.60M,36.60M,-297.90M,,4.30M,4.30M,,,,,,,-185.00M,,-20.50M,,-31.30M,,,-4.20M,,0.30M,-35.20M,,-313.40M,423.60M,110.20M,,-16.80M,-16.80M,-68.20M,-68.20M,16.90M,-2.90M,39.20M,,186.80M,-16.50M,9.30M,179.60M,,,6.40M,-319.80M,-16.80M,,AOR,Restated
2017-11,175.70M,0.00,-10.30M,-9.00M,35.60M,35.60M,24.10M,,5.50M,21.60M,,,,,,,235.10M,,512.30M,,-74.00M,,,0.00,,0.80M,-73.20M,,-256.80M,-91.30M,-348.10M,-0.90M,-2.00M,-2.90M,-61.60M,-61.60M,3.00M,-1.10M,-410.70M,,166.10M,28.40M,-7.70M,186.80M,,-0.90M,12.00M,-268.80M,-2.00M,,AOR,Restated
2017-08,108.20M,-2.90M,-8.20M,-11.10M,31.50M,31.50M,0.00,0.00,4.00M,4.00M,,,,,,,-13.40M,,125.80M,,-42.20M,,,-4.203B,,0.30M,-4.245B,,3.977B,-307.30M,3.67B,554.90M,0.00,554.90M,-58.60M,-58.60M,2.50M,-26.70M,4.142B,,130.00M,22.60M,13.50M,166.10M,,554.90M,3.978B,-0.30M,0.00,,AOR,Restated
2017-05,100.00M,,-8.40M,-8.40M,29.80M,29.80M,0.00,0.00,10.30M,10.30M,,,,,,,-4.90M,,132.90M,,-36.60M,-0.90M,-0.90M,0.00,,0.40M,-37.10M,,-1.10M,16.20M,15.10M,,-53.10M,-53.10M,-58.50M,-58.50M,15.80M,-4.90M,-85.60M,,125.70M,10.20M,-5.90M,130.00M,,,0.00,-1.10M,-53.10M,,AOR,Restated
2017-02,93.50M,,-7.00M,-7.00M,28.30M,28.30M,0.00,,4.10M,4.10M,,,,,,,-80.20M,,44.30M,,-29.60M,0.90M,0.90M,-124.00M,,,-152.70M,,-2.50M,247.80M,245.30M,,-82.70M,-82.70M,-58.90M,-58.90M,8.20M,-1.70M,110.20M,,118.40M,1.80M,5.50M,125.70M,,,0.00,-2.50M,-82.70M,,AOR,Restated
