,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.687B,4.687B,3.178B,1.509B,765.00M,140.00M,0.00,36.00M,-36.00M,905.00M,604.00M,36.00M,-36.00M,-15.00M,-36.00M,553.00M,77.00M,476.00M,,-1.00M,475.00M,475.00M,589.00M,,589.00M,,1.19,,1.19,1.19,,1.18,,1.18,1.18,,398.70M,401.30M,0.73,,AOR,
2020-09,4.526B,4.526B,3.051B,1.475B,754.00M,132.00M,0.00,41.00M,-41.00M,886.00M,589.00M,41.00M,-41.00M,-23.00M,-41.00M,525.00M,78.00M,447.00M,,-1.00M,446.00M,446.00M,772.00M,206.00M,566.00M,,1.11,,1.11,1.11,,1.11,,1.11,1.11,,400.40M,402.30M,0.73,,AOR,
2020-06,3.856B,3.856B,2.877B,979.00M,691.00M,126.00M,0.00,38.00M,-38.00M,817.00M,162.00M,38.00M,-38.00M,-77.00M,-38.00M,47.00M,-7.00M,54.00M,,-3.00M,51.00M,51.00M,283.00M,198.00M,85.00M,,0.13,,0.13,0.13,,0.13,,0.13,0.13,,400.40M,401.30M,0.73,,AOR,
2020-03,4.789B,4.789B,3.302B,1.487B,865.00M,153.00M,221.00M,34.00M,-34.00M,1.018B,469.00M,34.00M,-34.00M,186.00M,-34.00M,621.00M,183.00M,438.00M,,0.00,438.00M,282.20M,854.00M,199.00M,655.00M,,1.07,,0.6893,1.07,,1.07,,0.6910,1.07,,409.30M,411.10M,0.73,,AOR,
2019-12,5.238B,5.238B,3.556B,1.682B,874.00M,152.00M,0.00,79.00M,-79.00M,1.026B,656.00M,79.00M,-79.00M,-45.00M,-79.00M,532.00M,79.00M,453.00M,,-1.00M,452.00M,452.00M,827.00M,216.00M,611.00M,,1.09,,1.09,1.09,,1.09,,1.09,1.09,,413.90M,415.70M,0.71,,AOR,
2019-09,5.314B,5.314B,3.512B,1.802B,885.00M,147.00M,0.00,47.00M,-47.00M,1.032B,770.00M,47.00M,-47.00M,-5.00M,-47.00M,718.00M,116.00M,602.00M,,-1.00M,601.00M,601.00M,991.00M,226.00M,765.00M,,1.44,,1.44,1.44,,1.44,,1.44,1.44,,416.60M,418.40M,0.71,,AOR,Restated
2019-06,5.533B,5.533B,3.697B,1.836B,907.00M,151.00M,0.00,50.00M,-50.00M,1.058B,778.00M,50.00M,-50.00M,10.00M,-50.00M,738.00M,102.00M,636.00M,,0.00,636.00M,636.00M,1.009B,221.00M,788.00M,,1.51,,1.51,1.51,,1.50,,1.50,1.50,,421.60M,423.10M,0.71,,AOR,Restated
2019-03,5.305B,5.305B,3.573B,1.732B,917.00M,156.00M,0.00,60.00M,-60.00M,1.073B,659.00M,60.00M,-60.00M,4.00M,-60.00M,603.00M,81.00M,522.00M,,0.00,522.00M,522.00M,884.00M,221.00M,663.00M,,1.23,,1.23,1.23,,1.23,,1.23,1.23,,424.00M,425.90M,0.71,,AOR,Restated
2018-12,5.459B,5.459B,3.67B,1.789B,869.00M,145.00M,0.00,66.00M,-66.00M,1.014B,775.00M,66.00M,-66.00M,17.00M,-66.00M,726.00M,94.00M,632.00M,,-1.00M,631.00M,631.00M,1.015B,223.00M,792.00M,,1.46,,1.46,1.46,,1.46,,1.46,1.46,,429.80M,432.40M,0.66,,AOR,Restated
2018-09,5.412B,5.412B,3.597B,1.815B,889.00M,138.00M,-275.00M,67.00M,-67.00M,1.027B,788.00M,67.00M,-67.00M,-282.00M,-67.00M,439.00M,23.00M,416.00M,,0.00,416.00M,676.70M,729.00M,223.00M,506.00M,,0.96,,1.561,0.96,,0.95,,1.548,0.95,,433.50M,436.30M,0.66,,AOR,Restated
2018-06,5.487B,5.487B,3.671B,1.816B,901.00M,145.00M,,68.00M,-68.00M,1.046B,770.00M,68.00M,-68.00M,-8.00M,-68.00M,694.00M,83.00M,611.00M,,-1.00M,610.00M,610.00M,989.00M,227.00M,762.00M,,1.40,,1.40,1.40,,1.39,,1.39,1.39,,435.20M,437.30M,0.66,,AOR,Restated
2018-03,5.251B,5.251B,3.573B,1.678B,889.00M,156.00M,,70.00M,-70.00M,1.045B,633.00M,70.00M,-70.00M,2.00M,-70.00M,565.00M,78.00M,487.00M,,1.00M,488.00M,488.00M,865.00M,230.00M,635.00M,,1.11,,1.11,1.11,,1.10,,1.10,1.10,,438.80M,441.70M,0.66,,AOR,Restated
2017-12,5.213B,5.213B,3.535B,1.678B,857.00M,144.00M,0.00,65.00M,-65.00M,1.001B,677.00M,65.00M,-65.00M,23.00M,-65.00M,635.00M,1.00M,634.00M,,0.00,634.00M,634.00M,929.00M,229.00M,700.00M,,1.44,,1.44,1.44,,1.43,,1.43,1.43,,440.30M,443.10M,0.60,,AOR,Restated
2017-09,5.211B,5.211B,3.466B,1.745B,902.00M,147.00M,1.077B,60.00M,-60.00M,1.049B,696.00M,60.00M,-60.00M,1.058B,-60.00M,1.694B,293.00M,1.401B,,0.00,1.401B,510.32M,1.986B,232.00M,1.754B,,3.16,,1.148,3.16,,3.14,,1.139,3.14,,442.60M,445.20M,0.60,,AOR,Restated
2017-06,5.132B,5.132B,3.448B,1.684B,891.00M,150.00M,,60.00M,-60.00M,1.041B,643.00M,60.00M,-60.00M,-11.00M,-60.00M,572.00M,55.00M,517.00M,,-1.00M,516.00M,516.00M,860.00M,228.00M,632.00M,,1.16,,1.16,1.16,,1.15,,1.15,1.15,,446.30M,448.60M,0.60,,AOR,Restated
2017-03,4.848B,4.848B,3.307B,1.541B,876.00M,143.00M,,61.00M,-61.00M,1.019B,522.00M,61.00M,-61.00M,6.00M,-61.00M,467.00M,33.00M,434.00M,,0.00,434.00M,434.00M,753.00M,225.00M,528.00M,,0.97,,0.97,0.97,,0.96,,0.96,0.96,,448.80M,451.00M,0.60,,AOR,Restated
2016-12,4.867B,4.867B,3.315B,1.552B,822.00M,143.00M,0.00,60.00M,-60.00M,965.00M,587.00M,60.00M,-60.00M,23.00M,-60.00M,550.00M,48.00M,502.00M,,-4.00M,498.00M,498.00M,839.00M,229.00M,610.00M,,1.12,,1.12,1.12,,1.12,,1.12,1.12,,450.50M,452.30M,0.57,,AOR,Restated
2016-09,4.987B,4.987B,3.371B,1.616B,853.00M,146.00M,0.00,59.00M,-59.00M,999.00M,617.00M,59.00M,-59.00M,15.00M,-59.00M,573.00M,51.00M,522.00M,,1.00M,523.00M,523.00M,865.00M,233.00M,632.00M,,1.15,,1.15,1.15,,1.15,,1.15,1.15,,453.90M,455.60M,0.57,,AOR,Restated
