,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,438.00M,438.00M,664.00M,1.102B,2.904B,2.904B,,,,,2.109B,576.00M,,,9.178B,,,,3.392B,3.392B,,3.392B,12.90B,4.175B,17.08B,426.00M,1.75B,22.65B,31.82B,,1.987B,1.987B,,1.987B,,1.048B,,1.048B,2.54B,5.926B,7.01B,326.00M,7.336B,277.00M,277.00M,1.918B,43.00M,1.394B,10.92B,16.85B,,,,,,,,14.93B,,AOR,
2020-09,429.00M,429.00M,334.00M,763.00M,2.876B,2.876B,780.00M,508.00M,808.00M,,2.096B,538.00M,,,8.671B,2.154B,,5.262B,421.00M,7.837B,-4.50B,3.337B,12.68B,4.179B,16.86B,376.00M,1.745B,22.31B,30.98B,,1.788B,1.788B,,1.788B,,1.253B,,1.253B,2.428B,5.805B,6.948B,323.00M,7.271B,306.00M,306.00M,1.662B,42.00M,1.423B,10.66B,16.47B,,4.00M,6.741B,12.27B,,,-4.533B,14.48B,,AOR,
2020-06,292.00M,292.00M,204.00M,496.00M,2.647B,2.647B,774.00M,522.00M,842.00M,,2.138B,527.00M,,,8.213B,2.112B,,5.211B,419.00M,7.742B,-4.419B,3.323B,12.50B,4.241B,16.74B,356.00M,1.718B,22.14B,30.35B,,1.62B,1.62B,,1.62B,,1.362B,,1.362B,2.253B,5.489B,6.906B,320.00M,7.226B,310.00M,310.00M,1.646B,47.00M,1.442B,10.62B,16.11B,,4.00M,6.767B,12.23B,,,-4.809B,14.19B,,AOR,
2020-03,239.00M,239.00M,178.00M,417.00M,2.951B,2.951B,821.00M,605.00M,920.00M,,2.346B,516.00M,,,8.67B,2.081B,,5.215B,434.00M,7.73B,-4.357B,3.373B,12.40B,4.319B,16.72B,346.00M,1.74B,22.18B,30.84B,,1.785B,1.785B,,1.785B,,587.00M,,587.00M,2.298B,4.944B,7.842B,334.00M,8.176B,354.00M,354.00M,1.646B,43.00M,1.437B,11.61B,16.56B,,4.00M,7.007B,12.20B,,,-4.966B,14.24B,,AOR,
2019-12,370.00M,370.00M,221.00M,591.00M,3.437B,3.437B,986.00M,640.00M,1.179B,,2.805B,518.00M,,,8.728B,2.44B,,6.266B,436.00M,9.142B,-5.21B,3.932B,13.46B,4.638B,18.09B,372.00M,1.679B,24.08B,32.80B,,2.114B,2.114B,,2.114B,,503.00M,,503.00M,2.066B,5.132B,7.819B,331.00M,8.15B,396.00M,396.00M,1.79B,51.00M,1.204B,11.54B,16.67B,,4.00M,8.17B,12.20B,,,-4.29B,16.08B,,AOR,
2019-09,549.00M,549.00M,281.00M,830.00M,3.787B,3.787B,1.094B,578.00M,1.229B,,2.901B,494.00M,,,8.012B,2.436B,,6.257B,444.00M,9.137B,-5.21B,3.927B,13.34B,4.657B,17.99B,294.00M,1.668B,23.88B,31.90B,,2.29B,2.29B,,2.29B,,8.00M,,8.00M,1.942B,4.661B,8.013B,333.00M,8.346B,309.00M,309.00M,1.561B,52.00M,1.118B,11.33B,16.00B,,4.00M,8.062B,12.15B,,,-4.367B,15.85B,,AOR,Restated
2019-06,412.00M,412.00M,385.00M,797.00M,3.944B,3.944B,1.089B,565.00M,1.199B,,2.853B,532.00M,,,8.126B,2.464B,,6.261B,419.00M,9.144B,-5.215B,3.929B,13.46B,4.766B,18.23B,303.00M,1.657B,24.12B,32.24B,,2.268B,2.268B,,2.268B,,7.00M,,7.00M,1.818B,4.45B,8.079B,311.00M,8.39B,389.00M,389.00M,1.59B,55.00M,1.064B,11.43B,15.88B,,4.00M,8.30B,12.11B,,,-4.108B,16.31B,,AOR,Restated
2019-03,303.00M,303.00M,143.00M,446.00M,3.865B,3.865B,1.12B,549.00M,1.228B,,2.897B,536.00M,,,7.744B,2.457B,,6.145B,420.00M,9.022B,-5.129B,3.893B,13.32B,4.754B,18.07B,309.00M,1.631B,23.90B,31.65B,,2.274B,2.274B,,2.274B,,783.00M,,783.00M,1.927B,5.286B,6.782B,308.00M,7.09B,360.00M,360.00M,1.585B,34.00M,1.061B,10.10B,15.38B,,4.00M,8.225B,12.08B,,,-4.078B,16.23B,,AOR,Restated
2018-12,283.00M,283.00M,157.00M,440.00M,3.858B,3.858B,1.077B,500.00M,1.208B,,2.785B,507.00M,,,7.59B,2.466B,,6.106B,,8.572B,-5.105B,3.467B,13.33B,4.846B,18.17B,293.00M,1.568B,23.50B,31.09B,,2.13B,2.13B,,2.13B,,753.00M,,753.00M,1.814B,5.154B,6.768B,0.00,6.768B,349.00M,349.00M,1.625B,35.00M,1.054B,9.796B,14.95B,,4.00M,8.161B,12.09B,,,-4.145B,16.11B,,AOR,Restated
2018-09,327.00M,327.00M,178.00M,505.00M,4.027B,4.027B,1.094B,531.00M,1.21B,,2.835B,500.00M,,,7.867B,2.47B,,6.03B,,8.50B,-5.054B,3.446B,13.38B,4.949B,18.33B,241.00M,1.74B,23.76B,31.63B,,2.165B,2.165B,,2.165B,,508.00M,,508.00M,2.167B,5.267B,6.737B,,6.737B,347.00M,347.00M,1.504B,35.00M,984.00M,9.572B,14.84B,,,,,,,,16.75B,,AOR,Restated
