,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,AsOriginallyReported,Restated
1993-06,142.40M,,,,,,,,,-61.90M,,,,77.00M,,,77.00M,157.50M,,-87.20M,,-87.20M,,-4.60M,4.10M,-87.70M,,,142.20M,,-186.40M,-186.40M,,-59.50M,,12.50M,-91.20M,,0.00,-21.40M,-3.30M,0.00,,,,,-186.40M,,,,
1993-03,140.80M,,,,,,,,,50.00M,,,,-77.00M,,,-77.00M,113.80M,,-64.00M,,-64.00M,,36.40M,34.40M,6.80M,,,-17.50M,,,,,-49.80M,,6.30M,-61.00M,,117.90M,59.60M,-1.80M,0.00,,,,,,,,,
1992-12,109.90M,,,,,48.20M,48.20M,,,61.90M,,,,188.00M,,,168.40M,270.60M,,-127.00M,,-127.00M,,28.00M,-56.40M,-155.40M,,,-103.80M,,,,,-59.70M,,,-161.40M,,0.00,-46.20M,-6.40M,0.00,,,,,,,,,
1992-09,128.90M,,,,,51.10M,51.10M,,,-6.10M,,,,-63.50M,,,-63.50M,110.40M,,-75.90M,,-75.90M,,-10.50M,21.50M,-64.90M,,,1.40M,,,,,-49.60M,,,-48.20M,,0.00,-2.70M,3.00M,0.00,,,,,,,,,
1992-06,124.40M,,,,,49.20M,49.20M,,,-14.80M,,,,-56.30M,,,-56.30M,102.50M,,-67.60M,,-67.60M,,28.50M,4.90M,-34.20M,,,-51.30M,,,,,-52.30M,,,-103.60M,,0.00,-35.30M,2.90M,0.00,,,,,,,,,
1992-03,113.80M,,,,,44.00M,44.00M,,,-41.00M,,,,-57.60M,,,-57.60M,59.20M,,-48.00M,,-48.00M,,27.30M,-122.70M,-143.40M,,,166.20M,,,,,-39.10M,,,127.10M,,168.50M,42.90M,-8.80M,0.00,,,,,,,,,
1991-12,86.90M,,,,,41.10M,41.10M,,,-289.20M,,,,95.50M,,,41.40M,160.80M,,-83.40M,,-83.40M,,-16.20M,-121.00M,-220.60M,,,-335.80M,,,,,-46.10M,,,93.80M,,0.00,34.00M,6.00M,0.00,,,,,,,,,
1991-09,-146.60M,,,,,35.10M,35.10M,,,272.10M,,,,-14.90M,,,-14.90M,145.70M,,-62.60M,,-62.60M,,4.70M,-160.20M,-218.10M,,,107.00M,,,,,-35.60M,,,71.40M,,0.00,-1.00M,4.00M,0.00,,,,,,,,,
1991-06,93.30M,,,,,34.10M,34.10M,,,10.60M,,,,-1.30M,,,-1.30M,136.70M,,-60.80M,,-60.80M,,8.80M,3.00M,-49.00M,,,-44.20M,,,,,-45.40M,,,-89.60M,,0.00,-1.90M,-5.30M,0.00,,,,,,,,,
1991-03,91.30M,,,,,35.90M,35.90M,,,6.50M,,,,-91.20M,,,-91.20M,42.50M,,-53.90M,,-53.90M,,39.50M,-34.20M,-48.60M,,,12.60M,,,,,-30.00M,,,-17.40M,,166.40M,-23.50M,-10.20M,0.00,,,,,,,,,
1990-12,73.40M,,,,-15.50M,36.10M,36.10M,,,13.30M,,,,75.00M,,,29.00M,188.50M,,-102.00M,,-102.00M,,-9.50M,-53.20M,-164.70M,,,16.50M,,-0.30M,31.80M,,-33.60M,,,14.70M,,0.00,38.50M,0.60M,0.00,,,,,-0.30M,,,,
1990-09,84.40M,,,,-12.30M,33.60M,33.60M,,,-13.30M,,,,2.30M,,,2.30M,94.70M,,-75.50M,,-75.50M,,-23.20M,-22.80M,-121.50M,,,18.20M,,-13.50M,-13.50M,,-35.70M,,,-31.00M,,0.00,-57.80M,2.00M,0.00,,,,,-13.50M,,,,
1990-06,82.00M,,,,20.10M,29.40M,29.40M,,,-0.10M,,,,-26.60M,,,-26.60M,104.80M,,-68.10M,,-68.10M,,-1.00M,-206.60M,-275.70M,,,155.00M,,,,,-39.30M,,,115.70M,,0.00,-55.20M,-0.50M,0.00,,,,,,,,,
1990-03,81.20M,,,,-7.80M,27.10M,27.10M,,,0.10M,,,,-38.00M,,,-38.00M,62.60M,,-51.20M,,-51.20M,,43.40M,-144.70M,-152.50M,,,-39.10M,,,,,-29.70M,,,-68.80M,,397.90M,-158.70M,-0.40M,0.00,,,,,,,,,
