,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1995-06,165.40M,,165.40M,,1.212B,,,,858.80M,331.10M,2.567B,,,,,3.431B,-1.236B,2.195B,,2.677B,2.677B,,382.50M,5.255B,7.823B,,751.90M,,751.90M,,751.90M,,,360.10M,,360.10M,650.60M,1.763B,2.965B,,2.965B,299.00M,299.00M,,,,810.00M,4.074B,5.837B,,405.30M,2.667B,,,405.30M,,,,1.986B,,,
1995-03,171.50M,,171.50M,,1.168B,,,,821.20M,323.80M,2.485B,,,,,3.373B,-1.204B,2.168B,,2.678B,2.678B,,376.50M,5.222B,7.708B,,720.40M,,720.40M,,720.40M,,,223.90M,,223.90M,773.20M,1.718B,3.026B,,3.026B,294.60M,294.60M,,,,785.50M,4.106B,5.824B,,406.80M,2.534B,,,406.80M,,,,1.884B,,,
1994-12,169.90M,,169.90M,,1.050B,,,,713.90M,244.30M,2.178B,,,,,3.103B,-1.115B,1.988B,,1.672B,1.672B,,304.80M,3.965B,6.142B,,694.90M,,694.90M,,694.90M,,,207.90M,,207.90M,626.40M,1.529B,1.752B,,1.752B,295.40M,295.40M,,,,743.40M,2.790B,4.320B,,408.40M,2.497B,,,408.40M,,,,1.823B,,,
1994-09,180.90M,,180.90M,,1.082B,,,,745.80M,281.90M,2.290B,,,,,3.083B,-1.160B,1.924B,,1.626B,1.626B,,337.70M,3.888B,6.178B,,638.10M,,638.10M,,638.10M,,,209.50M,,209.50M,654.70M,1.502B,1.800B,,1.800B,293.60M,293.60M,,,,723.40M,2.817B,4.319B,,410.00M,2.429B,,,410.00M,,,,1.859B,,,
1994-06,152.50M,,152.50M,,1.075B,,,,750.30M,319.50M,2.297B,,,,,2.986B,-1.122B,1.865B,,1.593B,1.593B,,346.00M,3.803B,6.101B,,650.20M,,650.20M,,650.20M,,,182.90M,,182.90M,616.40M,1.450B,1.82B,,1.82B,283.90M,283.90M,,,,721.00M,2.825B,4.274B,,411.10M,2.339B,,,411.10M,,,,1.826B,,,
1994-03,147.90M,,147.90M,,1.026B,,,,701.60M,302.50M,2.178B,,,,,2.860B,-1.073B,1.787B,,1.589B,1.589B,,397.20M,3.773B,5.951B,,606.50M,,606.50M,,606.50M,,,302.50M,,302.50M,678.80M,1.588B,1.663B,,1.663B,285.10M,285.10M,,,,696.90M,2.645B,4.233B,,413.20M,2.207B,,,413.20M,,,,1.718B,,,
1993-12,144.10M,,144.10M,,988.30M,,,,678.00M,260.00M,2.070B,,,,,2.820B,-1.054B,1.766B,,1.589B,1.589B,,335.50M,3.691B,5.761B,,599.30M,,599.30M,,599.30M,,,184.90M,,184.90M,609.80M,1.394B,1.532B,,1.532B,266.20M,266.20M,,,,693.60M,2.492B,3.886B,,414.30M,2.163B,,,414.30M,,,,1.875B,,,
1993-09,170.30M,,170.30M,,1.025B,,,,698.90M,297.40M,2.192B,,,,,2.758B,-1.057B,1.702B,,1.429B,1.429B,,335.00M,3.465B,5.657B,,574.50M,,574.50M,,574.50M,,,165.30M,,165.30M,668.60M,1.408B,1.332B,,1.332B,242.20M,242.20M,,,,700.20M,2.274B,3.683B,,415.20M,2.106B,,,415.20M,,,,1.974B,,,
1993-06,151.00M,,151.00M,,961.10M,,,,693.10M,293.40M,2.099B,,,,,2.674B,-1.036B,1.638B,,1.420B,1.420B,,346.90M,3.406B,5.504B,,580.80M,,580.80M,,580.80M,,,158.10M,,158.10M,634.50M,1.373B,1.101B,,1.101B,230.10M,230.10M,,,,583.90M,1.915B,3.288B,,416.10M,2.035B,,,416.10M,,,,2.216B,,,
1993-03,175.70M,,175.70M,,955.30M,,,,721.70M,271.70M,2.124B,,,,,2.654B,-1.022B,1.632B,,1.450B,1.450B,,348.20M,3.431B,5.555B,,565.80M,,565.80M,,565.80M,,,163.10M,,163.10M,715.70M,1.445B,957.30M,,957.30M,223.60M,223.60M,,,,615.00M,1.796B,3.240B,,417.60M,1.902B,,,417.60M,,,,2.314B,,,
