,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-10,132.20M,,,32.20M,32.20M,-1.50M,,97.40M,,12.60M,-49.90M,-9.60M,96.00M,,51.70M,88.20M,361.10M,,-20.90M,,,0.00,-44.80M,2.00M,-1.20M,-64.90M,,0.00,,0.00,54.40M,-190.40M,-136.00M,,-65.40M,-201.40M,,1.440B,94.80M,2.40M,1.537B,,54.40M,,0.00,-190.40M,,AOR,
2020-07,98.20M,,,30.00M,30.00M,11.00M,,95.90M,,3.30M,-132.80M,-4.50M,119.00M,,-128.90M,-147.20M,91.20M,,-28.00M,,,-1.20M,,5.00M,-10.80M,-33.80M,,0.00,,0.00,1.70M,-7.00M,-5.30M,,-7.10M,-12.40M,,1.390B,45.00M,5.10M,1.440B,,1.70M,,0.00,-7.00M,,AOR,
2020-04,66.50M,,,30.00M,30.00M,3.50M,,98.20M,,32.70M,295.50M,-47.50M,-150.50M,,-1.10M,96.40M,327.30M,,-23.50M,,,-3.60M,,-11.00M,-43.50M,-78.00M,,-450.00M,,-450.00M,56.80M,-202.00M,-145.20M,,-35.00M,-630.20M,,1.775B,-380.90M,-4.10M,1.390B,,56.80M,,-450.00M,-202.00M,,AOR,
2020-01,131.80M,,,30.90M,30.90M,-37.60M,,105.00M,,-22.70M,-131.30M,20.90M,13.30M,,587.90M,490.80M,698.20M,,-14.00M,,,,0.00,0.00,-0.60M,-14.60M,,348.90M,,348.90M,1.90M,-180.60M,-178.70M,,-37.00M,133.20M,,956.20M,816.80M,1.70M,1.775B,,1.90M,,-150.00M,-180.60M,,AOR,
2019-10,66.70M,,,31.60M,31.60M,12.10M,,94.00M,,15.10M,-173.00M,10.20M,49.20M,,170.50M,56.90M,276.40M,,-9.70M,,,0.00,0.00,0.00,-0.50M,-10.20M,,-100.00M,,-100.00M,42.10M,-127.30M,-85.20M,,-48.70M,-233.90M,,923.90M,32.30M,0.00,956.20M,,42.10M,,-100.00M,-127.30M,,AOR,Restated
2019-07,40.20M,,,32.10M,32.10M,11.40M,,88.20M,,-19.30M,-80.40M,16.00M,35.00M,,96.10M,66.70M,219.30M,,-14.80M,,,0.00,,22.70M,-11.20M,-3.30M,,-125.00M,,-125.00M,2.80M,-46.10M,-43.30M,,-5.40M,-173.70M,,883.20M,42.30M,-1.60M,923.90M,,2.80M,,-125.00M,-46.10M,,AOR,Restated
2019-04,-24.20M,,,32.70M,32.70M,24.40M,,75.20M,,15.50M,206.20M,11.40M,-182.20M,,62.20M,97.60M,221.20M,,-14.70M,,,0.00,,-15.20M,0.70M,-29.20M,,-125.00M,,-125.00M,46.90M,-88.50M,-41.60M,,-25.80M,-192.40M,,886.00M,-0.40M,-2.40M,883.20M,,46.90M,,-125.00M,-88.50M,,AOR,Restated
2019-01,64.70M,,,25.40M,25.40M,-23.30M,,74.00M,,-15.40M,-154.80M,-0.80M,70.90M,,270.80M,186.10M,311.50M,,-17.60M,,,,-1.006B,271.90M,1.70M,-750.10M,,500.00M,,500.00M,0.80M,-32.20M,-31.40M,,-24.80M,443.80M,,875.70M,5.20M,5.10M,886.00M,,0.80M,,0.00,-32.20M,,AOR,Restated
2018-10,-23.70M,,,23.50M,23.50M,16.80M,,64.20M,,14.00M,-74.80M,0.40M,25.90M,,-7.10M,-55.60M,39.20M,,-12.70M,,,,0.00,84.40M,8.30M,80.00M,,0.00,,0.00,39.70M,-106.60M,-66.90M,,-67.70M,-134.60M,,895.40M,-15.40M,-4.30M,875.70M,,39.70M,,0.00,-106.60M,,AOR,Restated
2018-07,-39.40M,,,22.20M,22.20M,-13.60M,,56.90M,,2.30M,-27.20M,9.30M,41.00M,,-8.20M,14.90M,43.30M,,-20.00M,,,,-34.10M,-28.40M,-5.40M,-87.90M,,0.00,,0.00,1.30M,-132.70M,-131.40M,,-14.20M,-145.60M,,1.093B,-190.20M,-7.40M,895.40M,,1.30M,,0.00,-132.70M,,AOR,Restated
2018-04,-82.40M,,,24.10M,24.10M,13.30M,,54.40M,,33.00M,231.40M,-1.40M,-230.80M,,-58.50M,-59.30M,-16.90M,,-16.70M,,,,,64.90M,-0.60M,47.60M,,0.00,,0.00,49.10M,-22.00M,27.10M,,-38.80M,-11.70M,,1.078B,19.00M,-4.00M,1.093B,,49.10M,,0.00,-22.00M,,AOR,Restated
2018-01,-173.50M,,,26.90M,26.90M,-46.40M,,61.90M,,83.10M,-130.00M,-3.40M,70.60M,,190.10M,127.30M,79.30M,,-11.40M,,,,0.00,259.60M,-0.70M,247.50M,,0.00,,0.00,1.20M,-261.10M,-259.90M,,-22.50M,-282.40M,,1.025B,44.40M,8.40M,1.078B,,1.20M,0.00,0.00,-261.10M,,AOR,Restated
2017-10,-119.80M,,,24.70M,24.70M,-1.30M,,65.10M,,10.40M,-42.20M,-4.10M,28.00M,,-11.90M,-30.20M,-51.10M,,-12.90M,,,,0.00,78.30M,-7.20M,58.20M,,0.00,,0.00,37.30M,-122.70M,-85.40M,,-70.80M,-156.20M,,1.174B,-149.10M,0.20M,1.025B,,37.30M,0.00,0.00,-122.70M,,AOR,Restated
2017-07,-144.00M,,,28.40M,28.40M,9.00M,,67.60M,,0.90M,-35.40M,-8.60M,32.80M,,-23.20M,-34.40M,-72.50M,,-17.80M,,,,0.00,-31.80M,-8.20M,-57.80M,,96.90M,,96.90M,5.80M,-119.30M,-113.50M,,-22.60M,-39.20M,,1.340B,-169.50M,3.40M,1.174B,,5.80M,496.90M,-400.00M,-119.30M,,AOR,Restated
2017-04,-129.60M,,,28.40M,28.40M,-0.40M,,66.80M,,7.00M,220.90M,6.20M,-167.40M,,13.30M,73.00M,45.20M,,-8.60M,,,,,263.20M,3.90M,258.50M,,,,,50.10M,-195.90M,-145.80M,,-33.00M,-178.80M,,1.213B,124.90M,2.20M,1.340B,,50.10M,,,-195.90M,,AOR,Restated
