,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,7.337B,7.337B,563.00M,2.05B,2.613B,8.00M,,2.621B,0.00,5.873B,3.064B,496.00M,2.568B,-2.00M,,68.00M,2.566B,2.568B,8.00M,3.582B,,5.36,0.00,,5.36,5.36,,5.35,0.00,,5.35,5.35,,459.10M,460.20M,0.10,,AOR,
2020-09,7.238B,7.238B,283.00M,2.029B,2.312B,14.00M,-56.00M,2.27B,541.00M,5.555B,3.502B,1.096B,2.406B,0.00,,67.00M,2.406B,2.444B,897.00M,4.162B,,5.07,0.00,,5.154,5.07,,5.06,0.00,,5.144,5.06,,457.80M,458.50M,0.10,,AOR,
2020-06,6.414B,6.414B,273.00M,2.012B,2.285B,16.00M,-71.00M,2.23B,63.00M,5.46B,-1.46B,-543.00M,-917.00M,-1.00M,,90.00M,-918.00M,-872.41M,911.00M,-602.00M,,-2.21,0.00,,-2.112,-2.21,,-2.21,0.00,,-2.112,-2.21,,456.70M,456.70M,0.40,,AOR,
2020-03,7.069B,7.069B,491.00M,1.929B,2.42B,22.00M,-79.00M,2.363B,-7.00M,6.025B,-1.903B,-563.00M,-1.34B,0.00,,55.00M,-1.34B,-1.284B,893.00M,-819.00M,,-3.10,0.00,,-2.978,-3.10,,-3.10,0.00,,-2.978,-3.10,,457.60M,457.60M,0.40,,AOR,
2019-12,7.229B,7.229B,710.00M,1.998B,2.708B,28.00M,-82.00M,2.654B,36.00M,6.066B,1.448B,270.00M,1.178B,-2.00M,,97.00M,1.176B,1.245B,905.00M,2.652B,,2.26,0.00,,2.405,2.26,,2.25,0.00,,2.394,2.25,,460.70M,463.30M,0.40,,AOR,
2019-09,6.759B,6.759B,501.00M,1.917B,2.418B,25.00M,-101.00M,2.342B,41.00M,5.737B,1.704B,375.00M,1.329B,4.00M,,53.00M,1.333B,1.408B,849.00M,3.042B,,2.70,0.01,,2.868,2.71,,2.68,0.01,,2.847,2.69,,469.50M,471.80M,0.40,,AOR,Restated
2019-06,6.942B,6.942B,546.00M,1.887B,2.433B,29.00M,-97.00M,2.365B,62.00M,5.746B,2.003B,387.00M,1.616B,9.00M,,80.00M,1.625B,1.694B,881.00M,3.333B,,3.24,0.02,,3.406,3.26,,3.22,0.02,,3.385,3.24,,470.80M,473.00M,0.40,,AOR,Restated
2019-03,6.901B,6.901B,517.00M,1.876B,2.393B,30.00M,-103.00M,2.32B,80.00M,5.791B,1.719B,309.00M,1.41B,2.00M,,52.00M,1.412B,1.494B,704.00M,3.02B,,2.87,0.00,,3.050,2.87,,2.86,0.00,,3.039,2.86,,469.40M,471.60M,0.40,,AOR,Restated
2018-12,6.808B,6.808B,831.00M,1.671B,2.502B,43.00M,-90.00M,2.455B,-33.00M,5.82B,1.243B,-21.00M,1.264B,-3.00M,,80.00M,1.261B,1.330B,675.00M,2.471B,,2.50,-0.01,,2.640,2.49,,2.49,-0.01,,2.629,2.48,,470.00M,472.30M,0.40,,AOR,Restated
2018-09,6.71B,6.71B,504.00M,1.743B,2.247B,44.00M,-88.00M,2.203B,-180.00M,5.786B,1.921B,420.00M,1.501B,1.00M,,53.00M,1.502B,1.570B,589.00M,3.03B,,3.01,0.00,,3.154,3.01,,2.99,0.00,,3.133,2.99,,477.80M,480.90M,0.40,,AOR,Restated
2018-06,7.023B,7.023B,425.00M,1.747B,2.172B,43.00M,-89.00M,2.126B,37.00M,5.551B,2.492B,575.00M,1.917B,-11.00M,,80.00M,1.906B,1.985B,582.00M,3.537B,,3.76,-0.02,,3.901,3.74,,3.73,-0.02,,3.870,3.71,,485.10M,488.30M,0.40,,AOR,Restated
2018-03,6.632B,6.632B,414.00M,1.826B,2.24B,44.00M,-97.00M,2.187B,16.00M,5.718B,1.662B,319.00M,1.343B,3.00M,,52.00M,1.346B,1.421B,550.00M,2.581B,,2.63,0.01,,2.791,2.64,,2.61,0.01,,2.770,2.62,,486.90M,490.80M,0.40,,AOR,Restated
2017-12,6.727B,6.727B,460.00M,1.827B,2.287B,61.00M,-89.00M,2.259B,42.00M,5.813B,1.308B,2.17B,-862.00M,-109.00M,,80.00M,-971.00M,-808.60M,721.00M,2.099B,,-1.95,-0.22,,-1.840,-2.17,,-1.95,-0.22,,-1.841,-2.17,,485.70M,490.10M,0.40,,AOR,Restated
