,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,347.48M,347.48M,390.48M,,390.48M,135.06M,73.38M,317.69M,526.12M,156.48M,,,1.421B,,,,548.17M,,548.17M,,548.17M,2.364B,2.229B,4.593B,,4.915M,46.88M,5.193B,6.613B,,96.92M,10.87M,,107.79M,238.87M,346.66M,,,91.75M,91.75M,,,36.84M,475.25M,2.036B,91.38M,2.127B,486.35M,486.35M,55.80M,,232.49M,2.902B,3.377B,,47.70M,3.036B,639.25M,162.98M,,,-323.69M,3.236B,,AOR,
2020-06,553.54M,553.54M,374.89M,,374.89M,137.23M,72.53M,305.00M,514.76M,101.44M,,,1.545B,,,,534.38M,,534.38M,,534.38M,2.344B,2.261B,4.604B,,5.589M,76.12M,5.221B,6.765B,,107.14M,18.34M,,125.48M,191.05M,316.53M,,,83.00M,83.00M,,,57.09M,456.62M,2.329B,91.92M,2.421B,488.97M,488.97M,60.87M,,240.57M,3.211B,3.668B,,47.60M,2.935B,624.80M,163.36M,,,-346.82M,3.097B,,AOR,
2020-03,406.48M,406.48M,441.71M,,441.71M,125.12M,70.01M,293.73M,488.86M,109.74M,,,1.447B,,,,534.74M,,534.74M,,534.74M,2.332B,2.297B,4.630B,,5.519M,84.92M,5.255B,6.702B,,104.35M,6.989M,,111.34M,189.59M,300.93M,,,53.62M,53.62M,,,47.75M,402.30M,2.341B,96.33M,2.437B,489.68M,489.68M,66.38M,,232.96M,3.226B,3.629B,,47.56M,2.940B,614.29M,163.61M,,,-364.72M,3.073B,,AOR,
2019-12,301.08M,301.08M,418.67M,,418.67M,114.30M,71.48M,290.78M,476.56M,110.02M,,,1.306B,248.07M,,602.19M,113.16M,63.99M,1.027B,-483.52M,543.88M,2.245B,2.156B,4.402B,,5.572M,52.45M,5.003B,6.310B,,102.92M,6.692M,,109.61M,221.96M,331.57M,,,50.00M,50.00M,,,181.49M,563.06M,1.859B,101.37M,1.960B,439.56M,439.56M,82.72M,,284.85M,2.767B,3.330B,,47.54M,2.825B,616.98M,165.72M,,,-344.39M,2.979B,,AOR,
2019-09,257.54M,257.54M,396.66M,,396.66M,121.08M,72.21M,279.30M,472.59M,110.81M,,,1.238B,,,,544.76M,,544.76M,,544.76M,2.231B,2.176B,4.407B,,2.952M,64.86M,5.020B,6.257B,,100.63M,3.299M,,103.93M,211.09M,315.02M,,,50.00M,50.00M,,,165.35M,530.36M,1.949B,104.14M,2.053B,468.94M,468.94M,72.02M,,279.68M,2.874B,3.404B,,47.46M,2.732B,603.63M,166.03M,,,-364.50M,2.853B,,AOR,Restated
2019-06,303.90M,303.90M,382.14M,,382.14M,131.25M,63.46M,266.60M,461.32M,97.78M,,,1.245B,,,,533.02M,,533.02M,,533.02M,2.250B,2.242B,4.492B,,3.056M,40.71M,5.069B,6.314B,,108.06M,4.448M,,112.51M,182.60M,295.10M,,,50.00M,50.00M,,,148.79M,493.89M,2.081B,96.50M,2.178B,604.86M,604.86M,86.15M,,286.80M,3.156B,3.650B,,47.40M,2.519B,590.23M,166.09M,,,-325.91M,2.665B,,AOR,Restated
2019-03,271.21M,271.21M,375.76M,,375.76M,116.26M,69.87M,259.44M,445.57M,90.08M,,,1.183B,,,,522.24M,,522.24M,,522.24M,2.248B,2.274B,4.522B,,2.50M,38.46M,5.085B,6.268B,,103.53M,6.641M,,110.17M,193.16M,303.33M,,,86.62M,86.62M,,,130.96M,520.92M,2.073B,100.71M,2.174B,610.61M,610.61M,89.29M,,303.74M,3.177B,3.698B,,47.32M,2.452B,577.98M,166.26M,,,-340.69M,2.570B,,AOR,Restated
2018-12,357.16M,357.16M,366.29M,,366.29M,111.10M,62.33M,254.34M,427.78M,84.94M,,,1.236B,224.60M,,559.77M,,105.32M,889.70M,-456.93M,432.77M,2.247B,2.325B,4.572B,,2.446M,34.98M,5.042B,6.278B,,106.71M,5.943M,,112.65M,208.25M,320.90M,,,86.62M,86.62M,,,174.93M,582.46M,2.072B,0.00,2.072B,608.22M,608.22M,92.91M,,382.22M,3.156B,3.738B,,47.25M,2.428B,574.76M,168.54M,,,-341.08M,2.540B,,AOR,Restated
2018-09,356.28M,356.28M,374.34M,,374.34M,105.60M,65.29M,240.18M,411.07M,95.89M,,,1.241B,,,,,,,,421.26M,2.223B,2.263B,4.486B,,2.305M,50.09M,4.960B,6.201B,,97.63M,13.35M,,110.98M,220.34M,331.31M,,,77.25M,77.25M,,,140.73M,549.29M,2.076B,,2.076B,606.08M,606.08M,99.35M,,363.10M,3.144B,3.694B,,47.19M,2.353B,565.32M,168.93M,,,-289.17M,2.507B,,AOR,Restated
2018-06,346.30M,346.30M,359.12M,,359.12M,103.00M,63.39M,239.04M,405.43M,71.19M,,,1.185B,,,,,,,,410.98M,2.221B,2.306B,4.527B,,2.386M,49.58M,4.990B,6.175B,,94.83M,5.597M,,100.43M,200.78M,301.21M,,,86.88M,86.88M,,,148.36M,536.44M,2.145B,,2.145B,596.43M,596.43M,113.08M,,349.91M,3.205B,3.741B,,47.08M,2.312B,570.04M,188.43M,,,-306.42M,2.434B,,AOR,Restated
2018-03,378.87M,378.87M,359.14M,,359.14M,94.79M,66.18M,242.70M,403.68M,60.23M,,,1.205B,,,,,,,,389.52M,2.264B,2.391B,4.655B,,3.969M,46.95M,5.095B,6.301B,,84.69M,13.50M,,98.19M,202.05M,300.24M,,,77.50M,77.50M,,,174.04M,551.77M,2.154B,,2.154B,616.71M,616.71M,117.87M,,299.52M,3.188B,3.740B,,46.97M,2.329B,574.83M,207.63M,,,-182.40M,2.560B,,AOR,Restated
2017-12,333.56M,333.56M,345.88M,,345.88M,98.45M,62.38M,234.91M,395.74M,53.63M,,,1.129B,207.93M,,507.60M,,73.92M,789.45M,-406.45M,383.00M,2.236B,2.384B,4.619B,,3.81M,46.54M,5.053B,6.181B,,92.03M,11.51M,,103.54M,210.43M,313.97M,,,86.62M,86.62M,,,83.28M,483.88M,2.163B,,2.163B,603.68M,603.68M,121.41M,,379.07M,3.267B,3.751B,,46.87M,2.286B,591.72M,228.86M,,,-265.09M,2.431B,,AOR,Restated
2017-09,1.018B,1.018B,306.47M,,306.47M,98.32M,60.02M,224.08M,382.42M,60.29M,,,1.767B,,,,,,,,374.46M,1.886B,1.607B,3.493B,,2.02M,44.40M,3.914B,5.681B,,85.42M,12.86M,,98.28M,189.62M,287.89M,,,77.25M,77.25M,,,9.503M,374.64M,2.173B,,2.173B,471.67M,471.67M,116.44M,,72.70M,2.834B,3.208B,,46.86M,2.344B,600.63M,243.44M,,,-275.45M,2.472B,,AOR,Restated
2017-06,676.21M,676.21M,303.70M,,303.70M,94.92M,61.56M,212.04M,368.53M,59.18M,,,1.408B,,,,,,,,369.30M,1.854B,1.613B,3.467B,,1.963M,44.16M,3.882B,5.290B,,81.97M,3.438M,,85.41M,169.30M,254.71M,,,112.04M,112.04M,,,9.306M,376.05M,1.888B,,1.888B,468.03M,468.03M,128.34M,,71.36M,2.555B,2.931B,,46.82M,2.282B,536.74M,187.92M,,,-319.30M,2.359B,,AOR,Restated
2017-03,689.13M,689.13M,282.87M,,282.87M,92.17M,60.06M,203.05M,355.29M,67.84M,,,1.395B,,,,,,,,355.23M,1.815B,1.620B,3.436B,,1.963M,44.16M,3.837B,5.232B,,82.02M,8.043M,,90.06M,161.00M,251.06M,,,131.10M,131.10M,,,10.20M,392.36M,1.958B,,1.958B,460.65M,460.65M,130.23M,,72.50M,2.621B,3.014B,,46.80M,2.219B,529.84M,188.10M,,,-389.12M,2.219B,,AOR,Restated
2016-12,543.79M,543.79M,271.99M,,271.99M,65.32M,54.56M,196.30M,316.17M,48.56M,,,1.183B,188.68M,,428.02M,,47.43M,664.12M,-361.23M,302.90M,1.277B,1.092B,2.368B,,1.712M,34.83M,2.708B,3.891B,,69.40M,7.908M,,77.31M,158.28M,235.59M,,,183.07M,183.07M,,,8.989M,427.65M,850.25M,,850.25M,271.38M,271.38M,133.06M,,69.54M,1.324B,1.752B,,45.81M,2.195B,506.80M,170.97M,,,-438.72M,2.139B,,AOR,Restated
2016-09,499.46M,499.46M,261.83M,,261.83M,80.35M,61.42M,236.99M,341.83M,56.61M,,,1.164B,,,,,,,,322.02M,1.305B,1.165B,2.470B,0.027M,2.792M,43.24M,2.838B,4.002B,,70.25M,11.27M,,81.52M,163.33M,244.85M,,,181.90M,181.90M,,,25.66M,452.40M,849.97M,,849.97M,311.39M,311.39M,131.22M,,86.77M,1.379B,1.832B,,45.80M,2.149B,503.21M,171.45M,,,-356.15M,2.170B,,AOR,Restated
2016-06,476.49M,476.49M,273.53M,,273.53M,79.20M,57.13M,239.16M,338.46M,66.21M,,,1.162B,,,,,,,,314.66M,1.301B,1.175B,2.476B,0.244M,1.985M,45.15M,2.838B,4.000B,,72.79M,12.96M,,85.74M,140.14M,225.89M,,,173.95M,173.95M,,,23.96M,423.80M,907.93M,,907.93M,317.33M,317.33M,143.99M,2.218M,85.59M,1.455B,1.879B,,45.78M,2.097B,504.37M,171.60M,,,-356.37M,2.119B,,AOR,Restated
2016-03,392.56M,392.56M,274.66M,,274.66M,79.40M,58.73M,237.66M,338.91M,71.83M,,,1.085B,,,,,,,,318.18M,1.303B,1.189B,2.492B,0.196M,2.358M,45.41M,2.858B,3.943B,,73.31M,12.70M,,86.01M,147.46M,233.48M,,,421.20M,421.20M,,,20.00M,674.68M,641.97M,,641.97M,322.04M,322.04M,146.80M,1.979M,83.90M,1.195B,1.869B,,43.58M,2.053B,429.67M,118.78M,,,-347.93M,2.072B,,AOR,Restated
2015-12,338.37M,338.37M,262.42M,,262.42M,68.46M,57.08M,204.74M,330.28M,65.81M,,,1.004B,197.36M,,412.75M,,45.94M,656.06M,-339.93M,316.12M,1.296B,1.200B,2.496B,,2.341M,53.64M,2.868B,3.872B,,66.30M,8.059M,,74.36M,156.16M,230.52M,,,417.35M,417.35M,,,16.25M,664.12M,641.85M,,641.85M,315.98M,315.98M,149.44M,1.821M,89.29M,1.197B,1.861B,,43.52M,2.016B,440.13M,119.42M,,,-371.12M,2.009B,,AOR,Restated
2015-09,276.46M,276.46M,273.00M,,273.00M,80.14M,64.69M,237.78M,345.90M,77.76M,55.98M,,1.036B,,,,,,,,313.24M,1.303B,1.192B,2.496B,0.324M,0.94M,61.51M,2.872B,3.908B,,67.91M,9.728M,,77.63M,151.95M,229.59M,,,416.68M,416.68M,,,11.20M,657.47M,646.00M,,646.00M,406.10M,406.10M,148.51M,2.17M,108.55M,1.309B,1.967B,,43.52M,1.929B,435.84M,119.77M,,,-349.90M,1.939B,,AOR,Restated
2015-06,325.01M,325.01M,286.37M,,286.37M,74.39M,60.12M,249.04M,347.10M,80.67M,56.29M,,1.103B,,,,,,,,315.54M,1.318B,1.186B,2.503B,0.401M,1.134M,61.19M,2.882B,3.984B,,74.36M,11.70M,,86.06M,143.40M,229.46M,,,415.99M,415.99M,,,16.43M,661.89M,696.00M,,696.00M,433.26M,433.26M,161.04M,2.228M,111.98M,1.402B,2.064B,,43.51M,1.883B,432.72M,119.87M,,,-321.11M,1.918B,,AOR,Restated
2015-03,308.76M,308.76M,284.83M,,284.83M,70.28M,57.20M,244.81M,338.74M,74.93M,56.56M,,1.071B,,,,,,,,310.11M,1.294B,1.184B,2.477B,0.734M,1.119M,63.81M,2.853B,3.924B,,75.31M,17.56M,,92.87M,151.08M,243.95M,,,401.56M,401.56M,,,18.91M,664.42M,700.00M,,700.00M,426.77M,426.77M,162.60M,2.669M,109.20M,1.399B,2.063B,,43.45M,1.852B,424.47M,119.97M,,,-342.10M,1.858B,,AOR,Restated
2014-12,303.24M,303.24M,273.70M,,273.70M,68.19M,58.53M,242.75M,335.59M,75.95M,,,995.91M,194.92M,,428.74M,,51.83M,675.50M,-358.06M,317.44M,1.324B,1.217B,2.540B,1.15M,4.011M,64.01M,2.927B,3.923B,,64.10M,13.77M,,77.87M,166.99M,244.86M,,,368.40M,368.40M,,,19.51M,632.77M,700.00M,,700.00M,399.20M,399.20M,167.24M,2.39M,109.88M,1.376B,2.009B,,43.42M,1.828B,422.39M,121.46M,,,-260.90M,1.911B,,AOR,Restated
2014-09,286.38M,286.38M,287.18M,,287.18M,73.17M,59.28M,254.12M,353.23M,94.60M,48.14M,,1.077B,,,,,,,,347.23M,1.352B,1.208B,2.560B,1.079M,1.706M,70.27M,2.981B,4.058B,,71.03M,26.74M,,97.77M,167.96M,265.73M,,,365.36M,365.36M,,,45.23M,676.32M,700.00M,,700.00M,494.88M,494.88M,97.01M,2.188M,105.67M,1.398B,2.074B,,43.40M,1.791B,418.34M,121.85M,,,-149.45M,1.982B,,AOR,Restated
2014-06,237.38M,237.38M,301.72M,,301.72M,74.79M,59.41M,255.24M,356.47M,86.03M,50.50M,,1.041B,,,,,,,,343.41M,1.373B,1.234B,2.607B,1.465M,0.944M,69.50M,3.023B,4.064B,,73.53M,21.82M,,95.35M,156.60M,251.95M,,,362.27M,362.27M,,,38.27M,652.49M,700.00M,,700.00M,517.43M,517.43M,102.19M,2.102M,107.34M,1.427B,2.079B,,43.39M,1.751B,414.58M,121.98M,,,-104.25M,1.982B,,AOR,Restated
2014-03,421.65M,421.65M,295.51M,,295.51M,72.05M,57.63M,253.76M,349.74M,90.01M,51.98M,,1.221B,,,,,,,,328.68M,1.372B,1.251B,2.623B,1.513M,0.944M,67.79M,3.022B,4.242B,,71.09M,27.45M,,98.54M,148.71M,247.25M,,,359.26M,359.26M,,,25.30M,631.81M,930.00M,,930.00M,523.44M,523.44M,106.09M,2.741M,105.56M,1.665B,2.297B,,43.36M,1.717B,409.98M,122.07M,,,-106.11M,1.942B,,AOR,Restated
2013-12,431.98M,431.98M,295.29M,,295.29M,70.21M,53.67M,242.11M,333.62M,76.31M,52.92M,,1.201B,199.74M,,424.59M,,55.09M,679.42M,-353.52M,325.90M,1.354B,1.256B,2.610B,1.715M,0.943M,70.10M,3.008B,4.209B,,71.97M,23.82M,,95.79M,156.68M,252.47M,,,356.29M,356.29M,,,26.36M,635.12M,930.00M,,930.00M,514.72M,514.72M,109.50M,2.489M,103.66M,1.658B,2.293B,,43.24M,1.696B,409.34M,124.62M,,,-110.86M,1.914B,,AOR,Restated
2013-09,326.44M,326.44M,313.71M,,313.71M,71.75M,56.54M,249.51M,346.12M,69.63M,44.12M,,1.110B,,,,,,,,320.54M,1.241B,1.048B,2.290B,1.703M,0.932M,65.19M,2.678B,3.788B,,70.78M,20.96M,,91.75M,152.85M,244.59M,,,4.70M,4.70M,,,18.53M,267.82M,980.69M,,980.69M,417.08M,417.08M,153.97M,2.223M,106.54M,1.658B,1.926B,,43.22M,1.676B,404.79M,125.18M,,,-138.38M,1.860B,,AOR,Restated
