,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,226.00M,112.00M,-72.00M,,368.00M,,,238.00M,238.00M,8.00M,3.00M,39.00M,-198.00M,21.00M,-1.069B,,1.263B,591.00M,-2.57B,-1.764B,-1.08B,-198.00M,,-198.00M,-91.00M,2.00M,2.842B,2.555B,-1.195B,-326.00M,-1.521B,,-5.00M,-5.00M,-202.00M,-202.00M,13.00M,-1.715B,4.499B,-240.00M,4.259B,,312.00M,-1.507B,-5.00M
2020-06,472.00M,81.00M,22.00M,,53.00M,,,244.00M,244.00M,-15.00M,3.00M,24.00M,-9.00M,-113.00M,1.257B,,-1.217B,-622.00M,142.00M,-553.00M,219.00M,-166.00M,,-166.00M,87.00M,-8.00M,407.00M,320.00M,-527.00M,-2.855B,-3.382B,,0.00,0.00,-202.00M,-202.00M,14.00M,-3.57B,7.53B,-3.031B,4.499B,,-3.00M,-524.00M,0.00
2020-03,391.00M,-82.00M,-115.00M,,-197.00M,,,245.00M,245.00M,64.00M,44.00M,51.00M,241.00M,-251.00M,182.00M,,1.039B,-436.00M,-2.028B,-1.494B,-655.00M,-194.00M,,-194.00M,-4.00M,5.00M,2.046B,1.853B,1.48B,2.188B,3.668B,,-112.00M,-112.00M,-203.00M,-203.00M,-11.00M,3.342B,2.99B,4.54B,7.53B,,1.481B,-1.00M,-112.00M
2019-12,499.00M,65.00M,-121.00M,,4.00M,,,251.00M,251.00M,13.00M,92.00M,23.00M,-296.00M,11.00M,-1.015B,,1.599B,-1.005B,-1.989B,-2.399B,-1.813B,-262.00M,,-262.00M,292.00M,36.00M,1.942B,2.008B,-6.00M,-41.00M,-47.00M,,0.00,0.00,-197.00M,-197.00M,14.00M,-230.00M,3.025B,-35.00M,2.99B,,5.00M,-11.00M,0.00
2019-09,408.00M,-2.00M,-32.00M,,-41.00M,,,249.00M,249.00M,-3.00M,6.00M,21.00M,44.00M,147.00M,142.00M,,-8.00M,23.00M,-1.914B,-1.61B,-926.00M,-183.00M,,-183.00M,-27.00M,-24.00M,2.139B,1.905B,-3.00M,-453.00M,-456.00M,,-56.00M,-56.00M,-197.00M,-197.00M,6.00M,-703.00M,2.749B,276.00M,3.025B,,1.00M,-4.00M,-56.00M
2019-06,238.00M,14.00M,-56.00M,,-57.00M,,,248.00M,248.00M,-28.00M,35.00M,2.00M,112.00M,95.00M,686.00M,,-287.00M,28.00M,-1.75B,-1.228B,-678.00M,-185.00M,,-185.00M,-64.00M,15.00M,1.851B,1.617B,-605.00M,104.00M,-501.00M,,-94.00M,-94.00M,-197.00M,-197.00M,0.00,-792.00M,2.602B,147.00M,2.749B,,2.00M,-607.00M,-94.00M
2019-03,234.00M,-77.00M,-4.00M,,-96.00M,,,245.00M,245.00M,39.00M,9.00M,43.00M,-8.00M,34.00M,166.00M,,-456.00M,-495.00M,-1.75B,-2.501B,-2.035B,-198.00M,,-198.00M,-1.867B,50.00M,1.744B,-271.00M,-4.00M,1.309B,1.305B,,0.00,0.00,-198.00M,-198.00M,-42.00M,1.065B,3.843B,-1.241B,2.602B,,0.00,-4.00M,0.00
2018-12,317.00M,11.00M,-100.00M,,-18.00M,,,235.00M,235.00M,77.00M,109.00M,21.00M,25.00M,-314.00M,-352.00M,,539.00M,650.00M,-2.393B,-1.87B,-1.104B,-287.00M,,-287.00M,-156.00M,13.00M,2.437B,2.007B,983.00M,-426.00M,557.00M,,-77.00M,-77.00M,-190.00M,-190.00M,1.00M,291.00M,2.649B,1.194B,3.843B,,1.00B,-17.00M,-77.00M
2018-09,536.00M,79.00M,-63.00M,,-17.00M,,,232.00M,232.00M,-32.00M,0.00,25.00M,24.00M,-32.00M,-578.00M,,433.00M,-201.00M,-891.00M,-1.269B,-501.00M,-176.00M,,-176.00M,-168.00M,2.00M,1.369B,1.027B,755.00M,-513.00M,242.00M,,0.00,0.00,-189.00M,-189.00M,19.00M,72.00M,2.051B,598.00M,2.649B,,762.00M,-7.00M,0.00
2018-06,566.00M,-65.00M,21.00M,,-50.00M,,,239.00M,239.00M,-71.00M,21.00M,34.00M,-154.00M,155.00M,1.756B,,-778.00M,-87.00M,-1.236B,-190.00M,395.00M,-183.00M,,-183.00M,-120.00M,-2.00M,1.673B,1.368B,-5.00M,-1.278B,-1.283B,,0.00,0.00,-189.00M,-189.00M,19.00M,-1.453B,1.741B,310.00M,2.051B,,0.00,-5.00M,0.00
2018-03,396.00M,-25.00M,-105.00M,,-136.00M,,,235.00M,235.00M,-21.00M,12.00M,29.00M,38.00M,-185.00M,-600.00M,,-768.00M,-432.00M,-2.142B,-4.127B,-3.574B,-196.00M,,-196.00M,14.00M,0.00,2.362B,2.18B,-1.00M,1.474B,1.473B,,,,-190.00M,-190.00M,-6.00M,1.277B,1.858B,-117.00M,1.741B,,,-1.00M,
2017-12,792.00M,-12.00M,-79.00M,16.00M,-89.00M,,,240.00M,240.00M,-687.00M,20.00M,3.00M,16.00M,-33.00M,-840.00M,,1.283B,-641.00M,-2.781B,-3.012B,-2.717B,-353.00M,,-353.00M,24.00M,374.00M,2.775B,2.82B,28.00M,127.00M,155.00M,,-74.00M,-74.00M,-186.00M,-186.00M,66.00M,-39.00M,1.794B,64.00M,1.858B,,23.00M,5.00M,-74.00M
2017-09,195.00M,-27.00M,29.00M,,-13.00M,,,232.00M,232.00M,55.00M,62.00M,15.00M,54.00M,-172.00M,-426.00M,,554.00M,-275.00M,-1.45B,-1.769B,-1.169B,-244.00M,,-244.00M,-79.00M,-33.00M,1.479B,1.123B,-79.00M,363.00M,284.00M,,-165.00M,-165.00M,-180.00M,-180.00M,11.00M,-50.00M,1.89B,-96.00M,1.794B,,492.00M,-571.00M,-165.00M
2017-06,275.00M,36.00M,-20.00M,-11.00M,-30.00M,,,227.00M,227.00M,-83.00M,18.00M,16.00M,69.00M,109.00M,907.00M,,-1.946B,1.449B,-1.602B,-1.083B,-591.00M,-252.00M,,-252.00M,33.00M,34.00M,1.485B,1.30B,-250.00M,-68.00M,-318.00M,,-263.00M,-263.00M,-181.00M,-181.00M,3.00M,-759.00M,1.94B,-50.00M,1.89B,,17.00M,-267.00M,-263.00M
2017-03,340.00M,3.00M,-140.00M,11.00M,-142.00M,,,225.00M,225.00M,1.00M,1.00M,32.00M,51.00M,169.00M,222.00M,,-447.00M,143.00M,-2.084B,-1.997B,-1.489B,-200.00M,,-200.00M,-250.00M,72.00M,2.426B,2.048B,-2.00M,263.00M,261.00M,,-248.00M,-248.00M,-183.00M,-183.00M,-10.00M,-180.00M,1.561B,379.00M,1.94B,,,-2.00M,-248.00M
2016-12,426.00M,10.00M,-86.00M,-135.00M,-224.00M,,,222.00M,222.00M,20.00M,6.00M,16.00M,33.00M,303.00M,-1.707B,,629.00M,239.00M,-7.767B,-8.303B,-7.804B,-261.00M,,-261.00M,63.00M,223.00M,8.058B,8.083B,0.00,-46.00M,-46.00M,,-246.00M,-246.00M,-173.00M,-173.00M,20.00M,-445.00M,1.727B,-166.00M,1.561B,,5.00M,-5.00M,-246.00M
2016-09,344.00M,-54.00M,55.00M,,5.00M,,,226.00M,226.00M,-50.00M,8.00M,13.00M,-23.00M,14.00M,770.00M,,304.00M,-400.00M,454.00M,1.142B,1.665B,-225.00M,,-225.00M,-172.00M,-28.00M,7.00M,-418.00M,1.035B,-1.347B,-312.00M,,-267.00M,-267.00M,-175.00M,-175.00M,17.00M,-737.00M,424.00M,510.00M,1.727B,,1.036B,-1.00M,-267.00M
2016-06,288.00M,34.00M,14.00M,-15.00M,-85.00M,,,221.00M,221.00M,36.00M,9.00M,17.00M,-5.00M,-305.00M,-123.00M,,-11.00M,-143.00M,-293.00M,-875.00M,-394.00M,-216.00M,,-216.00M,-266.00M,113.00M,4.00M,-365.00M,-4.00M,757.00M,753.00M,,-191.00M,-191.00M,-176.00M,-176.00M,-4.00M,382.00M,801.00M,-377.00M,424.00M,,0.00,-4.00M,-191.00M
2016-03,230.00M,10.00M,-44.00M,15.00M,-22.00M,,,231.00M,231.00M,50.00M,11.00M,28.00M,29.00M,-172.00M,406.00M,,-779.00M,128.00M,-115.00M,-532.00M,25.00M,-180.00M,,-180.00M,-222.00M,-50.00M,4.00M,-448.00M,-4.00M,697.00M,693.00M,,-296.00M,-296.00M,-177.00M,-177.00M,1.00M,221.00M,1.003B,-202.00M,801.00M,,,-4.00M,-296.00M
2015-12,717.00M,64.00M,14.00M,42.00M,-124.00M,,,224.00M,224.00M,-12.00M,61.00M,15.00M,-136.00M,418.00M,-815.00M,,422.00M,613.00M,-776.00M,-138.00M,607.00M,-306.00M,,-306.00M,675.00M,-87.00M,6.00M,286.00M,-23.00M,-852.00M,-875.00M,,-252.00M,-252.00M,-167.00M,-167.00M,-185.00M,-1.479B,720.00M,-586.00M,1.796B,,6.00M,-29.00M,-252.00M
2015-09,253.00M,-46.00M,5.00M,-170.00M,-246.00M,,,217.00M,217.00M,-24.00M,37.00M,22.00M,34.00M,72.00M,353.00M,,1.31B,-888.00M,-449.00M,398.00M,691.00M,-279.00M,,-279.00M,444.00M,-68.00M,2.00M,100.00M,-935.00M,784.00M,-151.00M,,-624.00M,-624.00M,-170.00M,-170.00M,7.00M,-938.00M,867.00M,-147.00M,720.00M,,2.00M,-937.00M,-624.00M
2015-06,383.00M,38.00M,-2.00M,20.00M,-45.00M,,,225.00M,225.00M,25.00M,31.00M,16.00M,-18.00M,-127.00M,595.00M,,-1.657B,919.00M,15.00M,-255.00M,362.00M,-296.00M,-6.00M,-302.00M,-59.00M,90.00M,125.00M,-146.00M,1.215B,-692.00M,523.00M,,-598.00M,-598.00M,-173.00M,-173.00M,9.00M,-239.00M,890.00M,-23.00M,867.00M,,1.236B,-21.00M,-598.00M
2015-03,493.00M,-56.00M,-67.00M,-4.00M,-130.00M,,,216.00M,216.00M,4.00M,0.00,26.00M,-32.00M,550.00M,739.00M,,-1.768B,-184.00M,131.00M,-532.00M,45.00M,-244.00M,6.00M,-238.00M,0.00,100.00M,-124.00M,-261.00M,1.00M,742.00M,743.00M,,-566.00M,-566.00M,-177.00M,-177.00M,7.00M,7.00M,1.099B,-209.00M,890.00M,,8.00M,-7.00M,-566.00M
2014-12,705.00M,-32.00M,-105.00M,7.00M,-284.00M,,,248.00M,248.00M,-46.00M,41.00M,12.00M,79.00M,-532.00M,-1.907B,,1.66B,702.00M,-159.00M,-236.00M,519.00M,-289.00M,,-289.00M,-2.504B,-171.00M,65.00M,-2.987B,-84.00M,-280.00M,-364.00M,,-481.00M,-481.00M,-154.00M,-154.00M,8.00M,-991.00M,4.539B,-3.459B,1.203B,,0.00,-84.00M,-481.00M
2014-09,748.00M,59.00M,17.00M,3.00M,-84.00M,,,214.00M,214.00M,19.00M,0.00,10.00M,-12.00M,1.853B,780.00M,,2.157B,-1.838B,-406.00M,2.546B,3.441B,-207.00M,,-207.00M,-5.00M,16.00M,26.00M,-163.00M,-5.00M,-49.00M,-54.00M,,-209.00M,-209.00M,-155.00M,-155.00M,49.00M,-369.00M,1.63B,2.909B,4.539B,,0.00,-5.00M,-209.00M
2014-06,532.00M,70.00M,-27.00M,1.00M,10.00M,,,213.00M,213.00M,34.00M,0.00,13.00M,22.00M,-1.329B,2.373B,,-1.552B,1.167B,-142.00M,517.00M,1.341B,-210.00M,-6.00M,-216.00M,-31.00M,91.00M,41.00M,-112.00M,-8.00M,-66.00M,-74.00M,,-318.00M,-318.00M,-157.00M,-157.00M,-133.00M,-682.00M,1.083B,547.00M,1.63B,,0.00,-8.00M,-318.00M
2014-03,268.00M,-97.00M,-100.00M,2.00M,-195.00M,,,219.00M,219.00M,-66.00M,,20.00M,-18.00M,433.00M,28.00M,,-989.00M,189.00M,-247.00M,-586.00M,-358.00M,-188.00M,6.00M,-182.00M,,-41.00M,,-145.00M,-1.153B,-63.00M,-1.216B,,-175.00M,-175.00M,-158.00M,-158.00M,14.00M,-1.535B,3.121B,-2.038B,1.083B,,1.00M,-1.154B,-175.00M
2013-12,377.00M,-18.00M,-133.00M,3.00M,-162.00M,,,228.00M,228.00M,157.00M,236.00M,13.00M,-2.00M,204.00M,-2.247B,,1.903B,-388.00M,38.00M,-490.00M,357.00M,-254.00M,-36.00M,-290.00M,77.00M,-192.00M,152.00M,-403.00M,-10.00M,28.00M,18.00M,,-6.00M,-6.00M,-125.00M,-125.00M,28.00M,-85.00M,3.252B,-131.00M,3.121B,,0.00,-10.00M,-6.00M
