,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2011-09,1.32B,506.00M,1.826B,,,,10.34B,11.12B,,,3.995B,27.28B,0.0,307.00M,4.397B,16.22B,935.00M,21.86B,-12.20B,9.655B,607.00M,,607.00M,3.508B,399.00M,14.17B,41.45B,7.371B,,,7.371B,4.289B,11.66B,,2.819B,,2.819B,,,,14.48B,6.678B,6.678B,836.00M,836.00M,26.00M,,1.046B,8.56B,23.04B,0.00,12.35B,6.408B,,,,-374.00M,18.38B
2011-06,615.00M,739.00M,1.354B,4.808B,,,4.808B,12.06B,,3.396B,2.884B,27.50B,0.0,305.00M,4.413B,16.24B,765.00M,21.73B,-12.23B,9.50B,602.00M,,602.00M,3.906B,840.00M,14.85B,42.35B,2.581B,,4.259B,6.84B,1.566B,8.406B,2.053B,2.053B,,2.053B,,,2.759B,13.22B,8.266B,8.266B,1.018B,1.018B,30.00M,,1.012B,10.30B,23.51B,6.636B,12.00B,,,,,176.00M,18.81B
2011-03,858.00M,3.816B,4.674B,,,,10.43B,13.41B,,,741.00M,29.25B,0.0,302.00M,4.371B,16.05B,630.00M,21.35B,-12.03B,9.315B,594.00M,,594.00M,3.909B,693.00M,14.51B,43.76B,7.703B,,,7.703B,3.252B,10.96B,,5.908B,,5.908B,,,,16.86B,8.35B,8.35B,517.00M,517.00M,28.00M,,1.353B,10.22B,27.08B,0.00,11.72B,5.086B,,,,-152.00M,16.65B
2010-12,526.00M,633.00M,1.159B,,,,10.62B,12.65B,,,3.919B,28.36B,0.0,298.00M,4.364B,15.84B,662.00M,21.16B,-11.97B,9.194B,587.00M,,587.00M,3.798B,674.00M,14.25B,42.61B,8.141B,,,8.141B,4.085B,12.23B,,5.837B,,5.837B,,,,18.06B,6.848B,6.848B,546.00M,546.00M,18.00M,,1.249B,8.643B,26.71B,0.00,11.24B,5.095B,,,,-451.00M,15.89B
2010-09,862.00M,508.00M,1.37B,,,,8.174B,9.024B,,2.932B,586.00M,22.09B,0.0,289.00M,4.124B,15.48B,648.00M,20.54B,-11.64B,8.908B,531.00M,,531.00M,3.777B,734.00M,13.95B,36.04B,7.025B,,,7.025B,3.141B,10.17B,,2.069B,,2.069B,,,,12.24B,6.834B,6.834B,395.00M,395.00M,19.00M,,1.185B,8.414B,20.65B,0.00,10.60B,5.138B,,,,-375.00M,15.37B
2010-06,1.046B,394.00M,1.44B,,,,6.122B,7.871B,,,2.961B,18.39B,0.0,277.00M,4.008B,15.11B,612.00M,20.00B,-11.29B,8.712B,523.00M,,523.00M,3.477B,702.00M,13.41B,31.81B,5.538B,,,5.538B,2.577B,8.115B,,718.00M,,718.00M,,,,8.833B,6.83B,6.83B,439.00M,439.00M,22.00M,,1.075B,8.344B,17.18B,0.00,10.36B,5.151B,,,,-899.00M,14.61B
2010-03,1.659B,407.00M,2.066B,,,,5.876B,8.219B,,2.501B,538.00M,19.20B,0.0,262.00M,3.789B,14.58B,1.371B,20.01B,-11.36B,8.642B,519.00M,,519.00M,3.344B,621.00M,13.13B,32.33B,6.406B,,,6.406B,2.319B,8.725B,,511.00M,,511.00M,,,,9.236B,6.91B,6.91B,425.00M,425.00M,25.00M,,986.00M,8.321B,17.56B,0.00,10.01B,5.245B,,,,-512.00M,14.74B
2009-12,1.317B,317.00M,1.634B,,,,7.075B,9.126B,,2.187B,366.00M,20.39B,0.0,261.00M,3.667B,14.19B,1.845B,19.96B,-11.32B,8.636B,524.00M,,524.00M,3.344B,637.00M,13.14B,33.53B,6.832B,,,6.832B,2.301B,9.133B,,467.00M,,467.00M,,,,9.60B,7.398B,7.398B,553.00M,553.00M,30.00M,,1.183B,9.134B,18.73B,0.00,9.686B,5.234B,,,,-155.00M,14.76B
2009-09,2.39B,408.00M,2.798B,,,,6.60B,7.139B,,2.305B,313.00M,19.16B,0.0,254.00M,3.381B,13.35B,2.524B,19.51B,-11.14B,8.366B,531.00M,,531.00M,3.203B,606.00M,12.71B,31.86B,5.812B,,,5.812B,2.431B,8.243B,,304.00M,,304.00M,,,,8.547B,7.573B,7.573B,316.00M,316.00M,36.00M,,1.182B,9.071B,17.62B,0.00,9.185B,5.219B,,,,-197.00M,14.21B
2009-06,1.055B,500.00M,1.555B,,,,7.311B,7.782B,,2.43B,330.00M,19.41B,0.0,240.00M,3.304B,13.05B,2.245B,18.84B,-10.89B,7.95B,532.00M,,532.00M,3.085B,607.00M,12.17B,31.58B,5.786B,,,5.786B,2.695B,8.481B,,404.00M,,404.00M,,,,8.885B,7.592B,7.592B,308.00M,308.00M,26.00M,,1.144B,9.044B,17.93B,0.00,8.778B,5.204B,,,,-355.00M,13.63B
