,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.11B,2.11B,1.39B,720.00M,22.00M,96.00M,118.00M,1.00M,,-87.00M,111.00M,2.00M,-109.00M,6.00M,125.00M,595.00M,2.00M,111.00M,-109.00M,-94.00M,-109.00M,392.00M,109.00M,283.00M,,,,,283.00M,344.36M,618.00M,115.00M,503.00M,0.38,,,,0.4621,0.38,0.38,,,,0.462,0.38,747.00M,748.45M,0.0
2020-06,1.631B,1.631B,1.283B,348.00M,18.00M,84.00M,102.00M,2.00M,,2.00M,103.00M,2.00M,-101.00M,6.00M,110.00M,238.00M,2.00M,103.00M,-101.00M,-5.00M,-101.00M,132.00M,60.00M,72.00M,,,,,72.00M,68.35M,352.00M,117.00M,235.00M,0.1,,,,0.0951,0.1,0.1,,,,0.0951,0.1,746.90M,746.98M,0.0
2020-03,1.728B,1.728B,1.382B,346.00M,22.00M,74.00M,96.00M,1.00M,,4.00M,85.00M,1.00M,-84.00M,5.00M,102.00M,244.00M,1.00M,85.00M,-84.00M,-13.00M,-84.00M,147.00M,-3.00M,150.00M,,,,,150.00M,152.92M,355.00M,123.00M,232.00M,0.2,,,,0.2039,0.2,0.2,,,,0.2039,0.2,746.53M,747.16M,0.34
2019-12,1.548B,1.548B,1.301B,247.00M,22.00M,94.00M,116.00M,2.00M,,36.00M,89.00M,8.00M,-81.00M,76.00M,194.00M,53.00M,8.00M,89.00M,-81.00M,15.00M,-81.00M,-13.00M,1.00M,-14.00M,,,,,-14.00M,-40.28M,204.00M,128.00M,76.00M,-0.02,,,,-0.0552,-0.02,-0.02,,,,-0.0552,-0.02,745.88M,745.88M,0.34
2019-09,1.671B,1.671B,1.399B,272.00M,20.00M,85.00M,105.00M,1.00M,,-25.00M,91.00M,6.00M,-85.00M,-62.00M,44.00M,228.00M,6.00M,91.00M,-85.00M,-41.00M,-85.00M,102.00M,3.00M,99.00M,,,,,99.00M,124.24M,328.00M,135.00M,193.00M,0.13,,,,0.1638,0.13,0.13,,,,0.1638,0.13,745.63M,746.51M,0.34
2019-06,1.692B,1.692B,1.39B,302.00M,21.00M,80.00M,101.00M,2.00M,,-9.00M,91.00M,6.00M,-85.00M,6.00M,109.00M,193.00M,6.00M,91.00M,-85.00M,-17.00M,-85.00M,91.00M,-37.00M,128.00M,,,,,128.00M,133.11M,306.00M,124.00M,182.00M,0.17,,,,0.1769,0.17,0.17,,,,0.1768,0.17,745.49M,746.23M,0.34
2019-03,1.643B,1.643B,1.322B,321.00M,21.00M,89.00M,110.00M,1.00M,,-25.00M,107.00M,10.00M,-97.00M,8.00M,119.00M,202.00M,10.00M,107.00M,-97.00M,-498.00M,-97.00M,-393.00M,-104.00M,-289.00M,,,,,-289.00M,-268.41M,-163.00M,123.00M,-286.00M,-0.39,,,,-0.3624,-0.39,-0.39,,,,-0.3624,-0.39,746.60M,746.60M,0.34
2018-12,1.636B,1.636B,1.345B,291.00M,22.00M,82.00M,104.00M,2.00M,,-4.00M,97.00M,24.00M,-73.00M,9.00M,115.00M,176.00M,24.00M,97.00M,-73.00M,-217.00M,-73.00M,-114.00M,-21.00M,-93.00M,,,,,-93.00M,-93.82M,108.00M,125.00M,-17.00M,-0.12,,,,-0.1211,-0.12,-0.12,,,,-0.1211,-0.12,748.63M,749.96M,0.34
2018-09,1.91B,1.91B,1.452B,458.00M,20.00M,78.00M,98.00M,2.00M,,-10.00M,93.00M,13.00M,-80.00M,9.00M,109.00M,349.00M,13.00M,93.00M,-80.00M,-29.00M,-80.00M,240.00M,-15.00M,255.00M,,,,,255.00M,263.76M,455.00M,122.00M,333.00M,0.34,,,,0.3516,0.34,0.34,,,,0.3516,0.34,754.99M,757.39M,0.34
2018-06,2.065B,2.065B,1.447B,618.00M,23.00M,80.00M,103.00M,2.00M,,-8.00M,92.00M,11.00M,-81.00M,31.00M,136.00M,482.00M,11.00M,92.00M,-81.00M,-19.00M,-81.00M,382.00M,65.00M,317.00M,,,,,317.00M,321.98M,593.00M,119.00M,474.00M,0.42,,,,0.4266,0.42,0.42,,,,0.4265,0.42,757.83M,760.53M,0.32
