,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,2.924B,2.924B,3.109B,3.109B,669.00M,,1.638B,2.187B,795.00M,,,9.015B,0.00,92.00M,1.517B,8.37B,989.00M,10.97B,-6.78B,4.188B,2.496B,2.194B,4.69B,2.217B,240.00M,11.34B,20.35B,,4.834B,4.834B,1.468B,6.302B,12.00M,,,298.00M,310.00M,310.00M,,,1.07B,8.33B,5.059B,838.00M,5.897B,,,682.00M,910.00M,732.00M,7.311B,15.64B,,113.00M,8.639B,2.923B,5.065B,,,-2.811B,3.799B,,AOR,
2020-09,3.528B,3.528B,2.716B,2.716B,627.00M,,1.708B,2.216B,847.00M,,,9.307B,0.00,91.00M,1.54B,8.186B,904.00M,10.72B,-6.681B,4.04B,2.463B,2.19B,4.653B,2.146B,213.00M,11.05B,20.36B,,4.179B,4.179B,1.438B,5.617B,,,1.735B,298.00M,2.033B,2.033B,,,939.00M,9.105B,4.965B,735.00M,5.70B,,,633.00M,907.00M,643.00M,6.976B,16.08B,,113.00M,8.223B,2.865B,5.076B,,,-2.754B,3.371B,,AOR,
2020-06,2.546B,2.546B,1.998B,1.998B,619.00M,,1.638B,2.129B,906.00M,,,7.579B,0.00,89.00M,1.518B,8.022B,905.00M,10.53B,-6.497B,4.037B,2.433B,2.178B,4.611B,2.172B,277.00M,11.10B,18.68B,,3.328B,3.328B,1.143B,4.471B,,0.00,1.712B,298.00M,2.01B,2.01B,,,901.00M,7.725B,4.886B,741.00M,5.627B,,,764.00M,907.00M,635.00M,7.026B,14.75B,,112.00M,7.902B,2.822B,5.087B,,,-2.731B,3.018B,,AOR,
2020-03,2.837B,2.837B,1.931B,1.931B,619.00M,,2.063B,2.543B,851.00M,,,8.162B,0.00,88.00M,1.503B,7.953B,886.00M,10.43B,-6.388B,4.042B,2.424B,2.185B,4.609B,2.132B,450.00M,11.23B,19.40B,,4.065B,4.065B,1.032B,5.097B,2.392B,,,,2.392B,2.392B,,,802.00M,8.576B,4.662B,720.00M,5.382B,,,816.00M,920.00M,641.00M,6.839B,15.42B,,112.00M,7.947B,2.811B,5.095B,,,-2.715B,3.06B,,AOR,
2019-12,1.952B,1.952B,2.198B,2.198B,602.00M,,1.979B,2.438B,810.00M,,,7.398B,0.00,97.00M,1.54B,8.108B,921.00M,10.67B,-6.444B,4.222B,2.44B,2.225B,4.665B,2.238B,358.00M,11.48B,18.88B,,4.547B,4.547B,1.601B,6.148B,294.00M,,,559.00M,853.00M,853.00M,,,918.00M,8.369B,4.14B,778.00M,4.918B,,,864.00M,923.00M,612.00M,6.394B,14.76B,,112.00M,7.87B,2.806B,4.975B,,,-2.618B,3.195B,,AOR,Restated
2019-09,993.00M,993.00M,2.588B,2.588B,627.00M,,2.414B,2.883B,911.00M,,,7.375B,0.00,98.00M,1.585B,7.851B,746.00M,10.28B,-6.331B,3.949B,2.42B,2.217B,4.637B,2.031B,414.00M,11.03B,18.41B,,4.229B,4.229B,1.381B,5.61B,941.00M,,,546.00M,1.487B,1.487B,,,973.00M,8.50B,4.105B,617.00M,4.722B,,,840.00M,921.00M,395.00M,5.957B,14.46B,,112.00M,7.659B,2.786B,4.926B,,,-2.603B,3.028B,,AOR,Restated
2019-06,1.178B,1.178B,2.387B,2.387B,618.00M,,2.547B,3.008B,961.00M,,,8.503B,0.00,101.00M,1.607B,7.971B,788.00M,10.47B,-6.361B,4.106B,2.45B,2.26B,4.71B,2.147B,389.00M,11.35B,19.86B,,4.27B,4.27B,1.286B,5.556B,2.157B,,,573.00M,2.73B,2.73B,,,1.436B,10.09B,4.155B,660.00M,4.815B,,,900.00M,918.00M,379.00M,6.094B,16.19B,,112.00M,7.38B,2.79B,4.876B,,,-2.657B,2.749B,,AOR,Restated
2019-03,1.163B,1.163B,2.222B,2.222B,614.00M,,2.506B,2.96B,960.00M,,,8.236B,0.00,101.00M,1.603B,7.917B,778.00M,10.40B,-6.263B,4.136B,2.456B,2.279B,4.735B,2.213B,366.00M,11.45B,19.69B,,4.31B,4.31B,1.211B,5.521B,2.019B,,,568.00M,2.587B,2.587B,,,1.431B,9.878B,4.137B,649.00M,4.786B,,,918.00M,917.00M,385.00M,6.089B,15.97B,,112.00M,7.391B,2.777B,4.876B,,,-2.602B,2.802B,,AOR,Restated
2018-12,1.498B,1.498B,2.21B,2.21B,617.00M,,2.076B,2.533B,839.00M,,,7.898B,0.00,102.00M,1.593B,7.909B,,9.604B,-6.19B,3.414B,2.451B,2.296B,4.747B,1.989B,299.00M,10.45B,18.35B,,4.487B,4.487B,1.517B,6.004B,1.034B,,,947.00M,1.981B,1.981B,,,1.30B,9.678B,4.046B,0.00,4.046B,,,955.00M,914.00M,463.00M,5.464B,15.14B,,112.00M,6.933B,2.768B,4.827B,,,-2.695B,2.291B,,AOR,Restated
2018-09,1.032B,1.032B,2.881B,2.881B,624.00M,,2.385B,2.873B,862.00M,,,8.461B,0.00,122.00M,1.671B,7.819B,,9.612B,-6.216B,3.396B,2.478B,2.325B,4.803B,2.103B,330.00M,10.63B,19.09B,,4.20B,4.20B,1.479B,5.679B,2.153B,,,260.00M,2.413B,2.413B,,,1.219B,9.674B,4.768B,,4.768B,,,858.00M,948.00M,485.00M,6.111B,15.78B,,112.00M,6.837B,2.777B,4.776B,,,-2.59B,2.36B,,AOR,Restated
