,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-09,602.30M,602.30M,374.00M,228.30M,15.10M,110.10M,125.20M,27.90M,4.70M,,,,485.00M,638.10M,-409.80M,,,,4.70M,,38.60M,22.70M,15.90M,,,15.90M,13.08M,-362.60M,47.20M,-409.80M,0.15,0.0,,0.1233,0.15,0.15,0.0,,0.1234,0.15,105.78M,105.96M,0.0
2000-06,552.80M,552.80M,339.90M,212.90M,11.80M,105.70M,117.50M,24.40M,-23.40M,,,,444.40M,586.30M,-373.40M,,,,-23.40M,,14.80M,6.00M,8.80M,,,8.80M,22.84M,-274.60M,98.80M,-373.40M,0.0825,0.0,,0.2152,0.0825,0.0825,0.0,,0.215,0.0825,105.77M,105.99M,0.0
2000-03,492.50M,492.50M,338.50M,154.00M,-16.50M,111.50M,95.00M,23.00M,0.60M,,,,40.00M,158.00M,-4.00M,,,,0.60M,,-12.60M,-5.10M,-7.50M,,,-7.50M,-7.86M,19.00M,-23.00M,-4.00M,-0.07,0.0,,-0.0734,-0.07,-0.07,0.0,,-0.0734,-0.07,105.70M,105.70M,0.0
1999-12,502.00M,502.00M,305.00M,197.00M,84.40M,73.90M,158.30M,-14.60M,4.20M,,,,1.561B,1.705B,-1.508B,,,,4.20M,,26.00M,9.00M,17.00M,,,17.00M,14.25M,-1.274B,234.30M,-1.508B,0.16,0.0,,0.134,0.16,0.1575,0.0,,0.1317,0.1575,105.64M,106.30M,0.0
1999-09,589.10M,589.10M,312.50M,276.60M,-29.30M,131.60M,102.30M,35.10M,-0.10M,,,,22.60M,160.00M,116.60M,,,,-0.10M,,91.20M,36.30M,54.90M,,,54.90M,54.96M,151.70M,-35.10M,116.60M,0.52,0.0,,0.5206,0.52,0.5175,0.0,,0.5181,0.5175,105.56M,106.11M,0.0
1999-06,529.70M,529.70M,143.20M,386.50M,,,287.60M,33.50M,0.90M,,,,,321.10M,65.40M,,,,0.90M,,70.10M,28.00M,42.10M,,,42.10M,41.56M,98.90M,-33.50M,65.40M,0.4,0.0,,0.3949,0.4,0.3975,0.0,,0.3924,0.3975,105.50M,106.08M,0.0
1999-03,461.20M,461.20M,275.00M,186.20M,-23.70M,121.80M,98.10M,30.80M,1.60M,,,,21.70M,150.60M,35.60M,,,,1.60M,,33.40M,13.20M,20.20M,,,20.20M,19.23M,66.40M,-30.80M,35.60M,0.1925,0.0,,0.1833,0.1925,0.19,0.0,,0.1809,0.19,104.94M,106.32M,0.0
1998-12,457.00M,457.00M,265.60M,191.40M,71.80M,79.30M,151.10M,-10.00M,7.20M,,,,1.396B,1.537B,-1.345B,,,,7.20M,,41.00M,14.00M,27.00M,,,27.00M,22.26M,-1.144B,201.30M,-1.345B,0.2825,0.0,,0.2327,0.2825,0.255,0.0,,0.2132,0.255,95.26M,113.48M,0.0
1998-09,539.40M,539.40M,278.60M,260.80M,-27.20M,125.70M,98.50M,29.90M,-15.80M,,,,22.50M,150.90M,109.90M,,,,-15.80M,,77.40M,32.00M,45.40M,,,45.40M,54.88M,139.80M,-29.90M,109.90M,0.4325,0.0,,0.5228,0.4325,0.43,0.0,,0.5198,0.43,104.97M,105.58M,0.0
1998-06,484.90M,484.90M,222.30M,262.60M,,,172.50M,27.70M,7.70M,,,,,200.20M,62.40M,,,,7.70M,,64.00M,25.10M,38.90M,,,38.90M,34.22M,90.10M,-27.70M,62.40M,0.4425,0.0,,0.3893,0.4425,0.3775,0.0,,0.3321,0.3775,87.91M,103.05M,0.0
