,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2010-09,1.068B,1.068B,436.00M,632.00M,44.30M,263.20M,307.50M,,1.80M,29.50M,9.00M,-20.50M,49.80M,415.10M,216.90M,9.00M,29.50M,-20.50M,1.80M,-20.50M,198.20M,75.80M,122.40M,,,122.40M,121.29M,285.50M,57.80M,227.70M,0.8525,0.0,,0.8448,0.8525,0.83,0.0,,0.8225,0.83,143.59M,147.32M,0.0
2010-06,976.20M,976.20M,460.90M,515.30M,38.20M,261.20M,299.40M,,1.30M,26.30M,9.30M,-17.00M,48.20M,405.60M,109.70M,9.30M,26.30M,-17.00M,1.30M,-17.00M,94.00M,35.40M,58.60M,,,58.60M,57.79M,178.30M,58.00M,120.30M,0.41,0.0,,0.4043,0.41,0.4,0.0,,0.3945,0.4,142.79M,146.79M,0.0
2010-03,829.60M,829.60M,409.10M,420.50M,33.60M,257.20M,290.80M,,0.90M,25.60M,9.20M,-16.40M,47.80M,394.80M,25.70M,9.20M,25.60M,-16.40M,0.90M,-16.40M,10.20M,4.90M,5.30M,,,5.30M,4.715M,92.00M,56.20M,35.80M,0.0375,0.0,,0.0334,0.0375,0.0375,0.0,,0.0335,0.0375,142.67M,145.57M,0.0
2009-12,846.10M,846.10M,178.30M,667.80M,34.50M,272.60M,307.10M,,5.90M,26.50M,9.80M,-16.70M,59.80M,423.80M,244.00M,9.80M,26.50M,-16.70M,5.90M,-16.70M,42.00M,17.90M,24.10M,,,24.10M,20.26M,125.40M,56.90M,68.50M,0.17,0.0,,0.1429,0.17,0.1675,0.0,,0.1407,0.1675,141.27M,142.96M,0.0
2009-09,967.40M,967.40M,203.90M,763.50M,37.00M,270.20M,307.20M,,-0.80M,25.90M,9.70M,-16.20M,49.70M,412.50M,351.00M,9.70M,25.90M,-16.20M,-0.80M,-16.20M,142.80M,55.20M,87.60M,,,87.60M,88.09M,224.30M,55.60M,168.70M,0.62,0.0,,0.6235,0.62,0.615,0.0,,0.6184,0.615,141.10M,142.72M,0.0
2009-06,843.90M,843.90M,143.70M,700.20M,35.30M,301.80M,337.10M,,-3.50M,23.30M,7.80M,-15.50M,55.50M,446.50M,253.70M,7.80M,23.30M,-15.50M,-3.50M,-15.50M,47.70M,18.60M,29.10M,,,29.10M,31.24M,124.90M,53.90M,71.00M,0.2,0.0,,0.2147,0.2,0.1975,0.0,,0.2121,0.1975,145.42M,146.36M,0.0
2009-03,742.40M,742.40M,180.00M,562.40M,25.00M,255.30M,280.30M,,-1.00M,25.00M,8.30M,-16.70M,56.80M,389.90M,172.50M,8.30M,25.00M,-16.70M,-1.00M,-16.70M,-29.60M,-10.40M,-19.20M,,,-19.20M,-18.55M,48.20M,52.80M,-4.60M,-0.1325,0.0,,-0.128,-0.1325,-0.1325,0.0,,-0.128,-0.1325,145.30M,145.30M,0.0
2008-12,947.90M,827.10M,373.70M,453.40M,26.80M,238.90M,265.70M,,-10.10M,23.30M,10.90M,-12.40M,51.50M,368.90M,84.50M,10.90M,23.30M,-12.40M,-10.10M,-12.40M,-120.00M,-44.80M,-75.20M,,,-75.20M,-68.87M,-45.00M,51.70M,-96.70M,-0.5175,0.0,,-0.4738,-0.5175,-0.5175,0.0,,-0.4738,-0.5175,144.89M,144.89M,0.0
2008-09,1.026B,1.065B,602.60M,462.60M,41.70M,238.40M,280.10M,,-7.40M,20.00M,10.70M,-9.30M,52.70M,384.90M,77.70M,10.70M,20.00M,-9.30M,-7.40M,-9.30M,-133.00M,-46.50M,-86.50M,,,-86.50M,-81.69M,-60.90M,52.10M,-113.00M,-0.6,0.0,,-0.5666,-0.6,-0.6,0.0,,-0.5666,-0.6,144.28M,144.28M,0.0
2008-06,891.20M,930.80M,229.30M,701.50M,44.10M,239.50M,283.60M,,0.10M,18.90M,10.50M,-8.40M,61.50M,396.60M,304.90M,10.50M,18.90M,-8.40M,0.10M,-8.40M,98.20M,35.10M,63.10M,,,63.10M,63.04M,168.60M,51.50M,117.10M,0.4375,0.0,,0.4371,0.4375,0.435,0.0,,0.4346,0.435,144.24M,145.02M,0.0
