,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2017-12,-249.00M,,,73.00M,96.00M,169.00M,169.00M,,,28.00M,,-25.00M,-234.00M,2.00M,921.00M,,,9.00M,698.00M,,679.00M,,-186.00M,,-186.00M,-119.00M,-154.00M,,-460.00M,,1.00M,-2.00M,-1.00M,,0.00,0.00,-159.00M,-159.00M,,-112.00M,-272.00M,,2.592B,-53.00M,3.00M,2.542B,,,1.00M,0.00,0.00,,AOR,Restated
2017-09,434.00M,,,71.00M,92.00M,163.00M,163.00M,,,27.00M,,-302.00M,-25.00M,-130.00M,33.00M,,,-121.00M,-243.00M,,79.00M,,-142.00M,,-142.00M,-674.00M,1.00M,,-815.00M,,0.00,-143.00M,-143.00M,,0.00,0.00,-159.00M,-159.00M,,-43.00M,-345.00M,,3.649B,-1.081B,24.00M,2.592B,,,0.00,0.00,0.00,,AOR,Restated
2017-06,391.00M,,,65.00M,95.00M,160.00M,160.00M,,,26.00M,,42.00M,-15.00M,-78.00M,164.00M,,,-40.00M,31.00M,,650.00M,,-131.00M,,-131.00M,-29.00M,-32.00M,,-192.00M,,194.00M,-55.00M,139.00M,,0.00,0.00,-159.00M,-159.00M,,-20.00M,-40.00M,,3.213B,418.00M,18.00M,3.649B,,,-160.00M,354.00M,0.00,,AOR,Restated
2017-03,444.00M,,,62.00M,88.00M,150.00M,150.00M,,,32.00M,,-68.00M,112.00M,-114.00M,-303.00M,,,-102.00M,-407.00M,,151.00M,,-139.00M,,-139.00M,-9.00M,2.00M,,-146.00M,,304.00M,,304.00M,,-230.00M,-230.00M,-159.00M,-159.00M,,-52.00M,-137.00M,,3.316B,-132.00M,29.00M,3.213B,,,658.00M,-354.00M,-230.00M,,AOR,Restated
2016-12,510.00M,,-1.00M,62.00M,89.00M,151.00M,151.00M,,,26.00M,,-8.00M,-214.00M,8.00M,113.00M,,,119.00M,26.00M,,658.00M,,-143.00M,,-143.00M,-36.00M,1.00M,1.00M,-177.00M,,-115.00M,,94.00M,,0.00,0.00,-142.00M,-142.00M,,-4.00M,-52.00M,,2.953B,429.00M,-66.00M,3.316B,,,-795.00M,680.00M,0.00,,AOR,Restated
2016-09,355.00M,,2.00M,59.00M,89.00M,148.00M,148.00M,,,22.00M,,33.00M,-35.00M,-82.00M,97.00M,,,-38.00M,-58.00M,,502.00M,,-118.00M,,-118.00M,-77.00M,97.00M,-4.00M,-102.00M,,-793.00M,,-793.00M,,0.00,0.00,-142.00M,-142.00M,,-13.00M,-948.00M,,3.49B,-548.00M,11.00M,2.953B,,,380.00M,-1.173B,0.00,,AOR,Restated
2016-06,380.00M,,35.00M,57.00M,88.00M,145.00M,145.00M,,,21.00M,,-21.00M,-29.00M,-116.00M,61.00M,,,17.00M,-67.00M,,493.00M,,-114.00M,,-114.00M,-4.196B,341.00M,,-3.969B,,156.00M,,156.00M,,0.00,0.00,-142.00M,-142.00M,,-15.00M,-1.00M,,6.976B,-3.477B,-9.00M,3.49B,,,360.00M,-204.00M,0.00,,AOR,Restated
2016-03,402.00M,,,49.00M,53.00M,102.00M,102.00M,,,28.00M,,-36.00M,86.00M,-109.00M,-174.00M,,,-37.00M,-234.00M,,262.00M,,-115.00M,,-115.00M,-23.00M,195.00M,,57.00M,,3.455B,,3.455B,,-13.00M,-13.00M,-142.00M,-142.00M,,-41.00M,3.259B,,3.379B,3.578B,19.00M,6.976B,,,3.508B,-53.00M,-13.00M,,AOR,Restated
2015-12,522.00M,,0.00,50.00M,58.00M,108.00M,108.00M,,,21.00M,20.00M,-1.00M,-177.00M,9.00M,187.00M,,,-23.00M,-4.00M,,753.00M,,-79.00M,,-79.00M,-13.00M,-493.00M,,-585.00M,,549.00M,,549.00M,,-254.00M,-254.00M,-130.00M,-130.00M,,-86.00M,79.00M,,3.163B,247.00M,-31.00M,3.379B,,,1.022B,-473.00M,-254.00M,,AOR,Restated
2015-09,301.00M,,-6.00M,47.00M,54.00M,101.00M,101.00M,,,21.00M,-1.00M,-991.00M,-13.00M,-57.00M,98.00M,,,38.00M,66.00M,,-509.00M,,-77.00M,,-77.00M,-48.00M,440.00M,,315.00M,,-3.00M,,-3.00M,,-122.00M,-122.00M,-130.00M,-130.00M,,4.00M,-251.00M,,3.626B,-445.00M,-18.00M,3.163B,,,284.00M,-287.00M,-122.00M,,AOR,Restated
2015-06,392.00M,,6.00M,45.00M,49.00M,94.00M,94.00M,,,21.00M,-19.00M,100.00M,27.00M,-25.00M,-252.00M,,,13.00M,-237.00M,,357.00M,,-68.00M,,-68.00M,-8.00M,1.976B,,1.90B,,2.00M,,2.00M,,-194.00M,-194.00M,-130.00M,-130.00M,,5.00M,-317.00M,,1.674B,1.94B,12.00M,3.626B,,,433.00M,-431.00M,-194.00M,,AOR,Restated
2015-03,224.00M,,7.00M,45.00M,49.00M,94.00M,94.00M,,,23.00M,,35.00M,12.00M,-42.00M,-107.00M,,,134.00M,-3.00M,,380.00M,,-46.00M,,-46.00M,-84.00M,456.00M,,326.00M,,-500.00M,,-500.00M,,-130.00M,-130.00M,-131.00M,-131.00M,,27.00M,-734.00M,,1.795B,-28.00M,-93.00M,1.674B,,,581.00M,-1.081B,-130.00M,,AOR,Restated
2014-12,260.00M,,3.00M,50.00M,46.00M,96.00M,96.00M,,,19.00M,,255.00M,-77.00M,44.00M,-59.00M,,,99.00M,7.00M,,679.00M,,-61.00M,,-61.00M,-91.00M,64.00M,,-88.00M,,-36.00M,,-36.00M,,0.00,0.00,-116.00M,-116.00M,,70.00M,-82.00M,,1.356B,509.00M,-70.00M,1.795B,,,379.00M,-415.00M,0.00,,AOR,Restated
2014-09,57.00M,,10.00M,47.00M,50.00M,97.00M,97.00M,,,17.00M,,3.00M,-65.00M,-97.00M,557.00M,,,-55.00M,340.00M,,524.00M,,-48.00M,,-48.00M,-368.00M,-8.00M,,-424.00M,,102.00M,,102.00M,,-40.00M,-40.00M,-115.00M,-115.00M,,-3.00M,-56.00M,,1.319B,44.00M,-7.00M,1.356B,,,395.00M,-293.00M,-40.00M,,AOR,Restated
2014-06,128.00M,,9.00M,47.00M,47.00M,94.00M,94.00M,,,20.00M,,264.00M,-40.00M,-59.00M,-8.00M,,,-38.00M,-145.00M,,370.00M,,-54.00M,,-54.00M,-185.00M,-776.00M,,-1.015B,,804.00M,,804.00M,,-60.00M,-60.00M,-116.00M,-116.00M,,-44.00M,584.00M,,1.381B,-61.00M,-1.00M,1.319B,,,1.469B,-665.00M,-60.00M,,AOR,Restated
2014-03,70.00M,,5.00M,46.00M,45.00M,91.00M,91.00M,,,21.00M,,320.00M,93.00M,-61.00M,-252.00M,,,-78.00M,-298.00M,,209.00M,,-70.00M,,-70.00M,-272.00M,-9.00M,,-351.00M,,289.00M,,289.00M,,0.00,0.00,-115.00M,-115.00M,,9.00M,183.00M,,1.339B,41.00M,1.00M,1.381B,,,344.00M,-55.00M,0.00,,AOR,Restated
2013-12,386.00M,,12.00M,46.00M,36.00M,82.00M,82.00M,,,19.00M,,55.00M,-135.00M,29.00M,50.00M,,,151.00M,95.00M,,672.00M,,-56.00M,,-56.00M,-1.634B,1.399B,,-291.00M,,-9.00M,,-9.00M,,-65.00M,-65.00M,-100.00M,-100.00M,,21.00M,-153.00M,,1.11B,228.00M,1.00M,1.339B,,,88.00M,-97.00M,-65.00M,,AOR,Restated
2013-09,103.00M,,8.00M,42.00M,34.00M,76.00M,76.00M,,,19.00M,,310.00M,57.00M,-43.00M,118.00M,,,-26.00M,106.00M,,622.00M,,-43.00M,,-43.00M,-24.00M,-301.00M,,-368.00M,,3.00M,,3.00M,,-2.00M,-2.00M,-100.00M,-100.00M,,-6.00M,-105.00M,,971.00M,149.00M,-10.00M,1.11B,,,110.00M,-107.00M,-2.00M,,AOR,Restated
2013-06,213.00M,,8.00M,43.00M,36.00M,79.00M,79.00M,,,18.00M,,237.00M,-18.00M,-25.00M,-120.00M,,,-36.00M,-199.00M,,356.00M,,-47.00M,,-47.00M,-62.00M,-1.089B,,-1.198B,,2.00M,,2.00M,,0.00,0.00,-100.00M,-100.00M,,5.00M,-93.00M,,1.913B,-935.00M,-7.00M,971.00M,,,102.00M,-100.00M,0.00,,AOR,Restated
2013-03,304.00M,,,38.00M,32.00M,70.00M,70.00M,,,20.00M,,14.00M,7.00M,-38.00M,-130.00M,,,-11.00M,-172.00M,,236.00M,,-49.00M,,-49.00M,-600.00M,289.00M,,-360.00M,,1.009B,,1.009B,,-250.00M,-250.00M,-101.00M,-101.00M,,-7.00M,651.00M,,1.395B,527.00M,-9.00M,1.913B,,,1.06B,-51.00M,-250.00M,,AOR,Restated
2012-12,270.00M,,3.00M,39.00M,31.00M,70.00M,70.00M,,,18.00M,,126.00M,-72.00M,58.00M,63.00M,,,99.00M,148.00M,,596.00M,,-49.00M,,-49.00M,-107.00M,-413.00M,,-569.00M,,-6.00M,,-6.00M,,0.00,0.00,-81.00M,-81.00M,,24.00M,-63.00M,,1.423B,-36.00M,8.00M,1.395B,,,47.00M,-53.00M,0.00,,AOR,Restated
2012-09,353.00M,,0.00,38.00M,30.00M,68.00M,68.00M,,,18.00M,,12.00M,27.00M,-10.00M,93.00M,,,8.00M,118.00M,,569.00M,,-58.00M,,-58.00M,-37.00M,-333.00M,,-428.00M,,1.00M,,1.00M,,-19.00M,-19.00M,-81.00M,-81.00M,,-11.00M,-110.00M,,1.393B,31.00M,-1.00M,1.423B,,,37.00M,-36.00M,-19.00M,,AOR,Restated
2012-06,325.00M,,3.00M,38.00M,31.00M,69.00M,69.00M,,,18.00M,,19.00M,73.00M,-1.00M,-74.00M,,,25.00M,23.00M,,457.00M,,-51.00M,,-51.00M,-1.00M,436.00M,,384.00M,,-5.00M,,-5.00M,,-39.00M,-39.00M,-81.00M,-81.00M,,-23.00M,-148.00M,,690.00M,693.00M,10.00M,1.393B,,,50.00M,-55.00M,-39.00M,,AOR,Restated
2012-03,350.00M,,12.00M,39.00M,31.00M,70.00M,70.00M,,,21.00M,,14.00M,-48.00M,-29.00M,-280.00M,,,-75.00M,-432.00M,,35.00M,,-52.00M,,-52.00M,-9.00M,-62.00M,,-123.00M,,6.00M,,6.00M,,-50.00M,-50.00M,-81.00M,-81.00M,,-3.00M,-128.00M,,905.00M,-216.00M,1.00M,690.00M,,,44.00M,-38.00M,-50.00M,,AOR,Restated
