,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-12,227.90M,,53.40M,31.20M,54.20M,85.40M,85.40M,,,,,-33.70M,-54.60M,8.60M,46.30M,,95.10M,-38.00M,57.40M,7.10M,370.40M,,-62.80M,0.10M,-62.70M,-7.10M,-89.90M,,-161.60M,,,,-1.40M,21.20M,,21.20M,,0.00,,5.80M,25.60M,,182.70M,234.40M,-0.50M,416.60M,,21.20M,,,,,,
2006-09,192.10M,,-51.80M,29.70M,53.30M,83.00M,83.00M,,,,,68.60M,3.10M,-27.30M,10.70M,,30.30M,-26.70M,-9.90M,-1.60M,280.40M,,-42.40M,0.00,-42.40M,-7.50M,-165.50M,,-224.70M,,,,1.00M,7.90M,,7.90M,,0.00,,-12.60M,-3.70M,,129.70M,52.00M,1.00M,182.70M,,7.90M,,,,,,
2006-06,210.20M,,-16.40M,27.10M,50.80M,77.90M,77.90M,,,,,32.20M,16.80M,-37.40M,-12.50M,,3.10M,-83.60M,-113.60M,5.50M,195.80M,,-52.30M,0.10M,-52.20M,-31.90M,-62.30M,,-146.40M,,,,-128.70M,5.90M,,5.90M,,0.00,,2.20M,-120.60M,,198.40M,-71.20M,2.50M,129.70M,,5.90M,,,,,,
2006-03,147.50M,,72.50M,28.70M,49.10M,77.80M,77.80M,,,,,,-70.50M,-30.70M,-5.40M,,-112.40M,-58.10M,-277.10M,,20.70M,,-51.90M,0.10M,-51.80M,-47.40M,-110.40M,,-209.60M,,,,-98.10M,13.60M,,13.60M,,-44.60M,,24.60M,-104.50M,,491.20M,-293.40M,0.60M,198.40M,,13.60M,,,,,,
2005-12,178.40M,,18.20M,20.30M,49.10M,69.40M,69.40M,,,,,18.40M,-43.20M,19.90M,36.20M,,81.50M,-30.40M,64.00M,,366.10M,,-76.00M,2.80M,-73.20M,-1.60M,-239.60M,,-327.30M,,,,222.10M,12.90M,,12.90M,,0.00,,19.60M,254.60M,,200.40M,293.40M,-2.60M,491.20M,,12.90M,,,,,,
2005-09,120.70M,,1.20M,26.40M,43.60M,70.00M,70.00M,,,,,18.60M,9.00M,-13.00M,-8.80M,,102.50M,-41.50M,48.20M,,258.70M,,-69.40M,0.20M,-69.20M,-2.00M,-122.50M,,-193.70M,,,,-0.80M,-4.80M,,-4.80M,,0.00,,24.20M,18.60M,,491.20M,83.60M,-1.60M,200.40M,,-4.80M,,,,,,
2005-06,177.80M,,-9.40M,26.40M,43.00M,69.40M,69.40M,,,,,21.90M,-1.90M,-34.00M,8.40M,,-4.50M,-45.50M,-77.50M,,182.20M,,-71.10M,0.20M,-70.90M,-3.00M,-212.90M,,-286.80M,,,,0.20M,16.40M,,16.40M,,0.00,,-22.80M,-6.20M,,-55.80M,-110.80M,-15.50M,491.20M,,16.40M,,,,,,
2005-03,166.70M,,13.20M,27.10M,46.80M,73.90M,73.90M,,,,,,-27.30M,-12.60M,-38.40M,,-88.90M,-60.20M,-227.40M,,26.40M,,-45.30M,0.20M,-45.10M,-50.10M,,,-95.20M,,,,,5.90M,,5.90M,,-36.20M,,-4.40M,-34.70M,,48.90M,-103.50M,-1.20M,-55.80M,,5.90M,,,,,,
2004-12,137.00M,,-35.40M,26.80M,39.60M,66.40M,66.40M,,,,,63.90M,-45.00M,14.30M,56.00M,115.50M,153.10M,-182.30M,111.60M,,270.80M,,-65.90M,0.30M,-65.60M,-5.60M,,,-71.20M,,,,-7.30M,7.50M,,7.50M,,0.00,,54.40M,54.60M,,91.60M,254.20M,3.60M,349.40M,,7.50M,,,,,,
2004-09,14.40M,,138.90M,25.10M,37.40M,62.50M,62.50M,,,,,9.90M,7.80M,-24.40M,-6.20M,-40.40M,25.30M,-1.70M,-39.60M,,186.10M,,-47.70M,0.40M,-47.30M,-124.20M,,,-171.50M,,,,0.00,29.80M,,29.80M,,0.00,,-22.30M,7.50M,,62.60M,22.10M,6.90M,91.60M,,29.80M,,,,,,
2004-06,152.70M,,18.00M,25.10M,35.90M,61.00M,61.00M,,,,,-9.90M,-144.40M,-30.00M,-0.30M,-43.70M,11.90M,29.40M,-177.10M,,44.70M,,-43.10M,0.00,-43.10M,-5.10M,,,-48.20M,,,,-0.20M,-5.90M,,-5.90M,,0.00,,20.30M,14.20M,,48.90M,10.70M,3.00M,62.60M,,-5.90M,,,,,,
2004-03,135.90M,,5.70M,25.70M,35.30M,61.00M,61.00M,,,,,,-61.90M,-22.90M,18.80M,-31.40M,-17.90M,-29.40M,-144.70M,,57.90M,,-31.10M,7.80M,-23.30M,-9.80M,,,-33.10M,,,,-9.90M,5.90M,,5.90M,,-28.00M,,0.10M,-31.90M,,65.90M,-7.10M,-9.90M,48.90M,,5.90M,,,,,,
2003-12,134.10M,,25.40M,27.60M,40.60M,68.20M,68.20M,,,,,-90.70M,-58.20M,7.70M,6.20M,67.70M,77.60M,-2.40M,98.60M,,202.70M,,-46.20M,0.10M,-46.10M,-4.30M,,,-50.40M,,,,-147.00M,7.90M,,7.90M,,0.10M,,-1.10M,-140.10M,,45.30M,12.20M,8.40M,65.90M,,7.90M,,,,,,
2003-09,107.80M,,9.00M,23.40M,31.70M,55.10M,55.10M,,,,,10.40M,17.90M,2.10M,-10.20M,-14.20M,34.90M,2.40M,32.90M,,215.20M,,-38.20M,3.40M,-34.80M,2.30M,,,-32.50M,,,,-195.60M,10.70M,,10.70M,,-0.10M,,1.50M,-183.50M,,47.10M,-0.80M,-1.00M,45.30M,,10.70M,,,,,,
2003-06,107.50M,,9.40M,23.10M,30.60M,53.70M,53.70M,,,,,-10.40M,-2.80M,7.70M,5.50M,-25.30M,-39.60M,20.70M,-33.80M,,126.40M,,-30.90M,0.10M,-30.80M,-4.50M,,,-35.30M,,,,-84.50M,2.20M,,2.20M,,0.10M,,0.10M,-82.10M,,39.60M,9.00M,-1.50M,47.10M,,2.20M,,,,,,
2003-03,104.10M,,1.80M,23.10M,29.60M,52.70M,52.70M,,,,,,-12.80M,-23.30M,23.10M,-28.20M,7.50M,-20.70M,-54.40M,,104.20M,,-29.20M,0.10M,-29.10M,-4.30M,,,-33.40M,,,,-53.00M,6.10M,,6.10M,,-23.80M,,0.10M,-70.60M,,37.80M,0.20M,1.60M,39.60M,,6.10M,,,,,,
2002-12,106.10M,,38.00M,23.50M,28.10M,51.60M,51.60M,,,,,,-32.20M,17.50M,-4.60M,67.70M,33.20M,14.50M,96.10M,,195.40M,,-51.10M,0.50M,-50.60M,-27.10M,,,-77.70M,,,,-116.60M,-6.30M,,-6.30M,,0.00,,0.00,-122.90M,,38.70M,-5.20M,4.30M,37.80M,,-6.30M,,,,,,
2002-09,72.50M,,16.80M,22.50M,26.60M,49.10M,49.10M,,,,,,-5.10M,8.60M,-6.50M,-22.40M,36.60M,-1.60M,9.60M,,148.00M,,-34.60M,0.10M,-34.50M,-135.20M,,,-169.70M,,,,2.80M,7.20M,,7.20M,,0.00,,-0.10M,9.90M,,52.20M,-11.80M,-1.70M,38.70M,,7.20M,,,,,,
2002-06,85.90M,,-0.50M,21.50M,23.70M,45.20M,45.20M,,,,,,-14.30M,-7.80M,-5.90M,-24.20M,22.40M,9.30M,-20.50M,,110.10M,,-31.70M,0.00,-31.70M,-6.20M,,,-37.90M,,,,-95.70M,5.10M,,5.10M,,0.00,,0.30M,-90.30M,,60.90M,-18.10M,9.40M,52.20M,,5.10M,,,,,,
2002-03,81.10M,,-1.60M,18.80M,21.40M,40.20M,40.20M,,,,,,-12.80M,-11.30M,13.80M,-21.10M,-3.40M,-22.20M,-57.00M,,62.70M,,-21.60M,0.20M,-21.40M,-5.10M,,,-26.50M,,,,-15.50M,13.70M,,13.70M,,-19.70M,,-0.10M,-21.60M,,50.10M,14.60M,-3.80M,60.90M,,13.70M,,,,,,
2001-12,77.00M,,38.50M,74.50M,97.50M,46.00M,46.00M,,,,,,-30.10M,31.80M,7.80M,51.00M,7.10M,,67.60M,,189.20M,,-104.90M,0.00,-104.90M,-11.00M,,,-115.90M,,,,-77.60M,-3.20M,,-3.20M,,0.30M,,-1.00M,-81.50M,,74.00M,-8.20M,-5.70M,50.10M,,-3.20M,,,,,,
2001-09,60.20M,,2.00M,-36.70M,-46.00M,43.30M,43.30M,,,,,,22.10M,-2.00M,-13.10M,-17.80M,26.50M,10.80M,26.50M,,132.00M,,-17.80M,6.50M,-11.30M,-28.00M,,,-39.30M,,,,-85.40M,9.30M,,9.30M,,-0.30M,,-0.40M,-76.80M,,42.60M,15.90M,5.50M,74.00M,,9.30M,,,,,,
2001-06,65.70M,,0.20M,18.50M,21.80M,40.30M,40.30M,,,,,,-11.90M,-12.80M,0.00,-16.90M,13.40M,-0.60M,-28.80M,,77.40M,,-22.50M,0.30M,-22.20M,-1.50M,,,-23.70M,,,,-72.00M,2.70M,,2.70M,,0.00,,0.50M,-68.80M,,61.10M,-15.10M,-3.40M,42.60M,,2.70M,,,,,,
2001-03,64.10M,,-0.20M,18.20M,24.20M,42.40M,42.40M,,,,,,-1.20M,-27.20M,15.10M,-16.30M,8.10M,-10.20M,-31.70M,,74.60M,,-16.70M,2.20M,-14.50M,-2.50M,,,-17.00M,,,,-40.60M,1.00M,,1.00M,,-15.70M,,-0.10M,-55.40M,,54.00M,2.20M,4.90M,61.10M,,1.00M,,,,,,
2000-12,66.50M,,7.50M,19.00M,25.40M,44.40M,44.40M,,,,,,-8.70M,24.40M,3.40M,-18.30M,-23.20M,-5.30M,-27.70M,,119.70M,,-22.50M,0.40M,-22.10M,-10.90M,-0.10M,,-33.10M,,,,-101.80M,5.90M,,5.90M,,-0.40M,,4.30M,-92.00M,,63.70M,-5.40M,-4.30M,54.00M,,5.90M,,,,,,
2000-09,50.00M,,-0.60M,17.20M,22.60M,39.80M,39.80M,,,,,,10.20M,3.90M,-29.50M,-17.90M,40.90M,7.00M,14.60M,,103.80M,,-21.90M,0.10M,-21.80M,-0.10M,0.00,,-21.90M,,,,-65.60M,1.80M,,1.80M,,0.00,,-4.60M,-68.40M,,52.70M,13.50M,-2.50M,63.70M,,1.80M,,,,,,
2000-06,52.70M,,3.60M,19.60M,24.80M,44.40M,44.40M,,,,,,4.00M,-32.30M,20.90M,-15.10M,0.90M,2.10M,-19.50M,,81.20M,,-21.20M,0.20M,-21.00M,-2.90M,0.00,,-23.90M,,,,-69.60M,2.40M,,2.40M,,0.00,,-4.50M,-71.70M,,64.70M,-14.40M,2.40M,52.70M,,2.40M,,,,,,
2000-03,51.80M,,-3.50M,19.20M,21.20M,40.40M,40.40M,,,,,,0.50M,-16.00M,-9.80M,-16.70M,-6.60M,-11.80M,-60.40M,,28.30M,,-15.40M,4.30M,-11.10M,-11.10M,7.10M,,-15.10M,,,,-16.00M,3.90M,,3.90M,,-12.60M,,-2.20M,-26.90M,,80.00M,-13.70M,-1.60M,64.70M,,3.90M,,,,,,
1999-12,43.80M,,28.20M,18.00M,26.40M,44.40M,44.40M,,,,,,67.20M,26.40M,-10.40M,-16.60M,59.80M,-13.70M,112.70M,,180.50M,,-32.00M,,-32.00M,-2.00M,5.50M,,-28.50M,,,,-149.60M,1.70M,,1.70M,,0.00,,0.00,-147.90M,,91.10M,4.10M,-11.60M,80.00M,,1.70M,,,,,,
1999-09,0.10M,,70.60M,15.60M,23.20M,38.80M,38.80M,,,,,,14.50M,-0.80M,16.30M,-15.30M,-53.10M,12.50M,-25.90M,,83.60M,,-14.70M,,-14.70M,-4.90M,0.00,,-19.60M,,,,-44.00M,0.50M,,0.50M,,0.00,,4.50M,-39.00M,,68.20M,25.00M,-2.10M,91.10M,,0.50M,,,,,,
1999-06,-3.70M,,59.60M,15.90M,22.70M,38.60M,38.60M,,,,,,-25.40M,-16.30M,-12.50M,-16.60M,-6.80M,21.90M,-55.70M,,38.80M,,-20.30M,,-20.30M,-5.70M,0.00,,-26.00M,,,,-56.10M,1.20M,,1.20M,,0.00,,-0.40M,-55.30M,,102.60M,-42.50M,8.10M,68.20M,,1.20M,,,,,,
1999-03,-20.80M,,58.00M,18.30M,22.70M,41.00M,41.00M,,,,,,-25.20M,5.40M,-25.00M,-13.50M,-36.10M,-2.70M,-97.10M,,-18.90M,,-9.20M,,-9.20M,-2.00M,5.90M,,-5.30M,,,,27.30M,3.80M,,3.80M,,-11.60M,,-7.90M,11.60M,,124.90M,-12.60M,-9.70M,102.60M,,3.80M,,,,,,
1998-12,-46.00M,,104.20M,,,29.10M,29.10M,,,,,-0.10M,3.90M,-6.50M,20.90M,-18.80M,25.50M,,25.00M,,78.30M,,-1.683B,,-1.683B,,114.90M,,-1.568B,,,,1.385B,-0.10M,,-0.10M,,0.00,,6.70M,1.391B,,223.10M,-98.60M,-3.10M,121.30M,,-0.10M,,,,,,
1998-09,34.70M,,-0.50M,,,8.30M,8.30M,,,,,7.10M,3.90M,-2.20M,7.90M,0.10M,-10.60M,,-0.90M,,48.70M,,-18.20M,,-18.20M,,135.70M,,117.50M,,,,-0.80M,1.70M,,1.70M,,0.00,,1.10M,2.00M,,0.00,168.20M,-0.40M,223.10M,,1.70M,,,,,,
1998-06,35.30M,,-0.30M,,,3.60M,3.60M,,,,,-2.40M,-8.00M,-7.30M,-16.80M,5.80M,5.30M,,-21.00M,,15.20M,,-36.80M,,-36.80M,,-6.70M,12.70M,-30.80M,,,,-0.10M,1.60M,,1.60M,,0.00,,-0.30M,1.20M,,70.70M,-14.40M,-1.00M,0.00,,1.60M,,,,,,
1998-03,36.00M,,-0.50M,,,12.20M,12.20M,,,,,-4.60M,-9.90M,-14.20M,3.80M,-5.90M,-4.60M,,-30.80M,,12.30M,,-8.00M,,-8.00M,,-67.70M,-12.70M,-88.40M,,,,-0.40M,3.60M,,3.60M,,-10.60M,,-0.20M,-7.60M,,154.00M,-83.70M,0.30M,70.70M,,3.60M,,,,,,
1997-12,36.90M,,1.20M,,,24.30M,24.30M,,,,,0.10M,-6.90M,-4.10M,2.30M,,0.40M,,-23.40M,,41.10M,,-20.30M,,-20.30M,,-18.10M,,-38.40M,,,,-1.30M,1.30M,0.00,1.30M,,0.00,,-0.20M,-0.20M,,0.00,2.50M,-2.20M,154.00M,,1.30M,,,0.00,,,
1997-09,29.00M,,-0.30M,,,7.80M,7.80M,,,,,5.10M,5.60M,-5.40M,-0.20M,,5.30M,,5.30M,,46.90M,,-38.70M,,-38.70M,,-55.80M,,-94.50M,,,,-4.10M,0.50M,0.00,0.50M,,0.00,,25.90M,22.30M,,0.00,-25.30M,-0.50M,0.00,,0.50M,,,0.00,,,
1997-06,29.40M,,0.10M,,,7.70M,7.70M,,,,,-5.00M,-3.60M,-3.80M,2.70M,,-0.70M,,-5.40M,,26.80M,,-8.50M,,-8.50M,,38.60M,5.00M,35.10M,,,,0.00,0.30M,-2.30M,-2.00M,,0.00,,-24.40M,-26.40M,,0.00,35.50M,0.50M,0.00,,0.30M,,,-2.30M,,,
1997-03,30.00M,,0.30M,,,9.70M,9.70M,,,,,-0.20M,-16.10M,-5.90M,-13.00M,,-27.70M,,-62.70M,,-22.90M,,-7.10M,,-7.10M,,30.20M,-5.00M,18.10M,,,,-1.30M,3.30M,-23.30M,-20.00M,,-9.70M,,4.90M,-26.10M,,175.70M,-30.90M,-1.20M,0.00,,3.30M,,,-23.30M,,,
1996-12,30.80M,,35.30M,,,13.10M,13.10M,,,,,20.50M,-1.00M,21.10M,17.50M,,19.20M,,56.80M,,125.80M,,-6.40M,,-6.40M,,-56.00M,-3.30M,-65.70M,,,,0.00,0.70M,-0.20M,0.50M,,0.00,,2.30M,2.80M,,0.00,62.90M,-1.50M,0.00,,0.70M,,,-0.20M,,,
1996-09,24.20M,,0.10M,,,7.50M,7.50M,,,,,2.70M,4.50M,-3.30M,-3.20M,,5.20M,,3.20M,,37.70M,,-6.00M,,-6.00M,,47.00M,-48.00M,-7.00M,,,,-1.70M,0.20M,0.00,0.20M,,0.00,,2.30M,0.80M,,0.00,31.50M,-0.20M,0.00,,0.20M,,,0.00,,,
1996-06,24.50M,,1.80M,,,7.10M,7.10M,,,,,3.70M,-6.90M,-5.50M,-4.20M,,-2.90M,,-19.50M,,17.60M,,-3.10M,,-3.10M,,23.70M,1.30M,21.90M,,,,-1.20M,0.90M,-12.50M,-11.60M,,0.00,,-7.30M,-20.10M,,0.00,19.40M,-0.30M,0.00,,0.90M,,,-12.50M,,,
1996-03,25.00M,,,,,7.00M,7.00M,,,,,-3.90M,-3.90M,-8.80M,1.90M,,5.90M,,-4.90M,,23.20M,,-11.20M,,-11.20M,,-11.00M,-1.30M,-23.50M,,,,-0.40M,2.30M,-2.40M,-0.10M,,-4.40M,,,-4.90M,,69.00M,-5.20M,,0.00,,2.30M,,,-2.40M,,,
1995-12,25.70M,,,,,9.40M,9.40M,,,,,-3.30M,-8.70M,6.60M,3.60M,,0.60M,,2.10M,,47.00M,,-2.30M,,-2.30M,,-33.80M,,-53.90M,,,,-0.40M,1.10M,,1.10M,,0.00,,1.00M,1.70M,,0.00,-5.20M,0.00,0.00,,1.10M,,,,,,
1995-09,20.10M,,,,,6.50M,6.50M,,,,,-0.10M,14.40M,-2.50M,-0.80M,,0.60M,,11.70M,,38.20M,,-5.90M,,-5.90M,,-22.00M,,-27.90M,,,,-1.80M,1.00M,,1.00M,,0.00,,-0.80M,-1.60M,,0.00,8.70M,-0.40M,0.00,,1.00M,,,,,,
1995-06,20.40M,,,,,6.20M,6.20M,,,,,6.00M,-17.80M,0.80M,4.40M,,1.50M,,-11.10M,,21.50M,,37.50M,,37.50M,,-54.50M,,-17.00M,,,,-1.90M,0.40M,,0.40M,,0.00,,0.20M,-1.30M,,0.00,3.20M,0.30M,0.00,,0.40M,,,,,,
1995-03,20.80M,,,,,6.60M,6.60M,,,,,1.90M,-1.50M,-6.50M,-7.90M,,-8.60M,,-24.50M,,4.80M,,-65.60M,,-65.60M,,,,-65.60M,,,,8.00M,1.30M,,1.30M,,-3.90M,,0.80M,6.20M,,116.60M,-54.60M,0.30M,0.00,,1.30M,,,,,,
1994-12,21.30M,,,,,6.80M,6.80M,,,,,5.10M,-17.80M,4.90M,14.50M,,1.70M,,3.30M,,35.30M,,31.40M,,31.40M,,-6.40M,-41.90M,-16.90M,,,,-6.40M,0.30M,0.00,0.30M,,0.00,,-1.30M,-7.40M,,0.00,11.00M,0.50M,0.00,,0.30M,,,0.00,,,
1994-09,16.70M,,,,,5.50M,5.50M,,,,,10.20M,30.30M,3.20M,-10.60M,,-10.90M,,12.00M,,44.40M,,-42.20M,,-42.20M,,5.40M,-0.70M,-37.50M,,,,34.60M,0.40M,0.00,0.40M,,0.00,,1.90M,36.90M,,0.00,43.80M,0.50M,0.00,,0.40M,,,0.00,,,
1994-06,17.10M,,,,,4.30M,4.30M,,,,,-4.00M,6.60M,2.10M,-1.90M,,-0.70M,,6.10M,,23.50M,,-6.90M,,-6.90M,,5.50M,,-1.40M,,,,-0.20M,0.20M,-3.10M,-2.90M,,0.00,,-1.70M,-4.80M,,0.00,17.30M,0.30M,0.00,,0.20M,,,-3.10M,,,
1994-03,17.30M,,,,,4.30M,4.30M,,,,,-1.90M,-16.20M,-4.40M,-10.60M,,6.00M,,-25.20M,,-5.50M,,-11.50M,,-11.50M,,13.20M,,1.70M,,,,0.10M,0.90M,,0.90M,,-3.40M,,-0.20M,-2.60M,,49.70M,-6.40M,0.10M,0.00,,0.90M,,,,,,
1993-12,17.80M,,,,,4.90M,4.90M,,,,,8.10M,0.00,8.60M,13.00M,,-2.10M,,19.50M,,48.30M,,-39.10M,,-39.10M,,-4.80M,,-43.90M,,,,-1.40M,0.30M,,0.30M,,0.00,,1.50M,0.40M,,0.00,4.80M,0.40M,0.00,,0.30M,,,,,,
1993-09,13.90M,,,,,3.60M,3.60M,,,,,-2.10M,3.40M,2.70M,-0.10M,,6.00M,,12.00M,,27.40M,,-4.40M,,-4.40M,,-46.50M,,-50.90M,,,,32.10M,0.00,,0.00,,0.00,,-0.40M,31.70M,,0.00,8.20M,-0.40M,0.00,,0.00,,,,,,
1993-06,14.00M,,,,,4.00M,4.00M,,,,,-1.40M,3.90M,-1.70M,-4.70M,,7.80M,,5.30M,,21.90M,,-5.50M,,-5.50M,,-8.90M,,-14.40M,,,,0.50M,0.20M,,0.20M,,0.00,,-0.90M,-0.20M,,0.00,7.30M,-0.30M,0.00,,0.20M,,,,,,
1993-03,14.50M,,,,,3.70M,3.70M,,,,,,-18.60M,-7.30M,-3.20M,,-0.60M,,-29.70M,,-11.50M,,-5.80M,,-5.80M,,5.90M,,0.10M,,,,0.40M,0.90M,,0.90M,,-2.90M,,-0.40M,-2.00M,,43.10M,-13.40M,,0.00,,0.90M,,,,,,
1992-12,14.60M,,,,,3.50M,3.50M,,,,,0.00,-4.90M,10.80M,9.00M,,2.00M,,16.90M,,31.20M,,-10.30M,,-10.30M,,-21.60M,-3.70M,-35.60M,,,,-0.20M,8.20M,,8.20M,,0.00,,1.70M,9.70M,,0.00,5.30M,1.40M,0.00,,8.20M,,,,,,
1992-09,11.00M,,,,,2.80M,2.80M,,,,,0.10M,-4.60M,-4.80M,-1.40M,,7.20M,,-3.60M,,10.30M,,-9.10M,,-9.10M,,-0.50M,-5.00M,-14.60M,,,,-1.50M,0.20M,,0.20M,,0.00,,-0.10M,-1.40M,,0.00,-5.70M,0.20M,0.00,,0.20M,,,,,,
1992-06,11.10M,,,,,2.80M,2.80M,,,,,-0.10M,-5.10M,-1.90M,2.30M,,4.00M,,-0.70M,,13.10M,,-6.60M,,-6.60M,,-6.60M,,-13.20M,,,,-3.10M,0.10M,,0.10M,,0.00,,-0.30M,-3.30M,,0.00,-3.40M,0.20M,0.00,,0.10M,,,,,,
1992-03,11.00M,,,,,2.30M,2.30M,,,,,0.10M,-6.00M,-3.40M,-2.20M,,-5.70M,,-17.30M,,-3.90M,,-5.60M,,-5.60M,,7.10M,,1.50M,,,,-2.60M,1.30M,,1.30M,,-2.40M,,-1.70M,-5.40M,,53.10M,-7.80M,-0.10M,0.00,,1.30M,,,,,,
1991-12,10.40M,,,,,5.00M,5.00M,,,,,9.50M,-6.40M,2.70M,7.30M,,-5.30M,,-1.70M,,18.50M,,-4.40M,,-4.40M,,-5.80M,,-10.20M,,,,1.10M,0.50M,,0.50M,,,,0.30M,1.90M,,0.00,10.20M,0.00,0.00,,0.50M,,,,,,
1991-09,7.50M,,,,,2.60M,2.60M,,,,,-2.00M,3.70M,-7.10M,0.20M,,11.90M,,8.70M,,16.80M,,-4.20M,,-4.20M,,-8.70M,,-12.90M,,,,0.80M,0.30M,,0.30M,,,,-0.10M,1.00M,,0.00,4.90M,-0.20M,0.00,,0.30M,,,,,,
1991-06,7.40M,,,,,2.20M,2.20M,,,,,1.10M,1.80M,-5.90M,-1.10M,,-4.10M,,-9.30M,,1.40M,,-5.40M,,-5.40M,,3.90M,,-1.50M,,,,0.50M,0.20M,,0.20M,,,,0.00,0.70M,,0.00,0.60M,0.10M,0.00,,0.20M,,,,,,
1991-03,7.80M,,,,,2.00M,2.00M,,,,,-0.50M,-2.80M,-7.80M,1.90M,,0.30M,,-8.40M,,0.90M,,-2.60M,,-2.60M,,-1.10M,,-3.70M,,,,1.60M,0.30M,,0.30M,,,,-0.40M,1.50M,,55.10M,-1.30M,-0.10M,0.00,,0.30M,,,,,,
1990-12,6.10M,,,,,2.00M,2.00M,,,,,7.40M,0.80M,-4.10M,6.80M,,-8.90M,,-5.40M,,8.60M,,-3.90M,,-3.90M,,,,-19.30M,,,,0.60M,0.40M,,0.40M,,,,1.20M,2.20M,,0.00,-8.50M,0.00,0.00,,0.40M,,,,,,
1990-09,5.70M,,,,,1.80M,1.80M,,,,,8.80M,3.20M,-1.00M,-0.50M,,11.80M,,13.50M,,29.80M,,-1.70M,,-1.70M,,,,-1.70M,,,,-0.70M,0.10M,,0.10M,,,,-1.40M,-2.00M,,0.00,26.10M,-0.10M,0.00,,0.10M,,,,,,
1990-06,5.50M,,,,,1.70M,1.70M,,,,,4.50M,-3.20M,-2.60M,0.20M,,-3.00M,,-8.60M,,3.10M,,-4.80M,,-4.80M,,,,-4.80M,,,,-1.70M,0.00,,0.00,,,,0.00,-1.70M,,0.00,-3.40M,0.30M,0.00,,0.00,,,,,,
1990-03,6.30M,,,,,1.60M,1.60M,,,,,-3.40M,-3.70M,0.20M,2.60M,,3.20M,,2.30M,,6.80M,,-2.70M,,-2.70M,,,,-2.70M,,,,0.40M,0.40M,,0.40M,,,,0.10M,0.90M,,19.30M,5.00M,,0.00,,0.40M,,,,,,
