,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,1.633B,100.90M,1.734B,461.30M,,461.30M,,86.79B,,302.00M,89.28B,,,,,,,,,579.20M,10.80B,22.04B,32.84B,,1.957B,35.38B,124.66B,,69.30M,,69.30M,,69.30M,,,,,,,88.13B,88.20B,3.444B,3.444B,5.607B,5.607B,31.60M,,1.059B,10.11B,98.31B,,,,,,,,26.32B,,AOR,
2020-09,1.332B,92.40M,1.424B,490.90M,,490.90M,,88.09B,,345.60M,90.35B,,,,,,,1.479B,-931.90M,547.20M,10.76B,22.07B,32.82B,,2.037B,35.41B,125.76B,,99.50M,,99.50M,,99.50M,,,,,,,88.53B,88.63B,3.442B,3.442B,5.621B,5.621B,30.80M,,1.054B,10.12B,98.75B,,3.60M,5.775B,21.16B,,,43.70M,26.98B,,AOR,
2020-06,1.405B,88.10M,1.494B,532.10M,,532.10M,,79.44B,,319.20M,81.79B,,,,,,,1.433B,-894.40M,538.60M,10.74B,22.11B,32.85B,,2.040B,35.43B,117.21B,,88.00M,,88.00M,,88.00M,,,,,,,80.11B,80.20B,3.441B,3.441B,5.607B,5.607B,31.00M,,1.126B,10.17B,90.38B,,3.60M,5.668B,21.15B,,,-13.10M,26.81B,,AOR,
2020-03,851.70M,77.50M,929.20M,799.70M,,799.70M,,100.38B,,311.60M,102.42B,,,,,,,1.424B,-885.60M,538.40M,10.74B,22.17B,32.92B,,2.062B,35.52B,137.93B,,74.30M,,74.30M,,74.30M,,,,,,,100.98B,101.05B,3.540B,3.540B,5.622B,5.622B,31.00M,,1.118B,10.28B,111.33B,,3.60M,5.470B,21.12B,,,-26.20M,26.57B,,AOR,
2019-12,1.551B,83.20M,1.635B,491.80M,,491.80M,,37.08B,,360.10M,39.57B,0.00,7.80M,173.90M,1.011B,,219.00M,1.412B,-867.50M,544.00M,10.74B,22.29B,33.04B,,2.068B,35.65B,75.22B,,61.90M,,61.90M,,61.90M,,,,,,,38.46B,38.52B,3.743B,3.743B,5.635B,5.635B,30.40M,,1.155B,10.53B,49.06B,,3.60M,5.009B,21.11B,,,3.40M,26.13B,,AOR,
2019-09,1.210B,80.10M,1.290B,545.70M,,545.70M,,41.17B,,690.00M,43.69B,,,,,,,1.355B,-837.30M,517.30M,10.77B,22.34B,33.11B,,2.097B,35.73B,79.42B,,61.50M,,61.50M,,61.50M,,,,,,,41.85B,41.91B,3.873B,3.873B,5.614B,5.614B,30.10M,,1.203B,10.69B,52.60B,,3.70M,5.704B,21.11B,,,-32.20M,26.78B,,AOR,Restated
2019-06,937.70M,81.80M,1.020B,593.70M,,593.70M,,32.49B,,355.60M,34.46B,,,,,,,1.344B,-843.60M,500.40M,10.80B,22.48B,33.28B,,2.107B,35.89B,70.35B,,51.60M,,51.60M,,51.60M,,,,,,,32.88B,32.93B,4.073B,4.073B,5.645B,5.645B,29.70M,,1.212B,10.93B,43.86B,,3.60M,5.337B,21.11B,,,5.60M,26.46B,,AOR,Restated
2019-03,997.40M,82.40M,1.080B,559.50M,,559.50M,,33.62B,,344.10M,35.61B,,,,,,,1.258B,-789.80M,467.70M,10.85B,22.56B,33.41B,,2.135B,36.01B,71.61B,,65.30M,,65.30M,,65.30M,,,,,,,34.21B,34.27B,4.292B,4.292B,5.663B,5.663B,28.90M,,1.201B,11.16B,45.43B,,3.60M,5.091B,21.06B,,,0.80M,26.16B,,AOR,Restated
2018-12,1.374B,72.90M,1.447B,553.30M,,553.30M,,39.46B,,429.00M,41.89B,0.00,7.80M,174.10M,812.30M,,215.60M,1.210B,-761.10M,448.70M,10.81B,22.68B,33.48B,,1.660B,35.59B,77.48B,,116.00M,,116.00M,,116.00M,400.70M,173.50M,574.20M,574.20M,,,40.58B,41.27B,3.827B,3.827B,5.666B,5.666B,46.80M,,745.10M,10.24B,51.51B,,3.60M,4.855B,21.05B,,,5.30M,25.92B,,AOR,Restated
2018-09,1.406B,82.80M,1.489B,386.30M,,386.30M,,39.47B,,173.40M,41.51B,,,,,,,1.100B,-736.80M,362.70M,7.569B,19.44B,27.01B,,1.474B,28.85B,70.36B,,53.90M,,53.90M,,53.90M,,,,,,,38.10B,38.15B,3.420B,3.420B,4.883B,4.883B,,,612.00M,8.914B,47.07B,,3.40M,5.346B,17.93B,,,18.70M,23.30B,,AOR,Restated
