,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,411.50M,,,3.90M,0.80M,4.70M,39.70M,78.30M,118.00M,118.00M,3.50M,,-0.50M,23.80M,1.20M,41.70M,-309.50M,-39.50M,16.30M,40.20M,-250.80M,311.40M,,-48.30M,,-48.30M,-4.10M,8.50M,,-43.90M,,0.00,,0.00,,,,-304.10M,-304.10M,,-36.60M,-340.70M,,1.410B,-73.20M,1.337B,,,,0.00,,436.60M,42.40M,,AOR,
2020-06,503.30M,,,3.90M,-10.30M,-6.40M,36.70M,76.60M,113.30M,113.30M,-12.40M,,4.80M,22.40M,1.30M,267.00M,121.60M,16.30M,-33.80M,-10.60M,360.50M,986.80M,,-36.40M,,-36.40M,-1.40M,1.30M,,-36.50M,,-100.00M,,-100.00M,,,,-304.00M,-304.00M,,7.40M,-396.60M,,856.80M,553.70M,1.410B,,,,-100.00M,,77.60M,24.60M,,AOR,
2020-03,766.80M,,,-4.40M,-0.20M,-4.60M,35.30M,77.30M,112.60M,112.60M,-9.70M,,23.10M,23.10M,4.10M,-309.50M,198.50M,-14.50M,-22.10M,-10.70M,-158.30M,757.10M,,-42.80M,,-42.80M,,-0.20M,,-43.00M,,-204.60M,,-204.60M,,,,-1.198B,-1.198B,,-11.70M,-1.414B,,1.557B,-699.80M,856.80M,,,,-204.60M,,39.00M,42.40M,,AOR,
2019-12,469.00M,,,-18.80M,-2.50M,39.80M,38.00M,78.10M,116.10M,116.10M,20.00M,,-61.10M,2.30M,2.60M,53.40M,66.20M,216.70M,-191.20M,-14.10M,131.00M,719.70M,,-66.40M,,-66.40M,89.60M,-39.10M,,-15.90M,,-131.40M,,-131.40M,,,,-268.10M,-268.10M,,36.20M,-363.30M,,1.216B,340.50M,1.557B,,,-38.90M,-92.50M,,40.60M,23.90M,,AOR,
2019-09,636.30M,,,-5.60M,-9.90M,-15.50M,41.40M,79.80M,121.20M,121.20M,-10.60M,,39.50M,14.40M,0.70M,47.80M,-56.00M,-232.60M,269.60M,-4.60M,24.20M,810.20M,,-57.60M,,-57.60M,0.00,10.80M,,-46.80M,,-200.60M,,-200.60M,,,,-267.90M,-267.90M,,-21.70M,-490.20M,,942.90M,273.20M,1.216B,,,-200.60M,0.00,,176.70M,42.30M,,AOR,Restated
2019-06,514.60M,,,26.10M,-8.60M,17.50M,46.30M,76.10M,122.40M,122.40M,-12.50M,,21.60M,38.10M,9.80M,-34.90M,-183.60M,80.70M,-104.60M,4.60M,-237.80M,473.70M,,-72.50M,,-72.50M,0.00,31.20M,,-41.30M,,-222.80M,,-222.80M,,,,-267.80M,-267.80M,,1.00M,-489.60M,,1.000B,-57.20M,942.90M,,,-222.80M,0.00,,373.90M,24.70M,,AOR,Restated
2019-03,495.90M,,,17.80M,-22.60M,-4.80M,32.90M,80.70M,113.60M,113.60M,-0.60M,,0.00,18.30M,-1.20M,-5.50M,90.70M,45.40M,-73.10M,-9.50M,48.00M,669.20M,,-49.10M,,-49.10M,,0.50M,,-48.60M,,-106.90M,,-106.90M,,,,-892.10M,-892.10M,,1.30M,-997.70M,,1.377B,-377.10M,1.000B,,,462.30M,-569.20M,,0.00,55.40M,,AOR,Restated
2018-12,387.00M,,,-0.60M,-2.50M,-12.60M,32.90M,59.00M,91.90M,91.90M,89.70M,,,46.00M,9.30M,-37.60M,44.20M,-120.10M,1.00M,11.60M,-100.90M,510.40M,,-55.80M,,-55.80M,,-20.20M,,-1.851B,,-65.90M,,-65.90M,,,,-249.80M,-249.80M,,3.50M,-312.20M,,3.030B,-1.652B,1.377B,,,386.60M,-452.50M,,166.80M,23.50M,,AOR,Restated
2018-09,411.80M,,,16.80M,-1.10M,25.20M,30.20M,23.70M,53.90M,53.90M,19.60M,,,16.60M,0.80M,47.10M,16.00M,-1.30M,-11.40M,4.30M,54.70M,582.60M,,-31.30M,,-31.30M,,0.10M,,-31.20M,,-1.90M,,-1.90M,,,,-237.60M,-237.60M,,-18.00M,-257.50M,,2.736B,293.90M,3.030B,,,-1.90M,0.00,,137.80M,42.40M,,AOR,Restated
2018-06,566.10M,,,-51.30M,-15.60M,-66.90M,27.50M,23.60M,51.10M,51.10M,16.70M,,,16.20M,0.40M,10.00M,-90.90M,49.40M,-26.70M,-2.60M,-60.80M,522.80M,,-11.40M,,-11.40M,,21.10M,,9.70M,,1.187B,,1.187B,,,,-237.70M,-237.70M,,-24.50M,925.00M,,1.278B,1.458B,2.736B,,,1.187B,0.00,,264.00M,0.00,,AOR,Restated
