,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,982.80M,1.098B,215.60M,882.90M,,161.50M,161.50M,41.50M,79.00M,,,41.70M,,-41.70M,85.90M,367.90M,515.00M,,41.70M,-41.70M,61.70M,-41.70M,535.00M,110.20M,424.80M,-0.80M,424.00M,399.31M,697.20M,120.50M,576.70M,,1.18,,1.111,1.18,,1.18,,1.111,1.18,,358.05M,358.61M,0.85,,AOR,
2020-09,974.80M,1.081B,216.40M,864.30M,,154.20M,154.20M,39.70M,78.30M,,,41.70M,,-41.70M,67.10M,339.30M,525.00M,,41.70M,-41.70M,53.20M,-41.70M,536.50M,125.00M,411.50M,-0.20M,411.70M,393.60M,696.20M,118.00M,578.20M,,1.15,,1.099,1.15,,1.15,,1.100,1.15,,357.79M,358.59M,0.85,,AOR,
2020-06,1.075B,1.182B,217.00M,965.30M,,155.70M,155.70M,36.70M,76.60M,,,41.90M,,-41.90M,58.80M,327.80M,637.50M,,41.90M,-41.90M,65.70M,-41.90M,661.30M,158.00M,503.30M,0.00,503.30M,478.87M,816.50M,113.30M,703.20M,,1.41,,1.342,1.41,,1.40,,1.332,1.40,,357.69M,358.46M,0.85,,AOR,
2020-03,1.410B,1.522B,207.50M,1.315B,,163.30M,163.30M,35.30M,77.30M,,,40.90M,,-40.90M,78.80M,354.70M,959.90M,,40.90M,-40.90M,70.30M,-40.90M,989.30M,222.50M,766.80M,-0.60M,766.20M,691.88M,1.143B,112.60M,1.030B,,2.14,,1.932,2.14,,2.14,,1.933,2.14,,357.52M,358.46M,0.85,,AOR,
2019-12,1.031B,1.138B,217.60M,920.80M,,144.20M,144.20M,38.00M,78.10M,,,42.00M,,-42.00M,87.50M,347.80M,573.00M,,42.00M,-42.00M,93.10M,-42.00M,624.10M,155.10M,469.00M,0.90M,469.50M,358.58M,782.20M,116.10M,666.10M,,1.31,,0.9997,1.31,,1.31,,1.000,1.31,,357.46M,358.35M,0.75,,AOR,
2019-09,1.170B,1.277B,223.50M,1.054B,,141.50M,141.50M,41.40M,79.80M,,,42.80M,,-42.80M,105.90M,368.60M,685.20M,,42.80M,-42.80M,80.80M,-42.80M,723.20M,86.90M,636.30M,0.00,636.30M,484.68M,887.20M,121.20M,766.00M,,1.78,,1.356,1.78,,1.78,,1.357,1.78,,357.21M,358.37M,0.75,,AOR,Restated
2019-06,1.180B,1.273B,227.30M,1.045B,,135.10M,135.10M,46.30M,76.10M,,,45.10M,,-45.10M,89.30M,346.80M,698.60M,,45.10M,-45.10M,48.60M,-45.10M,702.10M,187.50M,514.60M,-0.80M,513.80M,411.69M,869.60M,122.40M,747.20M,,1.44,,1.154,1.44,,1.43,,1.145,1.43,,357.06M,358.16M,0.75,,AOR,Restated
2019-03,1.083B,1.180B,230.30M,949.30M,,127.00M,127.00M,32.90M,80.70M,,,48.10M,,-48.10M,77.70M,318.30M,631.00M,,48.10M,-48.10M,57.30M,-48.10M,640.20M,144.30M,495.90M,1.00M,496.90M,358.41M,801.90M,113.60M,688.30M,,1.39,,1.002,1.39,,1.39,,1.003,1.39,,356.89M,358.05M,0.75,,AOR,Restated
2018-12,1.165B,1.237B,223.80M,1.013B,,149.90M,149.90M,32.90M,59.00M,,,49.50M,,-49.50M,121.10M,362.90M,649.90M,,49.50M,-49.50M,70.10M,-49.50M,670.50M,283.50M,387.00M,-1.50M,385.50M,250.23M,811.90M,91.90M,720.00M,,1.10,,0.7146,1.10,,1.09,,0.7060,1.09,,351.02M,352.23M,0.70,,AOR,Restated
2018-09,863.20M,904.20M,144.90M,759.30M,,89.40M,89.40M,30.20M,23.70M,,,45.00M,,-45.00M,66.10M,209.40M,549.90M,,45.00M,-45.00M,56.90M,-45.00M,561.80M,150.00M,411.80M,0.00,411.80M,293.42M,660.70M,53.90M,606.80M,,1.21,,0.8614,1.21,,1.21,,0.8629,1.21,,339.59M,341.04M,0.70,,AOR,Restated
2018-06,1.020B,1.060B,150.80M,908.80M,,97.00M,97.00M,27.50M,23.60M,,,33.10M,,-33.10M,93.80M,241.90M,666.90M,,33.10M,-33.10M,123.00M,-33.10M,756.80M,190.70M,566.10M,0.00,566.10M,385.16M,841.00M,51.10M,789.90M,,1.67,,1.137,1.67,,1.66,,1.129,1.66,,339.46M,340.87M,0.70,,AOR,Restated
2018-03,1.068B,1.109B,152.70M,956.30M,,117.60M,117.60M,28.10M,23.70M,,,30.10M,,-30.10M,46.00M,215.40M,740.90M,,30.10M,-30.10M,77.90M,-30.10M,788.70M,189.90M,598.80M,0.00,598.80M,480.09M,870.60M,51.80M,818.80M,,1.76,,1.410,1.76,,1.76,,1.412,1.76,,339.30M,340.75M,0.70,,AOR,Restated
2017-12,785.50M,900.00M,121.50M,778.50M,,59.00M,59.00M,27.90M,23.70M,,,29.10M,,-29.10M,131.00M,241.60M,536.90M,,29.10M,-29.10M,66.90M,-29.10M,574.70M,-2.364B,2.939B,,2.939B,2.855B,655.40M,51.60M,603.80M,,8.67,,8.421,8.67,,8.63,,8.382,8.63,,339.16M,340.56M,0.66,,AOR,Restated
2017-09,878.80M,890.80M,147.80M,743.00M,,106.40M,106.40M,26.90M,23.80M,19.80M,,29.10M,,-29.10M,18.30M,175.40M,567.60M,,29.10M,-29.10M,68.80M,-29.10M,607.30M,298.70M,308.60M,,308.60M,224.66M,687.10M,50.70M,636.40M,,0.91,,0.6622,0.91,,0.91,,0.6634,0.91,,338.77M,340.33M,0.66,,AOR,Restated
2017-06,913.00M,924.60M,145.70M,778.90M,,98.90M,98.90M,28.80M,24.00M,19.20M,,29.00M,,-29.00M,22.00M,173.70M,605.20M,,29.00M,-29.00M,61.10M,-29.00M,637.30M,221.50M,415.80M,,415.80M,342.40M,719.10M,52.80M,666.30M,,1.23,,1.013,1.23,,1.22,,1.004,1.22,,338.56M,340.02M,0.66,,AOR,Restated
2017-03,913.10M,929.30M,148.90M,780.40M,,101.20M,101.20M,29.40M,24.00M,20.10M,,29.80M,,-29.80M,24.90M,179.50M,600.90M,,29.80M,-29.80M,135.90M,-29.80M,707.00M,307.20M,399.80M,,399.80M,316.46M,790.20M,53.40M,736.80M,,1.18,,0.9337,1.18,,1.18,,0.9348,1.18,,338.34M,339.95M,0.66,,AOR,Restated
2016-12,800.90M,912.90M,129.10M,783.80M,,52.60M,52.60M,33.70M,24.10M,,,31.60M,,-31.60M,135.40M,245.80M,538.00M,,31.60M,-31.60M,87.80M,-31.60M,594.20M,220.80M,373.40M,,373.40M,329.10M,683.60M,57.80M,625.80M,,1.10,,0.9690,1.10,,1.10,,0.9695,1.10,,338.09M,339.36M,0.60,,AOR,Restated
2016-09,829.10M,841.70M,137.50M,704.20M,,101.90M,101.90M,31.20M,24.00M,19.60M,,31.10M,,-31.10M,21.80M,178.90M,525.30M,,31.10M,-31.10M,54.60M,-31.10M,548.80M,76.00M,472.80M,,472.80M,441.34M,635.10M,55.20M,579.90M,,1.40,,1.307,1.40,,1.39,,1.297,1.39,,337.59M,339.14M,0.60,,AOR,Restated
2016-06,892.80M,906.40M,138.00M,768.40M,,113.90M,113.90M,30.40M,24.00M,24.40M,,31.00M,,-31.00M,36.80M,205.10M,563.30M,,31.00M,-31.00M,33.80M,-31.00M,566.10M,246.00M,320.10M,,320.10M,309.78M,651.50M,54.40M,597.10M,,0.95,,0.9194,0.95,,0.95,,0.9195,0.95,,337.29M,338.71M,0.60,,AOR,Restated
2016-03,920.10M,934.20M,138.60M,795.60M,,109.40M,109.40M,33.90M,24.00M,21.30M,,29.80M,,-29.80M,54.40M,221.70M,573.90M,,29.80M,-29.80M,34.40M,-29.80M,578.50M,210.70M,367.80M,,367.80M,356.61M,666.20M,57.90M,608.30M,,1.09,,1.057,1.09,,1.09,,1.057,1.09,,337.01M,338.55M,0.60,,AOR,Restated
2015-12,799.70M,813.80M,141.00M,672.80M,,104.00M,104.00M,31.70M,24.60M,23.10M,,28.90M,,-28.90M,42.60M,202.90M,469.90M,,28.90M,-28.90M,27.50M,-28.90M,468.50M,176.80M,291.70M,,291.70M,289.58M,553.70M,56.30M,497.40M,,0.87,,0.8637,0.87,,0.86,,0.8537,0.86,,336.85M,338.16M,0.50,,AOR,Restated
2015-09,836.10M,850.30M,143.50M,706.80M,,105.40M,105.40M,32.40M,24.90M,23.10M,,28.30M,,-28.30M,27.70M,190.40M,516.40M,,28.30M,-28.30M,28.30M,-28.30M,516.40M,156.50M,359.90M,,359.90M,358.16M,602.00M,57.30M,544.70M,,1.07,,1.065,1.07,,1.06,,1.055,1.06,,336.32M,338.14M,0.50,,AOR,Restated
2015-06,806.10M,820.00M,148.10M,671.90M,,96.10M,96.10M,33.30M,25.00M,23.50M,,28.60M,,-28.60M,22.40M,176.80M,495.10M,,28.60M,-28.60M,-18.40M,-28.60M,448.10M,183.10M,265.00M,,265.00M,253.90M,535.00M,58.30M,476.70M,,0.79,,0.7570,0.79,,0.78,,0.7471,0.78,,336.04M,337.80M,0.50,,AOR,Restated
2015-03,827.50M,842.70M,148.90M,693.80M,,98.10M,98.10M,31.80M,24.90M,22.80M,,31.60M,,-31.60M,31.70M,186.50M,507.30M,,31.60M,-31.60M,48.10M,-31.60M,523.80M,193.40M,330.40M,,330.40M,327.94M,612.10M,56.70M,555.40M,,0.98,,0.9727,0.98,,0.98,,0.9727,0.98,,335.68M,337.42M,0.50,,AOR,Restated
2014-12,823.70M,841.10M,152.50M,688.60M,,105.30M,105.30M,31.50M,24.90M,25.70M,,28.70M,,-28.70M,55.40M,217.10M,471.50M,,28.70M,-28.70M,31.00M,-28.70M,473.80M,167.30M,306.50M,0.00,306.50M,299.97M,558.90M,56.40M,502.50M,,0.91,,0.8905,0.91,,0.91,,0.8906,0.91,,335.20M,336.79M,0.47,,AOR,Restated
2014-09,750.30M,762.40M,139.90M,622.50M,,96.20M,96.20M,32.70M,25.30M,24.70M,,28.70M,,-28.70M,37.90M,192.10M,430.40M,,28.70M,-28.70M,27.40M,-28.70M,429.10M,139.10M,290.00M,0.00,290.00M,285.00M,515.80M,58.00M,457.80M,,0.87,,0.8550,0.87,,0.86,,0.8451,0.86,,334.42M,336.17M,0.47,,AOR,Restated
2014-06,719.30M,731.60M,148.00M,583.60M,,101.00M,101.00M,34.30M,25.20M,23.20M,,28.30M,,-28.30M,11.10M,171.60M,412.00M,,28.30M,-28.30M,38.40M,-28.30M,422.10M,158.30M,263.80M,0.00,263.80M,254.36M,509.90M,59.50M,450.40M,,0.79,,0.7618,0.79,,0.79,,0.7619,0.79,,334.10M,335.80M,0.47,,AOR,Restated
2014-03,762.00M,777.40M,143.70M,633.70M,,95.70M,95.70M,34.10M,25.20M,23.20M,,33.70M,,-33.70M,24.20M,179.20M,454.50M,,33.70M,-33.70M,25.60M,-33.70M,446.40M,179.80M,266.60M,0.20M,266.80M,264.88M,539.40M,59.30M,480.10M,,0.80,,0.7942,0.80,,0.79,,0.7843,0.79,,333.90M,335.64M,0.47,,AOR,Restated
2013-12,674.10M,687.00M,135.20M,551.80M,,104.60M,104.60M,34.30M,25.60M,21.60M,,38.60M,,-38.60M,64.10M,228.60M,323.20M,,38.60M,-38.60M,22.40M,-38.60M,307.00M,113.90M,193.10M,0.00,193.10M,186.81M,405.50M,59.90M,345.60M,,0.58,,0.5611,0.58,,0.58,,0.5612,0.58,,333.65M,335.43M,0.45,,AOR,Restated
2013-09,696.80M,714.60M,143.20M,571.40M,,93.90M,93.90M,35.00M,25.60M,19.20M,,34.60M,,-34.60M,16.40M,170.90M,400.50M,,34.60M,-34.60M,33.00M,-34.60M,398.90M,162.60M,236.30M,0.40M,236.70M,228.51M,494.10M,60.60M,433.50M,,0.71,,0.6854,0.71,,0.71,,0.6855,0.71,,332.76M,334.67M,0.45,,AOR,Restated
2013-06,792.50M,816.10M,137.50M,678.60M,,87.60M,87.60M,33.20M,25.90M,19.00M,,39.20M,,-39.20M,24.10M,170.80M,507.80M,,39.20M,-39.20M,38.90M,-39.20M,507.50M,196.20M,311.30M,-0.10M,311.20M,299.74M,605.80M,59.10M,546.70M,,0.94,,0.9055,0.94,,0.93,,0.8957,0.93,,332.34M,334.07M,0.45,,AOR,Restated
