,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermNotesReceivable,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,116.60M,,116.60M,686.30M,,,,686.30M,181.60M,38.40M,673.10M,,714.50M,77.10M,,58.30M,1.653B,,,,9.305B,,9.305B,-3.655B,5.650B,2.414B,504.30M,2.919B,,214.10M,,2020-09,210.70M,,210.70M,117.50M,328.20M,,,,51.90M,51.90M,126.10M,506.20M,2.625B,422.30M,3.048B,760.40M,760.40M,,2.50M,362.40M,,2020-09,0.60M,2.460B,3.434B,,2020-09,AOR,
2020-06,70.10M,,70.10M,690.40M,,,,690.40M,181.60M,37.80M,671.50M,,712.90M,,,113.70M,1.587B,,,,9.206B,,9.206B,-3.577B,5.628B,2.398B,481.00M,2.878B,,132.50M,,2020-06,197.20M,,197.20M,101.60M,298.80M,,130.00M,130.00M,51.40M,181.40M,115.10M,595.30M,2.624B,420.70M,3.045B,741.20M,741.20M,,2.50M,351.30M,,2020-06,0.60M,2.202B,3.431B,,2020-06,AOR,
2020-03,424.00M,,424.00M,562.80M,,,,562.80M,177.20M,40.20M,657.10M,,700.50M,,,145.70M,1.833B,,,,9.169B,,9.169B,-3.506B,5.663B,2.397B,483.30M,2.880B,,126.70M,,2020-03,202.00M,,202.00M,78.80M,280.80M,,639.90M,639.90M,52.90M,692.80M,102.00M,1.076B,2.624B,429.20M,3.053B,737.00M,737.00M,,2.50M,338.30M,,2020-03,0.60M,2.019B,3.423B,,2020-03,AOR,
2019-12,21.00M,,21.00M,573.70M,,,,573.70M,173.90M,41.90M,643.60M,,690.80M,,,141.20M,1.427B,1.135B,163.40M,4.549B,500.20M,258.40M,9.115B,-3.428B,5.688B,2.397B,486.80M,2.884B,,133.40M,,2019-12,229.60M,,229.60M,119.80M,349.40M,,340.00M,340.00M,52.70M,392.70M,96.40M,838.50M,2.434B,433.90M,2.868B,733.00M,733.00M,,2.50M,339.30M,,2019-12,0.00,2.077B,3.419B,,2019-12,AOR,
2019-09,49.09M,,49.09M,763.88M,,,,763.88M,142.03M,65.93M,605.91M,,649.72M,,,115.72M,1.578B,,,,8.962B,,8.962B,-3.345B,5.617B,2.397B,491.62M,2.889B,,139.51M,,2019-09,238.56M,,238.56M,123.96M,362.52M,,190.04M,190.04M,51.75M,241.80M,75.60M,688.98M,2.733B,436.70M,3.170B,725.10M,725.10M,100.08M,2.466M,235.38M,,2019-09,0.624M,2.022B,3.414B,,2019-09,AOR,Restated
2019-06,53.60M,,53.60M,710.60M,,,,710.60M,140.41M,62.02M,604.65M,,646.34M,,,122.58M,1.533B,,,,8.884B,,8.884B,-3.264B,5.620B,2.394B,493.82M,2.888B,,122.35M,,2019-06,199.18M,,199.18M,96.51M,295.69M,,385.04M,385.04M,51.01M,436.05M,79.98M,822.22M,2.732B,438.93M,3.171B,699.46M,699.46M,140.07M,2.417M,233.70M,,2019-06,0.623M,1.815B,3.417B,,2019-06,AOR,Restated
2019-03,37.36M,,37.36M,550.61M,,,,550.61M,136.79M,63.11M,605.78M,,646.18M,,,135.97M,1.370B,,,,8.837B,,8.837B,-3.192B,5.645B,2.397B,498.20M,2.896B,,137.70M,,2019-03,184.84M,,184.84M,112.05M,296.90M,,360.06M,360.06M,50.78M,410.83M,39.99M,757.64M,2.801B,446.13M,3.247B,695.77M,695.77M,138.05M,3.022M,234.10M,,2019-03,0.625M,1.706B,3.406B,,2019-03,AOR,Restated
2018-12,44.90M,,44.90M,523.30M,,,,523.30M,170.90M,35.60M,615.70M,,663.00M,,,134.60M,1.366B,1.090B,162.10M,4.358B,,178.70M,8.295B,-3.138B,5.157B,2.399B,501.30M,2.900B,,128.00M,,2018-12,210.80M,,210.80M,115.00M,325.80M,,390.00M,390.00M,0.00,390.00M,70.90M,786.70M,2.730B,0.00,2.730B,705.60M,705.60M,,3.00M,379.30M,,2018-12,0.00,1.693B,3.396B,,2018-12,AOR,Restated
2018-09,53.96M,,53.96M,644.84M,,,,644.84M,139.41M,61.89M,610.66M,,651.30M,,,104.72M,1.455B,,,,,,8.183B,-3.080B,5.103B,2.399B,508.98M,2.908B,,121.56M,,2018-09,191.38M,,191.38M,146.46M,337.84M,0.00,380.04M,380.04M,,380.04M,45.52M,772.69M,2.830B,,2.830B,692.88M,692.88M,108.45M,2.934M,242.16M,,2018-09,0.626M,1.669B,3.391B,,2018-09,AOR,Restated
2018-06,33.78M,,33.78M,675.57M,,,,675.57M,134.26M,62.48M,612.16M,,650.92M,,,96.89M,1.457B,,,,,,8.119B,-3.005B,5.113B,2.402B,514.69M,2.916B,,109.98M,,2018-06,188.76M,,188.76M,116.18M,304.94M,,,320.05M,,320.05M,71.06M,709.13M,2.899B,,2.899B,644.47M,644.47M,249.97M,12.02M,238.84M,,2018-06,0.629M,1.580B,3.389B,,2018-06,AOR,Restated
