,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,536.29M,536.29M,266.34M,269.95M,159.09M,159.09M,-0.97M,0.591M,-0.591M,,181.49M,88.46M,0.591M,-0.591M,-0.97M,-0.591M,86.90M,24.28M,62.62M,,,62.62M,63.32M,109.89M,22.40M,87.49M,,0.13,,,0.1314,0.13,,0.13,,,0.1314,0.13,,491.62M,491.62M,0.0533,,AOR,
2020-09,583.70M,583.70M,275.47M,308.22M,174.70M,174.70M,-1.355M,0.866M,-0.866M,,197.10M,111.12M,0.866M,-0.866M,-1.355M,-0.866M,108.90M,29.32M,79.58M,,,79.58M,80.57M,132.17M,22.40M,109.77M,,0.16,,,0.1620,0.16,,0.16,,,0.1620,0.16,,491.63M,491.63M,0.0533,,AOR,
2020-06,553.33M,553.33M,255.62M,297.71M,171.25M,171.25M,0.451M,1.46M,-1.46M,,193.18M,104.53M,1.46M,-1.46M,0.451M,-1.46M,103.52M,28.16M,75.36M,,,75.36M,75.03M,126.90M,21.92M,104.98M,,0.1533,,,0.1527,0.1533,,0.1533,,,0.1527,0.1533,,491.64M,491.64M,0.0533,,AOR,
2020-03,487.90M,487.90M,251.15M,236.75M,157.86M,157.86M,0.275M,,-2.165M,,179.46M,57.29M,,-2.165M,0.275M,-2.165M,55.40M,12.13M,43.27M,,,43.27M,43.05M,78.89M,21.60M,57.29M,,0.0867,,,0.0862,0.0867,,0.0867,,,0.0862,0.0867,,491.52M,491.52M,0.08,,AOR,
2019-12,505.98M,505.98M,254.28M,251.70M,154.80M,154.80M,0.175M,,-2.466M,,177.40M,74.30M,,-2.466M,0.175M,-2.466M,72.01M,21.24M,50.76M,,,50.76M,50.64M,96.50M,21.04M,73.89M,,0.1067,,,0.1064,0.1067,,0.1067,,,0.1064,0.1067,,491.16M,491.16M,0.07,,AOR,
2019-09,556.47M,556.47M,268.72M,287.75M,217.07M,217.07M,-0.027M,2.826M,-2.826M,,238.76M,48.99M,2.826M,-2.826M,-0.027M,-2.826M,46.14M,2.078M,44.06M,,,44.06M,44.09M,70.66M,21.69M,48.96M,,0.0867,,,0.0867,0.0867,,0.0867,,,0.0867,0.0867,,491.19M,491.19M,0.07,,AOR,Restated
2019-06,523.96M,523.96M,253.33M,270.62M,161.89M,161.89M,0.252M,1.899M,-1.899M,,182.02M,88.61M,1.899M,-1.899M,0.252M,-1.899M,86.96M,22.66M,64.30M,,,64.30M,64.11M,108.99M,20.13M,88.86M,,0.1333,,,0.1330,0.1333,,0.1333,,,0.1330,0.1333,,491.26M,491.26M,0.07,,AOR,Restated
2019-03,429.07M,429.07M,217.26M,211.81M,139.53M,139.53M,0.181M,,0.274M,,156.21M,55.60M,,0.274M,0.181M,0.274M,56.05M,11.83M,44.23M,,,44.23M,44.08M,72.28M,16.68M,55.60M,,0.0933,,,0.0930,0.0933,,0.0933,,,0.0930,0.0933,,491.26M,491.26M,0.07,,AOR,Restated
2018-12,444.62M,444.62M,221.24M,223.39M,135.76M,135.76M,0.197M,,0.29M,,152.40M,70.98M,,0.29M,0.197M,0.29M,71.47M,20.50M,50.97M,,,50.97M,50.83M,87.63M,14.53M,70.98M,,0.1067,,,0.1064,0.1067,,0.1067,,,0.1064,0.1067,,490.97M,490.97M,0.0622,,AOR,Restated
2018-09,487.74M,487.74M,236.29M,251.45M,145.07M,145.07M,0.314M,,0.063M,,161.94M,89.51M,,0.063M,0.314M,0.063M,89.89M,23.26M,66.63M,,,66.63M,66.40M,106.38M,16.87M,89.51M,,0.1333,,,0.1329,0.1333,,0.1333,,,0.1329,0.1333,,490.98M,490.98M,0.0622,,AOR,Restated
