,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,2.382B,2.382B,2.026B,355.10M,97.60M,0.00,0.00,50.80M,7.80M,-43.00M,159.00M,256.60M,98.50M,7.80M,50.80M,-43.00M,10.50M,-43.00M,66.00M,38.10M,-4.60M,,,-1.60M,,-6.20M,-10.43M,322.70M,205.90M,116.80M,-0.02,,,,-0.0312,-0.02,-0.02,,,,-0.0312,-0.02,379.10M,379.10M,0.05
2020-06,2.045B,2.045B,1.788B,257.00M,95.10M,0.00,0.00,57.00M,7.70M,-49.30M,76.10M,171.20M,85.80M,7.70M,57.00M,-49.30M,36.50M,-49.30M,73.00M,-2.70M,45.90M,,,1.50M,,47.40M,22.51M,345.40M,215.40M,130.00M,0.13,,,,0.0643,0.13,0.12,,,,0.0547,0.12,379.10M,381.30M,0.05
2020-03,1.798B,1.798B,1.757B,41.40M,67.90M,,,50.80M,9.70M,-41.10M,39.70M,107.60M,-66.20M,9.70M,50.80M,-41.10M,-209.70M,-41.10M,-317.00M,-133.00M,-204.00M,,,1.00M,,-203.00M,-46.63M,-48.40M,217.80M,-266.20M,-0.54,,,,-0.1272,-0.54,-0.54,,,,-0.1272,-0.54,378.80M,378.80M,0.05
2019-12,2.076B,2.076B,1.996B,80.70M,104.30M,1.108B,-1.108B,54.90M,8.20M,-46.70M,62.70M,167.00M,-86.30M,8.20M,54.90M,-46.70M,-1.081B,-46.70M,-1.214B,-288.80M,-950.40M,,,29.40M,,-921.00M,-99.65M,-926.10M,233.10M,-1.159B,-2.43,,,,-0.2611,-2.43,-2.43,,,,-0.2611,-2.43,378.70M,378.70M,0.05
2019-09,2.753B,2.753B,2.474B,279.90M,78.20M,-15.60M,15.60M,53.10M,9.90M,-43.20M,77.80M,156.00M,123.90M,9.90M,53.10M,-43.20M,-28.50M,-43.20M,52.20M,69.20M,-40.00M,,,-4.10M,,-44.10M,-16.21M,316.10M,210.80M,105.30M,-0.11,,,,-0.0376,-0.11,-0.11,,,,-0.0376,-0.11,385.00M,385.00M,0.05
2019-06,2.177B,2.177B,1.950B,227.20M,78.10M,369.40M,-369.40M,53.10M,7.10M,-46.00M,21.60M,99.70M,127.50M,7.10M,53.10M,-46.00M,-352.30M,-46.00M,-270.80M,-51.70M,-230.30M,,,-2.80M,,-233.10M,48.92M,3.00M,220.70M,-217.70M,-0.6,,,,0.131,-0.6,-0.6,,,,0.131,-0.6,385.80M,385.80M,0.05
2019-03,1.900B,1.900B,1.590B,309.50M,93.50M,,,54.90M,7.90M,-47.00M,13.90M,107.40M,202.10M,7.90M,54.90M,-47.00M,21.50M,-47.00M,176.60M,46.60M,129.90M,,,0.90M,,130.80M,114.17M,449.60M,218.10M,231.50M,0.34,,,,0.2969,0.34,0.34,,,,0.2971,0.34,385.50M,387.40M,0.025
2018-12,2.520B,2.520B,2.054B,466.20M,89.70M,,0.00,43.90M,13.20M,-30.70M,118.50M,208.20M,258.00M,13.20M,43.90M,-30.70M,-82.00M,-30.70M,145.30M,32.70M,112.00M,,,0.30M,,112.30M,173.37M,424.30M,235.10M,189.20M,0.29,,,,0.4483,0.29,0.29,,,,0.4477,0.29,385.70M,387.30M,0.025
2018-09,2.928B,2.928B,2.433B,495.50M,78.50M,,0.00,57.70M,16.80M,-40.90M,23.70M,102.20M,393.30M,16.80M,57.70M,-40.90M,-9.80M,-40.90M,342.60M,90.60M,249.70M,,,-2.20M,,247.50M,249.12M,614.80M,214.50M,400.30M,0.64,,,,0.6442,0.64,0.64,,,,0.6442,0.64,385.50M,387.50M,0.025
2018-06,2.205B,2.205B,1.910B,294.60M,79.30M,,0.00,55.70M,10.60M,-45.10M,19.00M,98.30M,196.30M,10.60M,55.70M,-45.10M,-81.10M,-45.10M,70.10M,3.70M,68.10M,,,-0.20M,,67.90M,142.43M,342.60M,216.80M,125.80M,0.18,,,,0.3734,0.18,0.18,,,,0.3725,0.18,385.40M,387.20M,0.025
