,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,-4.60M,,,-61.40M,-40.20M,32.40M,-69.20M,,,,205.90M,-26.80M,0.00,,7.10M,,12.50M,-105.10M,263.00M,,19.40M,-14.70M,,53.10M,215.70M,,340.60M,-265.10M,,0.00,,-1.30M,-0.70M,-267.10M,-14.80M,-388.90M,-403.70M,,0.00,0.00,-18.90M,-18.90M,,204.10M,-218.50M,1.092B,-145.00M,-1.50M,945.10M,,127.00M,-530.70M,0.00,,6.70M
2020-06,45.90M,,,207.30M,30.00M,29.80M,267.10M,,,,215.40M,-16.50M,0.00,,8.20M,,29.60M,28.00M,-46.20M,,58.30M,162.90M,,61.00M,264.00M,,813.70M,-257.20M,,0.00,,-1.30M,0.60M,-257.90M,-17.20M,-399.30M,-416.50M,,,,-19.00M,-19.00M,,-95.20M,-530.70M,1.082B,25.10M,-15.40M,1.092B,,289.60M,-706.10M,,-66.50M,87.80M
2020-03,-204.00M,,,,51.90M,20.00M,71.90M,,,,217.80M,-107.30M,,,-10.10M,,28.00M,14.80M,-24.40M,,332.70M,-107.90M,,-21.60M,193.60M,,189.90M,-263.50M,,,,-6.10M,-0.10M,-269.70M,-14.20M,972.80M,958.60M,,,,-18.90M,-18.90M,,-241.40M,698.30M,532.30M,618.50M,-68.90M,1.082B,,1.105B,-146.80M,,66.50M,15.50M
2019-12,-950.40M,,,-91.10M,-3.30M,25.20M,-50.50M,,,,233.10M,-258.40M,234.80M,,2.90M,,895.30M,1.40M,227.20M,,-94.50M,27.20M,,9.50M,170.80M,,277.60M,-286.00M,,55.10M,,-9.20M,3.60M,-346.80M,-15.40M,-42.80M,-58.20M,,-32.80M,-32.80M,-19.00M,-19.00M,,44.10M,-65.90M,658.50M,-135.10M,8.90M,532.30M,,69.70M,-127.90M,-32.80M,-114.30M,-116.50M
2019-09,-40.00M,,,65.90M,-10.60M,24.60M,79.90M,,,,210.80M,26.70M,-15.60M,,2.90M,,13.40M,-134.70M,314.50M,,26.50M,3.50M,,-1.90M,207.90M,,486.00M,-322.30M,,0.00,,-5.20M,1.00M,-326.50M,-11.50M,-2.20M,-13.70M,,-117.10M,-117.10M,-19.30M,-19.30M,,255.30M,105.20M,418.00M,264.70M,-24.20M,658.50M,,116.80M,-130.50M,-117.10M,10.90M,13.90M
2019-06,-230.30M,,,25.20M,1.60M,11.20M,38.00M,,,,220.70M,-34.90M,369.40M,,6.80M,,15.20M,108.90M,-109.10M,,129.30M,-0.70M,,-6.00M,122.40M,,507.30M,-350.00M,,-55.10M,,-7.80M,-0.90M,-358.70M,-11.30M,-70.50M,-81.80M,,,,-19.30M,-19.30M,,-42.70M,-143.80M,402.40M,4.80M,10.80M,418.00M,,198.50M,-280.30M,,9.60M,92.10M
2019-03,129.90M,,,,-46.90M,3.60M,-43.30M,,,,218.10M,5.30M,,,15.30M,,19.70M,59.00M,-304.50M,,-186.70M,-66.00M,,-22.30M,-520.50M,,-175.50M,-313.90M,,,,-15.30M,0.30M,-328.90M,-10.10M,152.30M,142.20M,,,,-9.60M,-9.60M,,-110.30M,22.30M,871.00M,-482.10M,13.50M,402.40M,,206.00M,-63.80M,,93.80M,10.50M
2018-12,112.00M,,63.10M,,44.60M,1.90M,109.60M,,,,235.10M,-89.50M,,,1.80M,,6.10M,37.50M,-299.30M,,-124.50M,162.60M,,-1.40M,-225.10M,,150.00M,-289.10M,-9.30M,-9.30M,2.10M,-0.10M,12.60M,-283.80M,-80.50M,-14.40M,-94.90M,,0.00,0.00,-9.60M,-9.60M,,59.30M,-45.20M,1.051B,-179.00M,-0.90M,871.00M,,9.90M,-104.80M,0.00,-13.20M,-97.60M
2018-09,249.70M,,0.00,,-12.00M,9.40M,-2.60M,,,,214.50M,83.30M,,,3.00M,,25.40M,-163.80M,171.50M,,-50.60M,-25.00M,,18.40M,-49.50M,,523.80M,-241.00M,9.30M,9.30M,0.00,-7.40M,-4.70M,-243.80M,-408.40M,6.80M,-401.60M,,0.00,0.00,-9.70M,-9.70M,,114.90M,-296.40M,1.078B,-16.40M,-11.20M,1.051B,,38.10M,-439.70M,0.00,-13.30M,8.80M
2018-06,68.10M,,0.00,,12.10M,-1.70M,10.40M,,,,216.80M,-32.40M,,,7.00M,,-5.10M,69.70M,-222.00M,,592.00M,86.60M,,15.90M,542.20M,,807.00M,-201.10M,,0.00,4.40M,-6.50M,6.50M,-196.70M,-67.80M,-47.00M,-114.80M,,,,-9.60M,-9.60M,,-45.50M,-169.90M,703.10M,440.40M,-65.00M,1.078B,,81.10M,-195.90M,,13.70M,77.70M
2018-03,40.10M,,,,14.20M,3.30M,17.50M,,,,217.50M,-63.20M,,,15.70M,,-9.30M,62.50M,-147.60M,,-74.90M,-137.50M,,8.20M,-289.30M,,-71.00M,-223.30M,,,-993.30M,-1.70M,-2.10M,-1.220B,-206.90M,65.30M,-141.60M,,,,-9.60M,-9.60M,,-62.10M,-213.30M,2.194B,-1.505B,13.40M,703.10M,,65.30M,-206.90M,,12.80M,11.10M
2017-12,-429.80M,,-25.50M,,14.00M,49.90M,38.40M,,,,172.00M,558.50M,,,3.50M,,52.20M,-84.40M,98.90M,,-27.30M,19.00M,,10.20M,16.40M,,411.20M,-230.20M,-69.10M,-69.10M,-1.80M,-5.60M,282.20M,-24.50M,1.154B,-54.90M,1.099B,,,,-8.80M,-8.80M,,-0.60M,1.090B,726.40M,1.476B,-8.30M,2.194B,,1.273B,-174.20M,,,-98.40M
2017-09,229.60M,,,,-2.50M,-9.70M,-12.20M,,,,168.80M,19.90M,,,3.60M,,-42.00M,-58.20M,51.10M,,-257.60M,28.60M,,3.90M,-232.20M,,135.50M,-197.60M,69.10M,69.10M,-71.30M,-2.40M,-18.50M,-220.70M,-2.80M,6.70M,3.90M,,,,-52.70M,-52.70M,,143.10M,94.30M,699.00M,9.10M,18.30M,726.40M,,264.70M,-260.80M,,,23.60M
2017-06,97.10M,,,,-5.00M,-5.80M,-10.80M,,,,165.90M,-25.10M,,,5.00M,,7.80M,5.70M,-172.40M,,180.60M,-3.60M,,-7.40M,2.90M,,242.80M,-168.50M,,,-13.90M,-8.40M,13.80M,-177.00M,-1.60M,-50.30M,-51.90M,,,,-52.70M,-52.70M,,19.30M,-85.30M,717.00M,-19.50M,1.50M,699.00M,,200.60M,-252.50M,,,66.50M
2017-03,-1.10M,,0.00,,1.80M,0.00,1.80M,,,,158.80M,59.10M,,,15.90M,,15.50M,45.70M,-133.30M,,38.60M,-67.70M,,12.70M,-104.00M,,146.00M,-223.80M,0.00,0.00,-25.00M,-1.80M,5.00M,-245.60M,-0.30M,128.50M,128.20M,,,,-96.40M,-96.40M,,70.40M,102.20M,711.40M,2.60M,3.00M,717.00M,,144.30M,-16.10M,,,8.30M
2016-12,14.60M,,14.90M,,11.40M,2.50M,28.80M,,,,165.50M,-54.70M,0.00,,4.00M,,27.80M,-118.60M,104.50M,,-81.20M,206.70M,,25.10M,136.50M,,322.50M,-209.40M,,,-39.00M,-34.60M,16.90M,-266.10M,-6.10M,-52.50M,-58.60M,,0.00,0.00,-96.30M,-96.30M,,-99.60M,-254.50M,919.50M,-198.10M,-10.00M,711.40M,,755.10M,-813.70M,0.00,-24.70M,-66.60M
2016-09,40.70M,,12.10M,,9.80M,2.70M,24.60M,,,,172.70M,-58.10M,-3.50M,,4.20M,,4.80M,-134.90M,195.10M,,-173.80M,15.50M,,1.00M,-97.10M,,88.30M,-196.40M,0.00,0.00,-184.00M,-595.50M,0.60M,-975.30M,-41.20M,-0.80M,-42.00M,,0.00,0.00,-96.40M,-96.40M,-6.80M,33.60M,-111.60M,1.926B,-998.60M,-8.00M,919.50M,,159.20M,-201.20M,0.00,-0.80M,3.50M
2016-06,-11.00M,,0.00,,-37.10M,19.80M,-17.30M,,,,189.30M,-16.40M,47.00M,,5.40M,,10.00M,239.90M,-70.90M,,148.80M,39.60M,,19.10M,376.50M,,583.50M,-201.70M,,,-151.50M,0.00,2.40M,-350.80M,-0.60M,12.90M,12.30M,,0.00,0.00,-96.20M,-96.20M,1.80M,-160.40M,-242.50M,1.919B,-9.80M,17.10M,1.926B,,112.50M,-100.20M,0.00,18.60M,59.80M
2016-03,256.90M,,,,-54.20M,7.60M,-46.60M,,,,183.70M,-53.40M,,,16.90M,,16.00M,17.10M,34.30M,,-137.70M,-22.00M,,0.70M,-107.60M,,265.90M,-235.60M,,,-38.50M,0.00,0.30M,-273.80M,-1.20M,16.10M,14.90M,,-75.00M,-75.00M,-96.20M,-96.20M,5.00M,-128.70M,-280.00M,2.137B,-287.90M,69.70M,1.919B,,90.20M,-75.30M,-75.00M,6.90M,3.30M
