,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2020-12,1.192B,1.192B,296.30M,895.40M,338.50M,195.70M,,-9.80M,,,0.50M,,534.20M,361.20M,,,0.50M,-5.60M,0.50M,356.10M,46.60M,309.50M,,309.50M,318.02M,361.20M,,361.20M,,0.50,,,0.5137,0.50,,0.49,,,0.5035,0.49,,623.50M,632.00M,,AOR,
2020-09,1.141B,1.141B,281.00M,859.90M,307.20M,195.50M,,0.60M,,0.80M,0.80M,,502.70M,357.20M,0.80M,,0.80M,6.30M,0.80M,364.30M,39.10M,325.20M,,325.20M,319.93M,382.80M,25.60M,357.20M,,0.52,,,0.5115,0.52,,0.52,,,0.5116,0.52,,622.10M,631.00M,,AOR,
2020-06,925.00M,925.00M,238.20M,686.80M,274.90M,182.10M,,-399.50M,,,1.80M,,457.00M,229.80M,,,1.80M,-399.20M,1.80M,-168.20M,-46.30M,-121.90M,,-121.90M,168.61M,254.30M,24.50M,229.80M,,-0.20,,,0.2683,-0.20,,-0.20,,,0.2683,-0.20,,620.30M,620.30M,,AOR,
2020-03,1.129B,1.129B,265.10M,863.60M,307.80M,187.40M,,-10.30M,,,4.50M,,495.20M,368.40M,,,4.50M,-8.40M,4.50M,364.50M,53.90M,310.60M,,310.60M,317.76M,392.90M,24.50M,368.40M,,0.4967,,,0.5081,0.4967,,0.49,,,0.5013,0.49,,624.60M,635.10M,,AOR,
2019-12,1.174B,1.174B,286.20M,887.90M,347.20M,193.90M,,-38.00M,,25.00M,4.30M,,541.10M,346.80M,25.00M,,4.30M,-35.60M,4.30M,315.50M,35.30M,280.20M,,280.20M,313.42M,319.20M,23.90M,295.30M,,0.4467,,,0.4997,0.4467,,0.44,,,0.4921,0.44,,626.70M,637.50M,,AOR,
2019-09,1.094B,1.094B,292.40M,801.60M,306.20M,195.50M,,-3.60M,,2.80M,2.80M,,501.70M,299.90M,2.80M,,2.80M,-1.00M,2.80M,301.70M,27.00M,274.70M,,274.70M,275.61M,323.00M,23.10M,299.90M,,0.44,,,0.4415,0.44,,0.43,,,0.4314,0.43,,624.60M,636.30M,,AOR,Restated
2019-06,1.087B,1.087B,304.00M,782.90M,308.50M,191.90M,,-15.00M,,,2.40M,,500.40M,282.50M,,,2.40M,-13.60M,2.40M,271.30M,29.00M,242.30M,,242.30M,254.53M,304.20M,21.70M,282.50M,,0.39,,,0.4096,0.39,,0.38,,,0.3992,0.38,,624.40M,636.20M,,AOR,Restated
2019-03,993.00M,993.00M,231.80M,761.20M,280.30M,171.40M,,-35.30M,,,2.00M,,451.70M,309.50M,,,2.00M,-33.50M,2.00M,278.00M,28.30M,249.70M,,249.70M,279.69M,330.10M,20.60M,309.50M,,0.40,,,0.4481,0.40,,0.3933,,,0.4404,0.3933,,623.70M,636.60M,,AOR,Restated
2018-12,977.70M,977.70M,234.70M,743.00M,288.10M,163.10M,,-297.10M,,,1.80M,,451.20M,291.80M,,,1.80M,-295.40M,1.80M,-1.80M,-8.80M,7.00M,,7.00M,222.28M,30.30M,19.90M,10.40M,,0.01,,,0.3545,0.01,,0.01,,,0.3483,0.01,,624.90M,636.30M,,AOR,Restated
2018-09,906.60M,906.60M,224.90M,681.70M,269.50M,161.80M,,-1.50M,,,-0.50M,,431.30M,250.40M,,,-0.50M,-1.20M,-0.50M,248.70M,22.80M,225.90M,,225.90M,226.72M,269.60M,19.20M,250.40M,,0.36,,,0.3613,0.36,,0.3533,,,0.3546,0.3533,,627.00M,639.60M,,AOR,Restated
