,OperatingRevenue,ExciseTaxes,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,15.81B,,15.81B,16.21B,-398.00M,,186.00M,186.00M,,,143.00M,-143.00M,25.00M,223.00M,-621.00M,143.00M,-143.00M,48.00M,-143.00M,-716.00M,-337.00M,-379.00M,,-85.00M,,-464.00M,-464.00M,41.00M,614.00M,-573.00M,-1.14,,-1.14,-1.14,-1.14,,-1.14,-1.14,407.00M,407.00M,0.98
2020-06,9.613B,-784.00M,10.40B,8.424B,1.973B,,169.00M,169.00M,,,142.00M,-142.00M,3.00M,184.00M,1.789B,142.00M,-142.00M,27.00M,-142.00M,1.674B,339.00M,1.335B,,-82.00M,,1.253B,1.253B,2.394B,578.00M,1.816B,3.07,,3.07,3.07,3.07,,3.07,3.07,406.00M,407.00M,0.98
2020-03,22.10B,,22.10B,24.19B,-2.085B,,177.00M,177.00M,,,125.00M,-125.00M,2.00M,192.00M,-2.277B,125.00M,-125.00M,32.00M,-125.00M,-2.37B,-616.00M,-1.754B,,-97.00M,,-1.851B,-1.851B,-1.663B,582.00M,-2.245B,-4.54,,-4.54,-4.54,-4.54,,-4.54,-4.54,408.00M,408.00M,0.98
2019-12,27.88B,,27.88B,25.88B,2.003B,,243.00M,243.00M,,,119.00M,-119.00M,7.00M,264.00M,1.739B,119.00M,-119.00M,36.00M,-119.00M,1.656B,326.00M,1.33B,,-270.00M,,1.06B,1.06B,2.346B,571.00M,1.775B,2.58,,2.58,2.58,2.58,,2.58,2.58,407.00M,408.00M,0.9
2019-09,27.25B,,27.25B,26.13B,1.119B,,217.00M,217.00M,,,111.00M,-111.00M,10.00M,238.00M,881.00M,111.00M,-111.00M,34.00M,-111.00M,804.00M,165.00M,639.00M,,-30.00M,,609.00M,609.00M,1.482B,567.00M,915.00M,1.48,,1.48,1.48,1.48,,1.48,1.48,412.00M,413.00M,0.9
2019-06,27.52B,-1.41B,28.93B,27.81B,1.123B,,199.00M,199.00M,,,112.00M,-112.00M,2.00M,215.00M,908.00M,112.00M,-112.00M,12.00M,-112.00M,808.00M,160.00M,648.00M,,-36.00M,,612.00M,612.00M,1.486B,566.00M,920.00M,1.47,,1.47,1.47,1.47,,1.47,1.47,415.00M,417.00M,0.9
2019-03,24.26B,,24.26B,23.73B,533.00M,,209.00M,209.00M,,,112.00M,-112.00M,2.00M,225.00M,308.00M,112.00M,-112.00M,22.00M,-112.00M,218.00M,51.00M,167.00M,,-26.00M,,141.00M,141.00M,881.00M,551.00M,330.00M,0.34,,0.34,0.34,0.34,,0.34,0.34,416.00M,418.00M,0.9
2018-12,28.73B,,28.73B,27.18B,1.546B,,230.00M,230.00M,,,114.00M,-114.00M,4.00M,247.00M,1.299B,114.00M,-114.00M,42.00M,-114.00M,1.227B,205.00M,1.022B,,-70.00M,,952.00M,952.00M,1.872B,531.00M,1.341B,2.26,,2.26,2.26,2.24,,2.24,2.24,420.00M,422.00M,0.8
2018-09,30.85B,,30.85B,29.40B,1.451B,,209.00M,209.00M,,,111.00M,-111.00M,10.00M,232.00M,1.219B,111.00M,-111.00M,42.00M,-111.00M,1.15B,276.00M,874.00M,,-18.00M,,856.00M,856.00M,1.778B,517.00M,1.261B,2.01,,2.01,2.01,2.01,,2.01,2.01,425.00M,427.00M,0.8
2018-06,31.02B,,31.02B,29.48B,1.535B,,248.00M,248.00M,,,124.00M,-124.00M,21.00M,282.00M,1.253B,124.00M,-124.00M,-5.00M,-124.00M,1.124B,249.00M,875.00M,,-30.00M,,845.00M,845.00M,1.771B,523.00M,1.248B,1.96,,1.96,1.96,1.96,,1.96,1.96,429.00M,431.00M,0.8
2018-03,26.44B,,26.44B,25.38B,1.062B,,238.00M,238.00M,,,121.00M,-121.00M,10.00M,261.00M,801.00M,121.00M,-121.00M,51.00M,-121.00M,731.00M,149.00M,582.00M,,-113.00M,,469.00M,469.00M,1.35B,498.00M,852.00M,1.09,,1.09,1.09,1.09,,1.09,1.09,431.00M,432.00M,0.8
2017-12,26.39B,,26.39B,25.28B,1.11B,,237.00M,237.00M,,,114.00M,-114.00M,17.00M,267.00M,843.00M,114.00M,-114.00M,36.00M,-114.00M,765.00M,-1.635B,2.40B,,-29.00M,,2.371B,2.371B,1.369B,490.00M,879.00M,5.43,,5.43,5.43,5.42,,5.42,5.42,436.00M,438.00M,0.7
2017-09,23.56B,,23.56B,21.95B,1.614B,,225.00M,225.00M,,,114.00M,-114.00M,44.00M,282.00M,1.332B,114.00M,-114.00M,23.00M,-114.00M,1.241B,378.00M,863.00M,,-22.00M,,841.00M,841.00M,1.852B,497.00M,1.355B,1.91,,1.91,1.91,1.91,,1.91,1.91,439.00M,441.00M,0.7
2017-06,22.25B,,22.25B,21.20B,1.049B,,175.00M,175.00M,,,119.00M,-119.00M,,189.00M,860.00M,119.00M,-119.00M,27.00M,-119.00M,768.00M,196.00M,572.00M,,-24.00M,,548.00M,548.00M,1.386B,499.00M,887.00M,1.23,,1.23,1.23,1.23,,1.23,1.23,444.00M,446.00M,0.7
2017-03,21.77B,,21.77B,21.04B,732.00M,,192.00M,192.00M,,,121.00M,-121.00M,,204.00M,528.00M,121.00M,-121.00M,26.00M,-121.00M,433.00M,112.00M,321.00M,,-16.00M,,305.00M,305.00M,1.054B,500.00M,554.00M,0.68,,0.68,0.68,0.68,,0.68,0.68,448.00M,451.00M,0.7
2016-12,20.71B,,20.71B,19.92B,797.00M,,202.00M,202.00M,0.00,0.00,112.00M,-112.00M,,215.00M,582.00M,112.00M,-112.00M,59.00M,-112.00M,529.00M,113.00M,416.00M,,-49.00M,,367.00M,367.00M,1.109B,468.00M,641.00M,0.81,,0.81,0.81,0.81,,0.81,0.81,449.00M,455.00M,0.6
2016-09,19.65B,,19.65B,18.55B,1.096B,,192.00M,192.00M,0.00,0.00,115.00M,-115.00M,,204.00M,892.00M,115.00M,-115.00M,12.00M,-115.00M,789.00M,144.00M,645.00M,,-32.00M,,613.00M,613.00M,1.374B,470.00M,904.00M,1.33,,1.33,1.33,1.33,,1.33,1.33,458.00M,460.00M,0.6
2016-06,19.58B,,19.58B,17.67B,1.917B,,159.00M,159.00M,56.00M,-56.00M,111.00M,-111.00M,,630.00M,1.287B,111.00M,-111.00M,-42.00M,-111.00M,1.134B,291.00M,843.00M,,-29.00M,,814.00M,855.44M,1.716B,471.00M,1.245B,1.74,,1.829,1.74,1.73,,1.818,1.73,467.00M,470.00M,0.6
