,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,4.047B,4.047B,5.601B,,,5.601B,1.937B,,3.42B,,5.357B,417.00M,,,,15.42B,,,,,,,46.86B,-16.13B,30.73B,,,,,,5.581B,,36.31B,51.73B,5.237B,1.323B,6.56B,926.00M,7.486B,,,636.00M,,636.00M,,,,,8.122B,,14.58B,,14.58B,5.297B,,5.297B,,,,793.00M,,3.72B,23.59B,31.72B,7.00M,29.71B,6.834B,15.76B,,,,-1.571B,19.22B
2020-06,2.319B,2.319B,4.152B,,,4.152B,2.329B,,3.385B,,5.42B,871.00M,,,,12.76B,,,,,,,46.34B,-15.68B,30.65B,,,,,,5.684B,,36.34B,49.10B,4.652B,1.20B,5.852B,861.00M,6.713B,,,587.00M,,587.00M,,,,,7.30B,,12.09B,,12.09B,5.305B,,5.305B,,,,787.00M,,3.77B,21.16B,28.46B,7.00M,30.58B,6.824B,15.76B,,,,-1.799B,19.85B
2020-03,1.515B,1.515B,5.392B,,,5.392B,2.337B,,3.886B,,3.675B,883.00M,,,,11.46B,,,,,,,45.79B,-15.26B,30.53B,,,,,,5.756B,,36.28B,47.75B,5.906B,1.074B,6.98B,866.00M,7.846B,,,886.00M,,886.00M,,,,,8.732B,,10.57B,,10.57B,4.909B,,4.909B,,,,843.00M,,3.847B,19.33B,28.06B,7.00M,29.72B,6.814B,15.76B,,,,-1.937B,18.84B
2019-12,2.583B,2.583B,8.094B,,846.00M,8.904B,2.719B,,4.294B,,7.013B,469.00M,,,,18.97B,0.0,476.00M,1.015B,38.43B,2.645B,1.731B,44.29B,-15.03B,29.26B,260.00M,283.00M,543.00M,2.271B,525.00M,1.778B,514.00M,34.90B,53.86B,10.20B,1.512B,11.72B,468.00M,12.18B,58.00M,494.00M,494.00M,331.00M,825.00M,55.00M,55.00M,,,13.16B,319.00M,9.178B,959.00M,10.14B,5.103B,0.0,5.103B,313.00M,834.00M,,733.00M,,954.00M,18.17B,31.33B,7.00M,31.97B,6.821B,15.65B,,,,-1.351B,21.80B
2019-09,2.137B,2.137B,7.994B,,,7.994B,2.377B,,3.999B,,6.376B,526.00M,,,,17.03B,,,,,,,43.54B,-14.65B,28.89B,,,,,,5.306B,,34.20B,51.23B,9.504B,1.343B,10.85B,881.00M,11.73B,,,402.00M,,402.00M,,,,,12.13B,,9.17B,,9.17B,4.92B,,4.92B,,,,481.00M,,3.421B,17.51B,29.64B,7.00M,31.28B,6.818B,15.47B,,,,-1.529B,21.11B
2019-06,2.033B,2.033B,9.05B,,,9.05B,2.417B,,3.864B,,6.281B,447.00M,,,,17.81B,,,,,,,43.11B,-14.33B,28.78B,,,,,,5.427B,,34.21B,52.02B,10.14B,1.326B,11.46B,764.00M,12.22B,,,323.00M,,323.00M,,,,,12.55B,,9.167B,,9.167B,4.899B,,4.899B,,,,492.00M,,3.571B,17.64B,30.18B,7.00M,31.05B,6.812B,15.17B,,,,-1.35B,21.34B
2019-03,2.777B,2.777B,8.289B,,,8.289B,2.604B,,3.95B,,6.554B,860.00M,,,,18.48B,,,,,,,42.39B,-13.98B,28.41B,,,,,,5.207B,,33.62B,52.10B,10.00B,1.026B,11.03B,772.00M,11.80B,,,1.11B,,1.11B,,,,,12.91B,,9.006B,,9.006B,4.867B,,4.867B,,,,470.00M,,3.53B,17.40B,30.32B,7.00M,30.81B,6.802B,14.96B,,,,-1.352B,21.31B
2018-12,2.982B,2.982B,6.984B,,395.00M,7.345B,2.581B,,3.951B,,6.532B,816.00M,,,,17.68B,0.0,416.00M,953.00M,36.87B,2.276B,1.96B,42.47B,-13.62B,28.85B,260.00M,307.00M,567.00M,542.00M,343.00M,1.749B,431.00M,32.48B,50.16B,8.594B,1.262B,9.856B,493.00M,10.35B,63.00M,238.00M,238.00M,0.00,238.00M,31.00M,31.00M,,,10.72B,327.00M,8.871B,0.00,8.871B,4.962B,0.0,4.962B,562.00M,654.00M,,1.064B,,721.00M,16.70B,27.42B,7.00M,31.04B,7.048B,14.92B,,,,-1.507B,21.67B
2018-09,3.551B,3.551B,8.249B,,,8.249B,2.867B,,4.634B,,7.501B,590.00M,,,,19.89B,,,,,,,41.84B,-13.41B,28.43B,,,,,,3.575B,,32.00B,51.89B,10.22B,1.506B,11.73B,553.00M,12.28B,,,199.00M,,199.00M,,,,,12.48B,,8.877B,,8.877B,4.725B,,4.725B,,,,1.05B,,2.85B,16.45B,28.93B,7.00M,30.43B,7.042B,14.33B,,,,-1.235B,21.91B
2018-06,4.451B,4.451B,7.535B,,,7.535B,2.472B,,3.948B,,6.42B,542.00M,,,,18.95B,,,,,,,41.27B,-13.09B,28.18B,,,,,,3.55B,,31.73B,50.68B,8.963B,1.554B,10.52B,641.00M,11.16B,,,183.00M,,183.00M,,,,,11.34B,,8.876B,,8.876B,4.76B,,4.76B,,,,1.035B,,2.897B,16.53B,27.87B,7.00M,29.92B,7.032B,13.92B,,,,-1.262B,21.77B
2018-03,4.658B,4.658B,6.814B,,,6.814B,2.728B,,3.827B,,6.555B,233.00M,,,,18.26B,,,,,,,40.54B,-12.81B,27.73B,,,,,,3.385B,,31.12B,49.38B,7.966B,1.325B,9.291B,590.00M,9.881B,,,871.00M,,871.00M,,,,,10.75B,,8.086B,,8.086B,4.711B,,4.711B,,,,1.048B,,2.902B,15.70B,26.45B,7.00M,29.42B,7.026B,13.59B,,,,-983.00M,21.88B
2017-12,5.85B,5.85B,6.784B,,171.00M,6.922B,2.683B,,3.701B,,6.384B,156.00M,,,,19.31B,0.0,411.00M,910.00M,35.35B,2.068B,1.274B,40.01B,-12.53B,27.48B,,142.00M,142.00M,530.00M,673.00M,1.52B,501.00M,30.85B,50.16B,8.348B,1.889B,10.24B,497.00M,10.73B,182.00M,,122.00M,,122.00M,,,,,11.07B,232.00M,8.75B,,8.75B,4.708B,,4.708B,401.00M,776.00M,,909.00M,,723.00M,16.19B,27.26B,7.00M,29.20B,7.039B,13.32B,,,,-940.00M,21.99B
2017-09,5.176B,5.176B,5.959B,,,5.959B,2.61B,,3.527B,,6.137B,170.00M,,,,17.44B,,,,,,,39.53B,-12.25B,27.27B,,,,,,3.272B,,30.55B,47.99B,6.677B,1.515B,8.192B,817.00M,9.009B,,,121.00M,,121.00M,,,,,9.13B,,8.364B,,8.364B,7.362B,,7.362B,,,,854.00M,,1.908B,17.63B,26.76B,7.00M,27.14B,7.06B,12.94B,,,,-893.00M,20.37B
2017-06,5.207B,5.207B,4.573B,,,4.573B,2.506B,,3.168B,,5.674B,277.00M,,,,15.73B,,,,,,,38.98B,-11.92B,27.05B,,,,,,3.189B,,30.24B,45.97B,5.456B,1.151B,6.607B,955.00M,7.562B,,,121.00M,,121.00M,,,,,7.683B,,8.366B,,8.366B,7.254B,,7.254B,,,,842.00M,,1.906B,17.53B,25.21B,7.00M,26.60B,7.096B,12.66B,,,,-1.123B,19.92B
2017-03,4.463B,4.463B,5.104B,,,5.104B,2.568B,,3.457B,,6.025B,316.00M,,,,15.91B,,,,,,,38.57B,-11.58B,26.99B,,,,,,3.148B,,30.14B,46.05B,6.037B,1.035B,7.072B,707.00M,7.779B,,,120.00M,,120.00M,,,,,7.899B,,8.369B,,8.369B,7.196B,,7.196B,,,,826.00M,,1.932B,17.50B,25.40B,7.00M,26.37B,7.096B,12.31B,,,,-1.334B,19.82B
2016-12,4.816B,4.816B,5.687B,,246.00M,5.901B,2.318B,,3.391B,,5.709B,374.00M,,,,16.80B,0.0,400.00M,838.00M,34.30B,1.464B,730.00M,37.73B,-11.26B,26.47B,,,148.00M,201.00M,447.00M,1.614B,491.00M,29.37B,46.17B,6.357B,1.162B,7.519B,419.00M,7.938B,243.00M,,115.00M,,115.00M,,,,,8.328B,223.00M,7.886B,,7.886B,7.361B,,7.361B,314.00M,742.00M,,830.00M,,465.00M,16.99B,25.32B,7.00M,26.37B,7.088B,12.03B,,,,-1.41B,20.02B
2016-09,5.949B,5.949B,4.672B,,,4.722B,2.494B,,3.485B,,5.979B,228.00M,,,,16.88B,,,,,,,37.56B,-11.04B,26.52B,,,,,,2.869B,,29.39B,46.26B,5.368B,1.164B,6.532B,628.00M,7.16B,,,1.064B,,1.064B,,,,,8.224B,,7.888B,,7.888B,7.369B,,7.369B,,,,791.00M,,1.654B,16.91B,25.14B,7.00M,26.27B,7.108B,11.93B,,,,-1.12B,20.34B
2016-06,4.925B,4.925B,4.88B,,,4.928B,2.64B,,3.497B,,6.137B,190.00M,,,,16.18B,,,,,,,37.36B,-10.77B,26.59B,,,,,,2.683B,,29.27B,45.45B,5.943B,1.406B,7.349B,439.00M,7.788B,,,864.00M,,864.00M,,,,,8.652B,,6.646B,,6.646B,7.279B,,7.279B,,,,828.00M,,1.471B,15.40B,24.05B,7.00M,25.93B,7.055B,11.42B,,,,-1.002B,20.58B
2016-03,3.778B,3.778B,4.518B,,,4.692B,2.823B,,3.688B,,6.056B,335.00M,,,,14.86B,,,,,,,37.28B,-10.53B,26.74B,,,,,,2.653B,,29.40B,44.26B,4.98B,1.251B,6.231B,416.00M,6.647B,,,128.00M,,128.00M,,,,,6.775B,,7.207B,,7.207B,7.192B,,7.192B,,,,839.00M,,1.59B,15.99B,22.76B,7.00M,25.40B,7.057B,11.01B,,,,-802.00M,20.66B
2015-12,4.114B,4.114B,4.105B,,394.00M,4.682B,2.648B,,4.016B,,5.898B,204.00M,,,,14.90B,0.0,400.00M,789.00M,33.12B,1.423B,1.173B,36.91B,-10.20B,26.70B,,,156.00M,201.00M,266.00M,1.484B,519.00M,29.33B,44.23B,4.907B,1.406B,6.313B,479.00M,6.792B,35.00M,,127.00M,,127.00M,,,,,6.994B,231.00M,7.208B,,7.208B,7.06B,,7.06B,513.00M,719.00M,,827.00M,,148.00M,15.88B,22.87B,7.00M,25.19B,7.064B,10.80B,,,,-933.00M,20.53B
2015-09,5.301B,5.301B,4.691B,,,4.698B,2.971B,,3.586B,,6.557B,173.00M,,98.00M,,16.83B,,,,,,,36.64B,-9.957B,26.69B,,,,,,2.31B,,29.00B,45.82B,5.679B,1.499B,7.178B,595.00M,7.773B,,,129.00M,,129.00M,,387.00M,387.00M,,8.289B,,7.252B,,7.252B,6.656B,,6.656B,,,,547.00M,,1.76B,15.67B,23.96B,7.00M,25.13B,7.074B,10.10B,,,,-795.00M,21.32B
2015-06,5.764B,5.764B,5.799B,,,5.812B,2.841B,,3.777B,,6.618B,157.00M,,141.00M,,18.49B,,,,,,,36.44B,-9.71B,26.73B,,,,,,2.373B,,29.11B,47.60B,7.315B,1.556B,8.871B,529.00M,9.40B,,,150.00M,,150.00M,,315.00M,315.00M,,9.865B,,7.199B,,7.199B,6.64B,,6.64B,,,,553.00M,,1.889B,15.73B,25.59B,7.00M,23.95B,7.076B,9.054B,,,,-529.00M,21.45B
2015-03,4.87B,4.87B,4.924B,,,4.977B,2.881B,,3.785B,,6.666B,154.00M,,121.00M,,16.79B,,,,,,,36.02B,-9.425B,26.60B,,,,,,2.357B,,28.95B,45.74B,6.01B,1.598B,7.608B,512.00M,8.12B,,,200.00M,,200.00M,,314.00M,314.00M,,8.634B,,7.224B,,7.224B,6.624B,,6.624B,,,,568.00M,,1.917B,15.76B,24.40B,7.00M,22.80B,7.083B,8.39B,,,,-730.00M,20.77B
2014-12,3.689B,3.689B,5.509B,,407.00M,5.976B,2.502B,,4.121B,,6.623B,164.00M,,162.00M,,16.61B,0.0,396.00M,789.00M,30.79B,2.607B,1.353B,35.93B,-9.198B,26.74B,,,154.00M,78.00M,182.00M,1.359B,428.00M,28.94B,45.55B,6.76B,1.642B,8.402B,502.00M,8.904B,46.00M,,606.00M,,606.00M,,376.00M,376.00M,,9.98B,340.00M,5.78B,,5.78B,6.607B,,6.607B,491.00M,792.00M,,567.00M,,316.00M,14.33B,24.31B,7.00M,22.05B,7.116B,8.125B,,,,-367.00M,20.68B
2014-09,4.191B,4.191B,8.175B,,,8.254B,3.33B,,3.53B,,6.86B,132.00M,,229.00M,,19.67B,,,,,,,35.43B,-8.983B,26.45B,,,,,,2.34B,,28.79B,48.46B,9.939B,1.923B,11.86B,630.00M,12.49B,,,600.00M,,600.00M,,368.00M,368.00M,,13.46B,,5.783B,,5.783B,6.601B,,6.601B,,,,508.00M,,1.549B,13.93B,27.39B,7.00M,21.03B,7.137B,7.773B,,,,149.00M,20.55B
2014-06,3.48B,3.48B,7.952B,,,8.045B,3.612B,,2.914B,,6.526B,124.00M,,275.00M,,18.45B,,,,,,,34.87B,-8.748B,26.12B,,,,,,2.441B,,28.56B,47.01B,9.355B,1.707B,11.06B,584.00M,11.65B,,,601.00M,,601.00M,,276.00M,276.00M,,12.52B,,5.784B,,5.784B,6.659B,,6.659B,,,,509.00M,,1.327B,13.77B,26.29B,7.00M,20.12B,7.132B,7.474B,,,,426.00M,20.21B
2014-03,3.647B,3.647B,7.783B,,,7.887B,3.73B,,3.376B,,7.106B,134.00M,,256.00M,,19.03B,,,,,,,34.24B,-8.469B,25.77B,,,,,,2.303B,,28.07B,47.10B,9.617B,1.806B,11.42B,488.00M,11.91B,,,704.00M,,704.00M,,311.00M,311.00M,,12.93B,,5.86B,,5.86B,6.615B,,6.615B,,,,493.00M,,1.29B,13.76B,26.69B,7.00M,19.66B,7.134B,7.168B,,,,277.00M,19.92B
2013-12,4.292B,4.292B,8.582B,,215.00M,8.823B,2.361B,,3.397B,,5.758B,138.00M,,266.00M,,19.28B,0.0,404.00M,800.00M,29.49B,2.109B,1.128B,33.93B,-8.226B,25.71B,,,,,,2.276B,,27.98B,47.26B,9.931B,2.118B,12.05B,450.00M,12.50B,29.00M,303.00M,303.00M,,303.00M,,249.00M,249.00M,13.00M,13.12B,303.00M,6.261B,,6.261B,6.601B,,6.601B,314.00M,507.00M,0.0,486.00M,,205.00M,14.19B,27.31B,7.00M,18.97B,7.187B,7.054B,,,,350.00M,19.46B
2013-09,1.908B,1.908B,9.126B,,,9.234B,3.333B,,3.73B,,7.063B,131.00M,,257.00M,,18.59B,,,,,,,33.65B,-8.01B,25.64B,,,160.00M,,,1.898B,,27.70B,46.29B,11.00B,1.383B,12.38B,598.00M,12.98B,,,303.00M,,303.00M,,386.00M,386.00M,,13.67B,,6.261B,,6.261B,6.312B,,6.312B,,,,117.00M,,1.665B,14.24B,27.91B,7.00M,17.80B,7.232B,6.856B,,,,83.00M,18.27B
2013-06,2.398B,2.398B,7.486B,,,7.542B,2.861B,,3.585B,,6.446B,136.00M,,246.00M,,16.77B,,,,,,,33.09B,-7.701B,25.39B,,,159.00M,,,1.864B,,27.41B,44.18B,9.507B,1.324B,10.83B,504.00M,11.34B,,,303.00M,,303.00M,,397.00M,397.00M,,12.04B,,6.261B,,6.261B,6.159B,,6.159B,,,,105.00M,,1.697B,14.12B,26.15B,7.00M,17.59B,7.237B,6.818B,,,,-99.00M,17.92B
2013-03,1.857B,1.857B,7.658B,,,7.748B,2.804B,,4.133B,,6.937B,384.00M,,280.00M,,17.21B,,,,,,,34.47B,-8.072B,26.40B,,,203.00M,,,1.694B,,28.30B,45.50B,9.821B,1.329B,11.15B,761.00M,11.91B,,,406.00M,,406.00M,,388.00M,388.00M,,12.70B,,6.463B,,6.463B,6.131B,,6.131B,,,,75.00M,,1.784B,14.38B,27.08B,7.00M,17.58B,7.245B,6.605B,,,,121.00M,18.34B
