,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,20.37B,20.37B,9.844B,10.52B,,,7.232B,1.611B,,,,,317.00M,,-317.00M,-173.00M,8.67B,1.853B,,317.00M,-317.00M,-247.00M,-317.00M,1.289B,25.00M,1.264B,92.00M,,,1.356B,1.264B,3.305B,1.699B,1.606B,,1.42,0.10,,,1.42,1.52,,1.41,0.10,,,1.41,1.51,,892.60M,899.00M,1.63,,AOR,
2020-09,17.56B,17.56B,9.13B,8.43B,361.00M,4.011B,4.372B,1.515B,278.00M,,,,323.00M,15.00M,-308.00M,-138.00M,6.027B,2.403B,15.00M,323.00M,-308.00M,-268.00M,-308.00M,1.827B,128.00M,1.698B,-1.00M,,,1.697B,1.700B,3.833B,1.683B,2.15B,,1.90,0.00,,,1.902,1.90,,1.89,0.00,,,1.892,1.89,,891.40M,897.30M,1.63,,AOR,
2020-06,18.12B,18.12B,9.423B,8.70B,363.00M,4.531B,4.894B,1.582B,284.00M,,,,323.00M,23.00M,-300.00M,-133.00M,6.627B,2.073B,23.00M,323.00M,-300.00M,-200.00M,-300.00M,1.571B,209.00M,1.362B,-1.00M,,,1.361B,1.336B,3.573B,1.679B,1.894B,,1.53,0.00,,,1.501,1.53,,1.52,0.00,,,1.491,1.52,,889.44M,894.94M,1.63,,AOR,
2020-03,17.57B,17.57B,9.649B,7.922B,428.00M,5.186B,5.614B,1.625B,284.00M,,,,326.00M,51.00M,-275.00M,-60.00M,7.463B,459.00M,51.00M,326.00M,-275.00M,-234.00M,-275.00M,-49.00M,-1.226B,1.176B,-1.00M,,,1.175B,1.154B,1.911B,1.634B,277.00M,,1.32,0.00,,,1.295,1.32,,1.31,0.00,,,1.286,1.31,,888.00M,895.00M,1.62,,AOR,
2019-12,21.78B,21.78B,10.68B,11.10B,413.00M,4.69B,5.103B,1.596B,294.00M,,,,354.00M,48.00M,-306.00M,-210.00M,6.783B,4.317B,48.00M,354.00M,-306.00M,-21.00M,-306.00M,3.993B,324.00M,3.669B,1.00M,,,3.67B,3.641B,5.997B,1.65B,4.347B,,4.14,0.00,,,4.109,4.14,,4.11,0.00,,,4.079,4.11,,887.04M,893.75M,1.62,,AOR,
2019-09,18.03B,18.03B,9.692B,8.336B,381.00M,4.354B,4.735B,1.553B,276.00M,,,,432.00M,63.00M,-369.00M,-152.00M,6.412B,1.924B,63.00M,432.00M,-369.00M,-32.00M,-369.00M,1.522B,-151.00M,1.673B,-1.00M,,,1.672B,1.645B,3.623B,1.669B,1.954B,,1.89,0.00,,,1.858,1.89,,1.87,0.00,,,1.838,1.87,,886.00M,892.80M,1.62,,AOR,Restated
2019-06,19.16B,19.16B,10.15B,9.01B,421.00M,4.923B,5.344B,1.407B,95.00M,,,,348.00M,167.00M,-181.00M,-205.00M,6.641B,2.369B,167.00M,348.00M,-181.00M,579.00M,-181.00M,2.768B,269.00M,2.499B,-1.00M,,,2.498B,2.392B,4.41B,1.294B,3.116B,,2.82,0.00,,,2.700,2.82,,2.81,0.00,,,2.690,2.81,,886.27M,890.83M,1.62,,AOR,Restated
2019-03,18.18B,18.18B,10.14B,8.043B,432.00M,4.141B,4.573B,1.433B,97.00M,,,,210.00M,70.00M,-140.00M,-81.00M,6.022B,2.021B,70.00M,210.00M,-140.00M,1.00M,-140.00M,1.883B,289.00M,1.593B,-2.00M,,,1.591B,1.502B,3.539B,1.446B,2.093B,,1.79,0.00,,,1.688,1.79,,1.78,0.00,,,1.679,1.78,,889.60M,893.90M,1.57,,AOR,Restated
2018-12,21.76B,21.76B,11.07B,10.69B,335.00M,4.248B,4.583B,1.358B,106.00M,11.00M,-11.00M,,193.00M,77.00M,-116.00M,-184.00M,5.863B,4.824B,77.00M,193.00M,-116.00M,-272.00M,-116.00M,4.434B,2.481B,1.953B,-2.00M,,,1.951B,1.884B,5.739B,1.112B,4.627B,,2.17,0.00,,,2.094,2.17,,2.15,0.00,,,2.074,2.15,,901.39M,905.26M,1.57,,AOR,Restated
2018-09,18.76B,18.76B,9.953B,8.803B,323.00M,3.926B,4.249B,1.252B,110.00M,4.00M,-4.00M,,191.00M,70.00M,-121.00M,-275.00M,5.336B,3.467B,70.00M,191.00M,-121.00M,-349.00M,-121.00M,2.996B,304.00M,2.692B,2.00M,,,2.694B,2.677B,4.325B,1.138B,3.187B,,2.95,0.00,,,2.933,2.95,,2.94,0.00,,,2.923,2.94,,911.20M,915.20M,1.57,,AOR,Restated
2018-06,20.00B,20.00B,10.80B,9.199B,407.00M,4.301B,4.708B,1.364B,109.00M,40.00M,-40.00M,,173.00M,47.00M,-126.00M,-250.00M,5.931B,3.268B,47.00M,173.00M,-126.00M,-367.00M,-126.00M,2.776B,373.00M,2.402B,1.00M,,,2.403B,2.404B,4.065B,1.116B,2.949B,,2.63,0.00,,,2.632,2.63,,2.61,0.00,,,2.612,2.61,,915.10M,919.40M,1.57,,AOR,Restated
2018-03,19.07B,19.07B,10.82B,8.247B,401.00M,4.921B,5.322B,1.405B,110.00M,13.00M,-13.00M,,165.00M,71.00M,-94.00M,-317.00M,6.52B,1.727B,71.00M,165.00M,-94.00M,-496.00M,-94.00M,1.136B,-540.00M,1.675B,4.00M,,,1.679B,1.736B,2.415B,1.114B,1.301B,,1.82,0.00,,,1.886,1.82,,1.81,0.00,,,1.875,1.81,,920.68M,925.41M,1.50,,AOR,Restated
2017-12,22.54B,22.54B,11.49B,11.05B,,,5.435B,1.378B,,,,,164.00M,,-266.00M,-348.00M,6.083B,4.966B,,164.00M,-266.00M,-232.00M,-266.00M,4.469B,5.522B,-1.053B,-2.00M,,,-1.055B,-1.053B,5.782B,1.149B,4.633B,,-1.14,0.00,,,-1.14,-1.14,,-1.14,0.00,,,-1.14,-1.14,,924.51M,928.91M,1.50,,AOR,Restated
2017-09,19.15B,19.15B,10.17B,8.981B,337.00M,4.137B,4.474B,1.291B,125.00M,7.00M,-7.00M,,168.00M,38.00M,-130.00M,-308.00M,5.582B,3.399B,38.00M,168.00M,-130.00M,-203.00M,-130.00M,3.065B,339.00M,2.726B,0.00,,,2.726B,2.734B,4.409B,1.176B,3.233B,,2.93,0.00,,,2.939,2.93,,2.92,0.00,,,2.929,2.92,,929.44M,933.23M,1.50,,AOR,Restated
2017-06,19.29B,19.29B,10.32B,8.968B,390.00M,4.499B,4.889B,1.436B,127.00M,18.00M,-18.00M,,147.00M,34.00M,-113.00M,-365.00M,6.087B,2.881B,34.00M,147.00M,-113.00M,-325.00M,-113.00M,2.443B,111.00M,2.332B,-1.00M,,,2.331B,2.333B,3.707B,1.117B,2.59B,,2.49,0.00,,,2.491,2.49,,2.48,0.00,,,2.481,2.48,,934.92M,939.56M,1.50,,AOR,Restated
2017-03,18.16B,18.16B,10.21B,7.944B,363.00M,4.518B,4.881B,1.484B,130.00M,15.00M,-15.00M,,135.00M,30.00M,-105.00M,-445.00M,6.05B,1.894B,30.00M,135.00M,-105.00M,-365.00M,-105.00M,1.424B,-329.00M,1.753B,-3.00M,,,1.75B,1.775B,2.658B,1.099B,1.559B,,1.86,0.00,,,1.884,1.86,,1.85,0.00,,,1.873,1.85,,942.44M,947.84M,1.40,,AOR,Restated
2016-12,21.77B,21.77B,10.66B,11.12B,276.00M,4.371B,4.647B,1.406B,132.00M,-3.00M,3.00M,,157.00M,32.00M,-125.00M,-521.00M,5.664B,5.451B,32.00M,157.00M,-125.00M,-340.00M,-125.00M,4.985B,480.00M,4.506B,-5.00M,,,4.501B,4.470B,6.269B,1.127B,5.142B,,4.75,-0.01,,,4.712,4.74,,4.73,-0.01,,,4.692,4.72,,948.61M,952.68M,1.40,,AOR,Restated
2016-09,19.23B,19.23B,10.21B,9.013B,341.00M,4.287B,4.628B,1.397B,136.00M,-32.00M,32.00M,,158.00M,22.00M,-136.00M,-528.00M,5.633B,3.38B,22.00M,158.00M,-136.00M,18.00M,-136.00M,3.263B,409.00M,2.854B,-1.00M,,,2.853B,2.883B,4.548B,1.127B,3.421B,,2.99,0.00,,,3.020,2.99,,2.98,0.00,,,3.010,2.98,,954.00M,957.32M,1.40,,AOR,Restated
2016-06,20.24B,20.24B,10.54B,9.702B,361.00M,4.826B,5.187B,1.465B,136.00M,26.00M,-26.00M,,167.00M,29.00M,-138.00M,-365.00M,6.423B,3.279B,29.00M,167.00M,-138.00M,-92.00M,-138.00M,3.049B,544.00M,2.505B,0.00,,,2.505B,2.594B,4.319B,1.103B,3.216B,,2.62,0.00,,,2.713,2.62,,2.61,0.00,,,2.702,2.61,,957.40M,960.50M,1.40,,AOR,Restated
2016-03,18.68B,18.68B,9.999B,8.686B,348.00M,5.468B,5.816B,1.458B,99.00M,97.00M,-97.00M,,147.00M,24.00M,-123.00M,-217.00M,7.156B,1.53B,24.00M,147.00M,-123.00M,-374.00M,-123.00M,1.034B,-983.00M,2.016B,-3.00M,,,2.013B,2.109B,2.205B,1.024B,1.181B,,2.09,0.00,,,2.187,2.09,,2.09,0.00,,,2.186,2.09,,961.70M,964.40M,1.30,,AOR,Restated
2015-12,22.06B,22.06B,10.65B,11.41B,322.00M,4.708B,5.03B,1.362B,80.00M,47.00M,-47.00M,,128.00M,56.00M,-72.00M,-193.00M,6.279B,5.127B,56.00M,128.00M,-72.00M,-825.00M,-72.00M,5.099B,638.00M,4.46B,2.00M,,,4.462B,4.939B,6.217B,990.00M,5.227B,,4.60,0.00,,,5.094,4.60,,4.59,0.00,,,5.082,4.59,,969.58M,972.80M,1.30,,AOR,Restated
2015-09,19.28B,19.28B,9.844B,9.436B,315.00M,4.318B,4.633B,1.287B,73.00M,27.00M,-27.00M,,117.00M,16.00M,-101.00M,-188.00M,5.805B,3.631B,16.00M,117.00M,-101.00M,90.00M,-101.00M,3.621B,659.00M,2.962B,-12.00M,,,2.95B,2.932B,4.674B,936.00M,3.738B,,3.04,-0.01,,,3.009,3.03,,3.02,-0.01,,,2.989,3.01,,975.10M,979.00M,1.30,,AOR,Restated
2015-06,20.81B,20.81B,10.42B,10.39B,341.00M,4.693B,5.034B,1.30B,72.00M,74.00M,-74.00M,,115.00M,18.00M,-97.00M,-128.00M,6.278B,4.112B,18.00M,115.00M,-97.00M,209.00M,-97.00M,4.224B,698.00M,3.526B,-77.00M,,,3.449B,3.437B,5.30B,961.00M,4.339B,,3.59,-0.08,,,3.499,3.51,,3.58,-0.08,,,3.489,3.50,,982.30M,986.70M,1.30,,AOR,Restated
2015-03,19.59B,19.59B,10.14B,9.452B,313.00M,4.887B,5.20B,1.298B,79.00M,83.00M,-83.00M,,108.00M,19.00M,-89.00M,-173.00M,6.404B,3.048B,19.00M,108.00M,-89.00M,42.00M,-89.00M,3.001B,585.00M,2.415B,-88.00M,,,2.327B,2.411B,4.077B,968.00M,3.109B,,2.45,-0.09,,,2.446,2.36,,2.44,-0.09,,,2.436,2.35,,988.10M,992.30M,1.10,,AOR,Restated
2014-12,24.11B,24.11B,11.25B,12.86B,316.00M,5.515B,5.831B,1.32B,93.00M,110.00M,-110.00M,,117.00M,25.00M,-92.00M,-199.00M,7.045B,5.817B,25.00M,117.00M,-92.00M,1.371B,-92.00M,7.095B,1.579B,5.514B,-31.00M,,,5.483B,5.558B,8.258B,1.046B,7.212B,,5.57,-0.03,,,5.615,5.54,,5.54,-0.03,,,5.585,5.51,,990.39M,995.30M,1.10,,AOR,Restated
2014-09,22.40B,22.40B,11.52B,10.87B,306.00M,4.778B,5.084B,1.354B,96.00M,102.00M,-102.00M,,126.00M,21.00M,-105.00M,-145.00M,6.389B,4.485B,21.00M,126.00M,-105.00M,-20.00M,-105.00M,4.361B,906.00M,3.455B,-3.437B,,,18.00M,3.544B,5.626B,1.139B,4.487B,,3.48,-3.46,,,3.570,0.02,,3.46,-3.46,,,3.550,0.02,,991.80M,997.70M,1.10,,AOR,Restated
2014-06,24.05B,24.05B,12.00B,12.04B,347.00M,5.085B,5.432B,1.361B,94.00M,67.00M,-67.00M,,136.00M,22.00M,-114.00M,-191.00M,6.696B,5.348B,22.00M,136.00M,-114.00M,113.00M,-114.00M,5.348B,1.096B,4.251B,-115.00M,,,4.136B,4.319B,6.65B,1.166B,5.484B,,4.25,-0.11,,,4.318,4.14,,4.23,-0.11,,,4.297,4.12,,999.60M,1.005B,1.10,,AOR,Restated
2014-03,22.24B,22.24B,11.61B,10.63B,338.00M,5.787B,6.125B,1.402B,92.00M,55.00M,-55.00M,,105.00M,22.00M,-83.00M,-207.00M,7.412B,3.215B,22.00M,105.00M,-83.00M,50.00M,-83.00M,3.183B,653.00M,2.53B,-146.00M,,,2.384B,2.617B,4.429B,1.141B,3.288B,,2.44,-0.14,,,2.524,2.30,,2.43,-0.14,,,2.513,2.29,,1.035B,1.042B,0.95,,AOR,Restated
