,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,,837.01M,540.36M,1.377B,1.385B,1.881B,3.265B,144.22M,,,4.787B,,,,,901.03M,,,901.03M,,901.03M,5.808B,715.64M,6.524B,,,158.49M,397.13M,7.981B,12.77B,,999.48M,,,,999.48M,1.194B,2.193B,,,,164.64M,164.64M,530.76M,530.76M,,2.889B,1.797B,735.34M,2.532B,9.286M,624.74M,578.42M,43.88M,,,3.736B,6.624B,,130.04M,4.249B,2.598B,,,,-877.54M,6.099B,,AOR,
2020-09,,862.42M,347.51M,1.210B,1.294B,1.873B,3.167B,162.36M,,,4.540B,0.00,0.966M,21.55M,560.35M,576.92M,16.41M,187.98M,1.364B,-467.89M,896.29M,5.639B,658.34M,6.297B,,,211.05M,409.99M,7.815B,12.35B,,1.062B,25.52M,104.72M,,1.192B,1.120B,2.312B,,,,164.31M,164.31M,465.65M,465.65M,,2.942B,1.677B,735.20M,2.412B,3.366M,576.77M,568.18M,39.96M,,,3.557B,6.499B,,129.75M,4.021B,2.598B,,,,-933.06M,5.816B,,AOR,
2020-06,,1.025B,,1.025B,1.396B,1.758B,3.154B,433.84M,,,4.612B,,,,,346.64M,,,346.64M,,346.64M,5.617B,676.00M,6.293B,,,,1.360B,7.999B,12.61B,,1.049B,,,,1.049B,1.229B,2.278B,,,,,,450.33M,450.33M,,2.728B,2.155B,,2.155B,,1.843B,,49.18M,,,3.998B,6.727B,,130.18M,4.028B,2.589B,,,,-911.69M,5.836B,,AOR,
2020-03,,1.656B,,1.656B,1.303B,1.876B,3.179B,332.40M,,,5.167B,,,,,330.50M,,,330.50M,,330.50M,5.596B,689.80M,6.286B,,,,1.351B,7.968B,13.13B,,1.030B,,,,1.030B,1.179B,2.209B,,,,,,416.01M,416.01M,,2.625B,3.099B,,3.099B,,1.797B,,51.20M,,,4.897B,7.522B,,129.98M,3.809B,2.569B,,,,-946.32M,5.562B,,AOR,
2019-12,,619.21M,,619.21M,1.367B,1.689B,3.056B,699.24M,,,4.379B,,,,,308.67M,,,308.67M,,308.67M,5.437B,645.47M,6.083B,,,,1.430B,7.822B,12.20B,,1.033B,,,,1.033B,1.163B,2.196B,,,199.94M,,199.94M,435.21M,435.21M,0.797M,2.832B,1.415B,,1.415B,,1.892B,,57.75M,,,3.307B,6.138B,,133.00M,4.146B,2.606B,,,,-880.17M,6.004B,,AOR,Restated
2019-09,,631.07M,451.13M,1.082B,1.222B,1.618B,2.840B,189.36M,,,4.112B,0.00,0.355M,14.33M,533.80M,,8.781M,247.66M,804.93M,-496.79M,308.14M,5.433B,665.08M,6.098B,,,514.63M,430.55M,7.351B,11.46B,,1.073B,23.44M,34.39M,,1.130B,1.078B,2.209B,,199.90M,199.90M,0.00,199.90M,593.42M,662.33M,2.573M,3.074B,1.201B,0.00,1.201B,233.11M,843.20M,575.90M,53.97M,,,2.620B,5.694B,,132.88M,3.939B,2.559B,,,,-916.81M,5.715B,,AOR,Restated
2019-06,,998.24M,,998.24M,1.299B,1.481B,2.779B,695.81M,,,4.476B,,,,,305.27M,,,305.27M,,305.27M,5.371B,694.12M,6.065B,,,,795.19M,7.165B,11.64B,,884.99M,,,,884.99M,1.673B,2.558B,,,222.69M,,222.69M,506.39M,506.39M,2.103M,3.289B,1.025B,,1.025B,,1.218B,,48.05M,,,2.244B,5.533B,,135.85M,4.054B,2.634B,,,,-763.59M,6.060B,,AOR,Restated
2019-03,,674.55M,,674.55M,1.172B,1.576B,2.747B,127.32M,,,4.846B,,,,,268.80M,,,268.80M,,268.80M,4.775B,533.64M,5.308B,,,,2.522B,8.099B,12.95B,,828.52M,,,,828.52M,1.178B,2.006B,0.024M,,0.024M,,0.024M,450.86M,450.86M,731.16M,3.188B,2.842B,,2.842B,,1.238B,,89.73M,,,4.202B,7.390B,,136.43M,3.621B,2.569B,,,,-860.26M,5.466B,,AOR,Restated
2018-12,,886.71M,,886.71M,1.343B,1.339B,2.682B,128.98M,,,4.899B,,,,,256.49M,,,256.49M,,256.49M,4.771B,552.03M,5.323B,,,,2.467B,8.046B,12.95B,,895.43M,,,,895.43M,994.11M,1.890B,3.136M,,3.136M,,3.136M,409.76M,409.76M,792.28M,3.095B,2.669B,,2.669B,,1.202B,,87.93M,,,4.010B,7.104B,,140.40M,3.797B,2.672B,,,,-856.55M,5.753B,,AOR,Restated
2018-09,634.87M,634.87M,,634.87M,1.107B,1.407B,2.514B,171.10M,,,4.557B,0.00,1.34M,12.87M,482.78M,,17.68M,198.29M,712.96M,-455.10M,257.86M,4.796B,572.95M,5.369B,430.39M,,319.40M,1.713B,8.089B,12.65B,,776.19M,22.11M,58.73M,,857.03M,1.028B,1.885B,,,3.172M,,3.172M,442.76M,501.01M,756.57M,3.146B,2.144B,,2.144B,,1.261B,,90.01M,,,3.556B,6.701B,,142.22M,3.810B,2.709B,,,,-806.70M,5.854B,,AOR,Restated
